# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	어이, 큰 강아지.
line:65b23418	Hah, okay. I'm game.	하, 좋아요. 갈게요.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	하, 네. 콘래드는 확실히 경험이 많더라고요...
line:8b878971	Hah, yeah. He sounds fun.	하, 네. 재미있는 사람 같아요.
line:e3ed51d9	Hah. Conrad, you look good too.	하, 콘래드도 멋져요.
line:f8b2e23b	Hah. Fine.	하. 알겠어.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	하. 날 씻겨 줄 코볼트만 있으면 좋겠네.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	하. 그래. <size=70%><i>목욕 학교에서 드래곤 자위시키는 법도 배우다니 멋지네...
line:50a559bb	Hah... <size=70%> yeah.	하... <size=70%>네.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	하... 지금 손으로 해 주려고? 난 좋아.
line:4e920759	Hah... Yeah I'm excited.	하... 그래, 기대돼.
line:b36365ce	Hah... Yeah...	하... 그래...
line:b8724c64	Hah... you do like that noise.	하... 그 소리 정말 좋아하네요.
line:c8cde395	Haha, 'Yip' indeed.	하하, 정말 '이프'로군요.
line:680991cf	Haha, yes. Happy to see you.	하하, 네. 만나서 반갑습니다.
line:4c27b031	Haha, you certainly are!	하하, 정말 그렇네요!
line:c3a2e14e	Haha, you certainly are!	하하, 정말 그렇네요!
line:9ec40945	Haha. 'Yip' to you too.	하하. 저도 '이프'예요.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	하하... 그래. 칭찬은 별로 익숙하지 않아서.
line:44689f21	Happy to be back.	다시 오니 좋군요.
line:2672f65d	Happy to be here.	여기 오니 좋네요.
line:192fcb8e	Happy to get it off.	씻어 낼 수 있어서 다행이에요.
line:3517b28e	Have a productive day.	오늘도 열심히 일하세요.
line:7c1adc57	He called me, we met up. He's really damn nice.	전화가 와서 만났어. 정말 엄청 착해.
line:e71f9a0b	HE DIED!?	죽었다고요?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	들어 보니 오랫동안... 누구한테도 보살핌을 받지 못한 것 같았어요.
line:de25de6e	He just... Knew what to say to snap me out of all that.	그런데 그냥... 무슨 말을 해야 내가 정신을 차릴지 알더라.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	본인은 '수직적으로 불리하다'고 하던데... 네.
line:04b29e42	He really is.	정말 그렇죠.
line:c7e1b369	He really is.	정말 그렇지.
line:c64bd5ce	He said I was chill, we planned a date...	내가 괜찮다길래 데이트 약속을 잡았지...
line:e8a91447	He's a lot. But, I like it.	만만치는 않죠. 그래도 좋아요.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	빨간 드래곤인데, 둘이 서로 좋아할 것 같아요!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	벌써 업무에 복귀했습니다. 그때 도와주셔서 감사합니다.
line:aaea8391	He's been way nicer recently.	요즘 훨씬 다정해졌어요.
line:7363c004	He's great.	정말 좋은 사람이에요.
line:c13d4e24	He's hot.	섹시하잖아요.
line:675d7e37	He's like. SUPER hung.	그게... 엄청 커요.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	마치... 날카로운 가시로 둘러싸인 여린 마음 같아요.
line:800c553d	He's my dream dragon.	제 꿈에 그리던 드래곤이에요.
line:4b3c70d9	He's snappy, but tender too!	툴툴대지만 다정하기도 해요!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	여기 씻으러 오는 정말 귀여운 빨간 드래곤이에요!
line:4c11c83e	He's tiny, I like being eye level with him.	작아서 좋아요. 눈높이가 맞거든요.
line:b9ce2f3c	He's... Considerate. Real understanding too.	그는... 배려심이 깊어. 이해심도 많고.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	너랑 그 큰 파란 녀석 이야기 들었어. 라이언이었나?
line:ca4a9672	Heeeey Ryan.	안녕하세요오, 라이언.
line:24ce37ec	Heeeey.	안녀엉.
line:bb70c1ed	Heh. Yeah.	흐, 그래.
line:3fa80829	Heh. Yeah. I like you too.	흐. 네. 저도 좋아해요.
line:20393ff6	Heh. Yeah. That's me.	흐. 그래. 나야.
line:ac769d93	heh.. yea.. sorry..	흐... 네... 미안해요..
line:5246ceea	Heh... alright.	흐... 알겠어요.
line:75fef5cb	Heh... Damn right.	흐... 당연하지.
line:5f0edcb2	Heh... Handsy today, huh?	흐... 오늘은 손이 바쁘네요?
line:2f55b3aa	Hehe	헤헤.
line:7e991330	Hehe yeah.	헤헤, 네.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	헤헤, 다시 연애할 생각을 하니 기대돼요.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	헤헤, 고마워요. 우리 둘 다 먹을 만한 걸 가져왔어요.
line:1a3e2a73	Hell yea	씨발, 좋아.
line:93f67490	Hell yeah	씨발, 좋아.
line:389e4033	Hell yeah I did!	당연히 즐거웠지!
line:17dbb9b7	Hell yeah.	씨발, 좋아.
line:4b7b33d9	Hello!	안녕하세요!
line:c3d3da41	Hello!	안녕하세요!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	안녕하세요, <i>'Drag'n'wash 223호점'...</i> 상호작용하는 방법은 알아냈나요?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	안녕하세요, <i>'Drag'n'wash 223호점'...</i> 첫 손님과는 이야기했나요?
line:b7cce838	Hello.	안녕하십니까.
line:a8779ebf	Hello?	계세요?
line:dd4b34ae	Hello?	계세요?
line:1954aab7	Help the developers out please..	개발자에게 알려 주세요...
line:db9c3a5c	Help the developers out please..	개발자에게 알려 주세요...
line:f7f7f5a1	Help the developers out please..	개발자에게 알려 주세요...
line:fc461784	Help the developers out please..	개발자에게 알려 주세요...
line:ee3398a6	Hey big guy.	안녕하세요, 큰 드래곤 씨.
line:0090c7b0	Hey Conrad!	안녕하세요, 콘래드!
line:3d0a5aeb	Hey Conrad!	안녕하세요, 콘래드!
line:a2b4acea	Hey conrad!	안녕하세요, 콘래드!
line:975a629f	Hey Conrad.	안녕하세요, 콘래드.
line:21235886	Hey could you come up front where I can see you?	저기, 제가 볼 수 있게 앞으로 와 줄래요?
line:533532c4	Hey fine by me!	야, 난 괜찮아!
line:1538bc7e	Hey good lookin'	안녕, 멋진 녀석.
line:0121c874	Hey hey. Glad you're open.	어이, 어이. 열려 있어서 다행이네.
line:71b651dd	Hey I have something to say!	저기, 할 말이 있어요!
line:0d4e0ecf	Hey kobold!	안녕하세요, 코볼트 씨!
line:af3f02c9	Hey Ryan, what do you have there?	라이언, 뭘 가져왔어요?
line:6374414d	Hey thanks for being here for me...	야, 곁에 있어 줘서 고마워...
line:bf5ff483	Hey there, happy to be back.	안녕하세요. 다시 오니 좋네요.
line:c38b7fa6	Hey there, Ryan!	안녕하세요, 라이언!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	저기... 그 '손길'은 나중으로 미루면 어떨까요?
line:1b6c7f75	Hey there.	안녕하세요.
line:5dacf226	Hey there.	안녕하세요.
line:82698bd1	Hey there.	안녕하세요.
line:ab3a5d9c	Hey there.	어, 안녕.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	야, 어... 라이언이랑 나, <i>정말로</i> 잘될까?
line:04501155	Hey uh, I just need a cleaning.	야, 어... 그냥 씻으면 돼.
line:2a29842a	Hey uh... Not now.	야, 어... 지금은 말고.
line:8caa3196	Hey uhm, thanks once again.	저기, 다시 한번 고마워요.
line:5c7a9105	Hey!	안녕하세요!
line:eed2cc64	Hey!	안녕하세요!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	에이! 그냥... '수직적으로 불리한' 거예요.
line:55bb78d1	Hey! I'm here for a wash.	안녕하세요! 씻으러 왔어요.
line:33480903	Hey, Alexander!	안녕하세요, 알렉산더!
line:21fcef4f	Hey, Alexander.	안녕하세요, 알렉산더.
line:14598ca6	Hey, big guy!	안녕하세요, 큰 드래곤 씨!
line:e7353d24	Hey, I've got a question for you.	야, 하나 물어볼 게 있어.
line:674877e5	Hey, nothin' wrong with asking!	야, 물어보면 어때!
line:d2589856	Hey, welcome back!	안녕하세요, 또 오셨네요!
line:0d3e4054	Hey.	저기요.
line:aa0dda7b	Hey.	저기요.
line:7f2e2736	Hey... little guy!	안녕하세요... 작은 코볼트 씨!
line:933efa6d	Hi again!	또 왔어요!
line:873a2b9a	Hi again..	또 왔어요..
line:83ac5b68	Hi Conrad.	안녕하세요, 콘래드.
line:050efd1a	Hi, Ryan!	안녕하세요, 라이언!
line:06ed6aea	Hiiiii! Hiii!	안녕하세요오! 안녕하세요!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	그의 육체는 지금 교직원 휴게실에서 재구성되고 있습니다.
line:6bd91ca7	Hm, I think I'll pass on the mount.	음, 그 기구는 사양할게요.
line:370d719b	Hm?	네?
line:3c3ddd0c	Hm?	네?
line:44658d73	Hmm...	음...
line:bf059ff3	Hmm...	음...
line:730b1ca4	Hmm?	응?
line:fc571337	Hmmm, maybe something else?	음, 다른 건 없을까요?
line:19207e44	Hold on a little longer for me?	절 위해 조금만 더 참아 주실래요?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	솔직히 이렇게 좋을 줄은 몰랐어요.
line:a2ff0176	Hope it went well.	잘됐으면 좋겠네.
line:b17360a0	Hope that's alright?	괜찮겠죠?
line:ae08853f	Hope you're doing alright!	잘 지내셨죠!
line:e1fa2461	Hopefully! I'll go get the gate.	그러면 좋겠어요! 문 열고 올게요.
line:99931b37	Hopefully.	그랬으면.
line:d9c91bca	How about you though? have you been seeing anyone?	그럼 당신은요? 만나는 사람 있어요?
line:4ec92454	How about you? Anyone exciting?	콘래드는요? 마음에 드는 사람 있어요?
line:86bde306	How are you with seafood?	해산물은 어때요?
line:7fb611c9	How come you brought this all in?	왜 이렇게 많이 가져왔어요?
line:af0d0972	How come you're covered in ink?	어쩌다가 잉크투성이가 되셨어요?
line:e385b7f3	How did it go?	어땠어요?
line:c0161bbc	How did it taste?	무슨 맛이었어요?
line:262b262e	how do I get in?	어떻게 들어가면 되죠?
line:676b0638	how do I get in?	어떻게 들어가면 되죠?
line:8308bb09	How do I look?	나 어때?
line:4f172746	How do you even digest that?	그걸 어떻게 소화해요?
line:28d390ac	How so?	어떻게 잘해 주는데요?
line:4ef9fe65	How so?	어떤 점에서요?
line:ea66b5af	How so?	어떤 생각이요?
line:4b29790b	How was the sex.	섹스는 어땠어?
line:7736270c	How was your date with Conrad?	콘래드랑 데이트는 어땠어요?
line:18d418ab	However, it's ornamental! My family crest. You see...	하지만 장식품입니다! 가문의 문장이지요. 그러니까...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	하지만 제 <i>이미지</i>는 이그윅스의 덧없는 육체보다 훨씬 오래 남습니다.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	하지만 그 존중에는 외모에 걸맞게 행동하리라는 기대가 따릅니다. 무척 부담스럽지요.
line:d2baf9e2	However...	하지만...
line:fb8401c3	Huff...	후...
line:b54ee04d	huff... Thank you for that.	후... 감사합니다.
line:16420ca7	Huff... Thanks for that.	후... 고마워요.
line:45507089	Huff... That was nice... Made a bit of a mess though.	후... 좋았어요... 좀 어질렀지만요.
line:ae83cfb6	huh...?	네...?
line:0c78b56b	Huh?	네?
line:e96114a2	Huh? ofcourse not!	네? 당연히 아니죠!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>오는 길에</i> 잉크병을 쏟은 것 <i>같습니다</i>. 참 덤벙댔군요!
line:d37175c7	I act tough but am a small dragon...	센 척하지만 난 작은 드래곤이라고...
line:b4e27683	I agree	저도 그래요.
line:68ebf07b	I allowed him, as my stature provides ample height.	제 체격이면 충분한 높이가 나오니 허락했지요.
line:a051821a	I already feel a lot better.	벌써 훨씬 나아졌어.
line:49bfbfbe	I already have spot at the club reserved.	클럽 자리도 벌써 예약했어.
line:14ff4edd	I always do~	난 항상 그렇게 열심히 하지~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	전 언제나 만나고 싶어요. 문 열고 올게요.
line:52bf5ede	I am THE kobold. Yip!	제가 바로 그 코볼트예요. 이프!
line:141c006f	I am too.	저도요.
line:363f6f6a	I am too.	저도요.
line:405b9622	I am too.	나도 그래.
line:d4c5faea	I am too.	나도 그래.
line:556897bf	I am! Even better now that you're here.	네! 오셨으니 더 좋아졌어요.
line:e499b2cc	I am.	행복합니다.
line:5ec8bb55	I believe that's in part because of you.	어느 정도는 당신 덕분이라고 생각합니다.
line:9883786d	I booked the night.	하룻밤 예약해 뒀어요.
line:eae85bf9	I broke up with my partner...	여자 친구랑 헤어졌어요...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	수박, 빵, 포도랑 이것저것 가져왔어요.
line:e8aa18f4	I can digest pretty much anything.	거의 모든 걸 소화할 수 있어요.
line:7f543c2a	I can let loose whenever you are ready	네가 준비되면 난 언제든 쌀 수 있어.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	이그윅스가 이런 실수를 저지르다니 믿을 수 없군요!
line:e051a79e	I consider you a good friend too	저도 좋은 친구라고 생각해요.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	공연을 볼 <i>제일 좋은</i> 자리도 잡을 수 있어.
line:2602b8c6	I could use a wash.	씻어야겠어요.
line:c66153d3	I couldn't help but notice the... device over there.	저쪽에 있는... 장치가 자꾸 눈에 들어오더군요.
line:b71f0756	I decided to try baking.	베이킹을 해 보기로 했어요.
line:e62b989c	I decided to try baking.	베이킹을 해 보기로 했어요.
line:efea7148	I decided to try baking.	베이킹을 해 보기로 했어요.
line:98f800d3	I didn't know anyone could like me that much so easily.	이렇게 쉽게 절 많이 좋아해 줄 사람이 있을 줄 몰랐어요.
line:4116f001	I didn't know what the button did.	무슨 버튼인지 몰랐어요.
line:7a5c7f54	I didn't mean to fluster you!	당황하게 하려던 건 아니었어요!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	좋아하는 색입니다. 다만 제 몸 색과는 관계없다고 생각합니다.
line:f9c800f2	I do!	그럼요!
line:ad9c1ada	I do. But, what happened?	있긴 한데, 무슨 일이 있었어요?
line:a45ccf3a	I don't believe I can hold back any longer	더는 참지 못할 것 같습니다.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	모르겠어! 왜 난 꼭 이렇게 굴까?
line:cc4e48a3	I don't know where they went but I feel dirty again.	그 연금술사가 어디로 갔는지는 모르겠는데 또 더러워졌어요.
line:71127249	I don't mean to be rude, but I must decline	무례하려는 뜻은 아니지만 사양하겠습니다.
line:f5696cc4	I don't need to tell you.	말할 필요 없잖아.
line:878fc94c	I don't understand..	모르겠어..
line:4f3d31f8	I don't want your pitty!	네 동정 따위 필요 없어!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	많은 이들의 삶에 좋은 영향을 줄 수 있다는 게 좋습니다.
line:14653182	I enjoy parts of it. The respect is pleasant...	좋은 점도 있습니다. 존중받는 건 기쁘지요...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	당신 앞에서는 실패가 두렵지 않아서 좋습니다.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	손으로 툭 건드려 무엇을 해야 할지 알려 주실 때가 좋습니다.
line:6db406b4	I enjoyed this quite a lot.	정말 즐거웠습니다.
line:e838533b	I feel as I could say anything to you.	당신에게는 뭐든 말할 수 있을 것 같습니다.
line:9b9567ec	I feel much better.	훨씬 개운하군요.
line:ed6be68f	I feel spotless as always.	언제나처럼 완전히 깨끗해졌네.
line:938be2fb	I forget the ignorance of a layman. I apologize.	문외한은 모를 수 있다는 걸 잊었습니다. 죄송합니다.
line:63837f22	I forgot to bite into it so... Nothing?	씹는 걸 잊어서... 아무 맛도 못 느꼈네요?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	헤어진 뒤라면 그렇게 느낄 만하죠.
line:adf1550f	I give my other bipedal friends rides all the time.	다른 두 발 친구들도 늘 태워 주거든요.
line:9a68366f	I got a mount.	기구를 샀어요.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	제가 좀 더러워진 채로 돌아갔더니 소리를 질렀어요.
line:22a9094a	I guess so!	그런 것 같네요!
line:28d6c0aa	I hate that I'm always getting into situations like this.	맨날 이런 꼴이 되는 내가 싫어.
line:366a7f73	I have a question.	질문이 있습니다.
line:82b63c18	I have something to say!	할 말이 있어요!
line:fd68807c	I have to say, you did as good a job as private washers.	개인 목욕사 못지않게 훌륭한 솜씨였습니다.
line:761f413a	I heard a loud bang	큰 소리가 들렸어요.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	큰 폭발음이 들렸지요. 이그윅스는 살아남지 못한 것 같습니다.
line:7ede5030	I heard there was kobolds down here that could wash me up?	여기 코볼트들이 몸을 씻겨 준다고 들었는데요?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	여기 오면 코볼트들이 몸을 씻겨 준다고 들었는데요?
line:2f9b499a	I honestly don't know how you are doing that.	솔직히 그걸 어떻게 하는지 모르겠다.
line:6f5dbc90	I hope he's okay too.	저도 무사했으면 좋겠어요.
line:cd0197ed	I hope I can learn from that.	나도 좀 배울 수 있으면 좋겠네.
line:cf50dbcc	I hope it all works out.	잘됐으면 좋겠어.
line:b2dfad3e	I hope so.	그러면 좋겠어요.
line:0477b0d7	I hope so. I really want a fresh start with someone.	그랬으면 좋겠네. 누군가와 새로 시작하고 싶거든.
line:7429dab7	I hope that you'll help me prove them wrong!	그 말이 틀렸다는 걸 증명하게 도와줘요!
line:be5feb3e	I hope things get better.	잘 풀렸으면 좋겠어요.
line:114ac9a0	I hope you're right.	네 말이 맞으면 좋겠네.
line:06744c7e	I just don't like that she takes it out on me.	그렇다고 저한테 화풀이하는 건 싫어요.
line:1fb02179	I just don't like that she takes it out on me.	그렇다고 저한테 화풀이하는 건 싫어요.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	간단히 씻으면 돼... 기구도 쓰면 좋고.
line:95ff1bed	I just wish for you to ask me a question. Any question.	그냥 저에게 질문해 주셨으면 합니다. 어떤 질문이든요.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	많이 바쁜 걸 아니까 데이트를 여기로 가져왔어요!
line:2461773d	I knew you'd have my back	제 편을 들어 줄 줄 알았어요.
line:6a671440	I know a decent equine-kin place by the pier.	부두 근처에 괜찮은 말 종족 식당이 있어요.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	좀 다혈질이라 감사 인사를 잊기도 하잖아요.
line:83c55e2e	I know things can be tough.	힘들 때도 있는 거죠.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	가게를 닫아야 하는 건 알아요. 주소를 알려 줄 테니 거기서 만나요.
line:ded99a0c	I know, I'll reserve your spot!	알아, 자리 맡아 둘게!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	알고 있습니다. 하지만 가끔이라도 마음을 털어놓을 수 있다는 건...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	알아요. 이런 이야기까지 떠넘기면 안 되는데.
line:875048ca	I know. I know.	알고 있습니다. 알아요.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	당신의 확신에 찬 태도가 좋습니다. 단지 몸을 씻기는 일일지라도요.
line:46061aae	I like it! I think you'd enjoy it too.	전 좋아해요! 당신도 좋아할 것 같아요.
line:f4ad8ea6	I like taking care of you.	저도 돌봐 드리는 게 좋아요.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	네가 고른 기구 마음에 들어. 가져와 줄래?
line:5c86951f	I like you a lot.	당신이 정말 좋아요.
line:a91980fc	I like you for who you are.	전 있는 그대로의 모습이 좋아요.
line:bdca3e1b	I like... him.	그냥... 그 자체가 좋아요.
line:2b65bf83	I love bubbles, they tickle!	비눗방울이 좋아요. 간지럽거든요!
line:f8a4f404	I mean it. Really.	진심이야. 정말로.
line:ae719afc	I need to be better. I <i>want </i>to be better.	나아져야 해. 나도 나아지고 <i>싶어</i>.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	흠 하나 없이 깨끗해져야 해. 네가 그 일을 한다며. <size=70%>하.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	이렇게 부끄러운 일을 누군가에게 털어놓게 될 줄은 몰랐습니다.
line:0c986dec	I never expected you to be the type to be so messy!	이렇게 잘 더러워지실 줄은 몰랐어요!
line:95db900b	I never miss a spot.	전 한 군데도 놓치지 않아요.
line:d620d41a	I never thought someone like him would be my type...	그런 타입이 내 취향일 줄은 몰랐는데...
line:67592de1	I probably need to head out though.	그래도 이제 가 봐야겠어.
line:e41c6dc5	I really do hope it all works out!	정말 잘됐으면 좋겠네!
line:a722aada	I really think it was this time...	이번에는 진짜 내 잘못 같아...
line:e80e5edd	I see what you're doing, thank you.	무슨 뜻인지 알겠습니다. 감사합니다.
line:cc6ec337	I see..	그렇군요..
line:d57520b1	I seem to have gotten myself covered in ink!	어쩌다 보니 잉크를 뒤집어썼습니다!
line:3b161cf3	I still need more!	아직 더 필요해요!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	비 때문에 더러워지는 게 싫을 수도 있겠지요.
line:234ccfda	I suppose it depends on the circumstances.	어떤 상황인지에 따라 다르겠죠.
line:910706c0	I think a movie could be fun!	영화도 재미있겠네요!
line:99bbb171	I think he was in a bad environment. He's doing better now.	안 좋은 환경에 있었던 것 같아요. 지금은 나아졌고요.
line:9247b7a0	I think he'd like the new you!	새로워진 콘래드를 좋아할 것 같아요!
line:f4982dcd	I think he's got a crush on me.	나한테 마음이 있는 것 같아.
line:fc6fdd10	I think I can still feel some explosion grime on me...	폭발 때문에 생긴 때가 아직 좀 남은 것 같아요...
line:4efc873f	I think I like being taken care of?	저는 보살핌받는 걸 좋아하는 것 같습니다.
line:f5d36d9a	I think I might be close..	거의 다 된 것 같아요..
line:52fc4e08	I think I'd like that!	그거 좋겠는데!
line:5c78099a	I think I'd like to meet him!	한번 만나 보고 싶어요!
line:14e0edf6	I think I'd like to try!	한번 해 보고 싶네!
line:164df75a	I think I'd like to use it?	사용해 보고 싶은 것 같습니다만...?
line:4f6168aa	I think I'd like to use it?	사용해 보고 싶은 것 같습니다만...?
line:ab314624	I think I'd like to?	써 보고 싶은 것 같습니다만...?
line:170c6aa3	I think I'd like you to be that someone aswell.	저도 그 사람이 당신이면 좋겠어요.
line:8f46bb17	I think I've got it!	이제 알 것 같아요!
line:a5e128e0	I think she's upset about something else...	다른 일 때문에 화가 난 것 같아요...
line:bc2545e7	I think she's upset about something else...	다른 일 때문에 화가 난 것 같아요...
line:335c5156	I think so!	그런 것 같아요!
line:3292625e	I think that would make a decent place! They put on good shows every night.	거기 괜찮을 것 같아요! 매일 밤 좋은 공연도 하거든요.
line:eaafe671	I think you got every spot!	한 군데도 안 놓친 것 같네!
line:1760e5d5	I think you got every spot.	하나도 안 놓친 것 같아요.
line:341175f7	I think you got every spot.	하나도 안 놓친 것 같아요.
line:770e7473	I think you got every spot.	하나도 안 놓친 것 같아요.
line:f4a8f7fc	I think you helped him a lot more than you realize.	생각하는 것보다 훨씬 많이 도와준 것 같아요.
line:f28fd15d	I think you missed a few spots still...	아직 몇 군데 남은 것 같은데요...
line:77509e74	I think you're cool too. Self improvement is hard.	콘래드도 멋져요. 더 나아지려고 노력하는 건 힘드니까요.
line:763c6a82	I think you're good looking.	잘생기셨다고 생각해요.
line:69e7dbb3	I think you're pretty cool, Conrad.	전 콘래드가 꽤 멋지다고 생각해요.
line:9c393f61	I think you're special too.	저도 콘래드가 특별하다고 생각해요.
line:7d5ae3b4	I usually make do with a hose down at home...	전 보통 집에서 호스로 씻는 걸로 때우거든요...
line:c4fc9b28	I wanna talk face to face!	얼굴을 보고 이야기하고 싶어요!
line:548dc375	I want to be more open. It feels good.	좀 더 마음을 열고 싶습니다. 기분이 좋군요.
line:e02f464d	I was helping the alchemist reach a high shelf	연금술사가 높은 선반에 닿도록 도와주고 있었어요.
line:fa97376e	I was helping the alchemist reach a high shelf	연금술사가 높은 선반에 닿도록 도와주고 있었습니다.
line:bb015b1b	I was romping around the forest	숲에서 뛰어놀고 있었어요.
line:78e2cb13	I was thinking about what you said,	당신이 한 말을 생각해 봤어요.
line:b8282714	I was thinking.	생각해 봤는데요.
line:ca616238	I was thinking. We could go out some time next week?	생각해 봤는데, 다음 주쯤 같이 나갈까?
line:a13d76ec	I was thinking...	생각해 봤는데요...
line:c1a4edf0	I wasn't making her happy either.	그쪽도 저랑 있는 게 행복하지 않았고요.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	남몰래 씻으려고 일부러 신경을 썼습니다. 미행당하지 않았다고 확신했습니다.
line:db5cd152	I went out with some friends.	친구들이랑 나갔다 왔어요.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	두 배로 내겠습니다. 세 배라도! 당신만이 할 수 있는 일입니다!
line:0c31345e	I will, thanks.	그럴게요. 고마워요.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	그럴게. 일단 빨리 씻고, 오늘은 기구도 쓰고 싶어.
line:399457b7	I wish it was easy as it is in movies.	영화처럼 쉬우면 좋을 텐데.
line:2185f08c	I won't.	말 안 할게요.
line:45950848	I would like that!	그러면 좋겠어요!
line:099ec7fd	I would love to.	그러고 싶어요.
line:e6006cd6	I wouldn't mind!	저도 가고 싶어요!
line:81905be1	I'd like to go out to eat.	외식하고 싶어요.
line:75b152eb	I'd love to talk more, truly, but class is soon.	정말 더 이야기하고 싶지만, 곧 수업입니다.
line:2fe8a558	I'd love to!	저도 좋아요!
line:87ba56cc	I'll be back again, yeah?	또 올게요, 알겠죠?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	또 오겠습니다. 당신을 친구로 둘 수 있어 좋군요.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	곧 다시 오겠습니다. 씻겨 주셔서 감사합니다.
line:d9f422eb	I'll be waiting at the bar for you tonight!	오늘 밤에 술집에서 기다릴게!
line:69dff2ec	I'll be waiting for the gate!	문 열어 주길 기다릴게요!
line:ae4d09f6	I'll be waiting for the gate!	문 열어 주길 기다릴게요!
line:ab616aac	I'll definitely keep this place in mind.	앞으로도 꼭 기억해 둘게요.
line:b122441b	I'll get one ordered I promise!	꼭 하나 주문할게요!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	이제 그만 가 보겠습니다. 씻겨 주셔서 감사합니다.
line:707d2693	I'll get out of your scales...	그럼 그만 가 볼게...
line:ca480eed	I'll get you two in contact then.	그럼 둘이 연락할 수 있게 해 줄게요.
line:59416000	I'll go get the gate for ya'	문 열어 드릴게요.
line:6aa7ad03	I'll go get the gate for ya'	문 열어 드릴게요.
line:2a6d7e7d	I'll go get the gate for you.	문 열어 줄게요.
line:8107858d	I'll go get the gate for you.	문 열어 드릴게요.
line:d1755010	I'll go get the gate for you.	문 열어 줄게요.
line:4d692a01	I'll go get the gate.	문 열고 올게요.
line:a75bb519	I'll go get the gate.	문 열고 올게요.
line:8689a124	I'll happily get that for you.	기꺼이 가져다드릴게요.
line:48e99d7b	I'll have to close up shop first-	가게부터 닫아야 해요...
line:f2b894e2	I'll have to reserve your spot while you close up.	네가 닫는 동안 자리를 맡아 둘게.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	기억해 두겠습니다. 모든 일에 대가가 따르는 게 익숙해서요.
line:956a0f47	I'll make sure to ask him next time I see him.	다음에 만나면 꼭 물어볼게요.
line:e64d21e4	I'll make sure to come back.	꼭 다시 올게.
