# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hey, koca köpek.
line:90dd6d9d	Hah, eager as always.	Hah, her zamanki gibi heveslisiniz.
line:9542e7a6	Hah, good. Let's break this thing in!	Hah, güzel. Açılışını yapalım!
line:fe21109b	Hah, he seems like the wild type.	Hah, vahşi bir tipe benziyor.
line:e8bc1d95	Hah, I imagine it would be.	Hah, öyle olacağını tahmin ederdim.
line:acbf628d	Hah, it is a motivator.	Hah, iyi bir teşvik tabii.
line:65b23418	Hah, okay. I'm game.	Hah, tamam. Varım.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Hah, evet. Conrad kesinlikle deneyimli...
line:8b878971	Hah, yeah. He sounds fun.	Hah, evet. Eğlenceli biri gibi.
line:e3ed51d9	Hah. Conrad, you look good too.	Hah. Sen de iyi görünüyorsun, Conrad.
line:f8b2e23b	Hah. Fine.	Hah. Tamam.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Hah. Keşke beni temizleyebilecek bir kobold olsa.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Hah. Evet. <size=70%><i>Yıkama okulunda ejderhalara elle otuz bir çekmeyi öğretmeleri güzelmiş...
line:50a559bb	Hah... <size=70%> yeah.	Hah... <size=70%>Evet.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Hah... Şimdi bana otuz bir mi çekeceksin? Olur.
line:4e920759	Hah... Yeah I'm excited.	Hah... Evet, heyecanlıyım.
line:b36365ce	Hah... Yeah...	Hah... Evet...
line:b8724c64	Hah... you do like that noise.	Hah... O sesi gerçekten seviyorsun.
line:c8cde395	Haha, 'Yip' indeed.	Haha, tam da dediğiniz gibi: «yip».
line:680991cf	Haha, yes. Happy to see you.	Haha, evet. Sizi görmek güzel.
line:4c27b031	Haha, you certainly are!	Haha, gerçekten de öylesin!
line:c3a2e14e	Haha, you certainly are!	Haha, gerçekten de öylesin!
line:9ec40945	Haha. 'Yip' to you too.	Haha. Sana da «yip».
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... Evet. İltifat etmeye pek alışık değilim.
line:44689f21	Happy to be back.	Yeniden burada olmak güzel.
line:2672f65d	Happy to be here.	Burada olmak güzel.
line:192fcb8e	Happy to get it off.	Yıkanıp gitmesine sevindim.
line:3517b28e	Have a productive day.	İyi çalışmalar.
line:7c1adc57	He called me, we met up. He's really damn nice.	Beni aradı, buluştuk. Gerçekten çok iyi biri.
line:e71f9a0b	HE DIED!?	ÖLDÜ MÜ!?
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Anlayabildiğim kadarıyla uzun zamandır... kimse ona ilgi göstermemiş.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Beni o hâlden çıkarmak için... tam ne söylemesi gerektiğini biliyordu.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	«Dikey açıdan dezavantajlı» demeyi tercih ediyor... Ama evet.
line:04b29e42	He really is.	Gerçekten öyle.
line:c7e1b369	He really is.	Gerçekten öyle.
line:c64bd5ce	He said I was chill, we planned a date...	Rahat biri olduğumu söyledi, bir randevu planladık...
line:e8a91447	He's a lot. But, I like it.	Biraz zor biri. Ama hoşuma gidiyor.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Kızıl bir ejderha. Bence birbirinizden hoşlanırsınız!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	İşe döndü bile. O meseledeki yardımınız için teşekkür ederim.
line:aaea8391	He's been way nicer recently.	Son zamanlarda çok daha iyi biri oldu.
line:7363c004	He's great.	O harika biri.
line:c13d4e24	He's hot.	Çok seksi.
line:675d7e37	He's like. SUPER hung.	Şeyi var ya... DEV gibi.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Sanki... sivri uçlarla çevrili kocaman bir yumuşak kalp.
line:800c553d	He's my dream dragon.	Hayalimdeki ejderha.
line:4b3c70d9	He's snappy, but tender too!	Ters biri ama şefkatli de!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Buraya yıkanmaya gelen, ÇOK tatlı bir kızıl ejderha!
line:4c11c83e	He's tiny, I like being eye level with him.	Minicik. Onunla göz hizasında olmayı seviyorum.
line:b9ce2f3c	He's... Considerate. Real understanding too.	O... Düşünceli. Gerçekten anlayışlı da.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Seninle o koca mavi oğlanı duydum. Ryan mıydı?
line:ca4a9672	Heeeey Ryan.	Heeey, Ryan.
line:24ce37ec	Heeeey.	Heeey.
line:bb70c1ed	Heh. Yeah.	Heh. Evet.
line:3fa80829	Heh. Yeah. I like you too.	Heh. Evet. Ben de senden hoşlanıyorum.
line:20393ff6	Heh. Yeah. That's me.	Heh. Evet, benim.
line:ac769d93	heh.. yea.. sorry..	Heh... Evet... Kusura bakma...
line:5246ceea	Heh... alright.	Heh... Tamam.
line:75fef5cb	Heh... Damn right.	Heh... Aynen öyle.
line:5f0edcb2	Heh... Handsy today, huh?	Heh... Bugün ellerin pek yerinde durmuyor, ha?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, evet.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, yeniden birileriyle çıkmaya başlamak için heyecanlıyım.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, sağ ol. İkimize de uygun şeyler var.
line:1a3e2a73	Hell yea	Siktir, evet.
line:93f67490	Hell yeah	Siktir, evet.
line:389e4033	Hell yeah I did!	Hem de nasıl!
line:17dbb9b7	Hell yeah.	Siktir, evet.
line:4b7b33d9	Hello!	Merhaba!
line:c3d3da41	Hello!	Merhaba!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Merhaba, <i>«Drag'n'wash 223 numaralı bayisi»...</i> Nasıl etkileşime gireceğini öğrendin mi?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Merhaba, <i>«Drag'n'wash 223 numaralı bayisi»...</i> İlk müşterinle konuştun mu?
line:b7cce838	Hello.	Merhaba.
line:a8779ebf	Hello?	Kimse var mı?
line:dd4b34ae	Hello?	Kimse var mı?
line:1954aab7	Help the developers out please..	Lütfen geliştiricilere haber verin...
line:db9c3a5c	Help the developers out please..	Lütfen geliştiricilere haber verin...
line:f7f7f5a1	Help the developers out please..	Lütfen geliştiricilere haber verin...
line:fc461784	Help the developers out please..	Lütfen geliştiricilere haber verin...
line:ee3398a6	Hey big guy.	Hey, koca oğlan.
line:0090c7b0	Hey Conrad!	Hey, Conrad!
line:3d0a5aeb	Hey Conrad!	Hey, Conrad!
line:a2b4acea	Hey conrad!	Merhaba, Conrad!
line:975a629f	Hey Conrad.	Hey, Conrad.
line:21235886	Hey could you come up front where I can see you?	Hey, seni görebileyim diye önüme gelir misin?
line:533532c4	Hey fine by me!	Hey, bana uyar!
line:1538bc7e	Hey good lookin'	Hey, yakışıklı.
line:0121c874	Hey hey. Glad you're open.	Hey, hey. İyi ki açıksın.
line:71b651dd	Hey I have something to say!	Hey, bir şey söyleyeceğim!
line:0d4e0ecf	Hey kobold!	Hey, kobold!
line:af3f02c9	Hey Ryan, what do you have there?	Hey, Ryan, orada ne var?
line:6374414d	Hey thanks for being here for me...	Hey, yanımda olduğun için sağ ol...
line:bf5ff483	Hey there, happy to be back.	Merhaba, tekrar burada olmak güzel.
line:c38b7fa6	Hey there, Ryan!	Hey, Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Hey... Belki «elini işe» daha sonra atarsın?
line:1b6c7f75	Hey there.	Merhaba.
line:5dacf226	Hey there.	Merhaba.
line:82698bd1	Hey there.	Merhaba.
line:ab3a5d9c	Hey there.	Selam.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Hey, şey... Sence Ryan'la ben <i>gerçekten</i> yürütebilir miyiz?
line:04501155	Hey uh, I just need a cleaning.	Hey, şey... Sadece temizlenmem gerekiyor.
line:2a29842a	Hey uh... Not now.	Hey, şey... Şimdi değil.
line:8caa3196	Hey uhm, thanks once again.	Hey, şey... Tekrar sağ ol.
line:5c7a9105	Hey!	Hey!
line:eed2cc64	Hey!	Hey!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Hey! O sadece... «dikey açıdan dezavantajlı».
line:55bb78d1	Hey! I'm here for a wash.	Merhaba! Yıkanmaya geldim.
line:33480903	Hey, Alexander!	Merhaba, Alexander!
line:21fcef4f	Hey, Alexander.	Merhaba, Alexander.
line:14598ca6	Hey, big guy!	Hey, koca oğlan!
line:e7353d24	Hey, I've got a question for you.	Hey, sana bir sorum var.
line:674877e5	Hey, nothin' wrong with asking!	Hey, sormakta bir sorun yok!
line:d2589856	Hey, welcome back!	Merhaba, tekrar hoş geldiniz!
line:0d3e4054	Hey.	Hey.
line:aa0dda7b	Hey.	Hey.
line:7f2e2736	Hey... little guy!	Hey... ufaklık!
line:933efa6d	Hi again!	Yine merhaba!
line:873a2b9a	Hi again..	Yine merhaba...
line:83ac5b68	Hi Conrad.	Merhaba, Conrad.
line:050efd1a	Hi, Ryan!	Merhaba, Ryan!
line:06ed6aea	Hiiiii! Hiii!	Merhabaaa! Merhaba!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Bedeni şu anda öğretmenler odasında yeniden oluşuyor.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Hım, sanırım çiftleşme sehpasını pas geçeceğim.
line:370d719b	Hm?	Hım?
line:3c3ddd0c	Hm?	Hım?
line:44658d73	Hmm...	Hım...
line:bf059ff3	Hmm...	Hım...
line:730b1ca4	Hmm?	Hım?
line:fc571337	Hmmm, maybe something else?	Hım, başka bir şey olsa?
line:19207e44	Hold on a little longer for me?	Benim için biraz daha dayanır mısınız?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Açıkçası bu kadar hoş olmasına şaşırdım.
line:a2ff0176	Hope it went well.	Umarım iyi geçmiştir.
line:b17360a0	Hope that's alright?	Umarım sakıncası yoktur?
line:ae08853f	Hope you're doing alright!	Umarım iyisinizdir!
line:e1fa2461	Hopefully! I'll go get the gate.	Umarım! Gidip kapıyı açayım.
line:99931b37	Hopefully.	Umarım.
line:d9c91bca	How about you though? have you been seeing anyone?	Peki ya sen? Görüştüğün biri var mı?
line:4ec92454	How about you? Anyone exciting?	Peki ya sen? İlginç biri var mı?
line:86bde306	How are you with seafood?	Deniz ürünleriyle aran nasıl?
line:7fb611c9	How come you brought this all in?	Bunları neden getirdin?
line:af0d0972	How come you're covered in ink?	Neden her yeriniz mürekkep?
line:e385b7f3	How did it go?	Nasıl geçti?
line:c0161bbc	How did it taste?	Tadı nasıldı?
line:262b262e	how do I get in?	İçeri nasıl gireceğim?
line:676b0638	how do I get in?	İçeri nasıl gireceğim?
line:8308bb09	How do I look?	Nasıl görünüyorum?
line:4f172746	How do you even digest that?	Bunu nasıl sindiriyorsun ki?
line:28d390ac	How so?	Ne açıdan?
line:4ef9fe65	How so?	Ne açıdan?
line:ea66b5af	How so?	Ne açıdan?
line:4b29790b	How was the sex.	Seks nasıldı?
line:7736270c	How was your date with Conrad?	Conrad'la randevun nasıl geçti?
line:18d418ab	However, it's ornamental! My family crest. You see...	Ama aslında bir süs! Aile armam. Bakın...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Ancak <i>imajım</i>, Igwyx'in gelip geçici bedenlerinden çok daha kalıcı.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Ama o saygı, görünüşüme uygun davranmam beklentisini getiriyor. İnanılmaz bir baskı.
line:d2baf9e2	However...	Ancak...
line:fb8401c3	Huff...	Uff...
line:b54ee04d	huff... Thank you for that.	Uff... Bunun için teşekkür ederim.
line:16420ca7	Huff... Thanks for that.	Uff... Bunun için sağ ol.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Uff... Güzeldi... Ama biraz etrafı kirlettim.
line:ae83cfb6	huh...?	Ha...?
line:0c78b56b	Huh?	Ha?
line:e96114a2	Huh? ofcourse not!	Ha? Tabii ki değildi!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>Sanırım </i> <i>buraya gelirken</i> bir mürekkep hokkası devirdim. Ne büyük sakarlık!
line:d37175c7	I act tough but am a small dragon...	Sert davranıyorum ama küçük bir ejderhayım...
line:b4e27683	I agree	Katılıyorum.
line:68ebf07b	I allowed him, as my stature provides ample height.	İzin verdim, çünkü cüssem ona yeterli yüksekliği sağlıyor.
line:a051821a	I already feel a lot better.	Şimdiden çok daha iyiyim.
line:49bfbfbe	I already have spot at the club reserved.	Kulüpte yerimizi ayırttım bile.
line:14ff4edd	I always do~	Ben hep öyleyim~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Seni her zaman görmek isterim. Gidip kapıyı açayım.
line:52bf5ede	I am THE kobold. Yip!	O kobold BENİM. Yip!
line:141c006f	I am too.	Ben de öyleyim.
line:363f6f6a	I am too.	Ben de öyleyim.
line:405b9622	I am too.	Ben de öyleyim.
line:d4c5faea	I am too.	Ben de öyleyim.
line:556897bf	I am! Even better now that you're here.	İyiyim! Siz gelince daha da iyi oldum.
line:e499b2cc	I am.	Mutluyum.
line:5ec8bb55	I believe that's in part because of you.	Sanırım bunda sizin de payınız var.
line:9883786d	I booked the night.	Gece için ayırttım.
line:eae85bf9	I broke up with my partner...	Sevgilimden ayrıldım...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Karpuz, ekmek, üzüm ve birkaç şey daha getirdim.
line:e8aa18f4	I can digest pretty much anything.	Neredeyse her şeyi sindirebilirim.
line:7f543c2a	I can let loose whenever you are ready	Sen hazır olduğunda kendimi bırakabilirim.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Igwix'in böyle bir hata yapmasına inanamıyorum!
line:e051a79e	I consider you a good friend too	Ben de seni iyi bir arkadaşım olarak görüyorum.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Gösteri için bize <i>en güzel</i> yerleri ayarlayabilirim.
line:2602b8c6	I could use a wash.	Bir yıkansam iyi olur.
line:c66153d3	I couldn't help but notice the... device over there.	Şuradaki... aleti fark etmeden edemedim.
line:b71f0756	I decided to try baking.	Fırında bir şeyler pişirmeyi denemeye karar verdim.
line:e62b989c	I decided to try baking.	Fırında bir şeyler pişirmeyi denemeye karar verdim.
line:efea7148	I decided to try baking.	Fırında bir şeyler pişirmeyi denemeye karar verdim.
line:98f800d3	I didn't know anyone could like me that much so easily.	Birinin beni bu kadar kolay bu kadar çok sevebileceğini bilmiyordum.
line:4116f001	I didn't know what the button did.	Düğmenin ne yaptığını bilmiyordum.
line:7a5c7f54	I didn't mean to fluster you!	Seni utandırmak istememiştim!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Rengi seviyorum, fakat bunun kendi rengimle ilgili olduğunu sanmıyorum.
line:f9c800f2	I do!	Buluyorum!
line:ad9c1ada	I do. But, what happened?	Var. Ama ne oldu?
line:a45ccf3a	I don't believe I can hold back any longer	Daha fazla dayanabileceğimi sanmıyorum.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Anlamıyorum! Neden böyle davranmak zorundayım?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Nereye gittiğini bilmiyorum ama yine kirli hissediyorum.
line:71127249	I don't mean to be rude, but I must decline	Kaba olmak istemem ama reddetmeliyim.
line:f5696cc4	I don't need to tell you.	Sana söylemek zorunda değilim.
line:878fc94c	I don't understand..	Anlamıyorum...
line:4f3d31f8	I don't want your pitty!	Acımanı istemiyorum!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Bu kadar çok kişinin hayatına olumlu katkıda bulunmayı seviyorum.
line:14653182	I enjoy parts of it. The respect is pleasant...	Bazı yanlarını seviyorum. Saygı görmek hoş...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Sizin yanınızda başarısızlıktan korkmamayı seviyorum.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Elinizle hafifçe dokunup ne yapmam gerektiğini söylemeniz hoşuma gidiyor.
line:6db406b4	I enjoyed this quite a lot.	Bundan çok keyif aldım.
line:e838533b	I feel as I could say anything to you.	Size her şeyi söyleyebilirmişim gibi hissediyorum.
line:9b9567ec	I feel much better.	Çok daha iyi hissediyorum.
line:ed6be68f	I feel spotless as always.	Her zamanki gibi tertemiz hissediyorum.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Bu işlerden anlamayanların bilgisizliğini unutuyorum. Özür dilerim.
line:63837f22	I forgot to bite into it so... Nothing?	Isırmayı unuttum, yani... Tadı yoktu?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Ayrılıktan sonra neden böyle hissettiğini anlıyorum, evet.
line:adf1550f	I give my other bipedal friends rides all the time.	Diğer iki ayaklı arkadaşlarımı hep gezdiririm.
line:9a68366f	I got a mount.	Bir çiftleşme sehpası aldım.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Eve biraz kirli döndüm. O da bana bağırdı.
line:22a9094a	I guess so!	Sanırım öyle!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Sürekli böyle durumlara düşmekten nefret ediyorum.
line:366a7f73	I have a question.	Bir sorum var.
line:82b63c18	I have something to say!	Söyleyecek bir şeyim var!
line:fd68807c	I have to say, you did as good a job as private washers.	Söylemeliyim ki özel yıkayıcılar kadar iyi iş çıkardınız.
line:761f413a	I heard a loud bang	Büyük bir patlama duydum.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Büyük bir patlama duydum. Sanırım Igwix kurtulamadı.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Aşağıda beni yıkayabilecek koboldlar olduğunu duydum?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Buralarda beni yıkayabilecek koboldlar olduğunu duydum?
line:2f9b499a	I honestly don't know how you are doing that.	Bunu nasıl yaptığını gerçekten bilmiyorum.
line:6f5dbc90	I hope he's okay too.	Ben de iyi olmasını umuyorum.
line:cd0197ed	I hope I can learn from that.	Umarım senden bir şeyler öğrenebilirim.
line:cf50dbcc	I hope it all works out.	Umarım her şey yolunda gider.
line:b2dfad3e	I hope so.	Umarım.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Umarım. Biriyle yeni bir başlangıç yapmayı gerçekten istiyorum.
line:7429dab7	I hope that you'll help me prove them wrong!	umarım yanıldığını göstermeme yardım edersin!
line:be5feb3e	I hope things get better.	Umarım her şey düzelir.
line:114ac9a0	I hope you're right.	Umarım haklısındır.
line:06744c7e	I just don't like that she takes it out on me.	Sadece acısını benden çıkarmasını sevmiyorum.
line:1fb02179	I just don't like that she takes it out on me.	Sadece acısını benden çıkarmasını sevmiyorum.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Hızlıca yıkanmam lazım... Belki sehpa da iyi olur.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Sadece bana bir soru sormanızı istiyorum. Herhangi bir soru.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Çok meşgul olduğunu biliyordum, ben de randevuyu sana getireyim dedim!
line:2461773d	I knew you'd have my back	Arkamda duracağını biliyordum.
line:6a671440	I know a decent equine-kin place by the pier.	İskelenin yanında at halkına ait güzel bir restoran biliyorum.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Biraz çabuk parlayıp insanlara teşekkür etmeyi unutabildiğini biliyorum.
line:83c55e2e	I know things can be tough.	Bazen zor olabildiğini biliyorum.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Dükkânı kapatman gerektiğini biliyorum. Adresi sana veririm, orada buluşuruz, olur mu?
line:ded99a0c	I know, I'll reserve your spot!	Biliyorum, sana yer ayıracağım!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Biliyorum. Ama birine açılabilmek, ara sıra bile olsa...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Biliyorum. Bunları sana yüklememem gerektiğini biliyorum.
line:875048ca	I know. I know.	Biliyorum. Biliyorum.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Kendinizden bu kadar emin olmanızı seviyorum. Yalnızca yıkamayla ilgili olsa bile.
line:46061aae	I like it! I think you'd enjoy it too.	Ben seviyorum! Bence sen de seversin.
line:f4ad8ea6	I like taking care of you.	Ben de size bakmayı seviyorum.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Seçtiğin sehpayı sevdim. Getirir misin?
line:5c86951f	I like you a lot.	Senden çok hoşlanıyorum.
line:a91980fc	I like you for who you are.	Sizi olduğunuz kişi için seviyorum.
line:bdca3e1b	I like... him.	Ben... onu seviyorum.
line:2b65bf83	I love bubbles, they tickle!	Köpükleri seviyorum, gıdıklıyorlar!
line:f8a4f404	I mean it. Really.	Ciddiyim. Gerçekten.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Daha iyi biri olmalıyım. Daha iyi biri olmak <i>istiyorum.</i>
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Pırıl pırıl olmam lazım. Sen de bunun için buradasın herhâlde. <size=70%> Hah.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Bu kadar utanç verici şeyleri birine anlatacağım hiç aklıma gelmezdi.
line:0c986dec	I never expected you to be the type to be so messy!	Sizin bu kadar sakar biri olacağınızı düşünmezdim!
line:95db900b	I never miss a spot.	Hiçbir yeri atlamam.
line:d620d41a	I never thought someone like him would be my type...	Onun gibi birinin benim tipim olacağını hiç düşünmezdim...
line:67592de1	I probably need to head out though.	Ama artık gitmem gerek.
line:e41c6dc5	I really do hope it all works out!	Gerçekten her şeyin yolunda gitmesini umuyorum!
line:a722aada	I really think it was this time...	Bu sefer gerçekten benim suçumdu sanırım...
line:e80e5edd	I see what you're doing, thank you.	Ne yaptığınızı anlıyorum. Teşekkür ederim.
line:cc6ec337	I see..	Anlıyorum...
line:d57520b1	I seem to have gotten myself covered in ink!	Görünüşe göre kendimi mürekkebe bulamışım!
line:3b161cf3	I still need more!	Hâlâ daha fazlasına ihtiyacım var!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Yarattığı pislikten hoşlanmamanızı anlayabiliyorum.
line:234ccfda	I suppose it depends on the circumstances.	Sanırım koşullara bağlı.
line:910706c0	I think a movie could be fun!	Bir film eğlenceli olabilir!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Sanırım kötü bir ortamdaydı. Şimdi daha iyi.
line:9247b7a0	I think he'd like the new you!	Bence yeni hâlini sever!
line:f4982dcd	I think he's got a crush on me.	Sanırım benden hoşlanıyor.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Sanırım üstümde hâlâ patlamadan kalan biraz kir var...
line:4efc873f	I think I like being taken care of?	Sanırım bana bakılmasını seviyorum?
line:f5d36d9a	I think I might be close..	Sanırım yaklaştım...
line:52fc4e08	I think I'd like that!	Sanırım hoşuma gider!
line:5c78099a	I think I'd like to meet him!	Onunla tanışmak isterim!
line:14e0edf6	I think I'd like to try!	Denemek isterim!
line:164df75a	I think I'd like to use it?	Sanırım kullanmak isterim?
line:4f6168aa	I think I'd like to use it?	Sanırım kullanmak isterim?
line:ab314624	I think I'd like to?	Sanırım isterim?
line:170c6aa3	I think I'd like you to be that someone aswell.	Ben de o kişinin sen olmanı isterim.
line:8f46bb17	I think I've got it!	Sanırım öğrendim!
line:a5e128e0	I think she's upset about something else...	Sanırım başka bir şeye kızgın...
line:bc2545e7	I think she's upset about something else...	Sanırım başka bir şeye kızgın...
line:335c5156	I think so!	Bence öyle!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Orası iyi olabilir! Her gece güzel gösteriler yapıyorlar.
line:eaafe671	I think you got every spot!	Sanırım her yeri temizledin!
line:1760e5d5	I think you got every spot.	Sanırım her yeri temizledin.
line:341175f7	I think you got every spot.	Sanırım her yeri temizledin.
line:770e7473	I think you got every spot.	Sanırım her yeri temizledin.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Bence ona fark ettiğinden çok daha fazla yardım ettin.
line:f28fd15d	I think you missed a few spots still...	Sanırım hâlâ birkaç yeri atladın...
line:77509e74	I think you're cool too. Self improvement is hard.	Bence sen de iyisin. İnsanın kendini geliştirmesi zor.
line:763c6a82	I think you're good looking.	Bence iyi görünüyorsunuz.
line:69e7dbb3	I think you're pretty cool, Conrad.	Bence gayet havalısın, Conrad.
line:9c393f61	I think you're special too.	Bence sen de özelsin.
line:7d5ae3b4	I usually make do with a hose down at home...	Ben genelde evde hortumla idare ederim...
line:c4fc9b28	I wanna talk face to face!	Yüz yüze konuşmak istiyorum!
line:548dc375	I want to be more open. It feels good.	Daha açık olmak istiyorum. İyi hissettiriyor.
line:e02f464d	I was helping the alchemist reach a high shelf	Simyacının yüksek bir rafa ulaşmasına yardım ediyordum.
line:fa97376e	I was helping the alchemist reach a high shelf	Simyacının yüksek bir rafa ulaşmasına yardım ediyordum.
line:bb015b1b	I was romping around the forest	Ormanda koşturuyordum.
line:78e2cb13	I was thinking about what you said,	Söylediğin şeyi düşünüyordum,
line:b8282714	I was thinking.	Düşünüyordum da.
line:ca616238	I was thinking. We could go out some time next week?	Düşündüm de... Gelecek hafta bir gün dışarı çıkabiliriz?
line:a13d76ec	I was thinking...	Düşünüyordum da...
line:c1a4edf0	I wasn't making her happy either.	O da benimle mutlu değildi.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Gizlice yıkanabilmek için onca zahmete girdim. Takip edilmediğimden emindim.
line:db5cd152	I went out with some friends.	Arkadaşlarla dışarı çıktım.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	İki katını öderim. Üç katını... Bu işi yalnızca siz yapabilirsiniz!
line:0c31345e	I will, thanks.	Gelirim, sağ ol.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Anlatırım. Sadece hızlıca yıkanmam lazım. Bugün sehpayı da kullanmak isterim.
line:399457b7	I wish it was easy as it is in movies.	Keşke filmlerdeki kadar kolay olsa.
line:2185f08c	I won't.	Anlatmam.
line:45950848	I would like that!	Çok hoşuma gider!
line:099ec7fd	I would love to.	Çok isterim.
line:e6006cd6	I wouldn't mind!	Ben isterim!
line:81905be1	I'd like to go out to eat.	Dışarıda yemek yemek isterim.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Sohbeti sürdürmeyi gerçekten isterdim ama ders başlamak üzere.
line:2fe8a558	I'd love to!	Çok isterim!
line:87ba56cc	I'll be back again, yeah?	Yine gelirim, olur mu?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Yine geleceğim. Sizin gibi bir arkadaşım olması güzel.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Yakında yine gelirim, olur mu? Yıkama için teşekkür ederim.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Bu gece barda seni bekleyeceğim!
line:69dff2ec	I'll be waiting for the gate!	Kapıyı bekliyorum!
line:ae4d09f6	I'll be waiting for the gate!	Kapıyı bekliyorum!
line:ab616aac	I'll definitely keep this place in mind.	Burayı kesinlikle aklımda tutacağım.
line:b122441b	I'll get one ordered I promise!	Bir tane sipariş edeceğim, söz!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Şimdi sizi işinizle baş başa bırakayım. Yıkama için teşekkür ederim.
line:707d2693	I'll get out of your scales...	Seni meşgul etmeyeyim...
line:ca480eed	I'll get you two in contact then.	O zaman sizi tanıştırayım.
line:59416000	I'll go get the gate for ya'	Gidip sana kapıyı açayım.
line:6aa7ad03	I'll go get the gate for ya'	Gidip sana kapıyı açayım.
line:2a6d7e7d	I'll go get the gate for you.	Gidip sana kapıyı açayım.
