# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	E aí, cachorrão.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... É. Não tenho muito costume de fazer elogios.
line:44689f21	Happy to be back.	Bom estar de volta.
line:2672f65d	Happy to be here.	Bom estar aqui.
line:192fcb8e	Happy to get it off.	Ainda bem que vou tirar tudo.
line:3517b28e	Have a productive day.	Tenha um dia produtivo.
line:7c1adc57	He called me, we met up. He's really damn nice.	Ele me ligou, a gente se encontrou. Ele é legal pra caralho.
line:e71f9a0b	HE DIED!?	ELE MORREU?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Pelo que entendi, fazia tempo que ninguém... Bom, se importava com ele.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Ele só... soube o que dizer pra me tirar daquela.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Ele prefere "com limitações verticais"... Mas sim.
line:04b29e42	He really is.	É mesmo.
line:c7e1b369	He really is.	É mesmo.
line:c64bd5ce	He said I was chill, we planned a date...	Disse que eu era tranquilo, a gente combinou um encontro...
line:e8a91447	He's a lot. But, I like it.	Ele é intenso. Mas eu gosto.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	É um dragão vermelho. Acho que vocês iam gostar um do outro!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Já voltou ao trabalho. Obrigado por ajudar com tudo aquilo.
line:aaea8391	He's been way nicer recently.	Ele anda muito mais gentil.
line:7363c004	He's great.	Ele é ótimo.
line:c13d4e24	He's hot.	Ele é gostoso.
line:675d7e37	He's like. SUPER hung.	Ele é tipo... MUITO bem-dotado.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	É tipo... um coração mole rodeado de espinhos.
line:800c553d	He's my dream dragon.	É o dragão dos meus sonhos.
line:4b3c70d9	He's snappy, but tender too!	Ele é esquentado, mas carinhoso também!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Um dragão vermelho MUITO fofo que vem tomar banho aqui!
line:4c11c83e	He's tiny, I like being eye level with him.	Ele é pequeno. Gosto de olhar nos olhos dele na mesma altura.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Ele é... atencioso. E muito compreensivo.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Ouvi sobre você e o grandão azul. Ryan, né?
line:ca4a9672	Heeeey Ryan.	Oiii, Ryan.
line:24ce37ec	Heeeey.	Oiii.
line:bb70c1ed	Heh. Yeah.	He. É.
line:3fa80829	Heh. Yeah. I like you too.	He. É. Também gosto de você.
line:20393ff6	Heh. Yeah. That's me.	He. É. Sou eu.
line:ac769d93	heh.. yea.. sorry..	He... É... Desculpa..
line:5246ceea	Heh... alright.	He... Tá bom.
line:75fef5cb	Heh... Damn right.	He... Isso mesmo.
line:5f0edcb2	Heh... Handsy today, huh?	He... Mãos inquietas hoje, hein?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, sim.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, estou animado pra voltar a ter encontros.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, obrigado. Tem coisas que devem ser boas pra nós dois.
line:1a3e2a73	Hell yea	Isso, porra.
line:93f67490	Hell yeah	Isso, porra.
line:389e4033	Hell yeah I did!	Gostei pra caralho!
line:17dbb9b7	Hell yeah.	Isso, porra.
line:4b7b33d9	Hello!	Olá!
line:c3d3da41	Hello!	Olá!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Olá, <i>"franquia Drag'n'wash 223"...</i> Já descobriu como interagir?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Olá, <i>"franquia Drag'n'wash 223"...</i> Já falou com seu primeiro cliente?
line:b7cce838	Hello.	Olá.
line:a8779ebf	Hello?	Olá?
line:dd4b34ae	Hello?	Olá?
line:1954aab7	Help the developers out please..	Ajude os desenvolvedores, por favor...
line:db9c3a5c	Help the developers out please..	Ajude os desenvolvedores, por favor...
line:f7f7f5a1	Help the developers out please..	Ajude os desenvolvedores, por favor...
line:fc461784	Help the developers out please..	Ajude os desenvolvedores, por favor...
line:ee3398a6	Hey big guy.	Oi, grandão.
line:0090c7b0	Hey Conrad!	Oi, Conrad!
line:3d0a5aeb	Hey Conrad!	Oi, Conrad!
line:a2b4acea	Hey conrad!	Oi, Conrad!
line:975a629f	Hey Conrad.	Oi, Conrad.
line:21235886	Hey could you come up front where I can see you?	Ei, pode vir aqui na frente pra eu te ver?
line:533532c4	Hey fine by me!	Ei, por mim tudo bem!
line:1538bc7e	Hey good lookin'	Oi, bonitão.
line:0121c874	Hey hey. Glad you're open.	E aí, e aí. Que bom que tá aberto.
line:71b651dd	Hey I have something to say!	Ei, tenho uma coisa pra dizer!
line:0d4e0ecf	Hey kobold!	Oi, kobold!
line:af3f02c9	Hey Ryan, what do you have there?	Ei, Ryan, o que você trouxe?
line:6374414d	Hey thanks for being here for me...	Ei, obrigado por estar aqui por mim...
line:bf5ff483	Hey there, happy to be back.	Oi, que bom estar de volta.
line:c38b7fa6	Hey there, Ryan!	Oi, Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Ei... Que tal deixar essas "mãozinhas" pra depois?
line:1b6c7f75	Hey there.	Olá.
line:5dacf226	Hey there.	Olá.
line:82698bd1	Hey there.	Olá.
line:ab3a5d9c	Hey there.	E aí.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Ei, é... Você acha que eu e o Ryan vamos <i>mesmo</i> dar certo?
line:04501155	Hey uh, I just need a cleaning.	Ei, é... Só preciso de um banho.
line:2a29842a	Hey uh... Not now.	Ei, é... Agora não.
line:8caa3196	Hey uhm, thanks once again.	Ei, é... Obrigado de novo.
line:5c7a9105	Hey!	Oi!
line:eed2cc64	Hey!	Oi!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Ei! Ele só tem... "limitações verticais".
line:55bb78d1	Hey! I'm here for a wash.	Oi! Vim tomar banho.
line:33480903	Hey, Alexander!	Oi, Alexander!
line:21fcef4f	Hey, Alexander.	Oi, Alexander.
line:14598ca6	Hey, big guy!	Oi, grandão!
line:e7353d24	Hey, I've got a question for you.	Ei, tenho uma pergunta pra você.
line:674877e5	Hey, nothin' wrong with asking!	Ei, perguntar não tem nada de errado!
line:d2589856	Hey, welcome back!	Oi, bem-vindo de volta!
line:0d3e4054	Hey.	Ei.
line:aa0dda7b	Hey.	Ei.
line:7f2e2736	Hey... little guy!	Oi... pequenino!
line:933efa6d	Hi again!	Oi de novo!
line:873a2b9a	Hi again..	Oi de novo..
line:83ac5b68	Hi Conrad.	Oi, Conrad.
line:050efd1a	Hi, Ryan!	Oi, Ryan!
line:06ed6aea	Hiiiii! Hiii!	Oiiii! Oiii!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Sua forma física está se reconstituindo na sala dos professores.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Hum, acho que vou dispensar o aparelho.
line:370d719b	Hm?	Hum?
line:3c3ddd0c	Hm?	Hum?
line:44658d73	Hmm...	Hum...
line:bf059ff3	Hmm...	Hum...
line:730b1ca4	Hmm?	Hum?
line:fc571337	Hmmm, maybe something else?	Hum, talvez outra coisa?
line:19207e44	Hold on a little longer for me?	Pode aguentar mais um pouquinho por mim?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Sinceramente, estou surpreso com o quanto isso é gostoso.
line:a2ff0176	Hope it went well.	Espero que tenha sido bom.
line:b17360a0	Hope that's alright?	Espero que não tenha problema?
line:ae08853f	Hope you're doing alright!	Espero que esteja bem!
line:e1fa2461	Hopefully! I'll go get the gate.	Tomara! Vou abrir o portão.
line:99931b37	Hopefully.	Tomara.
line:d9c91bca	How about you though? have you been seeing anyone?	E você? Está saindo com alguém?
line:4ec92454	How about you? Anyone exciting?	E você? Alguém interessante?
line:86bde306	How are you with seafood?	Você gosta de frutos do mar?
line:7fb611c9	How come you brought this all in?	Por que trouxe tudo isso?
line:af0d0972	How come you're covered in ink?	Como ficou coberto de tinta?
line:e385b7f3	How did it go?	Como foi?
line:c0161bbc	How did it taste?	Qual era o gosto?
line:262b262e	how do I get in?	como eu entro?
line:676b0638	how do I get in?	como eu entro?
line:8308bb09	How do I look?	Como eu tô?
line:4f172746	How do you even digest that?	Como você consegue digerir isso?
line:28d390ac	How so?	Como assim?
line:4ef9fe65	How so?	Como assim?
line:ea66b5af	How so?	Como assim?
line:4b29790b	How was the sex.	Como foi o sexo?
line:7736270c	How was your date with Conrad?	Como foi seu encontro com o Conrad?
line:18d418ab	However, it's ornamental! My family crest. You see...	Mas é um ornamento! O brasão da minha família. Veja...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Porém, minha <i>imagem</i> é bem mais duradoura do que as formas físicas passageiras de Igwyx.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Porém, esse respeito vem com a expectativa de agir à altura da minha aparência. É extremamente estressante.
line:d2baf9e2	However...	Porém...
line:fb8401c3	Huff...	Ufa...
line:b54ee04d	huff... Thank you for that.	Ufa... Obrigado por isso.
line:16420ca7	Huff... Thanks for that.	Ufa... Obrigado por isso.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Ufa... Foi gostoso... Mas fiz uma baguncinha.
line:ae83cfb6	huh...?	Hã...?
line:0c78b56b	Huh?	Hã?
line:e96114a2	Huh? ofcourse not!	Hã? Claro que não!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>Acho </i>que derramei um tinteiro <i>no caminho para cá</i>. Que falta de jeito a minha!
line:d37175c7	I act tough but am a small dragon...	Banco o durão, mas sou um dragão pequeno...
line:b4e27683	I agree	Concordo.
line:68ebf07b	I allowed him, as my stature provides ample height.	Eu permiti, já que minha estatura lhe dava altura de sobra.
line:a051821a	I already feel a lot better.	Já me sinto muito melhor.
line:49bfbfbe	I already have spot at the club reserved.	Já tenho um lugar reservado no clube.
line:14ff4edd	I always do~	Eu sempre mando ver~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Sempre quero te ver. Vou abrir o portão.
line:52bf5ede	I am THE kobold. Yip!	Eu sou O kobold. Yip!
line:141c006f	I am too.	Eu também.
line:363f6f6a	I am too.	Eu também.
line:405b9622	I am too.	Eu também.
line:d4c5faea	I am too.	Eu também.
line:556897bf	I am! Even better now that you're here.	Estou! Melhor ainda agora que o senhor está aqui.
line:e499b2cc	I am.	Sou.
line:5ec8bb55	I believe that's in part because of you.	Acredito que, em parte, seja por sua causa.
line:9883786d	I booked the night.	Reservei a noite toda.
line:eae85bf9	I broke up with my partner...	Terminei com minha namorada...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Trouxe melancia, pão, uvas e outras coisas.
line:e8aa18f4	I can digest pretty much anything.	Consigo digerir praticamente qualquer coisa.
line:7f543c2a	I can let loose whenever you are ready	Posso soltar tudo quando você estiver pronto.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Não acredito que Igwix cometeria um erro desses!
line:e051a79e	I consider you a good friend too	Também te considero um bom amigo.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Posso conseguir os <i>melhores</i> lugares pro show.
line:2602b8c6	I could use a wash.	Preciso de um banho.
line:c66153d3	I couldn't help but notice the... device over there.	Não pude deixar de notar o... dispositivo ali.
line:b71f0756	I decided to try baking.	Resolvi tentar fazer doces.
line:e62b989c	I decided to try baking.	Resolvi tentar fazer doces.
line:efea7148	I decided to try baking.	Resolvi tentar fazer doces.
line:98f800d3	I didn't know anyone could like me that much so easily.	Não sabia que alguém podia gostar tanto de mim tão fácil assim.
line:4116f001	I didn't know what the button did.	Eu não sabia o que o botão fazia.
line:7a5c7f54	I didn't mean to fluster you!	Não era minha intenção te deixar sem jeito!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Gosto da cor, embora não ache que tenha relação com a minha própria tonalidade.
line:f9c800f2	I do!	Acho!
line:ad9c1ada	I do. But, what happened?	Tenho. Mas o que aconteceu?
line:a45ccf3a	I don't believe I can hold back any longer	Não acho que consiga me segurar mais.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Não entendo! Por que eu tenho que agir assim?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Não sei aonde foi parar, mas me sinto sujo de novo.
line:71127249	I don't mean to be rude, but I must decline	Não quero ser rude, mas preciso recusar.
line:f5696cc4	I don't need to tell you.	Não preciso te contar.
line:878fc94c	I don't understand..	Não entendo..
line:4f3d31f8	I don't want your pitty!	Não quero a sua pena!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Gosto de fazer parte da vida de tantas pessoas de forma positiva.
line:14653182	I enjoy parts of it. The respect is pleasant...	Gosto de certas partes. O respeito é agradável...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Gosto de não ter medo de falhar perto de você.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Gosto quando indica o que devo fazer com um toque da mão.
line:6db406b4	I enjoyed this quite a lot.	Gostei muito disso.
line:e838533b	I feel as I could say anything to you.	Sinto que poderia dizer qualquer coisa a você.
line:9b9567ec	I feel much better.	Me sinto muito melhor.
line:ed6be68f	I feel spotless as always.	Me sinto impecável, como sempre.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Esqueço o desconhecimento dos leigos. Peço desculpas.
line:63837f22	I forgot to bite into it so... Nothing?	Esqueci de morder, então... Nenhum?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Entendo você se sentir assim depois de um término.
line:adf1550f	I give my other bipedal friends rides all the time.	Carrego meus outros amigos bípedes o tempo todo.
line:9a68366f	I got a mount.	Comprei um aparelho.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Cheguei um pouco sujo e ela gritou comigo.
line:22a9094a	I guess so!	Acho que sim!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Odeio sempre acabar nesse tipo de situação.
line:366a7f73	I have a question.	Tenho uma pergunta.
line:82b63c18	I have something to say!	Tenho uma coisa pra dizer!
line:fd68807c	I have to say, you did as good a job as private washers.	Devo dizer que seu trabalho foi tão bom quanto o de um lavador particular.
line:761f413a	I heard a loud bang	Ouvi um estrondo.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Ouvi um estrondo. Acho que Igwix não sobreviveu.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Ouvi dizer que tem kobolds por aqui que podem me dar banho?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Ouvi dizer que tem uns kobolds por aqui que podem me dar um banho?
line:2f9b499a	I honestly don't know how you are doing that.	Sinceramente, não sei como você consegue fazer isso.
line:6f5dbc90	I hope he's okay too.	Também espero que ele esteja bem.
line:cd0197ed	I hope I can learn from that.	Espero conseguir aprender com isso.
line:cf50dbcc	I hope it all works out.	Espero que dê tudo certo.
line:b2dfad3e	I hope so.	Espero que sim.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Espero que sim. Quero muito começar do zero com alguém.
line:7429dab7	I hope that you'll help me prove them wrong!	Espero que me ajude a provar o contrário!
line:be5feb3e	I hope things get better.	Espero que as coisas melhorem.
line:114ac9a0	I hope you're right.	Espero que tenha razão.
line:06744c7e	I just don't like that she takes it out on me.	Só não gosto que desconte em mim.
line:1fb02179	I just don't like that she takes it out on me.	Só não gosto que desconte em mim.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Só preciso de um banho rápido... Talvez o aparelho fosse bom também.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Só quero que me faça uma pergunta. Qualquer uma.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Sabia que você estava ocupado demais, então resolvi trazer o encontro até você!
line:2461773d	I knew you'd have my back	Sabia que você ia me apoiar.
line:6a671440	I know a decent equine-kin place by the pier.	Conheço um restaurante bom do povo equino perto do píer.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Sei que ele pode ser meio esquentado e esquecer de agradecer.
line:83c55e2e	I know things can be tough.	Sei que às vezes as coisas são difíceis.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Sei que precisa fechar a loja. Vou te passar o endereço e a gente se encontra lá, tá?
line:ded99a0c	I know, I'll reserve your spot!	Eu sei, vou guardar seu lugar!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Eu sei. Mas poder se abrir com alguém, mesmo de vez em quando...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Eu sei. Sei que não devia despejar tudo isso em você.
line:875048ca	I know. I know.	Eu sei. Eu sei.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Gosto da sua segurança. Mesmo que seja só na hora de dar banho.
line:46061aae	I like it! I think you'd enjoy it too.	Eu gosto! Acho que você também ia gostar.
line:f4ad8ea6	I like taking care of you.	Gosto de cuidar do senhor.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Gostei do aparelho que escolheu. Pode trazer?
line:5c86951f	I like you a lot.	Gosto muito de você.
line:a91980fc	I like you for who you are.	Eu gosto do senhor pelo que é.
line:bdca3e1b	I like... him.	Gosto... dele.
line:2b65bf83	I love bubbles, they tickle!	Adoro bolhas, fazem cócegas!
line:f8a4f404	I mean it. Really.	É sério. De verdade.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Preciso melhorar. Eu <i>quero </i>melhorar.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Preciso ficar impecável. Parece que é pra isso que você serve. <size=70%>Ha.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Nunca imaginei que confiaria coisas tão constrangedoras a alguém.
line:0c986dec	I never expected you to be the type to be so messy!	Nunca imaginei que o senhor fosse de se sujar tanto!
line:95db900b	I never miss a spot.	Nunca deixo passar uma mancha.
line:d620d41a	I never thought someone like him would be my type...	Nunca pensei que alguém como ele fosse fazer meu tipo...
line:67592de1	I probably need to head out though.	Mas acho que preciso ir.
line:e41c6dc5	I really do hope it all works out!	Espero de verdade que dê tudo certo!
line:a722aada	I really think it was this time...	Desta vez, acho mesmo que foi...
line:e80e5edd	I see what you're doing, thank you.	Entendo o que está fazendo. Obrigado.
line:cc6ec337	I see..	Entendo..
line:d57520b1	I seem to have gotten myself covered in ink!	Parece que acabei coberto de tinta!
line:3b161cf3	I still need more!	Ainda preciso de mais!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Entendo não gostar da sujeira que ela pode causar.
line:234ccfda	I suppose it depends on the circumstances.	Acho que depende das circunstâncias.
line:910706c0	I think a movie could be fun!	Acho que um filme seria divertido!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Acho que ele estava num ambiente ruim. Agora está melhor.
line:9247b7a0	I think he'd like the new you!	Acho que ele ia gostar do novo você!
line:f4982dcd	I think he's got a crush on me.	Acho que ele tá a fim de mim.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Acho que ainda sinto um pouco da sujeira da explosão...
line:4efc873f	I think I like being taken care of?	Acho que gosto de receber cuidados?
line:f5d36d9a	I think I might be close..	Acho que estou quase lá..
line:52fc4e08	I think I'd like that!	Acho que eu ia gostar!
line:5c78099a	I think I'd like to meet him!	Acho que ia gostar de conhecer ele!
line:14e0edf6	I think I'd like to try!	Acho que quero tentar!
line:164df75a	I think I'd like to use it?	Acho que gostaria de usar?
line:4f6168aa	I think I'd like to use it?	Acho que gostaria de usar?
line:ab314624	I think I'd like to?	Acho que eu gostaria?
line:170c6aa3	I think I'd like you to be that someone aswell.	Acho que também gostaria que você fosse esse alguém.
line:8f46bb17	I think I've got it!	Acho que já entendi!
line:a5e128e0	I think she's upset about something else...	Acho que ela está chateada com outra coisa...
line:bc2545e7	I think she's upset about something else...	Acho que ela está chateada com outra coisa...
line:335c5156	I think so!	Acho que sim!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Acho que seria uma boa! Eles têm shows legais toda noite.
line:eaafe671	I think you got every spot!	Acho que não deixou passar nada!
line:1760e5d5	I think you got every spot.	Acho que você não deixou passar nada.
line:341175f7	I think you got every spot.	Acho que você não deixou passar nada.
line:770e7473	I think you got every spot.	Acho que você não deixou passar nada.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Acho que você ajudou ele muito mais do que imagina.
line:f28fd15d	I think you missed a few spots still...	Acho que ainda faltaram algumas manchas...
line:77509e74	I think you're cool too. Self improvement is hard.	Também acho você legal. Não é fácil melhorar como pessoa.
line:763c6a82	I think you're good looking.	Acho o senhor bonito.
line:69e7dbb3	I think you're pretty cool, Conrad.	Eu acho você bem legal, Conrad.
line:9c393f61	I think you're special too.	Também acho você especial.
line:7d5ae3b4	I usually make do with a hose down at home...	Eu normalmente me viro com a mangueira lá de casa...
line:c4fc9b28	I wanna talk face to face!	Quero conversar cara a cara!
line:548dc375	I want to be more open. It feels good.	Quero me abrir mais. É uma sensação boa.
line:e02f464d	I was helping the alchemist reach a high shelf	Eu estava ajudando o alquimista a alcançar uma prateleira alta.
line:fa97376e	I was helping the alchemist reach a high shelf	Eu estava ajudando o alquimista a alcançar uma prateleira alta.
line:bb015b1b	I was romping around the forest	Eu estava correndo pela floresta.
line:78e2cb13	I was thinking about what you said,	Estava pensando no que você disse,
line:b8282714	I was thinking.	Estava pensando.
line:ca616238	I was thinking. We could go out some time next week?	Estava pensando. A gente podia sair semana que vem?
line:a13d76ec	I was thinking...	Estava pensando...
line:c1a4edf0	I wasn't making her happy either.	E ela também não estava feliz comigo.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Fiz questão de procurar um banho discreto. Tinha certeza de que ninguém havia me seguido.
line:db5cd152	I went out with some friends.	Saí com uns amigos.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Pago o dobro. O triplo! Só você pode fazer este trabalho!
line:0c31345e	I will, thanks.	Vou voltar, obrigado.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Vou sim. Só preciso de um banho rápido e queria usar o aparelho hoje.
line:399457b7	I wish it was easy as it is in movies.	Queria que fosse fácil como nos filmes.
line:2185f08c	I won't.	Não vou contar.
line:45950848	I would like that!	Eu ia adorar!
line:099ec7fd	I would love to.	Eu adoraria.
line:e6006cd6	I wouldn't mind!	Eu ia gostar!
line:81905be1	I'd like to go out to eat.	Quero sair pra comer.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Gostaria muito de continuar conversando, mas a aula começa logo.
line:2fe8a558	I'd love to!	Eu adoraria!
line:87ba56cc	I'll be back again, yeah?	Vou voltar, tá?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Vou voltar. É bom ter você como amigo.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Volto em breve, sim? Obrigado pelo banho.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Vou te esperar no bar hoje à noite!
line:69dff2ec	I'll be waiting for the gate!	Vou esperar você abrir o portão!
line:ae4d09f6	I'll be waiting for the gate!	Vou esperar você abrir o portão!
line:ab616aac	I'll definitely keep this place in mind.	Com certeza vou me lembrar daqui.
line:b122441b	I'll get one ordered I promise!	Prometo encomendar um!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Vou deixar você em paz agora. Obrigado pelo banho.
line:707d2693	I'll get out of your scales...	Vou te deixar em paz...
line:ca480eed	I'll get you two in contact then.	Então vou colocar vocês em contato.
line:59416000	I'll go get the gate for ya'	Vou abrir o portão pra você.
line:6aa7ad03	I'll go get the gate for ya'	Vou abrir o portão pra você.
line:2a6d7e7d	I'll go get the gate for you.	Vou abrir o portão pra você.
line:8107858d	I'll go get the gate for you.	Vou abrir o portão para o senhor.
line:d1755010	I'll go get the gate for you.	Vou abrir o portão pra você.
line:4d692a01	I'll go get the gate.	Vou abrir o portão.
line:a75bb519	I'll go get the gate.	Vou abrir o portão.
line:8689a124	I'll happily get that for you.	Vou buscar com prazer.
line:48e99d7b	I'll have to close up shop first-	Preciso fechar a loja primeiro...
line:f2b894e2	I'll have to reserve your spot while you close up.	Vou guardar seu lugar enquanto você fecha.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Vou me lembrar disso. Estou acostumado a que tudo envolva uma troca.
line:956a0f47	I'll make sure to ask him next time I see him.	Vou perguntar na próxima vez que o vir.
line:e64d21e4	I'll make sure to come back.	Pode ter certeza que vou voltar.
line:7c9fe106	I'll make sure to get out of your scales.	Vou te deixar em paz.
line:87006442	I'll make sure to tell others about this place	Vou falar deste lugar pros outros.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Vou te contar como foi, tá?
line:49b6a167	I'll make sure you're <i>spotless.	Vou deixar você <i>impecável.
line:96981b61	I'll manage.	Vou dar um jeito.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Preciso que seja rápido. Os alunos não vão aprender sozinhos.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Vou precisar ressuscitar Igwix. Que vergonha!
line:90a9a98e	I'll see you next time I come in, yeah?	A gente se vê na próxima vez que eu vier, tá?
line:d0f6a49a	I'll see you next time I come in, yeah?	A gente se vê na próxima vez que eu vier, tá?
line:160bf40f	I'll start prepping for it.	Vou começar a preparar tudo.
line:8af64cb8	I'll take care of this, don't you worry.	Vou cuidar disso, não se preocupe.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Já te conto. Por enquanto, pode só abrir o portão?
line:04c62f9b	I'm <i>spotless</i>.	Estou <i>impecável</i>.
line:629f8cff	I'm a bit of a big deal around there.	Sou meio famoso por lá.
line:d9272031	I'm a dragon.	Sou um dragão.
line:675e7284	I'm a rule breaker!	Eu gosto de quebrar as regras!
line:afcd5586	I'm a... kobold.	Eu sou um... kobold.
line:5d41b5d6	I'm all dirty still!	Ainda tô todo sujo!
line:2f6eb3c3	I'm all soapy still!	Ainda tô cheio de sabão!
line:18707b19	I'm always happy to give you a wash!	Sempre fico feliz em te dar banho!
line:3b01eb3b	I'm always happy to give you a wash!	Sempre fico feliz em te dar banho!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Sempre fico feliz em ajudar. <i><size=70%>Especialmente um dragão grande.
line:46c6a3ed	I'm always happy to see you Ryan.	Sempre fico feliz em te ver, Ryan.
line:75206eee	I'm always happy to see you Ryan.	Sempre fico feliz em te ver, Ryan.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Sempre fico feliz em ver o senhor. Vou abrir o portão.
line:07e5fc05	I'm amazed!	Estou impressionado!
line:4586d55d	I'm an asshole. I know I am.	Sou um babaca. Eu sei.
line:a6d46685	I'm certain he also finds you pleasant!	Tenho certeza de que ele também gosta da sua companhia!
line:ef399e26	I'm doing good!	Estou bem!
line:a6c1f2f4	I'm excited for you!	Fico animado por você!
line:94fbdbf0	I'm excited for you. I'll get the gate!	Fico feliz por você. Vou abrir o portão!
line:f83e4966	I'm excited to hear about it!	Quero muito saber!
line:bd55b8f4	I'm excited to see them washing down the drain though.	Mas também estou animado pra ver elas descendo pelo ralo.
line:24832f01	I'm excited.	Estou animado.
line:69f406a6	I'm excited.	Estou animado.
line:a00f681d	I'm excited.	Estou animado.
line:a0479425	I'm excited.	Estou animado.
line:b5d7d26f	I'm excited.	Estou animado.
line:d66b9155	I'm excited.	Estou animado.
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	Fico feliz que também sinta prazer nisso.
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	Fico feliz que goste dele. Tenho certeza de que ele também gosta de você.
line:c56ee060	I'm glad you enjoy my crest.	Fico feliz que goste do meu brasão.
line:f44a1493	I'm glad you trust me.	Fico feliz que confie em mim.
