# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Qué tal, perro grande.
line:4e920759	Hah... Yeah I'm excited.	Ja... Sí, estoy emocionado.
line:b36365ce	Hah... Yeah...	Ja... Sí...
line:b8724c64	Hah... you do like that noise.	Ja... Sí que te gusta hacer ese sonido.
line:c8cde395	Haha, 'Yip' indeed.	Jaja, «yip», en efecto.
line:680991cf	Haha, yes. Happy to see you.	Jaja, sí. Me alegra verlo.
line:4c27b031	Haha, you certainly are!	¡Jaja, eso veo!
line:c3a2e14e	Haha, you certainly are!	¡Jaja, eso veo!
line:9ec40945	Haha. 'Yip' to you too.	Jaja. «Yip» para ti también.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Jaja... Sí. No tengo mucha práctica haciendo cumplidos.
line:44689f21	Happy to be back.	Me alegra volver.
line:2672f65d	Happy to be here.	Qué gusto estar aquí.
line:192fcb8e	Happy to get it off.	Me alegra quitármelo.
line:3517b28e	Have a productive day.	Que tengas un día productivo.
line:7c1adc57	He called me, we met up. He's really damn nice.	Me llamó y nos vimos. Es increíblemente amable.
line:e71f9a0b	HE DIED!?	¿¡SE MURIÓ!?
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Por lo que entendí, llevaba mucho tiempo sin... bueno, sin que a nadie le importara.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Él simplemente... supo qué decir para hacerme reaccionar.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Prefiere «de estatura limitada»... Pero sí.
line:04b29e42	He really is.	De verdad lo es.
line:c7e1b369	He really is.	De verdad lo es.
line:c64bd5ce	He said I was chill, we planned a date...	Dijo que era agradable y planeamos una cita...
line:e8a91447	He's a lot. But, I like it.	Es intenso. Pero me gusta.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Es un dragón rojo. ¡Creo que se gustarían!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Ya volvió al trabajo. Gracias por ayudar con todo aquello.
line:aaea8391	He's been way nicer recently.	Últimamente ha estado mucho más amable.
line:7363c004	He's great.	Es genial.
line:c13d4e24	He's hot.	Está buenísimo.
line:675d7e37	He's like. SUPER hung.	La tiene ENORME.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Es como... un corazón blandito rodeado de púas.
line:800c553d	He's my dream dragon.	Es el dragón de mis sueños.
line:4b3c70d9	He's snappy, but tender too!	¡Tiene mal genio, pero también es tierno!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	¡Un dragón rojo GUAPÍSIMO que viene a bañarse aquí!
line:4c11c83e	He's tiny, I like being eye level with him.	Es pequeño. Me gusta poder mirarlo a los ojos sin levantar la cabeza.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Es... considerado. Y muy comprensivo.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Me enteré de lo tuyo con el grandote azul. ¿Ryan, era?
line:ca4a9672	Heeeey Ryan.	Holaaa, Ryan.
line:24ce37ec	Heeeey.	Holaaa.
line:bb70c1ed	Heh. Yeah.	Je. Sí.
line:3fa80829	Heh. Yeah. I like you too.	Je. Sí. Tú también me gustas.
line:20393ff6	Heh. Yeah. That's me.	Je. Sí. Ese soy yo.
line:ac769d93	heh.. yea.. sorry..	Je... Sí... Perdón..
line:5246ceea	Heh... alright.	Je... Está bien.
line:75fef5cb	Heh... Damn right.	Je... Claro que sí.
line:5f0edcb2	Heh... Handsy today, huh?	Je... Hoy tienes las manos inquietas, ¿eh?
line:2f55b3aa	Hehe	Jeje.
line:7e991330	Hehe yeah.	Jeje, sí.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Jeje, me hace ilusión volver a salir con gente.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Jeje, gracias. Traje cosas que nos deberían gustar a los dos.
line:1a3e2a73	Hell yea	Claro que sí, carajo.
line:93f67490	Hell yeah	Claro que sí, carajo.
line:389e4033	Hell yeah I did!	¡Claro que sí, carajo!
line:17dbb9b7	Hell yeah.	Claro que sí, carajo.
line:4b7b33d9	Hello!	¡Hola!
line:c3d3da41	Hello!	¡Hola!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Hola, <i>«franquicia Drag'n'wash 223»...</i> ¿Ya descubriste cómo interactuar?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Hola, <i>«franquicia Drag'n'wash 223»...</i> ¿Ya hablaste con tu primer cliente?
line:b7cce838	Hello.	Hola.
line:a8779ebf	Hello?	¿Hola?
line:dd4b34ae	Hello?	¿Hola?
line:1954aab7	Help the developers out please..	Ayuda a los desarrolladores, por favor...
line:db9c3a5c	Help the developers out please..	Ayuda a los desarrolladores, por favor...
line:f7f7f5a1	Help the developers out please..	Ayuda a los desarrolladores, por favor...
line:fc461784	Help the developers out please..	Ayuda a los desarrolladores, por favor...
line:ee3398a6	Hey big guy.	Hola, grandote.
line:0090c7b0	Hey Conrad!	¡Hola, Conrad!
line:3d0a5aeb	Hey Conrad!	¡Hola, Conrad!
line:a2b4acea	Hey conrad!	¡Hola, Conrad!
line:975a629f	Hey Conrad.	Hola, Conrad.
line:21235886	Hey could you come up front where I can see you?	Oye, ¿puedes venir adelante para que te vea?
line:533532c4	Hey fine by me!	¡Oye, por mí bien!
line:1538bc7e	Hey good lookin'	Hola, guapo.
line:0121c874	Hey hey. Glad you're open.	Hola, hola. Qué bueno que está abierto.
line:71b651dd	Hey I have something to say!	¡Oye, quiero decirte algo!
line:0d4e0ecf	Hey kobold!	¡Hola, kobold!
line:af3f02c9	Hey Ryan, what do you have there?	Oye, Ryan, ¿qué traes ahí?
line:6374414d	Hey thanks for being here for me...	Oye, gracias por estar aquí para mí...
line:bf5ff483	Hey there, happy to be back.	Hola, qué gusto volver.
line:c38b7fa6	Hey there, Ryan!	¡Hola, Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Oye... ¿Y si dejamos esas «manos inquietas» para después?
line:1b6c7f75	Hey there.	Hola.
line:5dacf226	Hey there.	Hola.
line:82698bd1	Hey there.	Hola.
line:ab3a5d9c	Hey there.	Ey.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Oye, eh, ¿crees que lo de Ryan y yo <i>de verdad</i> funcionará?
line:04501155	Hey uh, I just need a cleaning.	Oye, eh, solo necesito un baño.
line:2a29842a	Hey uh... Not now.	Oye, eh... Ahora no.
line:8caa3196	Hey uhm, thanks once again.	Oye, este... Gracias otra vez.
line:5c7a9105	Hey!	¡Hola!
line:eed2cc64	Hey!	¡Hola!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	¡Oye! Solo es... «de estatura limitada».
line:55bb78d1	Hey! I'm here for a wash.	¡Hola! Vine a bañarme.
line:33480903	Hey, Alexander!	¡Hola, Alexander!
line:21fcef4f	Hey, Alexander.	Hola, Alexander.
line:14598ca6	Hey, big guy!	¡Hola, grandote!
line:e7353d24	Hey, I've got a question for you.	Oye, tengo una pregunta.
line:674877e5	Hey, nothin' wrong with asking!	¡Oye, preguntar no tiene nada de malo!
line:d2589856	Hey, welcome back!	¡Hola, bienvenido de nuevo!
line:0d3e4054	Hey.	Oye.
line:aa0dda7b	Hey.	Oye.
line:7f2e2736	Hey... little guy!	Hola... ¡pequeñín!
line:933efa6d	Hi again!	¡Hola de nuevo!
line:873a2b9a	Hi again..	Hola de nuevo..
line:83ac5b68	Hi Conrad.	Hola, Conrad.
line:050efd1a	Hi, Ryan!	¡Hola, Ryan!
line:06ed6aea	Hiiiii! Hiii!	¡Holaaaa! ¡Holaaa!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Su forma física se está reconstituyendo en la sala de profesores.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Mmm, creo que no usaré el aparato.
line:370d719b	Hm?	¿Mmm?
line:3c3ddd0c	Hm?	¿Mmm?
line:44658d73	Hmm...	Mmm...
line:bf059ff3	Hmm...	Mmm...
line:730b1ca4	Hmm?	¿Mmm?
line:fc571337	Hmmm, maybe something else?	Mmm, ¿quizá otra cosa?
line:19207e44	Hold on a little longer for me?	¿Puede aguantar un poquito más por mí?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	La verdad, me sorprende lo agradable que es.
line:a2ff0176	Hope it went well.	Espero que les haya ido bien.
line:b17360a0	Hope that's alright?	¿Espero que no te moleste?
line:ae08853f	Hope you're doing alright!	¡Espero que esté bien!
line:e1fa2461	Hopefully! I'll go get the gate.	¡Ojalá! Voy a abrir la puerta.
line:99931b37	Hopefully.	Ojalá.
line:d9c91bca	How about you though? have you been seeing anyone?	¿Y tú? ¿Estás saliendo con alguien?
line:4ec92454	How about you? Anyone exciting?	¿Y tú? ¿Alguien interesante?
line:86bde306	How are you with seafood?	¿Qué te parece la comida del mar?
line:7fb611c9	How come you brought this all in?	¿Por qué trajiste todo esto?
line:af0d0972	How come you're covered in ink?	¿Cómo terminó cubierto de tinta?
line:e385b7f3	How did it go?	¿Cómo les fue?
line:c0161bbc	How did it taste?	¿A qué sabía?
line:262b262e	how do I get in?	¿cómo entro?
line:676b0638	how do I get in?	¿cómo entro?
line:8308bb09	How do I look?	¿Cómo me veo?
line:4f172746	How do you even digest that?	¿Cómo puedes digerir eso?
line:28d390ac	How so?	¿En qué sentido?
line:4ef9fe65	How so?	¿En qué sentido?
line:ea66b5af	How so?	¿En qué sentido?
line:4b29790b	How was the sex.	¿Qué tal el sexo?
line:7736270c	How was your date with Conrad?	¿Cómo fue tu cita con Conrad?
line:18d418ab	However, it's ornamental! My family crest. You see...	¡Pero es un adorno! El emblema de mi familia. Verá...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Sin embargo, mi <i>imagen</i> es mucho más duradera que las fugaces formas físicas de Igwyx.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Sin embargo, ese respeto viene con la expectativa de actuar a la altura de mi apariencia. Es increíblemente estresante.
line:d2baf9e2	However...	Sin embargo...
line:fb8401c3	Huff...	Uf...
line:b54ee04d	huff... Thank you for that.	Uf... Gracias por eso.
line:16420ca7	Huff... Thanks for that.	Uf... Gracias por eso.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Uf... Eso estuvo bien... Aunque hice un poco de desastre.
line:ae83cfb6	huh...?	¿Eh...?
line:0c78b56b	Huh?	¿Eh?
line:e96114a2	Huh? ofcourse not!	¿Eh? ¡Claro que no!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>Creo </i>que debí derramar un tintero <i>de camino aquí</i>. ¡Qué torpe soy!
line:d37175c7	I act tough but am a small dragon...	Me hago el duro, pero soy un dragón pequeño...
line:b4e27683	I agree	Estoy de acuerdo.
line:68ebf07b	I allowed him, as my stature provides ample height.	Se lo permití, ya que mi estatura le daba altura de sobra.
line:a051821a	I already feel a lot better.	Ya me siento mucho mejor.
line:49bfbfbe	I already have spot at the club reserved.	Ya tengo un lugar reservado en el club.
line:14ff4edd	I always do~	Siempre le doy con ganas~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Siempre tengo ganas de verte. Voy a abrir la puerta.
line:52bf5ede	I am THE kobold. Yip!	Yo soy EL kobold. ¡Yip!
line:141c006f	I am too.	Yo también.
line:363f6f6a	I am too.	Yo también.
line:405b9622	I am too.	Yo también.
line:d4c5faea	I am too.	Yo también.
line:556897bf	I am! Even better now that you're here.	¡Lo estoy! Y mejor ahora que está aquí.
line:e499b2cc	I am.	Lo soy.
line:5ec8bb55	I believe that's in part because of you.	Creo que en parte se lo debo a usted.
line:9883786d	I booked the night.	Reservé toda la noche.
line:eae85bf9	I broke up with my partner...	Terminé con mi pareja...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Traje sandía, pan, uvas y otras cosas.
line:e8aa18f4	I can digest pretty much anything.	Puedo digerir prácticamente cualquier cosa.
line:7f543c2a	I can let loose whenever you are ready	Puedo soltarlo cuando estés listo.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	¡No puedo creer que Igwix cometiera un error así!
line:e051a79e	I consider you a good friend too	Yo también te considero un buen amigo.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Podría conseguirnos los <i>mejores</i> sitios para el espectáculo.
line:2602b8c6	I could use a wash.	Me vendría bien un baño.
line:c66153d3	I couldn't help but notice the... device over there.	No he podido evitar fijarme en el... dispositivo de allí.
line:b71f0756	I decided to try baking.	Decidí probar con la repostería.
line:e62b989c	I decided to try baking.	Decidí probar con la repostería.
line:efea7148	I decided to try baking.	Decidí probar con la repostería.
line:98f800d3	I didn't know anyone could like me that much so easily.	No sabía que podía gustarle tanto a alguien con tanta facilidad.
line:4116f001	I didn't know what the button did.	No sabía qué hacía el botón.
line:7a5c7f54	I didn't mean to fluster you!	¡No quería ponerte nervioso!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Sí me gusta ese color, aunque no creo que tenga que ver con el mío.
line:f9c800f2	I do!	¡Sí!
line:ad9c1ada	I do. But, what happened?	Sí. Pero ¿qué pasó?
line:a45ccf3a	I don't believe I can hold back any longer	No creo poder aguantar más.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	¡No lo entiendo! ¿Por qué tengo que ser así?
line:cc4e48a3	I don't know where they went but I feel dirty again.	No sé adónde fue a parar, pero me siento sucio otra vez.
line:71127249	I don't mean to be rude, but I must decline	No quiero ser descortés, pero debo rechazarlo.
line:f5696cc4	I don't need to tell you.	No tengo por qué contártelo.
line:878fc94c	I don't understand..	No lo entiendo..
line:4f3d31f8	I don't want your pitty!	¡No quiero tu lástima!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Me gusta influir positivamente en la vida de tantas personas.
line:14653182	I enjoy parts of it. The respect is pleasant...	Hay cosas que disfruto. El respeto es agradable...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Me gusta no tener miedo de equivocarme cuando estoy con usted.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Disfruto cuando me indica qué hacer con una palmadita.
line:6db406b4	I enjoyed this quite a lot.	He disfrutado muchísimo de esto.
line:e838533b	I feel as I could say anything to you.	Siento que podría decirle cualquier cosa.
line:9b9567ec	I feel much better.	Me siento mucho mejor.
line:ed6be68f	I feel spotless as always.	Me siento impecable, como siempre.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Olvido lo que desconoce alguien ajeno a la materia. Disculpe.
line:63837f22	I forgot to bite into it so... Nothing?	Olvidé morderla, así que... ¿a nada?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Sí, entiendo que te sientas así después de una ruptura.
line:adf1550f	I give my other bipedal friends rides all the time.	Llevo a mis otros amigos bípedos de paseo todo el tiempo.
line:9a68366f	I got a mount.	Compré un aparato.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Llegué un poco sucio y me gritó.
line:22a9094a	I guess so!	¡Supongo que sí!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Odio meterme siempre en situaciones como esta.
line:366a7f73	I have a question.	Tengo una pregunta.
line:82b63c18	I have something to say!	¡Tengo algo que decir!
line:fd68807c	I have to say, you did as good a job as private washers.	Debo decir que ha trabajado tan bien como un servicio privado.
line:761f413a	I heard a loud bang	Oí un gran estruendo.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Oí un gran estruendo. No creo que Igwix haya sobrevivido.
line:7ede5030	I heard there was kobolds down here that could wash me up?	¿Me dijeron que por aquí había kobolds que podían bañarme?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Me dijeron que por aquí había unos kobolds que podían bañarme.
line:2f9b499a	I honestly don't know how you are doing that.	La verdad, no sé cómo haces eso.
line:6f5dbc90	I hope he's okay too.	Yo también espero que esté bien.
line:cd0197ed	I hope I can learn from that.	Ojalá pueda aprender de eso.
line:cf50dbcc	I hope it all works out.	Espero que todo salga bien.
line:b2dfad3e	I hope so.	Eso espero.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Ojalá. Tengo muchas ganas de empezar de cero con alguien.
line:7429dab7	I hope that you'll help me prove them wrong!	¡Espero que me ayudes a demostrar que no es cierto!
line:be5feb3e	I hope things get better.	Espero que las cosas mejoren.
line:114ac9a0	I hope you're right.	Espero que tengas razón.
line:06744c7e	I just don't like that she takes it out on me.	Solo que no me gusta que se desquite conmigo.
line:1fb02179	I just don't like that she takes it out on me.	Solo que no me gusta que se desquite conmigo.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Solo necesito un baño rápido... Y quizá usar el aparato.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Solo quiero que me haga una pregunta. Cualquiera.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Sabía que estabas muy ocupado, ¡así que decidí traerte la cita!
line:2461773d	I knew you'd have my back	Sabía que me apoyarías.
line:6a671440	I know a decent equine-kin place by the pier.	Conozco un buen restaurante de los equinos cerca del muelle.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Sé que a veces tiene mal genio y se le olvida agradecer.
line:83c55e2e	I know things can be tough.	Sé que las cosas a veces se ponen difíciles.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Sé que tienes que cerrar el local. Te pasaré la dirección y nos vemos allí, ¿sí?
line:ded99a0c	I know, I'll reserve your spot!	¡Lo sé, te guardaré tu sitio!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Lo sé. Pero poder abrirse con alguien, aunque sea de vez en cuando...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Lo sé. Sé que no debería descargarte todo esto.
line:875048ca	I know. I know.	Lo sé. Lo sé.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Me gusta la seguridad que tiene, aunque solo sea a la hora de bañarme.
line:46061aae	I like it! I think you'd enjoy it too.	¡Me gusta! Creo que tú también lo disfrutarías.
line:f4ad8ea6	I like taking care of you.	Me gusta cuidar de usted.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Me gusta el aparato que elegiste. ¿Lo traes?
line:5c86951f	I like you a lot.	Me gustas mucho.
line:a91980fc	I like you for who you are.	Me gusta tal como es.
line:bdca3e1b	I like... him.	Me gusta... él.
line:2b65bf83	I love bubbles, they tickle!	Me encantan las burbujas, ¡hacen cosquillas!
line:f8a4f404	I mean it. Really.	Lo digo en serio. De verdad.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Tengo que ser mejor. <i>Quiero </i>ser mejor.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Necesito quedar impecable. Para eso estás, ¿no? <size=70%>Ja.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Nunca imaginé que le confiaría cosas tan vergonzosas a alguien.
line:0c986dec	I never expected you to be the type to be so messy!	¡No lo imaginaba tan propenso a ensuciarse!
line:95db900b	I never miss a spot.	Nunca se me escapa ni una mancha.
line:d620d41a	I never thought someone like him would be my type...	Nunca pensé que me gustaría alguien como él...
line:67592de1	I probably need to head out though.	Aunque ya debería irme.
line:e41c6dc5	I really do hope it all works out!	¡Espero de verdad que todo salga bien!
line:a722aada	I really think it was this time...	Esta vez de verdad creo que sí...
line:e80e5edd	I see what you're doing, thank you.	Ya veo lo que hace. Gracias.
line:cc6ec337	I see..	Ya veo..
line:d57520b1	I seem to have gotten myself covered in ink!	¡Parece que terminé cubierto de tinta!
line:3b161cf3	I still need more!	¡Todavía necesito más!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Supongo que entiendo que le moleste el desastre que puede causar.
line:234ccfda	I suppose it depends on the circumstances.	Supongo que depende de las circunstancias.
line:910706c0	I think a movie could be fun!	¡Creo que una película podría ser divertida!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Creo que estaba en un mal ambiente. Ahora está mejor.
line:9247b7a0	I think he'd like the new you!	¡Creo que le gustaría esta nueva versión de ti!
line:f4982dcd	I think he's got a crush on me.	Creo que le gusto.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Creo que todavía tengo suciedad de la explosión...
line:4efc873f	I think I like being taken care of?	¿Creo que me gusta que me cuiden?
line:f5d36d9a	I think I might be close..	Creo que ya estoy cerca..
line:52fc4e08	I think I'd like that!	¡Creo que me gustaría!
line:5c78099a	I think I'd like to meet him!	¡Creo que me gustaría conocerlo!
line:14e0edf6	I think I'd like to try!	¡Creo que me gustaría intentarlo!
line:164df75a	I think I'd like to use it?	¿Creo que me gustaría usarlo?
line:4f6168aa	I think I'd like to use it?	¿Creo que me gustaría usarlo?
line:ab314624	I think I'd like to?	¿Creo que me gustaría?
line:170c6aa3	I think I'd like you to be that someone aswell.	A mí también me gustaría que fueras ese alguien.
line:8f46bb17	I think I've got it!	¡Creo que ya entendí!
line:a5e128e0	I think she's upset about something else...	Creo que está enojada por otra cosa...
line:bc2545e7	I think she's upset about something else...	Creo que está enojada por otra cosa...
line:335c5156	I think so!	¡Yo creo que sí!
line:3292625e	I think that would make a decent place! They put on good shows every night.	¡Creo que estaría bien! Tienen buenos espectáculos todas las noches.
line:eaafe671	I think you got every spot!	¡Creo que no se te escapó ninguna mancha!
line:1760e5d5	I think you got every spot.	Creo que no se te escapó ninguna mancha.
line:341175f7	I think you got every spot.	Creo que no se te escapó ninguna mancha.
line:770e7473	I think you got every spot.	Creo que no se te escapó ninguna mancha.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Creo que lo ayudaste mucho más de lo que imaginas.
line:f28fd15d	I think you missed a few spots still...	Creo que todavía te faltaron unas manchas...
line:77509e74	I think you're cool too. Self improvement is hard.	Tú también me pareces genial. Mejorar como persona cuesta.
line:763c6a82	I think you're good looking.	Creo que es guapo.
line:69e7dbb3	I think you're pretty cool, Conrad.	A mí me pareces genial, Conrad.
line:9c393f61	I think you're special too.	Tú también me pareces especial.
line:7d5ae3b4	I usually make do with a hose down at home...	Yo normalmente me arreglo con la manguera de casa...
line:c4fc9b28	I wanna talk face to face!	¡Quiero hablarte cara a cara!
line:548dc375	I want to be more open. It feels good.	Quiero abrirme más. Se siente bien.
line:e02f464d	I was helping the alchemist reach a high shelf	Estaba ayudando al alquimista a alcanzar un estante alto.
line:fa97376e	I was helping the alchemist reach a high shelf	Estaba ayudando al alquimista a alcanzar un estante alto.
line:bb015b1b	I was romping around the forest	Estaba correteando por el bosque.
line:78e2cb13	I was thinking about what you said,	Estaba pensando en lo que dijiste,
line:b8282714	I was thinking.	Estaba pensando.
line:ca616238	I was thinking. We could go out some time next week?	Estaba pensando. ¿Podríamos salir la próxima semana?
line:a13d76ec	I was thinking...	Estaba pensando...
line:c1a4edf0	I wasn't making her happy either.	Ella tampoco era feliz conmigo.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Me tomé la molestia de venir para un baño discreto. Estaba seguro de que nadie me había seguido.
line:db5cd152	I went out with some friends.	Salí con unos amigos.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Pagaré el doble. ¡El triple! ¡Solo usted puede hacer este trabajo!
line:0c31345e	I will, thanks.	Lo haré, gracias.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Lo haré. Solo necesito un baño rápido, y hoy me gustaría usar el aparato.
line:399457b7	I wish it was easy as it is in movies.	Ojalá fuera tan fácil como en las películas.
line:2185f08c	I won't.	No lo haré.
line:45950848	I would like that!	¡Me encantaría eso!
line:099ec7fd	I would love to.	Me encantaría.
line:e6006cd6	I wouldn't mind!	¡Me gustaría!
line:81905be1	I'd like to go out to eat.	Me gustaría salir a comer.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Me encantaría seguir conversando, de verdad, pero pronto empieza la clase.
line:2fe8a558	I'd love to!	¡Me encantaría!
line:87ba56cc	I'll be back again, yeah?	Volveré, ¿sí?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Volveré. Es agradable tenerlo como amigo.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Volveré pronto, ¿sí? Gracias por el baño.
line:d9f422eb	I'll be waiting at the bar for you tonight!	¡Te espero en el bar esta noche!
line:69dff2ec	I'll be waiting for the gate!	¡Aquí espero a que abras la puerta!
line:ae4d09f6	I'll be waiting for the gate!	¡Aquí espero a que abras la puerta!
line:ab616aac	I'll definitely keep this place in mind.	Sin duda tendré presente este lugar.
line:b122441b	I'll get one ordered I promise!	¡Prometo pedir uno!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Ya lo dejo tranquilo. Gracias por el baño.
line:707d2693	I'll get out of your scales...	Ya te dejo tranquilo...
line:ca480eed	I'll get you two in contact then.	Entonces los pondré en contacto.
line:59416000	I'll go get the gate for ya'	Voy a abrirte la puerta.
line:6aa7ad03	I'll go get the gate for ya'	Voy a abrirte la puerta.
line:2a6d7e7d	I'll go get the gate for you.	Voy a abrirte la puerta.
line:8107858d	I'll go get the gate for you.	Voy a abrirle la puerta.
line:d1755010	I'll go get the gate for you.	Voy a abrirte la puerta.
line:4d692a01	I'll go get the gate.	Voy a abrir la puerta.
line:a75bb519	I'll go get the gate.	Voy a abrir la puerta.
line:8689a124	I'll happily get that for you.	Con gusto se lo traigo.
line:48e99d7b	I'll have to close up shop first-	Primero tengo que cerrar el local...
line:f2b894e2	I'll have to reserve your spot while you close up.	Te guardaré tu sitio mientras cierras.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Lo tendré presente. Estoy acostumbrado a que todo sea un intercambio.
line:956a0f47	I'll make sure to ask him next time I see him.	Le preguntaré la próxima vez que lo vea.
line:e64d21e4	I'll make sure to come back.	Volveré, sin falta.
line:7c9fe106	I'll make sure to get out of your scales.	Ya te dejo tranquilo.
line:87006442	I'll make sure to tell others about this place	Voy a recomendar este lugar.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Te contaré cómo va todo, ¿sí?
line:49b6a167	I'll make sure you're <i>spotless.	Me aseguraré de dejarte <i>impecable.
line:96981b61	I'll manage.	Ya saldré adelante.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Necesito que sea rápido. Los alumnos no van a aprender solos.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Tendré que resucitar a Igwix. ¡Qué vergüenza!
line:90a9a98e	I'll see you next time I come in, yeah?	Nos vemos la próxima vez que venga, ¿sí?
line:d0f6a49a	I'll see you next time I come in, yeah?	Nos vemos la próxima vez que venga, ¿sí?
line:160bf40f	I'll start prepping for it.	Voy a empezar a prepararlo.
line:8af64cb8	I'll take care of this, don't you worry.	Yo me encargo, no te preocupes.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Te cuento en un rato. ¿Por ahora puedes abrir la puerta?
line:04c62f9b	I'm <i>spotless</i>.	Estoy <i>impecable</i>.
line:629f8cff	I'm a bit of a big deal around there.	Soy bastante conocido por ahí.
line:d9272031	I'm a dragon.	Soy un dragón.
line:675e7284	I'm a rule breaker!	¡Me gusta romper las reglas!
line:afcd5586	I'm a... kobold.	Soy un... kobold.
line:5d41b5d6	I'm all dirty still!	¡Todavía estoy sucio!
line:2f6eb3c3	I'm all soapy still!	¡Todavía estoy lleno de jabón!
line:18707b19	I'm always happy to give you a wash!	¡Siempre me alegra bañarte!
line:3b01eb3b	I'm always happy to give you a wash!	¡Siempre me alegra bañarte!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Siempre me alegra ayudar. <i><size=70%>Sobre todo a un dragón grande.
line:46c6a3ed	I'm always happy to see you Ryan.	Siempre me alegra verte, Ryan.
line:75206eee	I'm always happy to see you Ryan.	Siempre me alegra verte, Ryan.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Siempre me alegra verlo. Voy a abrirle la puerta.
