# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Здоров, здоровенний псе.
line:9ec40945	Haha. 'Yip' to you too.	Ха-ха. І тобі «дзяв».
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Ха-ха... Так. Я не дуже звик робити компліменти.
line:44689f21	Happy to be back.	Радий повернутися.
line:2672f65d	Happy to be here.	Радий бути тут.
line:192fcb8e	Happy to get it off.	Радий її позбутися.
line:3517b28e	Have a productive day.	Продуктивного вам дня.
line:7c1adc57	He called me, we met up. He's really damn nice.	Він подзвонив, ми зустрілися. Він до біса милий.
line:e71f9a0b	HE DIED!?	ВІН ПОМЕР!?
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Наскільки я зрозумів, про нього... давно вже ніхто особливо не дбав.
line:de25de6e	He just... Knew what to say to snap me out of all that.	А він просто... знав, що сказати, щоб я отямився.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Він воліє «вертикально обмежений»... Але так.
line:04b29e42	He really is.	Він і справді такий.
line:c7e1b369	He really is.	Він і справді такий.
line:c64bd5ce	He said I was chill, we planned a date...	Сказав, що зі мною легко, ми запланували побачення...
line:e8a91447	He's a lot. But, I like it.	Його буває забагато. Але мені це подобається.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Він червоний дракон. Думаю, ви сподобаєтеся один одному!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Він уже повернувся до роботи. Дякую, що допомогли з усім цим.
line:aaea8391	He's been way nicer recently.	Останнім часом він значно добріший.
line:7363c004	He's great.	Він чудовий.
line:c13d4e24	He's hot.	Він гарячий.
line:675d7e37	He's like. SUPER hung.	У нього, ну, ПРОСТО ВЕЛЕТЕНСЬКИЙ.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Він ніби... великий добряк, оточений гострими колючками.
line:800c553d	He's my dream dragon.	Він дракон моєї мрії.
line:4b3c70d9	He's snappy, but tender too!	Він гострий на язик, але й ніжний!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	До мийні ходить один ДУЖЕ милий червоний дракон!
line:4c11c83e	He's tiny, I like being eye level with him.	Він маленький. Подобається, що ми на одному рівні очей.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Він... турботливий. І дуже чуйний.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Чув про тебе й того великого синього. Раян, так?
line:ca4a9672	Heeeey Ryan.	Приві-і-іт, Раяне.
line:24ce37ec	Heeeey.	Приві-і-іт.
line:bb70c1ed	Heh. Yeah.	Хе. Так.
line:3fa80829	Heh. Yeah. I like you too.	Хе. Так. Ти мені теж подобаєшся.
line:20393ff6	Heh. Yeah. That's me.	Хе. Так. Це я.
line:ac769d93	heh.. yea.. sorry..	Хе... Так... Вибач...
line:5246ceea	Heh... alright.	Хе... Гаразд.
line:75fef5cb	Heh... Damn right.	Хе... Ще б пак.
line:5f0edcb2	Heh... Handsy today, huh?	Хе... Сьогодні руки так і тягнуться, га?
line:2f55b3aa	Hehe	Хе-хе.
line:7e991330	Hehe yeah.	Хе-хе, так.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Хе-хе, не можу дочекатися, коли знову почну ходити на побачення.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Хе-хе, дякую. Тут дещо, що має сподобатися нам обом.
line:1a3e2a73	Hell yea	Бляха, так!
line:93f67490	Hell yeah	Бляха, так.
line:389e4033	Hell yeah I did!	Ще б пак, бляха!
line:17dbb9b7	Hell yeah.	Бляха, так.
line:4b7b33d9	Hello!	Привіт!
line:c3d3da41	Hello!	Привіт!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Вітаю, <i>«філія Drag'n'wash № 223»...</i> Ви вже розібралися з взаємодією?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Вітаю, <i>«філія Drag'n'wash № 223»...</i> Ви вже поговорили з першим клієнтом?
line:b7cce838	Hello.	Добрий день.
line:a8779ebf	Hello?	Агов?
line:dd4b34ae	Hello?	Агов?
line:1954aab7	Help the developers out please..	Будь ласка, допоможіть розробникам...
line:db9c3a5c	Help the developers out please..	Будь ласка, допоможіть розробникам...
line:f7f7f5a1	Help the developers out please..	Будь ласка, допоможіть розробникам...
line:fc461784	Help the developers out please..	Будь ласка, допоможіть розробникам...
line:ee3398a6	Hey big guy.	Привіт, велетню.
line:0090c7b0	Hey Conrad!	Привіт, Конраде!
line:3d0a5aeb	Hey Conrad!	Привіт, Конраде!
line:a2b4acea	Hey conrad!	Здоров, Конраде!
line:975a629f	Hey Conrad.	Привіт, Конраде.
line:21235886	Hey could you come up front where I can see you?	Гей, можеш підійти спереду, щоб я тебе бачив?
line:533532c4	Hey fine by me!	Гей, мене влаштовує!
line:1538bc7e	Hey good lookin'	Привіт, красеню.
line:0121c874	Hey hey. Glad you're open.	Гей-гей. Добре, що відчинено.
line:71b651dd	Hey I have something to say!	Гей, хочу дещо сказати!
line:0d4e0ecf	Hey kobold!	Привіт, кобольде!
line:af3f02c9	Hey Ryan, what do you have there?	Привіт, Раяне. Що ти там маєш?
line:6374414d	Hey thanks for being here for me...	Гей, дякую, що ти поруч...
line:bf5ff483	Hey there, happy to be back.	Привіт, радий повернутися.
line:c38b7fa6	Hey there, Ryan!	Привіт тобі, Раяне!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Гей... Може, до такої «ручної роботи» перейдемо пізніше?
line:1b6c7f75	Hey there.	Вітаю.
line:5dacf226	Hey there.	Вітаю.
line:82698bd1	Hey there.	Вітаю.
line:ab3a5d9c	Hey there.	Привіт.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Гей, ем, думаєш, у нас із Раяном <i>справді</i> щось вийде?
line:04501155	Hey uh, I just need a cleaning.	Гей, ем, мені просто треба помитися.
line:2a29842a	Hey uh... Not now.	Гей, ем... Не зараз.
line:8caa3196	Hey uhm, thanks once again.	Гей, ем, ще раз дякую.
line:5c7a9105	Hey!	Гей!
line:eed2cc64	Hey!	Гей!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Гей! Він просто... «вертикально обмежений».
line:55bb78d1	Hey! I'm here for a wash.	Привіт! Прийшов помитися.
line:33480903	Hey, Alexander!	Привіт, Олександре!
line:21fcef4f	Hey, Alexander.	Вітаю, Олександре.
line:14598ca6	Hey, big guy!	Привіт, велетню!
line:e7353d24	Hey, I've got a question for you.	Гей, маю до тебе запитання.
line:674877e5	Hey, nothin' wrong with asking!	Гей, що поганого спитати!
line:d2589856	Hey, welcome back!	Вітаю, з поверненням!
line:0d3e4054	Hey.	Привіт.
line:aa0dda7b	Hey.	Слухай.
line:7f2e2736	Hey... little guy!	Привіт... малюче!
line:933efa6d	Hi again!	Знову привіт!
line:873a2b9a	Hi again..	Знову привіт...
line:83ac5b68	Hi Conrad.	Привіт, Конраде.
line:050efd1a	Hi, Ryan!	Привіт, Раяне!
line:06ed6aea	Hiiiii! Hiii!	Віта-а-аю! Вітаю!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Його фізична форма зараз відновлюється у викладацькій.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Гм, мабуть, відмовлюся від станка.
line:370d719b	Hm?	Гм?
line:3c3ddd0c	Hm?	Гм?
line:44658d73	Hmm...	Гмм...
line:bf059ff3	Hmm...	Гмм...
line:730b1ca4	Hmm?	Гмм?
line:fc571337	Hmmm, maybe something else?	Гмм, може, щось інше?
line:19207e44	Hold on a little longer for me?	Потримаєтеся для мене ще трохи?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Чесно, я здивований, як це приємно.
line:a2ff0176	Hope it went well.	Сподіваюся, усе пройшло добре.
line:b17360a0	Hope that's alright?	Сподіваюся, ти не проти?
line:ae08853f	Hope you're doing alright!	Сподіваюся, у вас усе добре!
line:e1fa2461	Hopefully! I'll go get the gate.	Сподіваюся! Відчиню браму.
line:99931b37	Hopefully.	Сподіваюся.
line:d9c91bca	How about you though? have you been seeing anyone?	А ти? З кимось зустрічаєшся?
line:4ec92454	How about you? Anyone exciting?	А ти? Є хтось цікавий?
line:86bde306	How are you with seafood?	Як ти ставишся до морепродуктів?
line:7fb611c9	How come you brought this all in?	Чому ти все це приніс?
line:af0d0972	How come you're covered in ink?	Чому ви весь у чорнилі?
line:e385b7f3	How did it go?	Як усе пройшло?
line:c0161bbc	How did it taste?	Який він був на смак?
line:262b262e	how do I get in?	Як мені зайти?
line:676b0638	how do I get in?	Як мені зайти?
line:8308bb09	How do I look?	Як я виглядаю?
line:4f172746	How do you even digest that?	Як ти взагалі це перетравлюєш?
line:28d390ac	How so?	У якому сенсі?
line:4ef9fe65	How so?	У якому сенсі?
line:ea66b5af	How so?	У якому сенсі?
line:4b29790b	How was the sex.	Як секс?
line:7736270c	How was your date with Conrad?	Як пройшло побачення з Конрадом?
line:18d418ab	However, it's ornamental! My family crest. You see...	Проте це прикраса! Мій родовий герб. Розумієте...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Проте мій <i>образ</i> значно довговічніший за минущі фізичні форми Іґвікса.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Проте разом із повагою приходить очікування, що я поводитимусь відповідно до зовнішності. Це неймовірно виснажує.
line:d2baf9e2	However...	Проте...
line:fb8401c3	Huff...	Уф...
line:b54ee04d	huff... Thank you for that.	Уф... Дякую вам за це.
line:16420ca7	Huff... Thanks for that.	Уф... Дякую за це.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Уф... Це було приємно... Хоча трохи забруднив тут усе.
line:ae83cfb6	huh...?	Га...?
line:0c78b56b	Huh?	Га?
line:e96114a2	Huh? ofcourse not!	Га? Звісно, ні!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>Гадаю,</i> я розлив на себе чорнильницю <i>дорогою сюди</i>. Який же я незграбний!
line:d37175c7	I act tough but am a small dragon...	Я вдаю крутого, але ж я маленький дракон...
line:b4e27683	I agree	Згоден.
line:68ebf07b	I allowed him, as my stature provides ample height.	Я дозволив, адже мій зріст забезпечує достатню висоту.
line:a051821a	I already feel a lot better.	Мені вже значно краще.
line:49bfbfbe	I already have spot at the club reserved.	Я вже забронював місце в клубі.
line:14ff4edd	I always do~	Я завжди так~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Завжди чекаю на тебе. Відчиню браму.
line:52bf5ede	I am THE kobold. Yip!	Я ТОЙ САМИЙ кобольд. Дзяв!
line:141c006f	I am too.	Я теж.
line:363f6f6a	I am too.	Я теж.
line:405b9622	I am too.	Я теж.
line:d4c5faea	I am too.	Я теж.
line:556897bf	I am! Even better now that you're here.	Так! А тепер, коли ви тут, ще краще.
line:e499b2cc	I am.	Так, щасливий.
line:5ec8bb55	I believe that's in part because of you.	Гадаю, частково завдяки вам.
line:9883786d	I booked the night.	Я забронював на всю ніч.
line:eae85bf9	I broke up with my partner...	Я розійшовся зі своєю дівчиною...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Приніс кавун, хліб, виноград і ще дещо.
line:e8aa18f4	I can digest pretty much anything.	Я можу перетравити майже все.
line:7f543c2a	I can let loose whenever you are ready	Можу випустити все, щойно будеш готовий.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Не віриться, що Іґвікс міг так помилитися!
line:e051a79e	I consider you a good friend too	Я теж вважаю тебе добрим другом.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Можу дістати нам <i>найкращі</i> місця на їхнє шоу.
line:2602b8c6	I could use a wash.	Не завадило б помитися.
line:c66153d3	I couldn't help but notice the... device over there.	Не міг не помітити той... пристрій.
line:b71f0756	I decided to try baking.	Вирішив спробувати щось спекти.
line:e62b989c	I decided to try baking.	Вирішив спробувати щось спекти.
line:efea7148	I decided to try baking.	Вирішив спробувати щось спекти.
line:98f800d3	I didn't know anyone could like me that much so easily.	Не знав, що можу комусь так швидко настільки сподобатися.
line:4116f001	I didn't know what the button did.	Я не знав, що робить кнопка.
line:7a5c7f54	I didn't mean to fluster you!	Не хотів тебе бентежити!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Цей колір мені подобається. Хоча навряд чи це пов'язано з моїм забарвленням.
line:f9c800f2	I do!	Так, вважаю!
line:ad9c1ada	I do. But, what happened?	Є. Але що сталося?
line:a45ccf3a	I don't believe I can hold back any longer	Не думаю, що можу стримуватися довше.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Не розумію! Чому я так поводжуся?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Не знаю, куди подівся алхімік, але знову почуваюся брудним.
line:71127249	I don't mean to be rude, but I must decline	Не хочу бути нечемним, але мушу відмовитися.
line:f5696cc4	I don't need to tell you.	Не зобов'язаний тобі розповідати.
line:878fc94c	I don't understand..	Не розумію...
line:4f3d31f8	I don't want your pitty!	Не треба мене жаліти!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Мені подобається позитивно впливати на життя стількох людей.
line:14653182	I enjoy parts of it. The respect is pleasant...	Деякі сторони мені подобаються. Повага приємна...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Мені подобається, що поруч із вами я не боюся помилитися.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Мені подобається, коли ви поплескуванням руки вказуєте, що робити.
line:6db406b4	I enjoyed this quite a lot.	Мені дуже сподобалося.
line:e838533b	I feel as I could say anything to you.	Здається, я можу сказати вам що завгодно.
line:9b9567ec	I feel much better.	Почуваюся значно краще.
line:ed6be68f	I feel spotless as always.	Як завжди, почуваюся бездоганно чистим.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Забуваю про необізнаність нефахівців. Перепрошую.
line:63837f22	I forgot to bite into it so... Nothing?	Забув його надкусити, тож... ніякий?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Розумію, чому ти так почуваєшся після розриву.
line:adf1550f	I give my other bipedal friends rides all the time.	Постійно катаю інших своїх двоногих друзів.
line:9a68366f	I got a mount.	Я дістав станок.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Я повернувся трохи брудний. А вона накричала на мене.
line:22a9094a	I guess so!	Схоже на те!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Ненавиджу, що постійно встрягаю в таке.
line:366a7f73	I have a question.	Маю запитання.
line:82b63c18	I have something to say!	Хочу дещо сказати!
line:fd68807c	I have to say, you did as good a job as private washers.	Мушу визнати, ви впоралися не гірше за приватних мийників.
line:761f413a	I heard a loud bang	Я почув гучний вибух.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Почув гучний вибух. Не думаю, що Іґвікс вижив.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Чув, тут унизу є кобольди, які можуть мене помити?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Чув, тут унизу є кобольди, які могли б мене помити?
line:2f9b499a	I honestly don't know how you are doing that.	Чесно, не знаю, як ти це робиш.
line:6f5dbc90	I hope he's okay too.	Теж сподіваюся, що він у порядку.
line:cd0197ed	I hope I can learn from that.	Сподіваюся, зможу цього навчитися.
line:cf50dbcc	I hope it all works out.	Сподіваюся, усе складеться.
line:b2dfad3e	I hope so.	Сподіваюся.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Сподіваюся. Дуже хочу почати з кимось із чистого аркуша.
line:7429dab7	I hope that you'll help me prove them wrong!	Сподіваюся, ти допоможеш мені довести протилежне!
line:be5feb3e	I hope things get better.	Сподіваюся, усе налагодиться.
line:114ac9a0	I hope you're right.	Сподіваюся, ти маєш рацію.
line:06744c7e	I just don't like that she takes it out on me.	Мені просто не подобається, що вона зривається на мені.
line:1fb02179	I just don't like that she takes it out on me.	Мені просто не подобається, що вона зривається на мені.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Мені тільки швидко помитися... Може, і станок був би доречний.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Просто хочу, щоб ви мене про щось запитали. Про що завгодно.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Знав, що ти дуже зайнятий, тож вирішив принести побачення до тебе!
line:2461773d	I knew you'd have my back	Знав, що ти мене підтримаєш.
line:6a671440	I know a decent equine-kin place by the pier.	Біля пірса знаю непоганий заклад кінського народу.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Знаю, він буває запальним і забуває дякувати.
line:83c55e2e	I know things can be tough.	Знаю, буває важко.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Знаю, тобі треба закрити мийню. Передам адресу, і зустрінемося там, добре?
line:ded99a0c	I know, I'll reserve your spot!	Знаю, притримаю тобі місце!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Знаю. Але можливість комусь відкритися, хоч іноді...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Знаю. Знаю, не варто вивалювати це на тебе.
line:875048ca	I know. I know.	Знаю. Знаю.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Подобається ваша впевненість. Навіть якщо йдеться лише про миття.
line:46061aae	I like it! I think you'd enjoy it too.	Мені подобається! Думаю, тобі теж сподобається.
line:f4ad8ea6	I like taking care of you.	Мені подобається дбати про вас.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Гарний станок ти вибрав. Принесеш?
line:5c86951f	I like you a lot.	Ти мені дуже подобаєшся.
line:a91980fc	I like you for who you are.	Ви подобаєтеся мені таким, який є.
line:bdca3e1b	I like... him.	Мені подобається... він.
line:2b65bf83	I love bubbles, they tickle!	Обожнюю бульбашки, вони лоскочуть!
line:f8a4f404	I mean it. Really.	Я серйозно. Справді.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Мені треба стати кращим. Я <i>хочу</i> стати кращим.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Мені треба сяяти чистотою. Схоже, ти саме для цього. <size=70%>Ха.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Ніколи не думав, що довірю комусь такі ніякові речі.
line:0c986dec	I never expected you to be the type to be so messy!	Ніколи б не подумав, що ви можете так забруднитися!
line:95db900b	I never miss a spot.	Не пропускаю жодної плямки.
line:d620d41a	I never thought someone like him would be my type...	Ніколи не думав, що хтось такий може бути в моєму смаку...
line:67592de1	I probably need to head out though.	Але, мабуть, уже треба йти.
line:e41c6dc5	I really do hope it all works out!	Дуже сподіваюся, що все вийде!
line:a722aada	I really think it was this time...	Цього разу, здається, таки моя...
line:e80e5edd	I see what you're doing, thank you.	Розумію ваш задум. Дякую.
line:cc6ec337	I see..	Розумію...
line:d57520b1	I seem to have gotten myself covered in ink!	Здається, я весь забруднився чорнилом!
line:3b161cf3	I still need more!	Мені ще треба!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Розумію, що бруд, який він приносить, може не подобатися.
line:234ccfda	I suppose it depends on the circumstances.	Мабуть, залежить від обставин.
line:910706c0	I think a movie could be fun!	Думаю, в кіно було б весело!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Думаю, він був у поганому оточенні. Тепер йому краще.
line:9247b7a0	I think he'd like the new you!	Думаю, йому сподобається новий ти!
line:f4982dcd	I think he's got a crush on me.	Здається, я йому подобаюся.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Здається, на мені ще лишився бруд від вибуху...
line:4efc873f	I think I like being taken care of?	Здається, мені подобається, коли про мене піклуються?
line:f5d36d9a	I think I might be close..	Здається, я вже близько...
line:52fc4e08	I think I'd like that!	Гадаю, мені б це сподобалося!
line:5c78099a	I think I'd like to meet him!	Думаю, я б хотів із ним познайомитися!
line:14e0edf6	I think I'd like to try!	Здається, я хочу спробувати!
line:164df75a	I think I'd like to use it?	Мабуть, хотів би ним скористатися?
line:4f6168aa	I think I'd like to use it?	Мабуть, хотів би ним скористатися?
line:ab314624	I think I'd like to?	Мабуть, я хотів би?
line:170c6aa3	I think I'd like you to be that someone aswell.	Мені теж хотілося б, щоб цим кимось був ти.
line:8f46bb17	I think I've got it!	Здається, розібрався!
line:a5e128e0	I think she's upset about something else...	Здається, її засмучує щось інше...
line:bc2545e7	I think she's upset about something else...	Здається, її засмучує щось інше...
line:335c5156	I think so!	Думаю, так!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Думаю, він підійде! Там щовечора хороші шоу.
line:eaafe671	I think you got every spot!	Здається, ти нічого не пропустив!
line:1760e5d5	I think you got every spot.	Здається, ти нічого не пропустив.
line:341175f7	I think you got every spot.	Здається, ти нічого не пропустив.
line:770e7473	I think you got every spot.	Здається, ти нічого не пропустив.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Думаю, ти допоміг йому значно більше, ніж усвідомлюєш.
line:f28fd15d	I think you missed a few spots still...	Здається, ти ще кілька місць пропустив...
line:77509e74	I think you're cool too. Self improvement is hard.	Ти теж класний. Працювати над собою важко.
line:763c6a82	I think you're good looking.	На мою думку, ви гарний.
line:69e7dbb3	I think you're pretty cool, Conrad.	Як на мене, ти класний, Конраде.
line:9c393f61	I think you're special too.	Для мене ти теж особливий.
line:7d5ae3b4	I usually make do with a hose down at home...	Я зазвичай просто обливаюся зі шланга вдома...
line:c4fc9b28	I wanna talk face to face!	Хочу поговорити віч-на-віч!
line:548dc375	I want to be more open. It feels good.	Хочу бути відкритішим. Це приємно.
line:e02f464d	I was helping the alchemist reach a high shelf	Я допомагав алхімікові дістатися до високої полиці.
line:fa97376e	I was helping the alchemist reach a high shelf	Я допомагав алхімікові дістатися до високої полиці.
line:bb015b1b	I was romping around the forest	Я гасав лісом.
line:78e2cb13	I was thinking about what you said,	Я думав про твої слова.
line:b8282714	I was thinking.	Я тут подумав.
line:ca616238	I was thinking. We could go out some time next week?	Думав, може, сходимо кудись наступного тижня?
line:a13d76ec	I was thinking...	Я тут подумав...
line:c1a4edf0	I wasn't making her happy either.	І вона зі мною теж.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Я доклав стільки зусиль, щоб помитися непомітно, й був певен, що за мною ніхто не стежить.
line:db5cd152	I went out with some friends.	Гуляв із друзями.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Заплачу вдвічі більше. Утричі! Лише ви здатні з цим упоратися!
line:0c31345e	I will, thanks.	Зайду, дякую.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Розповім. Тільки швидко помиюся, і сьогодні не відмовлюся від станка.
line:399457b7	I wish it was easy as it is in movies.	Якби ж усе було так просто, як у кіно.
line:2185f08c	I won't.	Не скажу.
line:45950848	I would like that!	Мені б це сподобалося!
line:099ec7fd	I would love to.	З радістю.
line:e6006cd6	I wouldn't mind!	Я не проти!
line:81905be1	I'd like to go out to eat.	Хотів би кудись піти поїсти.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Я б залюбки ще поговорив, справді, але скоро заняття.
line:2fe8a558	I'd love to!	Із радістю!
line:87ba56cc	I'll be back again, yeah?	Я ще зайду, добре?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Я ще повернуся. Приємно мати такого друга, як ви.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Скоро повернуся, добре? Дякую за миття.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Увечері чекатиму на тебе в барі!
line:69dff2ec	I'll be waiting for the gate!	Чекатиму, поки відчиниш!
line:ae4d09f6	I'll be waiting for the gate!	Чекатиму, поки відчиниш!
line:ab616aac	I'll definitely keep this place in mind.	Неодмінно запам'ятаю це місце.
line:b122441b	I'll get one ordered I promise!	Замовлю, обіцяю!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Тепер не плутатимусь у вас під лапами. Дякую за миття.
line:707d2693	I'll get out of your scales...	Не плутатимусь тобі під лапами...
line:ca480eed	I'll get you two in contact then.	Тоді познайомлю вас.
line:59416000	I'll go get the gate for ya'	Відчиню тобі браму.
line:6aa7ad03	I'll go get the gate for ya'	Відчиню тобі браму.
line:2a6d7e7d	I'll go get the gate for you.	Піду відчиню тобі браму.
line:8107858d	I'll go get the gate for you.	Піду відчиню вам браму.
line:d1755010	I'll go get the gate for you.	Піду відчиню тобі браму.
line:4d692a01	I'll go get the gate.	Піду відчиню браму.
line:a75bb519	I'll go get the gate.	Піду відчиню браму.
line:8689a124	I'll happily get that for you.	З радістю принесу його вам.
line:48e99d7b	I'll have to close up shop first-	Спершу мені треба закритися...
line:f2b894e2	I'll have to reserve your spot while you close up.	Поки закриватимешся, притримаю тобі місце.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Запам'ятаю. Я звик, що все має бути обміном послугами.
line:956a0f47	I'll make sure to ask him next time I see him.	Обов'язково спитаю його, коли побачу.
line:e64d21e4	I'll make sure to come back.	Обов'язково повернуся.
line:7c9fe106	I'll make sure to get out of your scales.	Не плутатимусь під лапами.
line:87006442	I'll make sure to tell others about this place	Обов'язково розповім іншим про це місце.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Обов'язково розповім, як усе пройшло, добре?
line:49b6a167	I'll make sure you're <i>spotless.	Подбаю, щоб ти був <i>бездоганно чистий.
line:96981b61	I'll manage.	Упораюся.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Треба буде поквапитися, студенти самі себе не навчать.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Доведеться воскресити Іґвікса. Як ніяково!
line:90a9a98e	I'll see you next time I come in, yeah?	Побачимося, коли знову зайду, добре?
line:d0f6a49a	I'll see you next time I come in, yeah?	Побачимося, коли знову зайду, добре?
line:160bf40f	I'll start prepping for it.	Почну все готувати.
line:8af64cb8	I'll take care of this, don't you worry.	Я про це подбаю, не хвилюйся.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Трохи згодом розповім. Поки що просто відчини браму, добре?
line:04c62f9b	I'm <i>spotless</i>.	Я <i>бездоганно чистий</i>.
line:629f8cff	I'm a bit of a big deal around there.	Мене там добре знають.
line:d9272031	I'm a dragon.	Я дракон.
line:675e7284	I'm a rule breaker!	Я порушник правил!
line:afcd5586	I'm a... kobold.	Я... кобольд.
line:5d41b5d6	I'm all dirty still!	Я ще весь брудний!
line:2f6eb3c3	I'm all soapy still!	Я ще весь у милі!
line:18707b19	I'm always happy to give you a wash!	Завжди радий тебе помити!
line:3b01eb3b	I'm always happy to give you a wash!	Завжди радий тебе помити!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Завжди радий допомогти. <i><size=70%>Особливо великому дракону.
line:46c6a3ed	I'm always happy to see you Ryan.	Завжди радий тебе бачити, Раяне.
line:75206eee	I'm always happy to see you Ryan.	Завжди радий тебе бачити, Раяне.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Я завжди радий вас бачити. Відчиню вам браму.
line:07e5fc05	I'm amazed!	Я вражений!
line:4586d55d	I'm an asshole. I know I am.	Я мудак. Я це знаю.
line:a6d46685	I'm certain he also finds you pleasant!	Певен, йому теж приємно бути з вами!
line:ef399e26	I'm doing good!	У мене все добре!
line:a6c1f2f4	I'm excited for you!	Я за тебе радий!
line:94fbdbf0	I'm excited for you. I'll get the gate!	Радий за тебе. Відчиню браму!
line:f83e4966	I'm excited to hear about it!	Дуже хочу про це почути!
line:bd55b8f4	I'm excited to see them washing down the drain though.	Але вже чекаю, коли вони попливуть у стік.
line:24832f01	I'm excited.	Не можу дочекатися.
line:69f406a6	I'm excited.	Не можу дочекатися.
line:a00f681d	I'm excited.	Не можу дочекатися.
line:a0479425	I'm excited.	Не можу дочекатися.
line:b5d7d26f	I'm excited.	Не можу дочекатися.
line:d66b9155	I'm excited.	Не можу дочекатися.
