# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Salut, gros toutou.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ha. Si seulement il y avait un kobold pour me laver.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ha. Oui. <size=70%><i>C'est cool qu'on apprenne à branler les dragons à l'école de lavage...
line:50a559bb	Hah... <size=70%> yeah.	Ha... <size=70%>Oui.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ha... Tu vas me branler maintenant ? Ça me va.
line:4e920759	Hah... Yeah I'm excited.	Ha... Ouais, j'ai hâte.
line:b36365ce	Hah... Yeah...	Ha... Ouais...
line:b8724c64	Hah... you do like that noise.	Ha... Tu aimes vraiment faire ce bruit.
line:c8cde395	Haha, 'Yip' indeed.	Haha, « yip », en effet.
line:680991cf	Haha, yes. Happy to see you.	Haha, oui. Ravi de vous voir.
line:4c27b031	Haha, you certainly are!	Haha, ça, je vois !
line:c3a2e14e	Haha, you certainly are!	Haha, ça, je vois !
line:9ec40945	Haha. 'Yip' to you too.	Haha. « Yip » à toi aussi.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... Ouais. J'ai pas vraiment l'habitude de faire des compliments.
line:44689f21	Happy to be back.	Ravi d'être de retour.
line:2672f65d	Happy to be here.	Content d'être ici.
line:192fcb8e	Happy to get it off.	Content de m'en débarrasser.
line:3517b28e	Have a productive day.	Bonne journée de travail.
line:7c1adc57	He called me, we met up. He's really damn nice.	Il m'a appelé, on s'est vus. Il est vraiment adorable.
line:e71f9a0b	HE DIED!?	IL EST MORT ?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Ça faisait longtemps que personne ne... Enfin, ne se souciait de lui, d'après ce que j'ai compris.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Il a juste... su quoi dire pour me faire réagir.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Il préfère « limité verticalement »... Mais oui.
line:04b29e42	He really is.	Vraiment.
line:c7e1b369	He really is.	Vraiment.
line:c64bd5ce	He said I was chill, we planned a date...	Il a dit que j'étais cool, on a prévu un rendez-vous...
line:e8a91447	He's a lot. But, I like it.	Il est intense. Mais ça me plaît.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	C'est un dragon rouge. Je pense que vous vous plairiez !
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Il a déjà repris le travail. Merci de votre aide pour cette affaire.
line:aaea8391	He's been way nicer recently.	Il est beaucoup plus gentil, ces derniers temps.
line:7363c004	He's great.	Il est formidable.
line:c13d4e24	He's hot.	Il est canon.
line:675d7e37	He's like. SUPER hung.	Il est genre... SUPER bien monté.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	C'est comme... un grand tendre entouré de piquants.
line:800c553d	He's my dream dragon.	C'est le dragon de mes rêves.
line:4b3c70d9	He's snappy, but tender too!	Il a mauvais caractère, mais il est tendre aussi !
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Un dragon rouge VRAIMENT mignon qui vient se faire laver !
line:4c11c83e	He's tiny, I like being eye level with him.	Il est petit. J'aime pouvoir le regarder à ma hauteur.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Il est... attentionné. Et vraiment compréhensif.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	J'ai entendu parler de toi et du grand bleu. Ryan, c'est ça ?
line:ca4a9672	Heeeey Ryan.	Saluuut, Ryan.
line:24ce37ec	Heeeey.	Saluuut.
line:bb70c1ed	Heh. Yeah.	Hé. Ouais.
line:3fa80829	Heh. Yeah. I like you too.	Hé. Oui. Toi aussi, tu me plais.
line:20393ff6	Heh. Yeah. That's me.	Hé. Ouais. C'est moi.
line:ac769d93	heh.. yea.. sorry..	Hé... Oui... Désolé..
line:5246ceea	Heh... alright.	Hé... D'accord.
line:75fef5cb	Heh... Damn right.	Hé... Carrément.
line:5f0edcb2	Heh... Handsy today, huh?	Hé... Tu as les mains baladeuses, aujourd'hui ?
line:2f55b3aa	Hehe	Héhé.
line:7e991330	Hehe yeah.	Héhé, oui.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Héhé, j'ai hâte de refaire des rencontres.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Héhé, merci. Il y a de quoi nous régaler tous les deux.
line:1a3e2a73	Hell yea	Putain, ouais.
line:93f67490	Hell yeah	Putain, ouais.
line:389e4033	Hell yeah I did!	Putain, et comment !
line:17dbb9b7	Hell yeah.	Putain, ouais.
line:4b7b33d9	Hello!	Bonjour !
line:c3d3da41	Hello!	Bonjour !
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Bonjour, <i>« franchise Drag'n'wash 223 »...</i> As-tu compris comment interagir ?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Bonjour, <i>« franchise Drag'n'wash 223 »...</i> As-tu déjà parlé à ton premier client ?
line:b7cce838	Hello.	Bonjour.
line:a8779ebf	Hello?	Il y a quelqu'un ?
line:dd4b34ae	Hello?	Il y a quelqu'un ?
line:1954aab7	Help the developers out please..	Merci d'aider les développeurs...
line:db9c3a5c	Help the developers out please..	Merci d'aider les développeurs...
line:f7f7f5a1	Help the developers out please..	Merci d'aider les développeurs...
line:fc461784	Help the developers out please..	Merci d'aider les développeurs...
line:ee3398a6	Hey big guy.	Salut, mon grand.
line:0090c7b0	Hey Conrad!	Salut, Conrad !
line:3d0a5aeb	Hey Conrad!	Salut, Conrad !
line:a2b4acea	Hey conrad!	Salut, Conrad !
line:975a629f	Hey Conrad.	Salut, Conrad.
line:21235886	Hey could you come up front where I can see you?	Hé, tu peux venir devant pour que je te voie ?
line:533532c4	Hey fine by me!	Hé, moi, ça me va !
line:1538bc7e	Hey good lookin'	Salut, beau gosse.
line:0121c874	Hey hey. Glad you're open.	Salut, salut. Content que ce soit ouvert.
line:71b651dd	Hey I have something to say!	Hé, j'ai quelque chose à te dire !
line:0d4e0ecf	Hey kobold!	Salut, kobold !
line:af3f02c9	Hey Ryan, what do you have there?	Salut, Ryan, qu'est-ce que tu apportes ?
line:6374414d	Hey thanks for being here for me...	Hé, merci d'être là pour moi...
line:bf5ff483	Hey there, happy to be back.	Salut, ça fait plaisir de revenir.
line:c38b7fa6	Hey there, Ryan!	Salut, Ryan !
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Hé... On pourrait garder les mains baladeuses pour plus tard ?
line:1b6c7f75	Hey there.	Bonjour.
line:5dacf226	Hey there.	Bonjour.
line:82698bd1	Hey there.	Bonjour.
line:ab3a5d9c	Hey there.	Salut.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Hé, euh, tu crois que ça va <i>vraiment</i> marcher entre Ryan et moi ?
line:04501155	Hey uh, I just need a cleaning.	Hé, euh, il me faut juste un bain.
line:2a29842a	Hey uh... Not now.	Hé, euh... Pas maintenant.
line:8caa3196	Hey uhm, thanks once again.	Hé, euh... Merci encore.
line:5c7a9105	Hey!	Salut !
line:eed2cc64	Hey!	Salut !
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Hé ! Il est juste... « limité verticalement ».
line:55bb78d1	Hey! I'm here for a wash.	Salut ! Je viens pour un bain.
line:33480903	Hey, Alexander!	Bonjour, Alexander !
line:21fcef4f	Hey, Alexander.	Bonjour, Alexander.
line:14598ca6	Hey, big guy!	Bonjour, mon grand !
line:e7353d24	Hey, I've got a question for you.	Hé, j'ai une question pour toi.
line:674877e5	Hey, nothin' wrong with asking!	Hé, y a pas de mal à demander !
line:d2589856	Hey, welcome back!	Bonjour, content de vous revoir !
line:0d3e4054	Hey.	Hé.
line:aa0dda7b	Hey.	Hé.
line:7f2e2736	Hey... little guy!	Salut... mon petit !
line:933efa6d	Hi again!	Rebonjour !
line:873a2b9a	Hi again..	Rebonjour..
line:83ac5b68	Hi Conrad.	Salut, Conrad.
line:050efd1a	Hi, Ryan!	Salut, Ryan !
line:06ed6aea	Hiiiii! Hiii!	Bonjouuur ! Bonjouuur !
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Son enveloppe physique se reconstitue actuellement dans la salle des professeurs.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Mmh, je crois que je vais passer mon tour pour le chevalet.
line:370d719b	Hm?	Mmh ?
line:3c3ddd0c	Hm?	Mmh ?
line:44658d73	Hmm...	Mmm...
line:bf059ff3	Hmm...	Mmm...
line:730b1ca4	Hmm?	Mmm ?
line:fc571337	Hmmm, maybe something else?	Mmm, peut-être autre chose ?
line:19207e44	Hold on a little longer for me?	Vous pouvez tenir encore un peu pour moi ?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Franchement, je suis surpris que ce soit aussi agréable.
line:a2ff0176	Hope it went well.	J'espère que ça s'est bien passé.
line:b17360a0	Hope that's alright?	J'espère que ça ne te dérange pas ?
line:ae08853f	Hope you're doing alright!	J'espère que vous allez bien !
line:e1fa2461	Hopefully! I'll go get the gate.	J'espère ! Je vais ouvrir le portail.
line:99931b37	Hopefully.	J'espère.
line:d9c91bca	How about you though? have you been seeing anyone?	Et toi ? Tu vois quelqu'un ?
line:4ec92454	How about you? Anyone exciting?	Et toi ? Quelqu'un en vue ?
line:86bde306	How are you with seafood?	Tu aimes les produits de la mer ?
line:7fb611c9	How come you brought this all in?	Pourquoi tu as apporté tout ça ?
line:af0d0972	How come you're covered in ink?	Comment avez-vous fait pour vous couvrir d'encre ?
line:e385b7f3	How did it go?	Comment ça s'est passé ?
line:c0161bbc	How did it taste?	Quel goût ça avait ?
line:262b262e	how do I get in?	comment je fais pour entrer ?
line:676b0638	how do I get in?	comment je fais pour entrer ?
line:8308bb09	How do I look?	Comment tu me trouves ?
line:4f172746	How do you even digest that?	Comment tu fais pour digérer ça ?
line:28d390ac	How so?	Comment ça ?
line:4ef9fe65	How so?	Comment ça ?
line:ea66b5af	How so?	Comment ça ?
line:4b29790b	How was the sex.	C'était comment, au lit ?
line:7736270c	How was your date with Conrad?	Comment s'est passé ton rendez-vous avec Conrad ?
line:18d418ab	However, it's ornamental! My family crest. You see...	Mais il est purement ornemental ! C'est mon emblème familial. Voyez-vous...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Cependant, mon <i>image</i> est bien plus durable que les enveloppes physiques éphémères d'Igwyx.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Mais ce respect s'accompagne de l'attente que j'agisse à la hauteur de mon apparence. C'est incroyablement stressant.
line:d2baf9e2	However...	Cependant...
line:fb8401c3	Huff...	Pfiou...
line:b54ee04d	huff... Thank you for that.	Pfiou... Merci pour cela.
line:16420ca7	Huff... Thanks for that.	Pfiou... Merci pour ça.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Pfiou... C'était agréable... Même si j'en ai mis un peu partout.
line:ae83cfb6	huh...?	Hein... ?
line:0c78b56b	Huh?	Hein ?
line:e96114a2	Huh? ofcourse not!	Hein ? Bien sûr que non !
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	Je <i>crois </i>avoir renversé un encrier <i>en venant ici</i>. Quelle maladresse !
line:d37175c7	I act tough but am a small dragon...	Je joue les durs, mais je suis un petit dragon...
line:b4e27683	I agree	Je suis d'accord.
line:68ebf07b	I allowed him, as my stature provides ample height.	J'ai accepté, puisque ma stature lui offrait une hauteur suffisante.
line:a051821a	I already feel a lot better.	Je me sens déjà bien mieux.
line:49bfbfbe	I already have spot at the club reserved.	J'ai déjà réservé une place au club.
line:14ff4edd	I always do~	Comme toujours~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	J'ai toujours hâte de te voir. Je vais ouvrir le portail.
line:52bf5ede	I am THE kobold. Yip!	Je suis LE kobold. Yip !
line:141c006f	I am too.	Moi aussi.
line:363f6f6a	I am too.	Moi aussi.
line:405b9622	I am too.	Moi aussi.
line:d4c5faea	I am too.	Moi aussi.
line:556897bf	I am! Even better now that you're here.	Oui ! Encore mieux maintenant que vous êtes là.
line:e499b2cc	I am.	Je le suis.
line:5ec8bb55	I believe that's in part because of you.	Et je crois que c'est en partie grâce à vous.
line:9883786d	I booked the night.	J'ai réservé pour la nuit.
line:eae85bf9	I broke up with my partner...	J'ai rompu avec ma copine...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	J'ai apporté de la pastèque, du pain, du raisin et d'autres choses.
line:e8aa18f4	I can digest pretty much anything.	Je peux digérer à peu près n'importe quoi.
line:7f543c2a	I can let loose whenever you are ready	Je peux lâcher la sauce quand t'es prêt.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Je n'arrive pas à croire qu'Igwix ait commis une telle erreur !
line:e051a79e	I consider you a good friend too	Moi aussi, je te considère comme un bon ami.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Je pourrais nous avoir les <i>meilleures</i> places pour le spectacle.
line:2602b8c6	I could use a wash.	Un bain me ferait du bien.
line:c66153d3	I couldn't help but notice the... device over there.	Je n'ai pu m'empêcher de remarquer... l'appareil, là-bas.
line:b71f0756	I decided to try baking.	J'ai décidé d'essayer la pâtisserie.
line:e62b989c	I decided to try baking.	J'ai décidé d'essayer la pâtisserie.
line:efea7148	I decided to try baking.	J'ai décidé d'essayer la pâtisserie.
line:98f800d3	I didn't know anyone could like me that much so easily.	Je ne pensais pas pouvoir plaire autant à quelqu'un aussi facilement.
line:4116f001	I didn't know what the button did.	Je ne savais pas à quoi servait le bouton.
line:7a5c7f54	I didn't mean to fluster you!	Je ne voulais pas te faire perdre tes moyens !
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	J'aime cette couleur, même si je ne crois pas que cela ait un rapport avec ma propre teinte.
line:f9c800f2	I do!	Tout à fait !
line:ad9c1ada	I do. But, what happened?	Oui. Mais qu'est-ce qui s'est passé ?
line:a45ccf3a	I don't believe I can hold back any longer	Je ne crois pas pouvoir me retenir davantage.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Je comprends pas ! Pourquoi faut que je me comporte comme ça ?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Je ne sais pas où est passé l’alchimiste, mais je me sens de nouveau sale.
line:71127249	I don't mean to be rude, but I must decline	Je ne veux pas être impoli, mais je dois refuser.
line:f5696cc4	I don't need to tell you.	J'ai pas à te le dire.
line:878fc94c	I don't understand..	Je comprends pas..
line:4f3d31f8	I don't want your pitty!	Je veux pas de ta pitié !
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	J'aime avoir une influence positive sur la vie de tant de personnes.
line:14653182	I enjoy parts of it. The respect is pleasant...	Certains aspects me plaisent. Le respect est agréable...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	J'apprécie de ne pas craindre l'échec en votre présence.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	J'aime quand vous m'indiquez quoi faire d'une petite tape de la main.
line:6db406b4	I enjoyed this quite a lot.	J'ai beaucoup apprécié ce moment.
line:e838533b	I feel as I could say anything to you.	J'ai l'impression de pouvoir tout vous dire.
line:9b9567ec	I feel much better.	Je me sens beaucoup mieux.
line:ed6be68f	I feel spotless as always.	Je me sens impeccable, comme toujours.
line:938be2fb	I forget the ignorance of a layman. I apologize.	J'oublie l'ignorance des non-initiés. Pardonnez-moi.
line:63837f22	I forgot to bite into it so... Nothing?	J'ai oublié de mordre dedans, alors... Aucun ?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Oui, je comprends qu'on ressente ça après une rupture.
line:adf1550f	I give my other bipedal friends rides all the time.	Je porte tout le temps mes autres amis bipèdes.
line:9a68366f	I got a mount.	J'ai acheté un chevalet.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Je suis rentré un peu sale et elle m'a crié dessus.
line:22a9094a	I guess so!	On dirait bien !
line:28d6c0aa	I hate that I'm always getting into situations like this.	J'en ai marre de toujours me retrouver dans ce genre de situation.
line:366a7f73	I have a question.	J'ai une question.
line:82b63c18	I have something to say!	J'ai quelque chose à dire !
line:fd68807c	I have to say, you did as good a job as private washers.	Je dois dire que vous avez aussi bien travaillé qu'un laveur privé.
line:761f413a	I heard a loud bang	J'ai entendu une forte détonation.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	J'ai entendu une forte détonation. Je ne crois pas qu'Igwix ait survécu.
line:7ede5030	I heard there was kobolds down here that could wash me up?	On m'a dit qu'il y avait des kobolds par ici pour me laver ?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	On m'a dit qu'il y avait des kobolds par ici qui pourraient me laver ?
line:2f9b499a	I honestly don't know how you are doing that.	Franchement, je sais pas comment tu fais.
line:6f5dbc90	I hope he's okay too.	Moi aussi, j'espère qu'il va bien.
line:cd0197ed	I hope I can learn from that.	J'espère pouvoir en prendre de la graine.
line:cf50dbcc	I hope it all works out.	J'espère que ça va marcher.
line:b2dfad3e	I hope so.	J'espère.
line:0477b0d7	I hope so. I really want a fresh start with someone.	J'espère. J'ai vraiment envie de repartir de zéro avec quelqu'un.
line:7429dab7	I hope that you'll help me prove them wrong!	J'espère que tu m'aideras à prouver le contraire !
line:be5feb3e	I hope things get better.	J'espère que ça va s'arranger.
line:114ac9a0	I hope you're right.	J'espère que t'as raison.
line:06744c7e	I just don't like that she takes it out on me.	Je n'aime juste pas qu'elle se défoule sur moi.
line:1fb02179	I just don't like that she takes it out on me.	Je n'aime juste pas qu'elle se défoule sur moi.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	J'ai juste besoin d'un bain rapide... Et le chevalet, ça pourrait être sympa aussi.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Je souhaite simplement que vous me posiez une question. N'importe laquelle.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Je savais que tu étais trop occupé, alors je me suis dit que j'allais t'apporter le rendez-vous !
line:2461773d	I knew you'd have my back	Je savais que tu serais de mon côté.
line:6a671440	I know a decent equine-kin place by the pier.	Je connais un bon restaurant équin près de la jetée.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Je sais qu'il a parfois le sang chaud et qu'il oublie de remercier les gens.
line:83c55e2e	I know things can be tough.	Je sais que ça peut être difficile.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Je sais que tu dois fermer la boutique. Je te donnerai l'adresse et on se retrouve là-bas, d'accord ?
line:ded99a0c	I know, I'll reserve your spot!	Je sais, je te garderai une place !
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Je sais. Mais pouvoir se confier à quelqu'un, même de temps à autre...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Je sais. Je ne devrais pas te déballer tout ça.
line:875048ca	I know. I know.	Je sais. Je sais.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	J'aime votre assurance. Même si elle ne concerne que le lavage.
line:46061aae	I like it! I think you'd enjoy it too.	J'aime bien ! Je pense que ça te plairait aussi.
line:f4ad8ea6	I like taking care of you.	J'aime prendre soin de vous.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	J'aime bien le chevalet que t'as choisi. Tu peux l'apporter ?
line:5c86951f	I like you a lot.	Tu me plais beaucoup.
line:a91980fc	I like you for who you are.	Je vous apprécie pour qui vous êtes.
line:bdca3e1b	I like... him.	C'est... lui qui me plaît.
line:2b65bf83	I love bubbles, they tickle!	J'adore les bulles, elles chatouillent !
line:f8a4f404	I mean it. Really.	Je le pense. Vraiment.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Je dois m'améliorer. Je <i>veux </i>m'améliorer.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Faut que je sois impeccable. Apparemment, c'est ton boulot. <size=70%>Ha.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Je ne m'attendais pas à confier un jour des choses aussi gênantes à quelqu'un.
line:0c986dec	I never expected you to be the type to be so messy!	Je ne vous imaginais pas du genre à vous salir autant !
line:95db900b	I never miss a spot.	Je ne laisse jamais la moindre tache.
line:d620d41a	I never thought someone like him would be my type...	Je pensais pas qu'un gars comme lui serait mon genre...
line:67592de1	I probably need to head out though.	Mais je devrais y aller.
line:e41c6dc5	I really do hope it all works out!	J'espère vraiment que ça va marcher !
line:a722aada	I really think it was this time...	Cette fois, je crois vraiment que si...
line:e80e5edd	I see what you're doing, thank you.	Je vois où vous voulez en venir. Merci.
line:cc6ec337	I see..	Je vois..
line:d57520b1	I seem to have gotten myself covered in ink!	Il semblerait que je me sois couvert d'encre !
line:3b161cf3	I still need more!	J'en veux encore !
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Je comprends qu'on puisse ne pas aimer les saletés qu'elle occasionne.
line:234ccfda	I suppose it depends on the circumstances.	J'imagine que ça dépend des circonstances.
line:910706c0	I think a movie could be fun!	Un film pourrait être sympa !
line:99bbb171	I think he was in a bad environment. He's doing better now.	Je pense qu'il était mal entouré. Ça va mieux maintenant.
line:9247b7a0	I think he'd like the new you!	Je crois qu'il aimerait le nouveau toi !
line:f4982dcd	I think he's got a crush on me.	Je crois qu'il a un faible pour moi.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Je crois que j'ai encore des saletés de l'explosion sur moi...
line:4efc873f	I think I like being taken care of?	Je crois que j'aime qu'on prenne soin de moi ?
line:f5d36d9a	I think I might be close..	Je crois que je ne suis plus très loin..
line:52fc4e08	I think I'd like that!	Je crois que ça me plairait !
line:5c78099a	I think I'd like to meet him!	Je crois que j'aimerais le rencontrer !
line:14e0edf6	I think I'd like to try!	Je crois que j'aimerais essayer !
line:164df75a	I think I'd like to use it?	Je crois que j'aimerais l'utiliser ?
line:4f6168aa	I think I'd like to use it?	Je crois que j'aimerais l'utiliser ?
line:ab314624	I think I'd like to?	Je crois que cela me plairait ?
line:170c6aa3	I think I'd like you to be that someone aswell.	Je crois que moi aussi, j'aimerais que ce soit toi.
line:8f46bb17	I think I've got it!	Je crois que j'ai compris !
line:a5e128e0	I think she's upset about something else...	Je pense qu'elle est contrariée par autre chose...
line:bc2545e7	I think she's upset about something else...	Je pense qu'elle est contrariée par autre chose...
line:335c5156	I think so!	Je crois que oui !
line:3292625e	I think that would make a decent place! They put on good shows every night.	Je pense que ce serait bien ! Ils donnent de bons spectacles tous les soirs.
line:eaafe671	I think you got every spot!	Je crois que t'as rien oublié !
line:1760e5d5	I think you got every spot.	Je crois que tu n'as rien oublié.
line:341175f7	I think you got every spot.	Je crois que tu n'as rien oublié.
line:770e7473	I think you got every spot.	Je crois que tu n'as rien oublié.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Je crois que tu l'as aidé bien plus que tu ne l'imagines.
line:f28fd15d	I think you missed a few spots still...	Je crois que tu as encore oublié quelques taches...
line:77509e74	I think you're cool too. Self improvement is hard.	Toi aussi, je te trouve chouette. Ce n'est pas facile de s'améliorer.
line:763c6a82	I think you're good looking.	Je vous trouve beau.
line:69e7dbb3	I think you're pretty cool, Conrad.	Moi, je te trouve plutôt chouette, Conrad.
line:9c393f61	I think you're special too.	Je te trouve spécial aussi.
line:7d5ae3b4	I usually make do with a hose down at home...	D'habitude, je me contente du tuyau d'arrosage à la maison...
line:c4fc9b28	I wanna talk face to face!	Je veux qu'on parle face à face !
line:548dc375	I want to be more open. It feels good.	Je veux m'ouvrir davantage. Cela fait du bien.
line:e02f464d	I was helping the alchemist reach a high shelf	J'aidais l'alchimiste à atteindre une étagère en hauteur.
line:fa97376e	I was helping the alchemist reach a high shelf	J'aidais l'alchimiste à atteindre une étagère en hauteur.
line:bb015b1b	I was romping around the forest	Je gambadais dans la forêt.
line:78e2cb13	I was thinking about what you said,	Je pensais à ce que tu m'as dit,
line:b8282714	I was thinking.	Je me disais.
line:ca616238	I was thinking. We could go out some time next week?	Je me disais. On pourrait sortir la semaine prochaine ?
line:a13d76ec	I was thinking...	Je me disais...
line:c1a4edf0	I wasn't making her happy either.	Et elle n'était pas heureuse avec moi non plus.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	J’ai pris toutes mes dispositions pour un lavage discret. J’étais certain de ne pas avoir été suivi.
line:db5cd152	I went out with some friends.	Je suis sorti avec des amis.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Je paierai le double. Le triple ! Vous seul pouvez vous en charger !
line:0c31345e	I will, thanks.	Je reviendrai, merci.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Je le ferai. Il me faut juste un bain rapide, et j'aimerais bien utiliser le chevalet aujourd'hui.
line:399457b7	I wish it was easy as it is in movies.	J'aimerais que ce soit aussi simple que dans les films.
line:2185f08c	I won't.	Je ne dirai rien.
line:45950848	I would like that!	Ça me plairait !
line:099ec7fd	I would love to.	Avec grand plaisir.
line:e6006cd6	I wouldn't mind!	Ça me ferait plaisir !
line:81905be1	I'd like to go out to eat.	J'aimerais aller manger quelque part.
line:75b152eb	I'd love to talk more, truly, but class is soon.	J'aimerais vraiment poursuivre cette conversation, mais mon cours commence bientôt.
line:2fe8a558	I'd love to!	Avec plaisir !
line:87ba56cc	I'll be back again, yeah?	Je reviendrai, d'accord ?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Je reviendrai. C'est agréable de vous avoir comme ami.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Je reviendrai bientôt, d'accord ? Merci pour le bain.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Je t'attendrai au bar ce soir !
line:69dff2ec	I'll be waiting for the gate!	J'attends que tu ouvres le portail !
line:ae4d09f6	I'll be waiting for the gate!	J'attends que tu ouvres le portail !
line:ab616aac	I'll definitely keep this place in mind.	Je penserai à revenir, c'est certain.
line:b122441b	I'll get one ordered I promise!	Je vais en commander un, promis !
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Je vais vous laisser tranquille. Merci pour le bain.
line:707d2693	I'll get out of your scales...	Je vais te laisser tranquille...
line:ca480eed	I'll get you two in contact then.	Alors, je vous mettrai en contact.
line:59416000	I'll go get the gate for ya'	Je vais t'ouvrir le portail.
line:6aa7ad03	I'll go get the gate for ya'	Je vais t'ouvrir le portail.
line:2a6d7e7d	I'll go get the gate for you.	Je vais t’ouvrir le portail.
line:8107858d	I'll go get the gate for you.	Je vais vous ouvrir le portail.
line:d1755010	I'll go get the gate for you.	Je vais t’ouvrir le portail.
line:4d692a01	I'll go get the gate.	Je vais ouvrir le portail.
line:a75bb519	I'll go get the gate.	Je vais ouvrir le portail.
line:8689a124	I'll happily get that for you.	Je vais vous le chercher avec plaisir.
line:48e99d7b	I'll have to close up shop first-	Il faut d'abord que je ferme la boutique...
line:f2b894e2	I'll have to reserve your spot while you close up.	Je te garderai une place pendant que tu fermes.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Je m'en souviendrai. J'ai l'habitude que tout soit donnant-donnant.
line:956a0f47	I'll make sure to ask him next time I see him.	Je lui demanderai la prochaine fois que je le verrai.
line:e64d21e4	I'll make sure to come back.	Je reviendrai, c'est sûr.
line:7c9fe106	I'll make sure to get out of your scales.	Je vais te laisser tranquille.
line:87006442	I'll make sure to tell others about this place	Je vais parler de cet endroit autour de moi.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Je te raconterai comment ça se passe, d'accord ?
line:49b6a167	I'll make sure you're <i>spotless.	Je vais te rendre <i>impeccable.
line:96981b61	I'll manage.	Je vais m'en sortir.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Il faudra faire vite. Les étudiants ne vont pas s'instruire tout seuls.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Il faut que je ressuscite Igwix. Quelle honte !
line:90a9a98e	I'll see you next time I come in, yeah?	On se revoit la prochaine fois que je viens, d'accord ?
