# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hey, großer Hund.
line:cc6e7856	Hah! There's the mount!	Ha! Da ist der Bock!
line:90dd6d9d	Hah, eager as always.	Ha, so begeistert wie immer.
line:9542e7a6	Hah, good. Let's break this thing in!	Ha, gut. Weihen wir es ein!
line:fe21109b	Hah, he seems like the wild type.	Ha, er wirkt tatsächlich wie ein wilder Bursche.
line:e8bc1d95	Hah, I imagine it would be.	Ha, das kann ich mir vorstellen.
line:acbf628d	Hah, it is a motivator.	Ha, das ist durchaus ein Anreiz.
line:65b23418	Hah, okay. I'm game.	Ha, okay. Da bin ich dabei.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ha, ja. Conrad hat eindeutig Erfahrung...
line:8b878971	Hah, yeah. He sounds fun.	Ha, ja. Mit ihm hat man bestimmt Spaß.
line:e3ed51d9	Hah. Conrad, you look good too.	Ha. Du siehst auch gut aus, Conrad.
line:f8b2e23b	Hah. Fine.	Ha. Gut.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ha. Wenn's hier doch nur einen Kobold gäbe, der mich sauber machen könnte.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ha. Ja. <size=70%><i>Cool, dass man in der Wäscherschule lernt, Drachen einen runterzuholen...
line:50a559bb	Hah... <size=70%> yeah.	Ha... <size=70%> Ja.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ha... Holst du mir jetzt einen runter? Geht klar.
line:4e920759	Hah... Yeah I'm excited.	Ha... Ja, ich bin gespannt.
line:b36365ce	Hah... Yeah...	Ha... Ja...
line:b8724c64	Hah... you do like that noise.	Ha... Das Geräusch magst du wirklich.
line:c8cde395	Haha, 'Yip' indeed.	Haha, „Yip“, in der Tat.
line:680991cf	Haha, yes. Happy to see you.	Haha, ja. Ich freue mich, Sie zu sehen.
line:4c27b031	Haha, you certainly are!	Haha, das bist du allerdings!
line:c3a2e14e	Haha, you certainly are!	Haha, das bist du allerdings!
line:9ec40945	Haha. 'Yip' to you too.	Haha. Dir auch ein „Yip“.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... Ja. Bin Komplimente nicht so gewohnt.
line:44689f21	Happy to be back.	Ich bin gerne wieder hier.
line:2672f65d	Happy to be here.	Schön, hier zu sein.
line:192fcb8e	Happy to get it off.	Bin froh, ihn loszuwerden.
line:3517b28e	Have a productive day.	Ich wünsche einen produktiven Tag.
line:7c1adc57	He called me, we met up. He's really damn nice.	Er hat mich angerufen, wir haben uns getroffen. Er ist verdammt nett.
line:e71f9a0b	HE DIED!?	ER IST GESTORBEN?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	So wie ich es verstanden habe, hat sich schon lange... niemand um ihn gekümmert.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Er wusste einfach... genau, was er sagen musste, um mich da rauszuholen.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Er bevorzugt „vertikal benachteiligt“... Aber ja.
line:04b29e42	He really is.	Das ist er wirklich.
line:c7e1b369	He really is.	Das ist er wirklich.
line:c64bd5ce	He said I was chill, we planned a date...	Er meinte, mit mir wäre es entspannt. Wir haben ein Date ausgemacht...
line:e8a91447	He's a lot. But, I like it.	Er ist nicht ganz einfach. Aber gerade das mag ich.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Ein roter Drache. Ich glaube, ihr würdet euch mögen!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Er arbeitet bereits wieder. Danke für Ihre Hilfe dabei.
line:aaea8391	He's been way nicer recently.	Er ist in letzter Zeit viel netter geworden.
line:7363c004	He's great.	Er ist toll.
line:c13d4e24	He's hot.	Er ist heiß.
line:675d7e37	He's like. SUPER hung.	Er ist, also... ENORM bestückt.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Er ist wie... ein ganz weicher Kern, umgeben von scharfen Stacheln.
line:800c553d	He's my dream dragon.	Er ist mein Traumdrache.
line:4b3c70d9	He's snappy, but tender too!	Er kann bissig sein, aber auch zärtlich!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Ein WIRKLICH süßer roter Drache, der hier zum Waschen herkommt!
line:4c11c83e	He's tiny, I like being eye level with him.	Er ist klein. Ich mag es, mit ihm auf Augenhöhe zu sein.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Er ist... aufmerksam. Und verständnisvoll.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Hab von dir und dem großen Blauen gehört. Ryan, oder?
line:ca4a9672	Heeeey Ryan.	Heeey, Ryan.
line:24ce37ec	Heeeey.	Heeey.
line:bb70c1ed	Heh. Yeah.	Hehe. Ja.
line:3fa80829	Heh. Yeah. I like you too.	Hehe. Ja. Ich mag dich auch.
line:20393ff6	Heh. Yeah. That's me.	Hehe. Ja, der bin ich.
line:ac769d93	heh.. yea.. sorry..	Heh... Ja... Tut mir leid..
line:5246ceea	Heh... alright.	Hehe... Na gut.
line:75fef5cb	Heh... Damn right.	Hehe... Genau.
line:5f0edcb2	Heh... Handsy today, huh?	Hehe... Heute kannst du die Hände nicht bei dir behalten, was?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, ja.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, ich freue mich, wieder Dates zu haben.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, danke. Da sind Sachen drin, die uns beiden schmecken dürften.
line:1a3e2a73	Hell yea	Aber so was von!
line:93f67490	Hell yeah	Oh ja!
line:389e4033	Hell yeah I did!	Und wie!
line:17dbb9b7	Hell yeah.	Oh ja, Mann.
line:4b7b33d9	Hello!	Hallo!
line:c3d3da41	Hello!	Hallo!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Hallo, <i>„Drag'n'wash-Filiale 223“...</i> Haben Sie schon herausgefunden, wie die Bedienung funktioniert?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Hallo, <i>„Drag'n'wash-Filiale 223“...</i> Haben Sie Ihren ersten Kunden bereits angesprochen?
line:b7cce838	Hello.	Hallo.
line:a8779ebf	Hello?	Hallo? Jemand da?
line:dd4b34ae	Hello?	Hallo? Jemand da?
line:1954aab7	Help the developers out please..	Bitte hilf den Entwicklern weiter...
line:db9c3a5c	Help the developers out please..	Bitte hilf den Entwicklern weiter...
line:f7f7f5a1	Help the developers out please..	Bitte hilf den Entwicklern weiter...
line:fc461784	Help the developers out please..	Bitte hilf den Entwicklern weiter...
line:ee3398a6	Hey big guy.	Hey, Großer.
line:0090c7b0	Hey Conrad!	Hey, Conrad!
line:3d0a5aeb	Hey Conrad!	Hey, Conrad!
line:a2b4acea	Hey conrad!	Hallo, Conrad!
line:975a629f	Hey Conrad.	Hey, Conrad.
line:21235886	Hey could you come up front where I can see you?	Hey, kannst du nach vorne kommen, damit ich dich sehe?
line:533532c4	Hey fine by me!	Hey, mir soll's recht sein!
line:1538bc7e	Hey good lookin'	Hey, Hübscher.
line:0121c874	Hey hey. Glad you're open.	Hey, hey. Schön, dass du offen hast.
line:71b651dd	Hey I have something to say!	Hey, ich wollte dir was sagen!
line:0d4e0ecf	Hey kobold!	Hey, Kobold!
line:af3f02c9	Hey Ryan, what do you have there?	Hey, Ryan, was bringst du mit?
line:6374414d	Hey thanks for being here for me...	Hey, danke, dass du für mich da bist...
line:bf5ff483	Hey there, happy to be back.	Hey, schön, wieder hier zu sein.
line:c38b7fa6	Hey there, Ryan!	Hallo, lieber Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Du, vielleicht heben wir uns die „Handarbeit“ für später auf?
line:1b6c7f75	Hey there.	Seien Sie gegrüßt.
line:5dacf226	Hey there.	Guten Tag.
line:82698bd1	Hey there.	Seien Sie gegrüßt.
line:ab3a5d9c	Hey there.	Hey.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Du, äh, glaubst du, dass es mit Ryan und mir <i>wirklich</i> klappt?
line:04501155	Hey uh, I just need a cleaning.	Hey, äh, ich brauch nur eine Wäsche.
line:2a29842a	Hey uh... Not now.	Hey, äh... Jetzt nicht.
line:8caa3196	Hey uhm, thanks once again.	Du, ähm, noch mal danke.
line:5c7a9105	Hey!	Hey!
line:eed2cc64	Hey!	Hey!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Hey! Er ist nur... „vertikal benachteiligt“.
line:55bb78d1	Hey! I'm here for a wash.	Hey! Ich bin zum Waschen da.
line:33480903	Hey, Alexander!	Hallo, Alexander!
line:21fcef4f	Hey, Alexander.	Hallo, Alexander.
line:14598ca6	Hey, big guy!	Hallo, Großer!
line:e7353d24	Hey, I've got a question for you.	Hey, ich wollte dich was fragen.
line:674877e5	Hey, nothin' wrong with asking!	Hey, fragen wird man wohl dürfen!
line:d2589856	Hey, welcome back!	Hallo, schön, dass Sie wieder da sind!
line:0d3e4054	Hey.	Hey.
line:aa0dda7b	Hey.	Du.
line:7f2e2736	Hey... little guy!	Hey... Kleiner!
line:933efa6d	Hi again!	Da bin ich wieder!
line:873a2b9a	Hi again..	Hallo noch mal..
line:83ac5b68	Hi Conrad.	Hi, Conrad.
line:050efd1a	Hi, Ryan!	Hallo, Ryan!
line:06ed6aea	Hiiiii! Hiii!	Haaallo! Hi!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Sein Körper setzt sich derzeit im Aufenthaltsraum des Personals wieder zusammen.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Hm, auf den Bock verzichte ich wohl.
line:370d719b	Hm?	Hm?
line:3c3ddd0c	Hm?	Hm?
line:44658d73	Hmm...	Hm...
line:bf059ff3	Hmm...	Hm...
line:730b1ca4	Hmm?	Hmm?
line:fc571337	Hmmm, maybe something else?	Hm, vielleicht lieber etwas anderes?
line:19207e44	Hold on a little longer for me?	Halten Sie noch ein bisschen für mich durch?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Ehrlich gesagt hätte ich nicht gedacht, dass das so angenehm ist.
line:a2ff0176	Hope it went well.	Hoffe, es lief gut.
line:b17360a0	Hope that's alright?	Ist das hoffentlich okay?
line:ae08853f	Hope you're doing alright!	Ich hoffe, es geht Ihnen gut!
line:e1fa2461	Hopefully! I'll go get the gate.	Hoffentlich! Ich öffne das Tor.
line:99931b37	Hopefully.	Hoffentlich jedenfalls.
line:d9c91bca	How about you though? have you been seeing anyone?	Wie ist es bei dir? Triffst du dich mit jemandem?
line:4ec92454	How about you? Anyone exciting?	Und bei dir? Jemand Interessantes?
line:86bde306	How are you with seafood?	Wie stehst du zu Meeresfrüchten?
line:7fb611c9	How come you brought this all in?	Warum hast du das alles mitgebracht?
line:af0d0972	How come you're covered in ink?	Wie kommt die ganze Tinte auf Sie?
line:e385b7f3	How did it go?	Wie ist es gelaufen?
line:c0161bbc	How did it taste?	Wie hat sie geschmeckt?
line:262b262e	how do I get in?	Wie komme ich rein?
line:676b0638	how do I get in?	Wie komme ich rein?
line:8308bb09	How do I look?	Wie sehe ich aus?
line:4f172746	How do you even digest that?	Wie kannst du das überhaupt verdauen?
line:28d390ac	How so?	Inwiefern?
line:4ef9fe65	How so?	Inwiefern?
line:ea66b5af	How so?	Inwiefern?
line:4b29790b	How was the sex.	Wie war der Sex?
line:7736270c	How was your date with Conrad?	Wie war dein Date mit Conrad?
line:18d418ab	However, it's ornamental! My family crest. You see...	Dabei ist es nur Schmuck! Unser Familienwappen. Wissen Sie...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Allerdings ist mein <i>Ansehen</i> weit beständiger als Igwyx' vergängliche körperliche Gestalten.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Doch dazu kommt die Erwartung, meinem Erscheinungsbild gerecht zu werden. Das ist äußerst belastend.
line:d2baf9e2	However...	Allerdings...
line:fb8401c3	Huff...	Huff...
line:b54ee04d	huff... Thank you for that.	Puh... Danke dafür.
line:16420ca7	Huff... Thanks for that.	Puh... Danke dafür.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Puh... Das war schön... Gab aber ein bisschen Sauerei.
line:ae83cfb6	huh...?	Hä...?
line:0c78b56b	Huh?	Hä?
line:e96114a2	Huh? ofcourse not!	Hä? Natürlich nicht!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	Ich <i>glaube, </i> ich habe <i>auf dem Weg hierher</i> ein Tintenfass umgestoßen. Ungeschickt von mir!
line:d37175c7	I act tough but am a small dragon...	Ich tu hart, aber ich bin ein kleiner Drache...
line:b4e27683	I agree	Finde ich auch.
line:68ebf07b	I allowed him, as my stature provides ample height.	Ich erlaubte es ihm, da meine Statur ausreichend Höhe bietet.
line:a051821a	I already feel a lot better.	Mir geht's schon viel besser.
line:49bfbfbe	I already have spot at the club reserved.	Im Club habe ich schon reserviert.
line:14ff4edd	I always do~	Mach ich immer~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Ich freue mich immer auf dich. Ich mache das Tor auf.
line:52bf5ede	I am THE kobold. Yip!	Ich bin DER Kobold. Yip!
line:141c006f	I am too.	Ich freue mich auch schon.
line:363f6f6a	I am too.	Ich mich auch.
line:405b9622	I am too.	Ich mich auch.
line:d4c5faea	I am too.	Mich auch.
line:556897bf	I am! Even better now that you're here.	Ja! Und jetzt, wo Sie da sind, noch besser.
line:e499b2cc	I am.	Ja, das bin ich.
line:5ec8bb55	I believe that's in part because of you.	Und ich glaube, das liegt zum Teil an Ihnen.
line:9883786d	I booked the night.	Ich hab für die ganze Nacht gebucht.
line:eae85bf9	I broke up with my partner...	Ich habe mich von meiner Partnerin getrennt...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Ich habe Wassermelone, Brot, Trauben und ein paar andere Sachen mitgebracht.
line:e8aa18f4	I can digest pretty much anything.	Ich kann so ziemlich alles verdauen.
line:7f543c2a	I can let loose whenever you are ready	Ich kann kommen, sobald du so weit bist.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Ich kann nicht glauben, dass Igwix so einen Fehler gemacht hat!
line:e051a79e	I consider you a good friend too	Für mich bist du auch ein guter Freund.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Ich könnte uns die <i>besten</i> Plätze für die Show besorgen.
line:2602b8c6	I could use a wash.	Eine Wäsche wäre nicht schlecht.
line:c66153d3	I couldn't help but notice the... device over there.	Mir ist da dieses... Gerät aufgefallen.
line:b71f0756	I decided to try baking.	Ich habe mich am Backen versucht.
line:e62b989c	I decided to try baking.	Ich habe mich am Backen versucht.
line:efea7148	I decided to try baking.	Ich habe mich am Backen versucht.
line:98f800d3	I didn't know anyone could like me that much so easily.	Ich wusste nicht, dass mich jemand so einfach so sehr mögen könnte.
line:4116f001	I didn't know what the button did.	Ich wusste nicht, was der Knopf macht.
line:7a5c7f54	I didn't mean to fluster you!	Ich wollte dich nicht verlegen machen!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Die Farbe gefällt mir tatsächlich. Wohl unabhängig von meiner eigenen Färbung.
line:f9c800f2	I do!	Ja, das tue ich!
line:ad9c1ada	I do. But, what happened?	Hab ich. Aber was ist passiert?
line:a45ccf3a	I don't believe I can hold back any longer	Ich glaube nicht, dass ich mich noch länger zurückhalten kann.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Ich versteh's nicht! Warum benehme ich mich so?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Ich weiß nicht, wo der Alchemist abgeblieben ist, aber ich fühle mich wieder schmutzig.
line:71127249	I don't mean to be rude, but I must decline	Ich möchte nicht unhöflich sein, aber ich muss ablehnen.
line:f5696cc4	I don't need to tell you.	Muss ich dir nicht erzählen.
line:878fc94c	I don't understand..	Ich verstehe das nicht..
line:4f3d31f8	I don't want your pitty!	Ich brauche dein Mitleid nicht!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Es freut mich, so viele Leben positiv beeinflussen zu können.
line:14653182	I enjoy parts of it. The respect is pleasant...	Manches daran gefällt mir. Der Respekt ist angenehm...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Mir gefällt, dass ich in Ihrer Gegenwart keine Angst vor Fehlern habe.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Ich mag es, wenn Sie mir mit einem Klaps sagen, was ich tun soll.
line:6db406b4	I enjoyed this quite a lot.	Das hat mir außerordentlich gefallen.
line:e838533b	I feel as I could say anything to you.	Ich habe das Gefühl, Ihnen alles sagen zu können.
line:9b9567ec	I feel much better.	Mir geht es viel besser.
line:ed6be68f	I feel spotless as always.	Wie immer blitzsauber.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Ich vergesse immer, wie wenig Laien darüber wissen. Verzeihen Sie.
line:63837f22	I forgot to bite into it so... Nothing?	Ich hab vergessen reinzubeißen, also... nach nichts?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Ja, nach einer Trennung kann ich das gut verstehen.
line:adf1550f	I give my other bipedal friends rides all the time.	Meine anderen zweibeinigen Freunde nehme ich ständig mit.
line:9a68366f	I got a mount.	Ich habe jetzt einen Bock.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Ich kam etwas schmutzig heim. Da hat sie mich angeschrien.
line:22a9094a	I guess so!	Sieht so aus!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Ich hasse es, dass ich immer in so was gerate.
line:366a7f73	I have a question.	Ich habe eine Frage.
line:82b63c18	I have something to say!	Ich möchte etwas sagen!
line:fd68807c	I have to say, you did as good a job as private washers.	Ich muss sagen, Sie arbeiten ebenso gründlich wie meine privaten Wäscher.
line:761f413a	I heard a loud bang	Ich habe einen lauten Knall gehört.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Dann gab es einen lauten Knall. Ich glaube nicht, dass Igwix es überlebt hat.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Ich habe gehört, hier unten gibt es Kobolde, die mich waschen können?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Mir wurde gesagt, hier unten gibt's Kobolde, die mich waschen können?
line:2f9b499a	I honestly don't know how you are doing that.	Ich hab echt keine Ahnung, wie du das schaffst.
line:6f5dbc90	I hope he's okay too.	Das hoffe ich auch.
line:cd0197ed	I hope I can learn from that.	Hoffentlich kann ich mir da was abschauen.
line:cf50dbcc	I hope it all works out.	Hoffentlich klappt alles.
line:b2dfad3e	I hope so.	Hoffentlich.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Hoffentlich. Ich will wirklich mit jemandem neu anfangen.
line:7429dab7	I hope that you'll help me prove them wrong!	Ich hoffe, du hilfst mir, das Gegenteil zu beweisen!
line:be5feb3e	I hope things get better.	Hoffentlich wird alles besser.
line:114ac9a0	I hope you're right.	Hoffentlich hast du recht.
line:06744c7e	I just don't like that she takes it out on me.	Ich mag nur nicht, dass sie es an mir auslässt.
line:1fb02179	I just don't like that she takes it out on me.	Ich mag nur nicht, dass sie es an mir auslässt.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Ich brauche nur eine schnelle Wäsche... Vielleicht wäre der Bock auch nett.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Ich möchte einfach, dass Sie mich etwas fragen. Ganz gleich, was.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Ich wusste, dass du zu viel zu tun hast. Also dachte ich, ich bringe das Date zu dir!
line:2461773d	I knew you'd have my back	Ich wusste, dass du zu mir hältst.
line:6a671440	I know a decent equine-kin place by the pier.	Ich kenne ein gutes Restaurant der Pferdeleute beim Pier.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Ich weiß, dass er manchmal aufbrausend ist und das Danken vergisst.
line:83c55e2e	I know things can be tough.	Ich weiß, manchmal ist es schwer.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Ich weiß, du musst noch zumachen. Ich schicke dir die Adresse, dann treffen wir uns dort, ja?
line:ded99a0c	I know, I'll reserve your spot!	Ich weiß, ich halte dir einen Platz frei!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Ich weiß. Aber sich jemandem anvertrauen zu können, selbst gelegentlich...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Ich weiß. Ich sollte dich nicht damit belasten.
line:875048ca	I know. I know.	Ich weiß, ich weiß.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Mir gefällt Ihre Selbstsicherheit. Selbst wenn es nur ums Waschen geht.
line:46061aae	I like it! I think you'd enjoy it too.	Mir gefällt es! Dir bestimmt auch.
line:f4ad8ea6	I like taking care of you.	Ich kümmere mich gerne um Sie.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Der Bock gefällt mir. Holst du ihn?
line:5c86951f	I like you a lot.	Ich mag dich wirklich sehr.
line:a91980fc	I like you for who you are.	Ich mag Sie so, wie Sie sind.
line:bdca3e1b	I like... him.	Ich mag... ihn.
line:2b65bf83	I love bubbles, they tickle!	Ich liebe Seifenblasen, sie kitzeln!
line:f8a4f404	I mean it. Really.	Ich meine das ernst. Wirklich.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Ich muss mich bessern. Ich <i>will </i>mich bessern.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Ich muss blitzblank werden. Dafür seid ihr doch da. <size=70%> Ha.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Ich hätte nie gedacht, dass ich jemandem so peinliche Dinge anvertrauen würde.
line:0c986dec	I never expected you to be the type to be so messy!	Ich hätte nie gedacht, dass Sie sich so schmutzig machen!
line:95db900b	I never miss a spot.	Ich lasse keine Stelle aus.
line:d620d41a	I never thought someone like him would be my type...	Hätte nie gedacht, dass jemand wie er mein Typ wäre...
line:67592de1	I probably need to head out though.	Aber ich sollte langsam los.
line:e41c6dc5	I really do hope it all works out!	Ich wünsche euch echt, dass es klappt!
line:a722aada	I really think it was this time...	Ich glaube, diesmal war ich wirklich schuld...
line:e80e5edd	I see what you're doing, thank you.	Ich verstehe, worauf Sie hinauswollen. Vielen Dank.
line:cc6ec337	I see..	Verstehe..
line:d57520b1	I seem to have gotten myself covered in ink!	Offenbar habe ich mich vollständig mit Tinte beschmiert!
line:3b161cf3	I still need more!	Ich brauche noch mehr!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Ich kann verstehen, dass man den Schmutz nicht mag, den er verursacht.
line:234ccfda	I suppose it depends on the circumstances.	Das hängt wohl von den Umständen ab.
line:910706c0	I think a movie could be fun!	Ein Film könnte Spaß machen!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Ich glaube, sein Umfeld war schlecht für ihn. Jetzt geht's ihm besser.
line:9247b7a0	I think he'd like the new you!	Dein neues Ich würde ihm bestimmt gefallen!
line:f4982dcd	I think he's got a crush on me.	Ich glaube, er steht auf mich.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Ich glaube, ich habe noch etwas Explosionsdreck an mir...
line:4efc873f	I think I like being taken care of?	Ich glaube, ich mag es, umsorgt zu werden?
line:f5d36d9a	I think I might be close..	Ich glaube, ich bin bald so weit..
line:52fc4e08	I think I'd like that!	Das würde mir gefallen!
line:5c78099a	I think I'd like to meet him!	Ich würde ihn gerne kennenlernen!
line:14e0edf6	I think I'd like to try!	Ich würde es gerne versuchen!
line:164df75a	I think I'd like to use it?	Ich glaube, ich würde ihn gerne benutzen?
line:4f6168aa	I think I'd like to use it?	Ich glaube, ich würde ihn gerne benutzen?
line:ab314624	I think I'd like to?	Ich glaube, ich würde gerne?
line:170c6aa3	I think I'd like you to be that someone aswell.	Ich hätte auch gerne, dass du dieser Jemand bist.
line:8f46bb17	I think I've got it!	Ich glaube, ich hab's raus!
line:a5e128e0	I think she's upset about something else...	Ich glaube, sie ist wegen etwas anderem sauer...
line:bc2545e7	I think she's upset about something else...	Ich glaube, sie ist wegen etwas anderem sauer...
line:335c5156	I think so!	Finde ich schon!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Der würde passen! Jeden Abend gibt es dort gute Shows.
line:eaafe671	I think you got every spot!	Ich glaube, du hast alles erwischt!
line:1760e5d5	I think you got every spot.	Ich glaube, du hast alles erwischt.
line:341175f7	I think you got every spot.	Ich glaube, du hast alles erwischt.
line:770e7473	I think you got every spot.	Ich glaube, du hast alles erwischt.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Du hast ihm wohl mehr geholfen, als dir bewusst ist.
line:f28fd15d	I think you missed a few spots still...	Ich glaube, du hast noch ein paar Stellen übersehen...
line:77509e74	I think you're cool too. Self improvement is hard.	Ich finde dich auch toll. Sich zu ändern ist schwer.
line:763c6a82	I think you're good looking.	Ich finde, Sie sehen gut aus.
line:69e7dbb3	I think you're pretty cool, Conrad.	Ich finde dich ziemlich toll, Conrad.
line:9c393f61	I think you're special too.	Ich finde dich auch besonders.
line:7d5ae3b4	I usually make do with a hose down at home...	Normalerweise spritze ich mich zu Hause einfach mit dem Schlauch ab...
line:c4fc9b28	I wanna talk face to face!	Ich möchte mit dir von Angesicht zu Angesicht reden!
line:548dc375	I want to be more open. It feels good.	Ich möchte offener sein. Es tut gut.
line:e02f464d	I was helping the alchemist reach a high shelf	Ich habe dem Alchemisten geholfen, an ein hohes Regal zu kommen.
line:fa97376e	I was helping the alchemist reach a high shelf	Ich habe dem Alchemisten geholfen, an ein hohes Regal zu kommen.
line:bb015b1b	I was romping around the forest	Ich bin im Wald herumgetobt.
line:78e2cb13	I was thinking about what you said,	Ich habe über das nachgedacht, was du gesagt hast,
line:b8282714	I was thinking.	Ich habe nachgedacht.
line:ca616238	I was thinking. We could go out some time next week?	Vielleicht könnten wir nächste Woche etwas unternehmen?
line:a13d76ec	I was thinking...	Ich habe nachgedacht...
line:c1a4edf0	I wasn't making her happy either.	Und sie war mit mir auch nicht glücklich.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Ich habe mir für eine diskrete Wäsche besondere Mühe gegeben. Ich war sicher, dass mir niemand gefolgt ist.
line:db5cd152	I went out with some friends.	Ich war mit Freunden unterwegs.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Ich zahle das Doppelte. Das Dreifache! Nur Sie können mir hierbei helfen!
line:0c31345e	I will, thanks.	Mache ich. Danke.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Mache ich. Ich muss nur kurz gewaschen werden und würde heute gerne den Bock benutzen.
line:399457b7	I wish it was easy as it is in movies.	Wäre es doch nur so leicht wie im Film.
line:2185f08c	I won't.	Mache ich nicht.
line:45950848	I would like that!	Das würde mir gefallen!
line:099ec7fd	I would love to.	Sehr gern.
line:e6006cd6	I wouldn't mind!	Ich hätte nichts dagegen!
line:81905be1	I'd like to go out to eat.	Ich würde gerne essen gehen.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Ich würde gerne weiterplaudern, wirklich, aber der Unterricht ruft.
line:2fe8a558	I'd love to!	Sehr gerne!
line:87ba56cc	I'll be back again, yeah?	Ich komme wieder, ja?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Ich werde wiederkommen. Schön, Sie als Freund zu haben.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Ich komme bald wieder, ja? Danke für die Wäsche.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Ich warte heute Abend in der Bar auf dich!
line:69dff2ec	I'll be waiting for the gate!	Ich warte, bis du aufmachst!
line:ae4d09f6	I'll be waiting for the gate!	Ich warte, bis du aufmachst!
line:ab616aac	I'll definitely keep this place in mind.	Diesen Laden merke ich mir.
line:b122441b	I'll get one ordered I promise!	Ich bestelle einen, versprochen!
