# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Ehi, cagnone.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ah... Mi fai una sega adesso? Per me va bene.
line:4e920759	Hah... Yeah I'm excited.	Ah... Sì, non vedo l'ora.
line:b36365ce	Hah... Yeah...	Ah... Già...
line:b8724c64	Hah... you do like that noise.	Ah... Ti piace proprio quel verso.
line:c8cde395	Haha, 'Yip' indeed.	Ahah, proprio così: «yip».
line:680991cf	Haha, yes. Happy to see you.	Ahah, sì. Sono felice di vederla.
line:4c27b031	Haha, you certainly are!	Ahah, direi proprio di sì!
line:c3a2e14e	Haha, you certainly are!	Ahah, direi proprio di sì!
line:9ec40945	Haha. 'Yip' to you too.	Ahah. «Yip» anche a te.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Ahah... Già. Non sono molto abituato a fare complimenti.
line:44689f21	Happy to be back.	Felice di essere tornato.
line:2672f65d	Happy to be here.	Felice di essere qui.
line:192fcb8e	Happy to get it off.	Sono felice di togliermelo.
line:3517b28e	Have a productive day.	Buon lavoro.
line:7c1adc57	He called me, we met up. He's really damn nice.	Mi ha chiamato e ci siamo visti. È davvero gentile, cazzo.
line:e71f9a0b	HE DIED!?	È MORTO!?
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Da quello che ho capito, era da molto che... nessuno si prendeva cura di lui.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Lui sapeva... esattamente cosa dire per farmi smettere.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Preferisce «verticalmente svantaggiato»... Ma sì.
line:04b29e42	He really is.	Lo è davvero.
line:c7e1b369	He really is.	Lo è davvero.
line:c64bd5ce	He said I was chill, we planned a date...	Ha detto che sono uno tranquillo. Abbiamo organizzato un appuntamento...
line:e8a91447	He's a lot. But, I like it.	È un tipo impegnativo. Ma a me piace così.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	È un drago rosso. Credo che vi piacereste!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	È già tornato al lavoro. Grazie per avermi aiutato con tutta quella faccenda.
line:aaea8391	He's been way nicer recently.	Ultimamente è molto più gentile.
line:7363c004	He's great.	È fantastico.
line:c13d4e24	He's hot.	È sexy.
line:675d7e37	He's like. SUPER hung.	È tipo... SUPER dotato.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	È come... un gran tenerone circondato da punte affilate.
line:800c553d	He's my dream dragon.	È il drago dei miei sogni.
line:4b3c70d9	He's snappy, but tender too!	È brusco, ma sa essere anche tenero!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	È un drago rosso DAVVERO carino che viene qui al lavaggio!
line:4c11c83e	He's tiny, I like being eye level with him.	È piccolino. Mi piace guardarlo negli occhi alla stessa altezza.
line:b9ce2f3c	He's... Considerate. Real understanding too.	È... Attento. E molto comprensivo.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Ho sentito di te e del ragazzone blu. Ryan, giusto?
line:ca4a9672	Heeeey Ryan.	Eeehi, Ryan.
line:24ce37ec	Heeeey.	Eeehi.
line:bb70c1ed	Heh. Yeah.	Eh. Già.
line:3fa80829	Heh. Yeah. I like you too.	Eh. Già. Anche tu mi piaci.
line:20393ff6	Heh. Yeah. That's me.	Eh. Sì. Sono io.
line:ac769d93	heh.. yea.. sorry..	Eh... Sì... Scusa...
line:5246ceea	Heh... alright.	Eh... Va bene.
line:75fef5cb	Heh... Damn right.	Eh... Proprio così.
line:5f0edcb2	Heh... Handsy today, huh?	Eh... Oggi non tieni le mani a posto, eh?
line:2f55b3aa	Hehe	Eheh.
line:7e991330	Hehe yeah.	Eheh, sì.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Eheh, non vedo l'ora di rimettermi in gioco con gli appuntamenti.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Eheh, grazie. Ci sono cose che dovrebbero andare bene per entrambi.
line:1a3e2a73	Hell yea	Cazzo, sì.
line:93f67490	Hell yeah	Cazzo, sì.
line:389e4033	Hell yeah I did!	Cazzo, altroché!
line:17dbb9b7	Hell yeah.	Cazzo, sì.
line:4b7b33d9	Hello!	Ciao!
line:c3d3da41	Hello!	Ciao!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Salve, <i>«affiliato Drag'n'wash numero 223»...</i> Hai capito come interagire?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Salve, <i>«affiliato Drag'n'wash numero 223»...</i> Hai già parlato con il tuo primo cliente?
line:b7cce838	Hello.	Salve.
line:a8779ebf	Hello?	C'è nessuno?
line:dd4b34ae	Hello?	C'è nessuno?
line:1954aab7	Help the developers out please..	Per favore, segnalalo agli sviluppatori...
line:db9c3a5c	Help the developers out please..	Per favore, segnalalo agli sviluppatori...
line:f7f7f5a1	Help the developers out please..	Per favore, segnalalo agli sviluppatori...
line:fc461784	Help the developers out please..	Per favore, segnalalo agli sviluppatori...
line:ee3398a6	Hey big guy.	Ehi, ragazzone.
line:0090c7b0	Hey Conrad!	Ehi, Conrad!
line:3d0a5aeb	Hey Conrad!	Ehi, Conrad!
line:a2b4acea	Hey conrad!	Ciao, Conrad!
line:975a629f	Hey Conrad.	Ehi, Conrad.
line:21235886	Hey could you come up front where I can see you?	Ehi, potresti venire qui davanti, dove posso vederti?
line:533532c4	Hey fine by me!	Ehi, per me va bene!
line:1538bc7e	Hey good lookin'	Ehi, bellezza.
line:0121c874	Hey hey. Glad you're open.	Ehi, ehi. Meno male che sei aperto.
line:71b651dd	Hey I have something to say!	Ehi, vorrei dirti una cosa!
line:0d4e0ecf	Hey kobold!	Ehi, coboldo!
line:af3f02c9	Hey Ryan, what do you have there?	Ehi, Ryan, cos'hai lì?
line:6374414d	Hey thanks for being here for me...	Ehi, grazie per esserci per me...
line:bf5ff483	Hey there, happy to be back.	Ciao, che bello essere tornato.
line:c38b7fa6	Hey there, Ryan!	Ehi, Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Ehi... Magari potresti «metterci le mani» più tardi?
line:1b6c7f75	Hey there.	Salve.
line:5dacf226	Hey there.	Buongiorno.
line:82698bd1	Hey there.	Salve.
line:ab3a5d9c	Hey there.	Ehi.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Ehi, ehm... Secondo te tra me e Ryan può funzionare <i>davvero</i>?
line:04501155	Hey uh, I just need a cleaning.	Ehi, ehm... Mi serve solo una ripulita.
line:2a29842a	Hey uh... Not now.	Ehi, ehm... Non adesso.
line:8caa3196	Hey uhm, thanks once again.	Ehi, ehm... Grazie ancora.
line:5c7a9105	Hey!	Ehi!
line:eed2cc64	Hey!	Ehi!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Ehi! È solo... «verticalmente svantaggiato».
line:55bb78d1	Hey! I'm here for a wash.	Ciao! Sono qui per una lavata.
line:33480903	Hey, Alexander!	Salve, Alexander!
line:21fcef4f	Hey, Alexander.	Salve, Alexander.
line:14598ca6	Hey, big guy!	Ehi, ragazzone!
line:e7353d24	Hey, I've got a question for you.	Ehi, ho una domanda per te.
line:674877e5	Hey, nothin' wrong with asking!	Ehi, non c'è niente di male a chiedere!
line:d2589856	Hey, welcome back!	Salve, bentornato!
line:0d3e4054	Hey.	Ehi.
line:aa0dda7b	Hey.	Ehi.
line:7f2e2736	Hey... little guy!	Ehi... piccoletto!
line:933efa6d	Hi again!	Ciao di nuovo!
line:873a2b9a	Hi again..	Ciao di nuovo...
line:83ac5b68	Hi Conrad.	Ciao, Conrad.
line:050efd1a	Hi, Ryan!	Ciao, Ryan!
line:06ed6aea	Hiiiii! Hiii!	Ciaooo! Ciao!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	La sua forma fisica si sta ricostituendo nella sala professori.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Mmh, credo che farò a meno del cavalletto.
line:370d719b	Hm?	Mmh?
line:3c3ddd0c	Hm?	Mmh?
line:44658d73	Hmm...	Mmh...
line:bf059ff3	Hmm...	Mmh...
line:730b1ca4	Hmm?	Mmh?
line:fc571337	Hmmm, maybe something else?	Mmh, magari qualcos'altro?
line:19207e44	Hold on a little longer for me?	Può resistere ancora un pochino per me?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Sinceramente, non pensavo fosse così piacevole.
line:a2ff0176	Hope it went well.	Spero sia andata bene.
line:b17360a0	Hope that's alright?	Spero che vada bene?
line:ae08853f	Hope you're doing alright!	Spero che stia bene!
line:e1fa2461	Hopefully! I'll go get the gate.	Speriamo! Vado ad aprire il cancello.
line:99931b37	Hopefully.	Speriamo.
line:d9c91bca	How about you though? have you been seeing anyone?	E tu, invece? Stai frequentando qualcuno?
line:4ec92454	How about you? Anyone exciting?	E tu? Qualcuno di interessante?
line:86bde306	How are you with seafood?	Come te la cavi con il pesce e i frutti di mare?
line:7fb611c9	How come you brought this all in?	Come mai hai portato tutta questa roba?
line:af0d0972	How come you're covered in ink?	Come mai è ricoperto d'inchiostro?
line:e385b7f3	How did it go?	Com'è andata?
line:c0161bbc	How did it taste?	Che sapore aveva?
line:262b262e	how do I get in?	come faccio a entrare?
line:676b0638	how do I get in?	come faccio a entrare?
line:8308bb09	How do I look?	Come sto?
line:4f172746	How do you even digest that?	Ma come fai a digerirlo?
line:28d390ac	How so?	In che senso?
line:4ef9fe65	How so?	In che senso?
line:ea66b5af	How so?	In che senso?
line:4b29790b	How was the sex.	Com'è stato il sesso?
line:7736270c	How was your date with Conrad?	Com'è andato l'appuntamento con Conrad?
line:18d418ab	However, it's ornamental! My family crest. You see...	Invece è ornamentale! È il mio stemma di famiglia. Vede...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Tuttavia, la mia <i>immagine</i> è assai più duratura delle effimere forme fisiche di Igwyx.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Tuttavia, quel rispetto porta con sé l'aspettativa che mi comporti come suggerisce il mio aspetto. È terribilmente stressante.
line:d2baf9e2	However...	Tuttavia...
line:fb8401c3	Huff...	Uff...
line:b54ee04d	huff... Thank you for that.	Uff... La ringrazio.
line:16420ca7	Huff... Thanks for that.	Uff... Grazie per questo.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Uff... È stato bello... Ho sporcato un po', però.
line:ae83cfb6	huh...?	Eh...?
line:0c78b56b	Huh?	Eh?
line:e96114a2	Huh? ofcourse not!	Eh? Certo che no!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>Credo </i> di aver rovesciato un calamaio <i>mentre venivo qui</i>. Che goffaggine!
line:d37175c7	I act tough but am a small dragon...	Faccio il duro, ma sono un drago piccolo...
line:b4e27683	I agree	Sono d'accordo.
line:68ebf07b	I allowed him, as my stature provides ample height.	Ho acconsentito, dato che la mia statura offre un'altezza più che sufficiente.
line:a051821a	I already feel a lot better.	Mi sento già molto meglio.
line:49bfbfbe	I already have spot at the club reserved.	Ho già prenotato un posto al locale.
line:14ff4edd	I always do~	Ci do sempre dentro~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Sono sempre felice di vederti. Vado ad aprire il cancello.
line:52bf5ede	I am THE kobold. Yip!	Sono io IL coboldo. Yip!
line:141c006f	I am too.	Anch'io.
line:363f6f6a	I am too.	Anch'io.
line:405b9622	I am too.	Anch'io.
line:d4c5faea	I am too.	Anch'io.
line:556897bf	I am! Even better now that you're here.	Sì! Ancora meglio adesso che è qui.
line:e499b2cc	I am.	Lo sono.
line:5ec8bb55	I believe that's in part because of you.	Credo che in parte sia merito suo.
line:9883786d	I booked the night.	Ho prenotato per la notte.
line:eae85bf9	I broke up with my partner...	Ho lasciato la mia ragazza...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Ho portato anguria, pane, uva e altre cose.
line:e8aa18f4	I can digest pretty much anything.	Riesco a digerire praticamente tutto.
line:7f543c2a	I can let loose whenever you are ready	Posso lasciarmi andare quando sei pronto.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Non posso credere che Igwix abbia commesso un errore del genere!
line:e051a79e	I consider you a good friend too	Anch'io ti considero un buon amico.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Potrei procurarci i posti <i>migliori</i> per lo spettacolo.
line:2602b8c6	I could use a wash.	Mi farebbe bene una lavata.
line:c66153d3	I couldn't help but notice the... device over there.	Non ho potuto fare a meno di notare il... congegno laggiù.
line:b71f0756	I decided to try baking.	Ho deciso di provare a fare dolci.
line:e62b989c	I decided to try baking.	Ho deciso di provare a fare dolci.
line:efea7148	I decided to try baking.	Ho deciso di provare a fare dolci.
line:98f800d3	I didn't know anyone could like me that much so easily.	Non sapevo che qualcuno potesse affezionarsi così tanto a me così facilmente.
line:4116f001	I didn't know what the button did.	Non sapevo a cosa servisse il pulsante.
line:7a5c7f54	I didn't mean to fluster you!	Non volevo metterti in imbarazzo!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Il colore mi piace, ma non credo che dipenda dalla mia carnagione.
line:f9c800f2	I do!	Certo!
line:ad9c1ada	I do. But, what happened?	Sì. Ma che è successo?
line:a45ccf3a	I don't believe I can hold back any longer	Non credo di riuscire a trattenermi ancora.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Non capisco! Perché devo comportarmi così?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Non so dov’è finito l’alchimista, ma mi sento di nuovo sporco.
line:71127249	I don't mean to be rude, but I must decline	Non vorrei essere scortese, ma devo rifiutare.
line:f5696cc4	I don't need to tell you.	Non sono tenuto a dirtelo.
line:878fc94c	I don't understand..	Non capisco...
line:4f3d31f8	I don't want your pitty!	Non voglio la tua pietà!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Mi piace far parte della vita di tante persone in modo positivo.
line:14653182	I enjoy parts of it. The respect is pleasant...	Alcuni aspetti mi piacciono. Essere rispettato è piacevole...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Mi piace non aver paura di fallire quando sono con lei.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Mi piace quando mi dice cosa fare con una carezza della mano.
line:6db406b4	I enjoyed this quite a lot.	Mi è piaciuto moltissimo.
line:e838533b	I feel as I could say anything to you.	Ho l'impressione di poterle dire qualsiasi cosa.
line:9b9567ec	I feel much better.	Mi sento molto meglio.
line:ed6be68f	I feel spotless as always.	Mi sento immacolato come sempre.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Dimentico sempre quanto poco ne sappiano i profani. Mi scuso.
line:63837f22	I forgot to bite into it so... Nothing?	Mi sono dimenticato di morderla, quindi... Nessuno?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Capisco che tu ti senta così dopo una rottura, sì.
line:adf1550f	I give my other bipedal friends rides all the time.	Porto in giro gli altri miei amici bipedi in continuazione.
line:9a68366f	I got a mount.	Ho preso un cavalletto.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Sono tornato un po' sporco e lei mi ha urlato contro.
line:22a9094a	I guess so!	Direi di sì!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Odio finire sempre in situazioni del genere.
line:366a7f73	I have a question.	Ho una domanda.
line:82b63c18	I have something to say!	Ho qualcosa da dire!
line:fd68807c	I have to say, you did as good a job as private washers.	Devo dire che il suo lavoro non ha nulla da invidiare a quello dei lavatori privati.
line:761f413a	I heard a loud bang	Ho sentito un forte boato.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Ho sentito un forte boato. Non credo che Igwix ce l'abbia fatta.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Ho sentito che quaggiù ci sono dei coboldi che possono lavarmi?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Ho sentito che qui ci sono dei coboldi che possono darmi una lavata?
line:2f9b499a	I honestly don't know how you are doing that.	Davvero, non so come ci riesci.
line:6f5dbc90	I hope he's okay too.	Lo spero anch'io.
line:cd0197ed	I hope I can learn from that.	Spero di poter imparare da te.
line:cf50dbcc	I hope it all works out.	Spero che vada tutto bene.
line:b2dfad3e	I hope so.	Lo spero.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Lo spero. Voglio davvero ricominciare da zero con qualcuno.
line:7429dab7	I hope that you'll help me prove them wrong!	spero che mi aiuterai a dimostrare che si sbaglia!
line:be5feb3e	I hope things get better.	Spero che le cose migliorino.
line:114ac9a0	I hope you're right.	Spero che tu abbia ragione.
line:06744c7e	I just don't like that she takes it out on me.	È che non mi piace che se la prenda con me.
line:1fb02179	I just don't like that she takes it out on me.	È che non mi piace che se la prenda con me.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Mi serve solo una lavata veloce... Magari anche il cavalletto non sarebbe male.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Vorrei soltanto che mi facesse una domanda. Una qualsiasi.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Sapevo che eri troppo occupato, quindi ho pensato di portare l'appuntamento da te!
line:2461773d	I knew you'd have my back	Sapevo che saresti stato dalla mia parte.
line:6a671440	I know a decent equine-kin place by the pier.	Conosco un buon ristorante di equini vicino al molo.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	So che può essere irascibile e dimenticarsi di ringraziare.
line:83c55e2e	I know things can be tough.	So che a volte è dura.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	So che devi chiudere il negozio. Ti farò avere l'indirizzo e ci vediamo lì, d'accordo?
line:ded99a0c	I know, I'll reserve your spot!	Lo so, ti terrò il posto!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Lo so. Ma potersi aprire con qualcuno, anche solo ogni tanto...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Lo so. So che non dovrei scaricarti addosso tutto questo.
line:875048ca	I know. I know.	Lo so. Lo so.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Mi piace quanto sia sicuro di sé. Anche se si tratta soltanto di lavarmi.
line:46061aae	I like it! I think you'd enjoy it too.	A me piace! Credo che piacerebbe anche a te.
line:f4ad8ea6	I like taking care of you.	A me piace prendermi cura di lei.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Mi piace il cavalletto che hai scelto. Lo prenderesti?
line:5c86951f	I like you a lot.	Mi piaci tanto.
line:a91980fc	I like you for who you are.	Mi piace per quello che è.
line:bdca3e1b	I like... him.	Mi piace... lui.
line:2b65bf83	I love bubbles, they tickle!	Adoro le bolle, fanno il solletico!
line:f8a4f404	I mean it. Really.	Dico sul serio. Davvero.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Devo migliorare. <i>Voglio </i>migliorare.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Devo essere immacolato. A quanto pare è a questo che servi. <size=70%> Ah.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Non avrei mai pensato di confidare a qualcuno cose tanto imbarazzanti.
line:0c986dec	I never expected you to be the type to be so messy!	Non la immaginavo così pasticcione!
line:95db900b	I never miss a spot.	Non tralascio mai nulla.
line:d620d41a	I never thought someone like him would be my type...	Non avrei mai pensato che uno come lui fosse il mio tipo...
line:67592de1	I probably need to head out though.	Però adesso dovrei andare.
line:e41c6dc5	I really do hope it all works out!	Spero davvero che vada tutto bene!
line:a722aada	I really think it was this time...	Stavolta credo proprio di sì...
line:e80e5edd	I see what you're doing, thank you.	Capisco cosa sta facendo. La ringrazio.
line:cc6ec337	I see..	Capisco...
line:d57520b1	I seem to have gotten myself covered in ink!	A quanto pare mi sono ricoperto d'inchiostro!
line:3b161cf3	I still need more!	Ne voglio ancora!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Suppongo di capire il fastidio per il disordine che può causare.
line:234ccfda	I suppose it depends on the circumstances.	Suppongo che dipenda dalle circostanze.
line:910706c0	I think a movie could be fun!	Credo che un film potrebbe essere divertente!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Credo che fosse in un brutto ambiente. Ora sta meglio.
line:9247b7a0	I think he'd like the new you!	Secondo me gli piacerà il nuovo te!
line:f4982dcd	I think he's got a crush on me.	Credo che abbia una cotta per me.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Credo di avere ancora addosso un po' di residui dell'esplosione...
line:4efc873f	I think I like being taken care of?	Credo che mi piaccia essere accudito?
line:f5d36d9a	I think I might be close..	Credo che potrei essere vicino...
line:52fc4e08	I think I'd like that!	Credo che mi piacerebbe!
line:5c78099a	I think I'd like to meet him!	Credo che mi piacerebbe conoscerlo!
line:14e0edf6	I think I'd like to try!	Credo che mi piacerebbe provare!
line:164df75a	I think I'd like to use it?	Credo che mi piacerebbe usarlo?
line:4f6168aa	I think I'd like to use it?	Credo che mi piacerebbe usarlo?
line:ab314624	I think I'd like to?	Credo che mi piacerebbe?
line:170c6aa3	I think I'd like you to be that someone aswell.	Credo che anche a me piacerebbe che fossi tu quel qualcuno.
line:8f46bb17	I think I've got it!	Credo di aver capito!
line:a5e128e0	I think she's upset about something else...	Credo che sia arrabbiata per qualcos'altro...
line:bc2545e7	I think she's upset about something else...	Credo che sia arrabbiata per qualcos'altro...
line:335c5156	I think so!	Direi di sì!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Credo che andrebbe bene! Fanno dei begli spettacoli tutte le sere.
line:eaafe671	I think you got every spot!	Credo che tu abbia pulito ogni punto!
line:1760e5d5	I think you got every spot.	Credo che tu abbia pulito ogni punto.
line:341175f7	I think you got every spot.	Credo che tu abbia pulito ogni punto.
line:770e7473	I think you got every spot.	Credo che tu abbia pulito ogni punto.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Credo che tu l'abbia aiutato molto più di quanto pensi.
line:f28fd15d	I think you missed a few spots still...	Credo che tu abbia tralasciato ancora qualche punto...
line:77509e74	I think you're cool too. Self improvement is hard.	Anche tu sei in gamba. Migliorarsi è difficile.
line:763c6a82	I think you're good looking.	Penso che sia bello.
line:69e7dbb3	I think you're pretty cool, Conrad.	Secondo me sei forte, Conrad.
line:9c393f61	I think you're special too.	Anch'io penso che tu sia speciale.
line:7d5ae3b4	I usually make do with a hose down at home...	Di solito a casa me la cavo con una passata di tubo...
line:c4fc9b28	I wanna talk face to face!	Voglio parlare faccia a faccia!
line:548dc375	I want to be more open. It feels good.	Voglio aprirmi di più. Mi fa bene.
line:e02f464d	I was helping the alchemist reach a high shelf	Stavo aiutando l'alchimista a raggiungere uno scaffale alto.
line:fa97376e	I was helping the alchemist reach a high shelf	Stavo aiutando l'alchimista a raggiungere uno scaffale alto.
line:bb015b1b	I was romping around the forest	Stavo scorrazzando nella foresta.
line:78e2cb13	I was thinking about what you said,	Stavo pensando a quello che hai detto,
line:b8282714	I was thinking.	Stavo pensando.
line:ca616238	I was thinking. We could go out some time next week?	Pensavo... Potremmo uscire un giorno della prossima settimana?
line:a13d76ec	I was thinking...	Stavo pensando...
line:c1a4edf0	I wasn't making her happy either.	E neanche lei era felice con me.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Mi sono dato parecchio da fare per un lavaggio discreto. Ero certo che nessuno mi avesse seguito.
line:db5cd152	I went out with some friends.	Sono uscito con degli amici.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Pagherò il doppio. Il triplo... È un lavoro che può fare soltanto lei!
line:0c31345e	I will, thanks.	Lo farò, grazie.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Lo farò. Mi serve solo una lavata veloce, e oggi userei volentieri il cavalletto.
line:399457b7	I wish it was easy as it is in movies.	Vorrei che fosse facile come nei film.
line:2185f08c	I won't.	Non lo farò.
line:45950848	I would like that!	Mi farebbe piacere!
line:099ec7fd	I would love to.	Mi piacerebbe molto.
line:e6006cd6	I wouldn't mind!	Non mi dispiacerebbe!
line:81905be1	I'd like to go out to eat.	Mi piacerebbe andare a mangiare fuori.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Continuerei volentieri a parlare, davvero, ma tra poco ho lezione.
line:2fe8a558	I'd love to!	Mi piacerebbe molto!
line:87ba56cc	I'll be back again, yeah?	Tornerò, d'accordo?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Tornerò. È bello averla come amico.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Tornerò presto, d'accordo? Grazie del lavaggio.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Ti aspetto al bar stasera!
line:69dff2ec	I'll be waiting for the gate!	Aspetto che tu apra il cancello!
line:ae4d09f6	I'll be waiting for the gate!	Aspetto che tu apra il cancello!
line:ab616aac	I'll definitely keep this place in mind.	Mi ricorderò senz'altro di questo posto.
line:b122441b	I'll get one ordered I promise!	Ne ordinerò uno, promesso!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Adesso la lascio al suo lavoro. Grazie del lavaggio.
line:707d2693	I'll get out of your scales...	Ti lascio in pace...
line:ca480eed	I'll get you two in contact then.	Allora vi metterò in contatto.
line:59416000	I'll go get the gate for ya'	Vado ad aprirti il cancello.
line:6aa7ad03	I'll go get the gate for ya'	Vado ad aprirti il cancello.
line:2a6d7e7d	I'll go get the gate for you.	Vado ad aprirti il cancello.
line:8107858d	I'll go get the gate for you.	Vado ad aprirle il cancello.
line:d1755010	I'll go get the gate for you.	Vado ad aprirti il cancello.
line:4d692a01	I'll go get the gate.	Vado ad aprire il cancello.
line:a75bb519	I'll go get the gate.	Vado ad aprire il cancello.
line:8689a124	I'll happily get that for you.	Glielo prendo volentieri.
line:48e99d7b	I'll have to close up shop first-	Prima devo chiudere il negozio...
line:f2b894e2	I'll have to reserve your spot while you close up.	Dovrò tenerti il posto mentre chiudi.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Me ne ricorderò. Sono abituato a rapporti basati su uno scambio.
line:956a0f47	I'll make sure to ask him next time I see him.	Glielo chiederò la prossima volta che lo vedo.
line:e64d21e4	I'll make sure to come back.	Tornerò di sicuro.
line:7c9fe106	I'll make sure to get out of your scales.	Mi tolgo di torno.
line:87006442	I'll make sure to tell others about this place	Parlerò sicuramente agli altri di questo posto.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Ti racconterò com'è andata, d'accordo?
line:49b6a167	I'll make sure you're <i>spotless.	Ti renderò <i>immacolato.
line:96981b61	I'll manage.	Me la caverò.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Mi serve un servizio rapido. Gli studenti non si insegnano da soli.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Dovrò resuscitare Igwix. Che imbarazzo!
line:90a9a98e	I'll see you next time I come in, yeah?	Ci vediamo la prossima volta che vengo, d'accordo?
line:d0f6a49a	I'll see you next time I come in, yeah?	Ci vediamo la prossima volta che vengo, d'accordo?
line:160bf40f	I'll start prepping for it.	Comincerò a preparare tutto.
line:8af64cb8	I'll take care of this, don't you worry.	Ci penso io. Non preoccuparti.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Te lo racconto tra poco. Intanto potresti aprire il cancello?
line:04c62f9b	I'm <i>spotless</i>.	Sono <i>immacolato</i>.
line:629f8cff	I'm a bit of a big deal around there.	Lì sono piuttosto conosciuto.
line:d9272031	I'm a dragon.	Sono un drago.
line:675e7284	I'm a rule breaker!	Io infrango le regole!
line:afcd5586	I'm a... kobold.	Sono un... coboldo.
line:5d41b5d6	I'm all dirty still!	Sono ancora tutto sporco!
line:2f6eb3c3	I'm all soapy still!	Sono ancora tutto insaponato!
line:18707b19	I'm always happy to give you a wash!	Sono sempre felice di darti una lavata!
line:3b01eb3b	I'm always happy to give you a wash!	Sono sempre felice di darti una lavata!
