# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Siema, duży piesku.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ha, tak. Conrad zdecydowanie ma doświadczenie...
line:8b878971	Hah, yeah. He sounds fun.	Ha, tak. Brzmi fajnie.
line:e3ed51d9	Hah. Conrad, you look good too.	Ha. Ty też dobrze wyglądasz, Conrad.
line:f8b2e23b	Hah. Fine.	Ha. Dobra.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ha. Gdyby tylko był tu kobold, który mógłby mnie umyć.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ha. Tak. <size=70%><i>Fajnie, że w szkole mycia uczą walenia smokom...
line:50a559bb	Hah... <size=70%> yeah.	Ha... <size=70%>Tak.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ha... Teraz mi zwalisz? Pasuje.
line:4e920759	Hah... Yeah I'm excited.	Ha... Tak, nie mogę się doczekać.
line:b36365ce	Hah... Yeah...	Ha... Tak...
line:b8724c64	Hah... you do like that noise.	Ha... Naprawdę lubisz ten dźwięk.
line:c8cde395	Haha, 'Yip' indeed.	Haha, „yip”, w rzeczy samej.
line:680991cf	Haha, yes. Happy to see you.	Haha, tak. Cieszę się, że pana widzę.
line:4c27b031	Haha, you certainly are!	Haha, rzeczywiście!
line:c3a2e14e	Haha, you certainly are!	Haha, rzeczywiście!
line:9ec40945	Haha. 'Yip' to you too.	Haha. „Yip” tobie też.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... No. Nie mam wprawy w komplementach.
line:44689f21	Happy to be back.	Miło tu wrócić.
line:2672f65d	Happy to be here.	Miło tu być.
line:192fcb8e	Happy to get it off.	Miło się go pozbyć.
line:3517b28e	Have a productive day.	Owocnego dnia pracy.
line:7c1adc57	He called me, we met up. He's really damn nice.	Zadzwonił, spotkaliśmy się. Jest cholernie miły.
line:e71f9a0b	HE DIED!?	ON UMARŁ?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Z tego, co zrozumiałem, od dawna nikt się nim... Cóż, nie przejmował.
line:de25de6e	He just... Knew what to say to snap me out of all that.	On po prostu... wiedział, co powiedzieć, żeby mnie z tego wyrwać.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Woli określenie „ograniczony w pionie”... Ale tak.
line:04b29e42	He really is.	Naprawdę.
line:c7e1b369	He really is.	Naprawdę.
line:c64bd5ce	He said I was chill, we planned a date...	Powiedział, że jestem w porządku, zaplanowaliśmy randkę...
line:e8a91447	He's a lot. But, I like it.	Jest intensywny. Ale lubię to.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Czerwony smok. Myślę, że byście się sobie spodobali!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Już wrócił do pracy. Dziękuję za pomoc z tamtą sprawą.
line:aaea8391	He's been way nicer recently.	Ostatnio jest dużo milszy.
line:7363c004	He's great.	Jest świetny.
line:c13d4e24	He's hot.	Jest seksowny.
line:675d7e37	He's like. SUPER hung.	Jest... BARDZO hojnie obdarzony.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Jest jak... wielki mięczak otoczony ostrymi kolcami.
line:800c553d	He's my dream dragon.	To smok moich marzeń.
line:4b3c70d9	He's snappy, but tender too!	Jest zadziorny, ale też czuły!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Taki BARDZO uroczy czerwony smok, który przychodzi się myć!
line:4c11c83e	He's tiny, I like being eye level with him.	Jest malutki. Lubię patrzeć mu prosto w oczy.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Jest... troskliwy. I naprawdę wyrozumiały.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Słyszałem o tobie i tym dużym niebieskim. Ryan, tak?
line:ca4a9672	Heeeey Ryan.	Heeej, Ryan.
line:24ce37ec	Heeeey.	Heeej.
line:bb70c1ed	Heh. Yeah.	He. Tak.
line:3fa80829	Heh. Yeah. I like you too.	He. Tak. Ja też cię lubię.
line:20393ff6	Heh. Yeah. That's me.	He. Tak. To ja.
line:ac769d93	heh.. yea.. sorry..	He... Tak... Przepraszam..
line:5246ceea	Heh... alright.	He... Dobrze.
line:75fef5cb	Heh... Damn right.	He... No pewnie.
line:5f0edcb2	Heh... Handsy today, huh?	He... Dziś rączki cię świerzbią, co?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, tak.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, cieszę się, że znów będę chodził na randki.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, dzięki. Są tu rzeczy, które powinny nam obu smakować.
line:1a3e2a73	Hell yea	Kurwa, tak.
line:93f67490	Hell yeah	Kurwa, tak.
line:389e4033	Hell yeah I did!	Jeszcze jak, kurwa!
line:17dbb9b7	Hell yeah.	Kurwa, tak.
line:4b7b33d9	Hello!	Cześć!
line:c3d3da41	Hello!	Cześć!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Dzień dobry, <i>„franczyza Drag'n'wash 223”...</i> Wiesz już, jak wchodzić w interakcje?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Dzień dobry, <i>„franczyza Drag'n'wash 223”...</i> Rozmawiałeś już z pierwszym klientem?
line:b7cce838	Hello.	Witam.
line:a8779ebf	Hello?	Halo?
line:dd4b34ae	Hello?	Halo?
line:1954aab7	Help the developers out please..	Pomóż twórcom, proszę...
line:db9c3a5c	Help the developers out please..	Pomóż twórcom, proszę...
line:f7f7f5a1	Help the developers out please..	Pomóż twórcom, proszę...
line:fc461784	Help the developers out please..	Pomóż twórcom, proszę...
line:ee3398a6	Hey big guy.	Hej, wielkoludzie.
line:0090c7b0	Hey Conrad!	Cześć, Conrad!
line:3d0a5aeb	Hey Conrad!	Cześć, Conrad!
line:a2b4acea	Hey conrad!	Cześć, Conrad!
line:975a629f	Hey Conrad.	Hej, Conrad.
line:21235886	Hey could you come up front where I can see you?	Hej, podejdziesz z przodu, żebym cię widział?
line:533532c4	Hey fine by me!	Hej, mnie pasuje!
line:1538bc7e	Hey good lookin'	Hej, przystojniaku.
line:0121c874	Hey hey. Glad you're open.	Hej, hej. Dobrze, że otwarte.
line:71b651dd	Hey I have something to say!	Hej, chcę coś powiedzieć!
line:0d4e0ecf	Hey kobold!	Hej, koboldzie!
line:af3f02c9	Hey Ryan, what do you have there?	Hej, Ryan, co tam masz?
line:6374414d	Hey thanks for being here for me...	Hej, dzięki, że jesteś przy mnie...
line:bf5ff483	Hey there, happy to be back.	Hej, miło wrócić.
line:c38b7fa6	Hey there, Ryan!	Hej, Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Hej... Może te „ręczne robótki” zostawimy na później?
line:1b6c7f75	Hey there.	Witam.
line:5dacf226	Hey there.	Dzień dobry.
line:82698bd1	Hey there.	Witam.
line:ab3a5d9c	Hey there.	Hej.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Hej, eee, myślisz, że nam z Ryanem <i>naprawdę</i> się uda?
line:04501155	Hey uh, I just need a cleaning.	Hej, eee, potrzebuję tylko mycia.
line:2a29842a	Hey uh... Not now.	Hej, eee... Nie teraz.
line:8caa3196	Hey uhm, thanks once again.	Hej, eee, jeszcze raz dzięki.
line:5c7a9105	Hey!	Hej!
line:eed2cc64	Hey!	Hej!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Hej! On jest tylko... „ograniczony w pionie”.
line:55bb78d1	Hey! I'm here for a wash.	Cześć! Przyszedłem się umyć.
line:33480903	Hey, Alexander!	Witam, Alexandrze!
line:21fcef4f	Hey, Alexander.	Witam, Alexandrze.
line:14598ca6	Hey, big guy!	Hej, wielkoludzie!
line:e7353d24	Hey, I've got a question for you.	Hej, mam do ciebie pytanie.
line:674877e5	Hey, nothin' wrong with asking!	Ej, co złego w pytaniu!
line:d2589856	Hey, welcome back!	Witam, miło znów pana widzieć!
line:0d3e4054	Hey.	Hej.
line:aa0dda7b	Hey.	Hej.
line:7f2e2736	Hey... little guy!	Hej... maluchu!
line:933efa6d	Hi again!	Cześć ponownie!
line:873a2b9a	Hi again..	Znów cześć..
line:83ac5b68	Hi Conrad.	Cześć, Conrad.
line:050efd1a	Hi, Ryan!	Cześć, Ryan!
line:06ed6aea	Hiiiii! Hiii!	Dzieeeń dobry! Dzień dobry!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Jego fizyczna postać odtwarza się obecnie w pokoju nauczycielskim.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Hmm, chyba odpuszczę sobie ten przyrząd.
line:370d719b	Hm?	Hm?
line:3c3ddd0c	Hm?	Hm?
line:44658d73	Hmm...	Hmm...
line:bf059ff3	Hmm...	Hmm...
line:730b1ca4	Hmm?	Hmm?
line:fc571337	Hmmm, maybe something else?	Hmm, może coś innego?
line:19207e44	Hold on a little longer for me?	Wytrzyma pan dla mnie jeszcze chwilę?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Szczerze mówiąc, nie sądziłem, że to będzie takie przyjemne.
line:a2ff0176	Hope it went well.	Mam nadzieję, że się udało.
line:b17360a0	Hope that's alright?	Mam nadzieję, że to nie problem?
line:ae08853f	Hope you're doing alright!	Mam nadzieję, że dobrze się pan miewa!
line:e1fa2461	Hopefully! I'll go get the gate.	Mam nadzieję! Otworzę bramę.
line:99931b37	Hopefully.	Oby.
line:d9c91bca	How about you though? have you been seeing anyone?	A ty? Spotykasz się z kimś?
line:4ec92454	How about you? Anyone exciting?	A ty? Ktoś ciekawy?
line:86bde306	How are you with seafood?	Lubisz owoce morza?
line:7fb611c9	How come you brought this all in?	Dlaczego to wszystko przyniosłeś?
line:af0d0972	How come you're covered in ink?	Skąd na panu tyle atramentu?
line:e385b7f3	How did it go?	Jak poszło?
line:c0161bbc	How did it taste?	Jak smakował?
line:262b262e	how do I get in?	jak mam wejść?
line:676b0638	how do I get in?	jak mam wejść?
line:8308bb09	How do I look?	Jak wyglądam?
line:4f172746	How do you even digest that?	Jak ty to w ogóle trawisz?
line:28d390ac	How so?	W jakim sensie?
line:4ef9fe65	How so?	W jakim sensie?
line:ea66b5af	How so?	W jakim sensie?
line:4b29790b	How was the sex.	Jak było w łóżku?
line:7736270c	How was your date with Conrad?	Jak randka z Conradem?
line:18d418ab	However, it's ornamental! My family crest. You see...	Ale to ozdoba! Herb mojej rodziny. Otóż...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Jednak mój <i>wizerunek</i> jest znacznie trwalszy od ulotnych fizycznych postaci Igwyxa.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Lecz ten szacunek wiąże się z oczekiwaniem, że będę zachowywał się stosownie do wyglądu. To niebywale stresujące.
line:d2baf9e2	However...	Jednakże...
line:fb8401c3	Huff...	Uff...
line:b54ee04d	huff... Thank you for that.	Uff... Dziękuję za to.
line:16420ca7	Huff... Thanks for that.	Uff... Dzięki za to.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Uff... Miło było... Choć trochę nabrudziłem.
line:ae83cfb6	huh...?	Hę...?
line:0c78b56b	Huh?	Hę?
line:e96114a2	Huh? ofcourse not!	Hę? Oczywiście, że nie!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>Chyba </i>rozlałem kałamarz <i>po drodze tutaj</i>. Cóż za niezdarność!
line:d37175c7	I act tough but am a small dragon...	Zgrywam twardziela, ale jestem małym smokiem...
line:b4e27683	I agree	Zgadzam się.
line:68ebf07b	I allowed him, as my stature provides ample height.	Pozwoliłem mu, ponieważ mój wzrost zapewniał wystarczającą wysokość.
line:a051821a	I already feel a lot better.	Już czuję się dużo lepiej.
line:49bfbfbe	I already have spot at the club reserved.	Mam już zarezerwowane miejsce w klubie.
line:14ff4edd	I always do~	Zawsze daję z siebie wszystko~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Zawsze się cieszę na twój widok. Otworzę bramę.
line:52bf5ede	I am THE kobold. Yip!	To ja jestem TYM koboldem. Yip!
line:141c006f	I am too.	Ja też.
line:363f6f6a	I am too.	Ja też.
line:405b9622	I am too.	Ja też.
line:d4c5faea	I am too.	Ja też.
line:556897bf	I am! Even better now that you're here.	Tak! A teraz, gdy pan przyszedł, jeszcze lepiej.
line:e499b2cc	I am.	Jestem.
line:5ec8bb55	I believe that's in part because of you.	Myślę, że to częściowo pańska zasługa.
line:9883786d	I booked the night.	Zarezerwowałem całą noc.
line:eae85bf9	I broke up with my partner...	Rozstałem się z dziewczyną...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Przyniosłem arbuza, chleb, winogrona i inne rzeczy.
line:e8aa18f4	I can digest pretty much anything.	Mogę strawić praktycznie wszystko.
line:7f543c2a	I can let loose whenever you are ready	Mogę skończyć, kiedy będziesz gotowy.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Nie wierzę, że Igwix popełnił taki błąd!
line:e051a79e	I consider you a good friend too	Ja też uważam cię za dobrego przyjaciela.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Mógłbym załatwić nam <i>najlepsze</i> miejsca na występ.
line:2602b8c6	I could use a wash.	Przydałoby mi się mycie.
line:c66153d3	I couldn't help but notice the... device over there.	Nie mogłem nie zauważyć tego... urządzenia.
line:b71f0756	I decided to try baking.	Postanowiłem spróbować pieczenia.
line:e62b989c	I decided to try baking.	Postanowiłem spróbować pieczenia.
line:efea7148	I decided to try baking.	Postanowiłem spróbować pieczenia.
line:98f800d3	I didn't know anyone could like me that much so easily.	Nie wiedziałem, że mogę się komuś tak szybko aż tak spodobać.
line:4116f001	I didn't know what the button did.	Nie wiedziałem, do czego służy przycisk.
line:7a5c7f54	I didn't mean to fluster you!	Nie chciałem cię speszyć!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Lubię ten kolor, choć nie sądzę, by miało to związek z barwą moich łusek.
line:f9c800f2	I do!	Tak!
line:ad9c1ada	I do. But, what happened?	Mam. Ale co się stało?
line:a45ccf3a	I don't believe I can hold back any longer	Nie sądzę, bym mógł dłużej wytrzymać.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Nie rozumiem! Czemu muszę się tak zachowywać?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Nie wiem, gdzie zniknął alchemik, ale znów czuję się brudny.
line:71127249	I don't mean to be rude, but I must decline	Nie chcę być nieuprzejmy, ale muszę odmówić.
line:f5696cc4	I don't need to tell you.	Nie muszę ci mówić.
line:878fc94c	I don't understand..	Nie rozumiem..
line:4f3d31f8	I don't want your pitty!	Nie chcę twojej litości!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Lubię wywierać pozytywny wpływ na życie tak wielu osób.
line:14653182	I enjoy parts of it. The respect is pleasant...	Pewne rzeczy mi się podobają. Szacunek jest miły...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Lubię to, że przy panu nie boję się porażki.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Lubię, gdy dotknięciem dłoni mówi mi pan, co robić.
line:6db406b4	I enjoyed this quite a lot.	Bardzo mi się to podobało.
line:e838533b	I feel as I could say anything to you.	Czuję, jakbym mógł panu powiedzieć wszystko.
line:9b9567ec	I feel much better.	Czuję się znacznie lepiej.
line:ed6be68f	I feel spotless as always.	Jak zawsze czuję się nieskazitelnie czysty.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Zapominam o niewiedzy laików. Przepraszam.
line:63837f22	I forgot to bite into it so... Nothing?	Zapomniałem go ugryźć, więc... Nijak?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Rozumiem, że możesz tak się czuć po rozstaniu.
line:adf1550f	I give my other bipedal friends rides all the time.	Ciągle wożę innych dwunożnych znajomych.
line:9a68366f	I got a mount.	Kupiłem przyrząd.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Wróciłem trochę brudny i na mnie nakrzyczała.
line:22a9094a	I guess so!	Chyba tak!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Nienawidzę tego, że ciągle pakuję się w takie sytuacje.
line:366a7f73	I have a question.	Mam pytanie.
line:82b63c18	I have something to say!	Mam coś do powiedzenia!
line:fd68807c	I have to say, you did as good a job as private washers.	Muszę przyznać, że wykonał pan pracę równie dobrze co prywatni pracownicy.
line:761f413a	I heard a loud bang	Usłyszałem głośny huk.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Usłyszałem głośny huk. Nie sądzę, by Igwix przeżył.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Słyszałem, że są tu koboldy, które mogą mnie umyć?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Słyszałem, że są tu koboldy, które mogłyby mnie umyć?
line:2f9b499a	I honestly don't know how you are doing that.	Szczerze, nie wiem, jak ty to robisz.
line:6f5dbc90	I hope he's okay too.	Też mam nadzieję, że jest cały.
line:cd0197ed	I hope I can learn from that.	Mam nadzieję, że się czegoś z tego nauczę.
line:cf50dbcc	I hope it all works out.	Mam nadzieję, że wszystko się uda.
line:b2dfad3e	I hope so.	Mam nadzieję.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Oby. Naprawdę chcę zacząć z kimś od nowa.
line:7429dab7	I hope that you'll help me prove them wrong!	Mam nadzieję, że pomożesz mi udowodnić, że to nieprawda!
line:be5feb3e	I hope things get better.	Mam nadzieję, że będzie lepiej.
line:114ac9a0	I hope you're right.	Mam nadzieję, że masz rację.
line:06744c7e	I just don't like that she takes it out on me.	Tylko nie lubię, kiedy wyładowuje to na mnie.
line:1fb02179	I just don't like that she takes it out on me.	Tylko nie lubię, kiedy wyładowuje to na mnie.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Potrzebuję tylko szybkiego mycia... Może przyrząd też byłby fajny.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Chcę po prostu, by zadał mi pan pytanie. Dowolne.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Wiedziałem, że jesteś zajęty, więc przyniosłem randkę do ciebie!
line:2461773d	I knew you'd have my back	Wiedziałem, że mnie poprzesz.
line:6a671440	I know a decent equine-kin place by the pier.	Znam przyzwoitą restaurację koniowatych przy molo.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Wiem, że bywa porywczy i zapomina podziękować.
line:83c55e2e	I know things can be tough.	Wiem, że czasem bywa ciężko.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Wiem, że musisz zamknąć zakład. Podam ci adres i spotkamy się na miejscu, dobrze?
line:ded99a0c	I know, I'll reserve your spot!	Wiem, zajmę ci miejsce!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Wiem. Ale możliwość otwarcia się przed kimś, choćby od czasu do czasu...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Wiem. Wiem, że nie powinienem cię tym obarczać.
line:875048ca	I know. I know.	Wiem. Wiem.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Podoba mi się pańska pewność siebie. Nawet jeśli chodzi tylko o mycie.
line:46061aae	I like it! I think you'd enjoy it too.	Lubię ją! Myślę, że tobie też się spodoba.
line:f4ad8ea6	I like taking care of you.	Lubię się panem opiekować.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Podoba mi się ten przyrząd. Przyniesiesz go?
line:5c86951f	I like you a lot.	Bardzo cię lubię.
line:a91980fc	I like you for who you are.	Lubię pana takim, jaki pan jest.
line:bdca3e1b	I like... him.	Lubię... jego.
line:2b65bf83	I love bubbles, they tickle!	Uwielbiam bąbelki, łaskoczą!
line:f8a4f404	I mean it. Really.	Mówię serio. Naprawdę.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Muszę się poprawić. <i>Chcę </i>się poprawić.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Muszę lśnić. Chyba od tego tu jesteś. <size=70%>Ha.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Nigdy nie sądziłem, że zwierzę się komuś z tak wstydliwych rzeczy.
line:0c986dec	I never expected you to be the type to be so messy!	Nigdy nie sądziłem, że tak się pan potrafi ubrudzić!
line:95db900b	I never miss a spot.	Nigdy nie pomijam żadnej plamy.
line:d620d41a	I never thought someone like him would be my type...	Nie sądziłem, że ktoś taki będzie w moim typie...
line:67592de1	I probably need to head out though.	Ale chyba muszę już iść.
line:e41c6dc5	I really do hope it all works out!	Naprawdę mam nadzieję, że się uda!
line:a722aada	I really think it was this time...	Tym razem naprawdę chyba moja...
line:e80e5edd	I see what you're doing, thank you.	Rozumiem, co pan robi. Dziękuję.
line:cc6ec337	I see..	Rozumiem..
line:d57520b1	I seem to have gotten myself covered in ink!	Wygląda na to, że cały ubrudziłem się atramentem!
line:3b161cf3	I still need more!	Jeszcze chcę więcej!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Rozumiem niechęć do bałaganu, jaki może powodować.
line:234ccfda	I suppose it depends on the circumstances.	Chyba zależy od okoliczności.
line:910706c0	I think a movie could be fun!	Film mógłby być fajny!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Chyba był w złym otoczeniu. Teraz jest lepiej.
line:9247b7a0	I think he'd like the new you!	Myślę, że spodobałby mu się nowy ty!
line:f4982dcd	I think he's got a crush on me.	Chyba mu się podobam.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Chyba nadal mam na sobie trochę brudu po wybuchu...
line:4efc873f	I think I like being taken care of?	Chyba lubię, gdy ktoś się mną opiekuje?
line:f5d36d9a	I think I might be close..	Chyba jestem już blisko..
line:52fc4e08	I think I'd like that!	Chyba mi się to podoba!
line:5c78099a	I think I'd like to meet him!	Chyba chciałbym go poznać!
line:14e0edf6	I think I'd like to try!	Chyba chciałbym spróbować!
line:164df75a	I think I'd like to use it?	Chyba chciałbym go użyć?
line:4f6168aa	I think I'd like to use it?	Chyba chciałbym go użyć?
line:ab314624	I think I'd like to?	Chyba bym chciał?
line:170c6aa3	I think I'd like you to be that someone aswell.	Chyba też chciałbym, żebyś był tym kimś.
line:8f46bb17	I think I've got it!	Chyba już rozumiem!
line:a5e128e0	I think she's upset about something else...	Chyba jest zła z innego powodu...
line:bc2545e7	I think she's upset about something else...	Chyba jest zła z innego powodu...
line:335c5156	I think so!	Myślę, że tak!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Myślę, że byłoby dobre! Co wieczór dają świetne występy.
line:eaafe671	I think you got every spot!	Chyba niczego nie pominąłeś!
line:1760e5d5	I think you got every spot.	Chyba niczego nie pominąłeś.
line:341175f7	I think you got every spot.	Chyba niczego nie pominąłeś.
line:770e7473	I think you got every spot.	Chyba niczego nie pominąłeś.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Chyba pomogłeś mu bardziej, niż myślisz.
line:f28fd15d	I think you missed a few spots still...	Chyba nadal pominąłeś kilka miejsc...
line:77509e74	I think you're cool too. Self improvement is hard.	Też jesteś fajny. Niełatwo nad sobą pracować.
line:763c6a82	I think you're good looking.	Uważam, że jest pan przystojny.
line:69e7dbb3	I think you're pretty cool, Conrad.	Moim zdaniem jesteś fajny, Conrad.
line:9c393f61	I think you're special too.	Też uważam, że jesteś wyjątkowy.
line:7d5ae3b4	I usually make do with a hose down at home...	Zwykle wystarcza mi wąż ogrodowy w domu...
line:c4fc9b28	I wanna talk face to face!	Chcę porozmawiać twarzą w twarz!
line:548dc375	I want to be more open. It feels good.	Chcę być bardziej otwarty. To przyjemne.
line:e02f464d	I was helping the alchemist reach a high shelf	Pomagałem alchemikowi sięgnąć do wysokiej półki.
line:fa97376e	I was helping the alchemist reach a high shelf	Pomagałem alchemikowi sięgnąć do wysokiej półki.
line:bb015b1b	I was romping around the forest	Szalałem w lesie.
line:78e2cb13	I was thinking about what you said,	Myślałem o tym, co powiedziałeś,
line:b8282714	I was thinking.	Tak sobie myślałem.
line:ca616238	I was thinking. We could go out some time next week?	Pomyślałem, że moglibyśmy gdzieś wyjść w przyszłym tygodniu?
line:a13d76ec	I was thinking...	Tak sobie pomyślałem...
line:c1a4edf0	I wasn't making her happy either.	Ona ze mną też nie.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Zadałem sobie tyle trudu, by umyć się dyskretnie. Byłem pewien, że nikt mnie nie śledził.
line:db5cd152	I went out with some friends.	Wyszedłem ze znajomymi.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Zapłacę podwójnie. Potrójnie! Tylko pan może się tym zająć!
line:0c31345e	I will, thanks.	Wpadnę, dzięki.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Opowiem. Potrzebuję tylko szybkiego mycia i chętnie użyję dziś przyrządu.
line:399457b7	I wish it was easy as it is in movies.	Chciałbym, żeby było tak łatwo jak w filmach.
line:2185f08c	I won't.	Nie powiem.
line:45950848	I would like that!	Podoba mi się to!
line:099ec7fd	I would love to.	Bardzo chętnie.
line:e6006cd6	I wouldn't mind!	Chętnie!
line:81905be1	I'd like to go out to eat.	Chciałbym wyjść coś zjeść.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Naprawdę chętnie bym jeszcze porozmawiał, ale zaraz zaczynam zajęcia.
line:2fe8a558	I'd love to!	Z przyjemnością!
line:87ba56cc	I'll be back again, yeah?	Wrócę jeszcze, dobrze?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Wrócę. Miło mieć w panu przyjaciela.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Wrócę wkrótce, dobrze? Dziękuję za mycie.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Będę na ciebie czekał wieczorem w barze!
line:69dff2ec	I'll be waiting for the gate!	Poczekam, aż otworzysz bramę!
line:ae4d09f6	I'll be waiting for the gate!	Poczekam, aż otworzysz bramę!
line:ab616aac	I'll definitely keep this place in mind.	Na pewno będę pamiętał o tym miejscu.
line:b122441b	I'll get one ordered I promise!	Zamówię go, obiecuję!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Dam już panu spokój. Dziękuję za mycie.
line:707d2693	I'll get out of your scales...	Dam ci już spokój...
line:ca480eed	I'll get you two in contact then.	To was ze sobą skontaktuję.
line:59416000	I'll go get the gate for ya'	Otworzę ci bramę.
line:6aa7ad03	I'll go get the gate for ya'	Otworzę ci bramę.
line:2a6d7e7d	I'll go get the gate for you.	Pójdę otworzyć ci bramę.
line:8107858d	I'll go get the gate for you.	Pójdę otworzyć panu bramę.
line:d1755010	I'll go get the gate for you.	Pójdę otworzyć ci bramę.
line:4d692a01	I'll go get the gate.	Pójdę otworzyć bramę.
line:a75bb519	I'll go get the gate.	Pójdę otworzyć bramę.
line:8689a124	I'll happily get that for you.	Z przyjemnością go przyniosę.
line:48e99d7b	I'll have to close up shop first-	Najpierw muszę zamknąć zakład...
line:f2b894e2	I'll have to reserve your spot while you close up.	Zajmę ci miejsce, kiedy będziesz zamykał.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Zapamiętam. Przywykłem do relacji opartych na wymianie.
line:956a0f47	I'll make sure to ask him next time I see him.	Zapytam go przy następnej okazji.
line:e64d21e4	I'll make sure to come back.	Na pewno wrócę.
line:7c9fe106	I'll make sure to get out of your scales.	Dam ci już spokój.
line:87006442	I'll make sure to tell others about this place	Opowiem innym o tym miejscu.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Na pewno opowiem ci, jak poszło, dobrze?
line:49b6a167	I'll make sure you're <i>spotless.	Dopilnuję, żebyś był <i>nieskazitelnie czysty.
line:96981b61	I'll manage.	Poradzę sobie.
