# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	ไง เจ้าหมาตัวโต
line:5c7a9105	Hey!	ไง!
line:eed2cc64	Hey!	ไง!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	เฮ้! เขาแค่... “เสียเปรียบด้านความสูง”
line:55bb78d1	Hey! I'm here for a wash.	ไง! ผมมาอาบน้ำ
line:33480903	Hey, Alexander!	สวัสดี อเล็กซานเดอร์!
line:21fcef4f	Hey, Alexander.	สวัสดี อเล็กซานเดอร์
line:14598ca6	Hey, big guy!	ไง เจ้าตัวโต!
line:e7353d24	Hey, I've got a question for you.	นี่ มีคำถามหน่อย
line:674877e5	Hey, nothin' wrong with asking!	เฮ้ ถามก็ไม่ผิดนี่!
line:d2589856	Hey, welcome back!	สวัสดี ยินดีต้อนรับกลับมา!
line:0d3e4054	Hey.	นี่
line:aa0dda7b	Hey.	นี่
line:7f2e2736	Hey... little guy!	ไง... เจ้าตัวเล็ก!
line:933efa6d	Hi again!	สวัสดีอีกครั้ง!
line:873a2b9a	Hi again..	สวัสดีอีกแล้ว...
line:83ac5b68	Hi Conrad.	สวัสดี คอนราด
line:050efd1a	Hi, Ryan!	สวัสดี ไรอัน!
line:06ed6aea	Hiiiii! Hiii!	สวัสดีคร้าบบบ! สวัสดี!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	ตอนนี้ร่างกายเขากำลังก่อตัวใหม่ในห้องพักอาจารย์
line:6bd91ca7	Hm, I think I'll pass on the mount.	อืม ผมขอไม่ใช้แท่นผสมพันธุ์นะ
line:370d719b	Hm?	หืม?
line:3c3ddd0c	Hm?	หืม?
line:44658d73	Hmm...	อืม...
line:bf059ff3	Hmm...	อืม...
line:730b1ca4	Hmm?	หืม?
line:fc571337	Hmmm, maybe something else?	อืม อย่างอื่นดีไหม?
line:19207e44	Hold on a little longer for me?	ช่วยอดทนให้ผมอีกนิดได้ไหม?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	พูดตามตรง ไม่คิดว่าจะสบายขนาดนี้
line:a2ff0176	Hope it went well.	หวังว่าไปได้ดีนะ
line:b17360a0	Hope that's alright?	หวังว่าไม่เป็นไรนะ?
line:ae08853f	Hope you're doing alright!	หวังว่าคุณสบายดี!
line:e1fa2461	Hopefully! I'll go get the gate.	หวังอย่างนั้น! ผมจะเปิดประตู
line:99931b37	Hopefully.	หวังว่านะ
line:d9c91bca	How about you though? have you been seeing anyone?	แล้วคุณล่ะ? กำลังคบใครอยู่ไหม?
line:4ec92454	How about you? Anyone exciting?	แล้วคุณล่ะ? มีใครน่าสนใจไหม?
line:86bde306	How are you with seafood?	คุณชอบอาหารทะเลไหม?
line:7fb611c9	How come you brought this all in?	ทำไมเอามาทั้งหมดนี้ล่ะ?
line:af0d0972	How come you're covered in ink?	ทำไมเปื้อนหมึกเต็มตัว?
line:e385b7f3	How did it go?	เป็นยังไงบ้าง?
line:c0161bbc	How did it taste?	รสชาติเป็นยังไง?
line:262b262e	how do I get in?	จะเข้าไปยังไงเหรอ?
line:676b0638	how do I get in?	จะเข้าไปยังไงเหรอ?
line:8308bb09	How do I look?	ฉันดูเป็นไง?
line:4f172746	How do you even digest that?	คุณย่อยนั่นได้ยังไง?
line:28d390ac	How so?	เขาใจดีกับคุณยังไงเหรอ?
line:4ef9fe65	How so?	ผมช่วยเขายังไงเหรอ?
line:ea66b5af	How so?	คิดยังไงเหรอ?
line:4b29790b	How was the sex.	เซ็กซ์เป็นไง?
line:7736270c	How was your date with Conrad?	เดตกับคอนราดเป็นยังไง?
line:18d418ab	However, it's ornamental! My family crest. You see...	แต่เป็นของประดับ! ตราประจำตระกูลผม คือว่า...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	แต่<i>ภาพลักษณ์</i>ผมอยู่ยาวนานกว่าร่างกายชั่วคราวของอิกวิกซ์มาก
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	แต่ความเคารพนั้นมาพร้อมความคาดหวังให้ทำตัวสมกับรูปลักษณ์ เครียดมากเลย
line:d2baf9e2	However...	แต่...
line:fb8401c3	Huff...	ฟู่...
line:b54ee04d	huff... Thank you for that.	ฟู่... ขอบคุณสำหรับเมื่อกี้
line:16420ca7	Huff... Thanks for that.	ฟู่... ขอบคุณนะ
line:45507089	Huff... That was nice... Made a bit of a mess though.	ฟู่... สบายดีนะ... แต่ทำเลอะหน่อย
line:ae83cfb6	huh...?	หือ...?
line:0c78b56b	Huh?	หือ?
line:e96114a2	Huh? ofcourse not!	หือ? ไม่ใช่อยู่แล้ว!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	ผม<i>คิดว่า</i>คงทำขวดหมึกหกใส่ตัว<i>ระหว่างทางมานี่</i> ซุ่มซ่ามจริงๆ!
line:d37175c7	I act tough but am a small dragon...	ฉันทำตัวแกร่ง แต่เป็นมังกรตัวเล็ก...
line:b4e27683	I agree	เห็นด้วย
line:68ebf07b	I allowed him, as my stature provides ample height.	ผมอนุญาต เพราะรูปร่างผมสูงพอ
line:a051821a	I already feel a lot better.	รู้สึกดีขึ้นมากแล้ว
line:49bfbfbe	I already have spot at the club reserved.	ฉันจองที่ในคลับไว้แล้ว
line:14ff4edd	I always do~	ฉันใส่เต็มที่เสมอแหละ~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	ผมรอเจอคุณเสมอ เดี๋ยวเปิดประตูให้
line:52bf5ede	I am THE kobold. Yip!	ผมนี่แหละโคโบลด์คนนั้น ยิป!
line:141c006f	I am too.	ผมก็เหมือนกัน
line:363f6f6a	I am too.	ผมก็เหมือนกัน
line:405b9622	I am too.	ฉันก็เหมือนกัน
line:d4c5faea	I am too.	ฉันก็เหมือนกัน
line:556897bf	I am! Even better now that you're here.	สบายดี! คุณมาแล้วก็ยิ่งดี
line:e499b2cc	I am.	ผมมีความสุข
line:5ec8bb55	I believe that's in part because of you.	คิดว่าส่วนหนึ่งเป็นเพราะคุณ
line:9883786d	I booked the night.	ผมจองไว้ทั้งคืน
line:eae85bf9	I broke up with my partner...	ผมเลิกกับแฟนแล้ว...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	เอาแตงโม ขนมปัง องุ่น แล้วก็อย่างอื่นมา
line:e8aa18f4	I can digest pretty much anything.	ผมย่อยได้แทบทุกอย่าง
line:7f543c2a	I can let loose whenever you are ready	ฉันปล่อยได้ทันทีที่นายพร้อม
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	ไม่อยากเชื่อว่าอิกวิกซ์จะทำพลาดแบบนี้!
line:e051a79e	I consider you a good friend too	ผมก็คิดว่าคุณเป็นเพื่อนที่ดี
line:f382336f	I could get us the <i>nicest</i> spots for their show.	จองที่<i>ดีที่สุด</i>ดูการแสดงให้เราได้
line:2602b8c6	I could use a wash.	คงต้องอาบน้ำหน่อย
line:c66153d3	I couldn't help but notice the... device over there.	อดสังเกต... อุปกรณ์ตรงนั้นไม่ได้
line:b71f0756	I decided to try baking.	ผมตัดสินใจลองอบขนม
line:e62b989c	I decided to try baking.	ผมตัดสินใจลองอบขนม
line:efea7148	I decided to try baking.	ผมตัดสินใจลองอบขนม
line:98f800d3	I didn't know anyone could like me that much so easily.	ไม่รู้เลยว่าจะมีใครชอบผมมากได้ง่ายขนาดนี้
line:4116f001	I didn't know what the button did.	ไม่รู้ว่าปุ่มนั้นทำอะไร
line:7a5c7f54	I didn't mean to fluster you!	ไม่ได้ตั้งใจทำให้เขินนะ!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	ผมชอบสีนั้น แต่คงไม่เกี่ยวกับสีของผม
line:f9c800f2	I do!	คิดสิ!
line:ad9c1ada	I do. But, what happened?	มี แต่เกิดอะไรขึ้น?
line:a45ccf3a	I don't believe I can hold back any longer	คิดว่าคงกลั้นต่อไม่ไหวแล้ว
line:8c6e1cd3	I don't get it! Why do I have to act this way?	ไม่เข้าใจเลย! ทำไมต้องทำตัวแบบนี้?
line:cc4e48a3	I don't know where they went but I feel dirty again.	ไม่รู้ว่านักเล่นแร่แปรธาตุคนนั้นไปไหน แต่ผมรู้สึกสกปรกอีกแล้ว
line:71127249	I don't mean to be rude, but I must decline	ไม่ได้ตั้งใจเสียมารยาท แต่ผมต้องปฏิเสธ
line:f5696cc4	I don't need to tell you.	ฉันไม่ต้องเล่าให้นายฟัง
line:878fc94c	I don't understand..	ฉันไม่เข้าใจ...
line:4f3d31f8	I don't want your pitty!	ไม่ต้องมาสงสารฉัน!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	ผมชอบที่ได้มีส่วนร่วมในชีวิตของผู้คนมากมายและสร้างสิ่งดีๆ ให้พวกเขา
line:14653182	I enjoy parts of it. The respect is pleasant...	บางส่วนก็ดี การได้รับความเคารพน่ะดี...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	ผมชอบที่อยู่กับคุณแล้วไม่กลัวล้มเหลว
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	ผมชอบเวลาคุณใช้มือตบตัวผมเบาๆ เพื่อบอกให้ผมทำอะไร
line:6db406b4	I enjoyed this quite a lot.	ผมชอบแบบนี้มาก
line:e838533b	I feel as I could say anything to you.	รู้สึกเหมือนบอกคุณได้ทุกเรื่อง
line:9b9567ec	I feel much better.	ผมรู้สึกดีขึ้นมาก
line:ed6be68f	I feel spotless as always.	สะอาดเอี่ยมเหมือนเดิม
line:938be2fb	I forget the ignorance of a layman. I apologize.	ผมลืมว่าคนนอกวงการไม่รู้เรื่องนี้ ขอโทษด้วย
line:63837f22	I forgot to bite into it so... Nothing?	ลืมกัดน่ะ ก็เลย... ไม่รู้รส?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	เข้าใจว่าหลังเลิกกันคงรู้สึกแบบนั้น
line:adf1550f	I give my other bipedal friends rides all the time.	ผมให้เพื่อนสองขาคนอื่นขี่หลังบ่อยๆ
line:9a68366f	I got a mount.	ผมได้แท่นมาแล้ว
line:78a54cae	I got back home a bit dirty. And she yelled at me.	ผมกลับบ้านตัวเปื้อนนิดหน่อย แล้วเธอก็ตะโกนใส่
line:22a9094a	I guess so!	คงใช่!
line:28d6c0aa	I hate that I'm always getting into situations like this.	เกลียดที่ตัวเองเจอเรื่องแบบนี้ตลอด
line:366a7f73	I have a question.	ผมมีคำถาม
line:82b63c18	I have something to say!	ผมมีเรื่องจะพูด!
line:fd68807c	I have to say, you did as good a job as private washers.	ต้องบอกว่าคุณทำได้ดีพอๆ กับคนอาบน้ำส่วนตัว
line:761f413a	I heard a loud bang	ได้ยินเสียงระเบิดดัง
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	ได้ยินเสียงระเบิดดังมาก คิดว่าอิกวิกซ์ไม่รอด
line:7ede5030	I heard there was kobolds down here that could wash me up?	ได้ยินว่ามีโคโบลด์ข้างล่างนี้ช่วยอาบน้ำให้ได้?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	ได้ยินว่าข้างล่างนี้มีโคโบลด์ที่ช่วยอาบน้ำให้ผมได้?
line:2f9b499a	I honestly don't know how you are doing that.	ไม่รู้จริงๆ ว่านายทำได้ยังไง
line:6f5dbc90	I hope he's okay too.	ผมก็หวังว่าเขาจะโอเค
line:cd0197ed	I hope I can learn from that.	หวังว่าฉันจะเรียนรู้จากเรื่องนั้นได้
line:cf50dbcc	I hope it all works out.	หวังว่าทุกอย่างจะไปได้ดี
line:b2dfad3e	I hope so.	หวังอย่างนั้น
line:0477b0d7	I hope so. I really want a fresh start with someone.	หวังอย่างนั้น อยากเริ่มต้นใหม่กับใครสักคนจริงๆ
line:7429dab7	I hope that you'll help me prove them wrong!	หวังว่าคุณจะช่วยพิสูจน์ว่าไม่จริง!
line:be5feb3e	I hope things get better.	หวังว่าทุกอย่างจะดีขึ้น
line:114ac9a0	I hope you're right.	หวังว่านายพูดถูก
line:06744c7e	I just don't like that she takes it out on me.	ผมแค่ไม่ชอบที่เธอมาลงกับผม
line:1fb02179	I just don't like that she takes it out on me.	ผมแค่ไม่ชอบที่เธอมาลงกับผม
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	ขออาบน้ำเร็วๆ... แล้วก็อาจใช้แท่นด้วย
line:95ff1bed	I just wish for you to ask me a question. Any question.	แค่อยากให้คุณถามผมสักคำถาม อะไรก็ได้
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	รู้ว่าคุณยุ่งมาก เลยคิดว่าจะเอาเดตมาหาคุณเอง!
line:2461773d	I knew you'd have my back	รู้ว่าคุณต้องเข้าข้างผม
line:6a671440	I know a decent equine-kin place by the pier.	ผมรู้จักร้านของเผ่าม้าแถวท่าเรือที่ใช้ได้
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	รู้ว่าเขาใจร้อนบ้างจนลืมขอบคุณคนอื่น
line:83c55e2e	I know things can be tough.	ผมรู้ว่าบางเรื่องมันยาก
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	รู้ว่าคุณต้องปิดร้าน ผมจะส่งที่อยู่ให้ แล้วเราเจอกันที่นั่นนะ?
line:ded99a0c	I know, I'll reserve your spot!	รู้แล้ว จะจองที่ให้นาย!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	ผมรู้ แต่การได้เปิดใจกับใครสักคน แม้แค่บางครั้ง...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	ผมรู้ รู้ว่าไม่ควรเอาเรื่องนี้มาเทใส่คุณ
line:875048ca	I know. I know.	รู้แล้ว รู้แล้ว
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	ผมชอบความมั่นใจของคุณ แม้จะแค่เรื่องอาบน้ำ
line:46061aae	I like it! I think you'd enjoy it too.	ผมชอบนะ คิดว่าคุณก็น่าจะชอบ!
line:f4ad8ea6	I like taking care of you.	ผมชอบดูแลคุณ
line:8ffedb47	I like the mount you chose. Mind grabbing it?	ชอบแท่นที่นายเลือกนะ หยิบมาหน่อยสิ
line:5c86951f	I like you a lot.	ผมชอบคุณมาก
line:a91980fc	I like you for who you are.	ผมชอบคุณที่เป็นคุณ
line:bdca3e1b	I like... him.	ผมชอบ... เขา
line:2b65bf83	I love bubbles, they tickle!	ชอบฟองสบู่จัง จั๊กจี้ดี!
line:f8a4f404	I mean it. Really.	พูดจริง จริงๆ นะ
line:ae719afc	I need to be better. I <i>want </i>to be better.	ฉันต้องดีกว่านี้ ฉัน<i>อยาก</i>ดีกว่านี้
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	ฉันต้องสะอาดเอี่ยม ดูท่านั่นคืองานนายสินะ <size=70%>ฮะ
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	ไม่คิดเลยว่าตัวเองจะเล่าเรื่องน่าอายแบบนี้ให้ใครฟัง
line:0c986dec	I never expected you to be the type to be so messy!	ไม่คิดเลยว่าคุณจะเป็นคนทำตัวเลอะเทอะขนาดนี้!
line:95db900b	I never miss a spot.	ผมไม่พลาดสักจุด
line:d620d41a	I never thought someone like him would be my type...	ไม่เคยคิดว่าคนแบบเขาจะเป็นสเปกฉัน...
line:67592de1	I probably need to head out though.	แต่ฉันคงต้องไปแล้ว
line:e41c6dc5	I really do hope it all works out!	หวังจริงๆ ว่าทุกอย่างจะไปได้ดี!
line:a722aada	I really think it was this time...	ครั้งนี้ฉันว่าฉันผิดจริงๆ...
line:e80e5edd	I see what you're doing, thank you.	เข้าใจแล้วว่าคุณทำอะไร ขอบคุณ
line:cc6ec337	I see..	เข้าใจแล้ว...
line:d57520b1	I seem to have gotten myself covered in ink!	ดูเหมือนผมจะเปื้อนหมึกทั้งตัว!
line:3b161cf3	I still need more!	ผมยังต้องการอีก!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	เข้าใจว่าคงไม่ชอบความเลอะเทอะจากฝน
line:234ccfda	I suppose it depends on the circumstances.	คงขึ้นอยู่กับสถานการณ์
line:910706c0	I think a movie could be fun!	ผมว่าดูหนังก็น่าสนุก!
line:99bbb171	I think he was in a bad environment. He's doing better now.	ผมว่าเขาเคยอยู่ในสภาพแวดล้อมที่ไม่ดี ตอนนี้ดีขึ้นแล้ว
line:9247b7a0	I think he'd like the new you!	ผมว่าเขาต้องชอบคุณคนใหม่แน่!
line:f4982dcd	I think he's got a crush on me.	คิดว่าเขาแอบชอบฉัน
line:fc6fdd10	I think I can still feel some explosion grime on me...	คิดว่ายังมีคราบจากระเบิดอยู่บนตัว...
line:4efc873f	I think I like being taken care of?	คิดว่าผมชอบให้คนดูแล?
line:f5d36d9a	I think I might be close..	คิดว่าผมใกล้แล้ว...
line:52fc4e08	I think I'd like that!	คิดว่าคงชอบนะ!
line:5c78099a	I think I'd like to meet him!	คิดว่าอยากเจอเขานะ!
line:14e0edf6	I think I'd like to try!	คิดว่าฉันอยากลอง!
line:164df75a	I think I'd like to use it?	ผมคิดว่าอยากใช้มัน?
line:4f6168aa	I think I'd like to use it?	ผมคิดว่าอยากใช้มัน?
line:ab314624	I think I'd like to?	คิดว่าอยากใช้นะ?
line:170c6aa3	I think I'd like you to be that someone aswell.	ผมก็คิดว่าอยากให้คนคนนั้นเป็นคุณ
line:8f46bb17	I think I've got it!	คิดว่าเข้าใจแล้ว!
line:a5e128e0	I think she's upset about something else...	ผมว่าเธอคงหงุดหงิดเรื่องอื่น...
line:bc2545e7	I think she's upset about something else...	ผมว่าเธอคงหงุดหงิดเรื่องอื่น...
line:335c5156	I think so!	ผมว่าใช่!
line:3292625e	I think that would make a decent place! They put on good shows every night.	ผมว่าน่าจะเหมาะ มีการแสดงดีๆ ทุกคืน
line:eaafe671	I think you got every spot!	คิดว่านายล้างครบทุกจุดแล้ว!
line:1760e5d5	I think you got every spot.	คิดว่าคุณล้างครบทุกจุดแล้ว
line:341175f7	I think you got every spot.	คิดว่าคุณล้างครบทุกจุดแล้ว
line:770e7473	I think you got every spot.	คิดว่าคุณล้างครบทุกจุดแล้ว
line:f4a8f7fc	I think you helped him a lot more than you realize.	ผมว่าคุณช่วยเขามากกว่าที่ตัวเองคิดนะ
line:f28fd15d	I think you missed a few spots still...	คิดว่ายังพลาดไปสองสามจุดนะ...
line:77509e74	I think you're cool too. Self improvement is hard.	ผมว่าคุณก็เจ๋ง การพัฒนาตัวเองมันยาก
line:763c6a82	I think you're good looking.	ผมว่าคุณดูดี
line:69e7dbb3	I think you're pretty cool, Conrad.	ผมว่าคุณเจ๋งนะ คอนราด
line:9c393f61	I think you're special too.	ผมก็ว่าคุณพิเศษนะ
line:7d5ae3b4	I usually make do with a hose down at home...	ปกติผมก็แค่ฉีดสายยางล้างตัวที่บ้าน...
line:c4fc9b28	I wanna talk face to face!	อยากคุยกันต่อหน้า!
line:548dc375	I want to be more open. It feels good.	ผมอยากเปิดใจมากขึ้น มันรู้สึกดี
line:e02f464d	I was helping the alchemist reach a high shelf	ผมช่วยนักเล่นแร่แปรธาตุเอื้อมชั้นสูง
line:fa97376e	I was helping the alchemist reach a high shelf	ผมช่วยนักเล่นแร่แปรธาตุเอื้อมชั้นสูง
line:bb015b1b	I was romping around the forest	ผมวิ่งเล่นในป่า
line:78e2cb13	I was thinking about what you said,	ผมคิดเรื่องที่คุณพูด
line:b8282714	I was thinking.	ผมคิดว่า
line:ca616238	I was thinking. We could go out some time next week?	ฉันคิดว่าเราไปเที่ยวกันสักวันในสัปดาห์หน้าได้ไหม?
line:a13d76ec	I was thinking...	ผมคิดว่า...
line:c1a4edf0	I wasn't making her happy either.	เธออยู่กับผมก็ไม่มีความสุขเหมือนกัน
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	ผมอุตส่าห์จัดแจงมาอาบน้ำอย่างเงียบๆ แน่ใจแล้วว่าไม่มีใครตาม
line:db5cd152	I went out with some friends.	ผมไปเที่ยวกับเพื่อนมา
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	ผมจ่ายสองเท่า สามเท่า! งานนี้มีแค่คุณที่ทำได้!
line:0c31345e	I will, thanks.	จะกลับมานะ ขอบคุณ
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	จะเล่า ขออาบน้ำเร็วๆ แล้ววันนี้ก็อยากใช้แท่นด้วย
line:399457b7	I wish it was easy as it is in movies.	อยากให้ง่ายเหมือนในหนังจัง
line:2185f08c	I won't.	ผมไม่บอกหรอก
line:45950848	I would like that!	ผมชอบแบบนั้น!
line:099ec7fd	I would love to.	ผมยินดีมาก
line:e6006cd6	I wouldn't mind!	ผมไม่ขัดเลย!
line:81905be1	I'd like to go out to eat.	ผมอยากออกไปกินข้าว
line:75b152eb	I'd love to talk more, truly, but class is soon.	ผมอยากคุยต่อจริงๆ แต่ใกล้ถึงเวลาเรียนแล้ว
line:2fe8a558	I'd love to!	ผมยินดีมาก!
line:87ba56cc	I'll be back again, yeah?	เดี๋ยวผมกลับมาอีกนะ?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	ผมจะกลับมาอีก ดีใจที่มีคุณเป็นเพื่อน
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	ผมจะกลับมาเร็วๆ นี้นะ ขอบคุณที่อาบน้ำให้
line:d9f422eb	I'll be waiting at the bar for you tonight!	คืนนี้จะรอนายที่บาร์!
line:69dff2ec	I'll be waiting for the gate!	ผมจะรอให้เปิดประตู!
line:ae4d09f6	I'll be waiting for the gate!	ผมจะรอให้เปิดประตู!
line:ab616aac	I'll definitely keep this place in mind.	ผมจะจำที่นี่ไว้แน่นอน
line:b122441b	I'll get one ordered I promise!	ผมจะสั่งมาให้ สัญญา!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	ผมจะไม่เกะกะแล้ว ขอบคุณที่อาบน้ำให้
line:707d2693	I'll get out of your scales...	จะไม่เกะกะนายแล้ว...
line:ca480eed	I'll get you two in contact then.	งั้นผมจะแนะนำให้รู้จักกัน
line:59416000	I'll go get the gate for ya'	ผมจะไปเปิดประตูให้นะ
line:6aa7ad03	I'll go get the gate for ya'	ผมจะไปเปิดประตูให้นะ
line:2a6d7e7d	I'll go get the gate for you.	เดี๋ยวผมไปเปิดประตูให้นะ
line:8107858d	I'll go get the gate for you.	ผมจะไปเปิดประตูให้คุณครับ
line:d1755010	I'll go get the gate for you.	เดี๋ยวผมไปเปิดประตูให้นะ
line:4d692a01	I'll go get the gate.	ผมจะไปเปิดประตู
line:a75bb519	I'll go get the gate.	ผมจะไปเปิดประตู
line:8689a124	I'll happily get that for you.	ยินดีหยิบมาให้เลย
line:48e99d7b	I'll have to close up shop first-	ผมต้องปิดร้านก่อน...
line:f2b894e2	I'll have to reserve your spot while you close up.	ฉันจะจองที่ให้นายระหว่างปิดร้าน
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	จะจำไว้นะ ผมชินกับการที่ทุกอย่างต้องมีสิ่งแลกเปลี่ยน
line:956a0f47	I'll make sure to ask him next time I see him.	เจอเขาครั้งหน้าจะถามให้นะ
line:e64d21e4	I'll make sure to come back.	ฉันจะกลับมาแน่นอน
line:7c9fe106	I'll make sure to get out of your scales.	จะไม่เกะกะนายแล้ว
line:87006442	I'll make sure to tell others about this place	ผมจะบอกคนอื่นเรื่องที่นี่ด้วย
line:1db78e06	I'll make sure to tell you how it goes, yeah?	แล้วจะเล่าให้ฟังนะว่าเป็นยังไง?
line:49b6a167	I'll make sure you're <i>spotless.	ผมจะทำให้คุณ<i>สะอาดหมดจด
line:96981b61	I'll manage.	ผมจะผ่านไปให้ได้
line:9aa97614	I'll need this to be swift, students won't teach themselves.	ต้องขอให้เร็วหน่อย นักศึกษาสอนตัวเองไม่ได้หรอก
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	ผมต้องคืนชีพอิกวิกซ์ น่าอายจริงๆ!
line:90a9a98e	I'll see you next time I come in, yeah?	ไว้เจอกันครั้งหน้าที่ผมมานะ?
line:d0f6a49a	I'll see you next time I come in, yeah?	ไว้เจอกันครั้งหน้าที่ผมมานะ?
line:160bf40f	I'll start prepping for it.	จะเริ่มเตรียมตัวแล้ว
line:8af64cb8	I'll take care of this, don't you worry.	ผมจะจัดการให้ ไม่ต้องห่วง
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	เดี๋ยวเล่าให้ฟัง ตอนนี้ช่วยเปิดประตูก่อนได้ไหม?
line:04c62f9b	I'm <i>spotless</i>.	ผม<i>สะอาดหมดจด</i>
line:629f8cff	I'm a bit of a big deal around there.	ฉันมีชื่ออยู่พอสมควรแถวนั้น
line:d9272031	I'm a dragon.	ผมเป็นมังกร
line:675e7284	I'm a rule breaker!	ผมชอบแหกกฎ!
line:afcd5586	I'm a... kobold.	ผมเป็น... โคโบลด์
line:5d41b5d6	I'm all dirty still!	ฉันยังสกปรกทั้งตัว!
line:2f6eb3c3	I'm all soapy still!	ฉันยังมีสบู่เต็มตัว!
line:18707b19	I'm always happy to give you a wash!	ผมยินดีอาบน้ำให้คุณเสมอ!
line:3b01eb3b	I'm always happy to give you a wash!	ผมยินดีอาบน้ำให้คุณเสมอ!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	ผมยินดีช่วยเสมอ <i><size=70%>โดยเฉพาะมังกรตัวใหญ่
line:46c6a3ed	I'm always happy to see you Ryan.	ผมดีใจที่เจอคุณเสมอ ไรอัน
line:75206eee	I'm always happy to see you Ryan.	ผมดีใจที่เจอคุณเสมอ ไรอัน
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	ผมดีใจที่ได้เจอคุณเสมอ เดี๋ยวเปิดประตูให้
line:07e5fc05	I'm amazed!	ฉันทึ่งเลย!
line:4586d55d	I'm an asshole. I know I am.	ฉันมันไอ้เวร ฉันรู้
line:a6d46685	I'm certain he also finds you pleasant!	มั่นใจว่าเขาก็ชอบอยู่กับคุณ!
line:ef399e26	I'm doing good!	ผมสบายดี!
line:a6c1f2f4	I'm excited for you!	ผมตื่นเต้นแทนคุณเลย!
line:94fbdbf0	I'm excited for you. I'll get the gate!	ตื่นเต้นแทนเลย ผมเปิดประตูให้!
line:f83e4966	I'm excited to hear about it!	ตั้งตารอฟังเลย!
line:bd55b8f4	I'm excited to see them washing down the drain though.	แต่ก็ตื่นเต้นที่จะเห็นมันไหลลงท่อ
line:24832f01	I'm excited.	ฉันตื่นเต้นนะ
line:69f406a6	I'm excited.	ฉันตื่นเต้นนะ
line:a00f681d	I'm excited.	ผมตื่นเต้นนะ
line:a0479425	I'm excited.	ผมตื่นเต้นนะ
line:b5d7d26f	I'm excited.	ผมตื่นเต้นนะ
line:d66b9155	I'm excited.	ผมตื่นเต้นนะ
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	ดีใจที่คุณเองก็สนุกกับมัน
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	ดีใจที่คุณชอบเขา ผมมั่นใจว่าเขาก็ชอบอยู่กับคุณ
line:c56ee060	I'm glad you enjoy my crest.	ดีใจที่คุณชอบตราผม
line:f44a1493	I'm glad you trust me.	ดีใจที่คุณไว้ใจผม
line:3a2ed5ef	I'm glad you two are working out though.	แต่ดีใจที่คุณสองคนไปได้ดีนะ
line:c0972e81	I'm glad you two are working out.	ดีใจที่คุณสองคนไปได้ดี
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	ดีใจที่คุณเลือกสิ่งที่ดีที่สุดให้ตัวเองได้
line:d5a90e1c	I'm glad!	ดีใจจัง!
line:286fec49	I'm glad.	ดีใจนะ
line:42f5fd9d	I'm glad.	ดีใจนะ
line:99b6dc81	I'm glad.	ดีใจนะ
line:570d4953	I'm happy for you!	ดีใจด้วยนะ!
line:ac6d5bd3	I'm happy for you!	ดีใจด้วยนะ!
