# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hei, anjing besar.
line:65b23418	Hah, okay. I'm game.	Hah, oke. Aku ikut.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Hah, ya. Conrad jelas berpengalaman...
line:8b878971	Hah, yeah. He sounds fun.	Hah, ya. Dia terdengar seru.
line:e3ed51d9	Hah. Conrad, you look good too.	Hah. Kamu juga kelihatan bagus, Conrad.
line:f8b2e23b	Hah. Fine.	Hah, baiklah.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Hah. Andai ada kobold yang bisa membersihkanku.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Hah. Ya. <size=70%><i>Keren juga sekolah pemandian mengajari cara mengocok naga...
line:50a559bb	Hah... <size=70%> yeah.	Hah... <size=70%>Ya.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Hah... Mau mengocokkanku sekarang? Boleh.
line:4e920759	Hah... Yeah I'm excited.	Hah... Ya, aku bersemangat.
line:b36365ce	Hah... Yeah...	Hah... Ya...
line:b8724c64	Hah... you do like that noise.	Hah... Kamu suka sekali suara itu.
line:c8cde395	Haha, 'Yip' indeed.	Haha, memang «yip».
line:680991cf	Haha, yes. Happy to see you.	Haha, ya. Senang bertemu Anda.
line:4c27b031	Haha, you certainly are!	Haha, memang benar!
line:c3a2e14e	Haha, you certainly are!	Haha, memang benar!
line:9ec40945	Haha. 'Yip' to you too.	Haha. «Yip» juga buatmu.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... Ya. Aku tidak terbiasa memuji orang.
line:44689f21	Happy to be back.	Senang bisa kembali.
line:2672f65d	Happy to be here.	Senang bisa di sini.
line:192fcb8e	Happy to get it off.	Senang bisa membersihkannya.
line:3517b28e	Have a productive day.	Selamat bekerja.
line:7c1adc57	He called me, we met up. He's really damn nice.	Dia meneleponku, lalu kami bertemu. Dia benar-benar baik.
line:e71f9a0b	HE DIED!?	DIA MATI!?
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Dari yang kutangkap, sudah lama dia tidak... dirawat dan dipedulikan.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Dia... tahu persis harus bilang apa supaya aku sadar.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Dia lebih suka disebut «kurang beruntung secara vertikal»... Tapi ya.
line:04b29e42	He really is.	Memang benar.
line:c7e1b369	He really is.	Memang benar.
line:c64bd5ce	He said I was chill, we planned a date...	Dia bilang aku asyik, lalu kami merencanakan kencan...
line:e8a91447	He's a lot. But, I like it.	Dia cukup merepotkan. Tapi aku suka.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Dia naga merah. Kurasa kalian akan saling menyukai!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Dia sudah kembali bekerja. Terima kasih sudah membantu semua itu.
line:aaea8391	He's been way nicer recently.	Belakangan ini dia jauh lebih baik.
line:7363c004	He's great.	Dia luar biasa.
line:c13d4e24	He's hot.	Dia seksi.
line:675d7e37	He's like. SUPER hung.	Miliknya itu... BESAR sekali.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Dia seperti... si lembut yang diselimuti duri tajam.
line:800c553d	He's my dream dragon.	Dia naga impianku.
line:4b3c70d9	He's snappy, but tender too!	Dia ketus, tapi lembut juga!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Naga merah yang LUCU sekali dan datang ke pemandian ini!
line:4c11c83e	He's tiny, I like being eye level with him.	Dia mungil. Aku suka bisa menatapnya sejajar.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Dia... penuh perhatian. Sangat pengertian juga.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Aku dengar soal kamu dan si besar biru. Ryan, ya?
line:ca4a9672	Heeeey Ryan.	Heiii, Ryan.
line:24ce37ec	Heeeey.	Heiii.
line:bb70c1ed	Heh. Yeah.	Heh. Ya.
line:3fa80829	Heh. Yeah. I like you too.	Heh. Ya. Aku juga menyukaimu.
line:20393ff6	Heh. Yeah. That's me.	Heh. Ya, itu aku.
line:ac769d93	heh.. yea.. sorry..	Heh... Ya... Maaf...
line:5246ceea	Heh... alright.	Heh... Oke.
line:75fef5cb	Heh... Damn right.	Heh... Jelas.
line:5f0edcb2	Heh... Handsy today, huh?	Heh... Tanganmu aktif sekali hari ini, ya?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, ya.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, aku tidak sabar kembali berkencan.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, makasih. Ada makanan yang seharusnya cocok buat kita berdua.
line:1a3e2a73	Hell yea	Anjir, mantap.
line:93f67490	Hell yeah	Anjir, mantap.
line:389e4033	Hell yeah I did!	Jelas dong, enak banget!
line:17dbb9b7	Hell yeah.	Anjir, mantap.
line:4b7b33d9	Hello!	Halo!
line:c3d3da41	Hello!	Halo!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Halo, <i>«waralaba Drag'n'wash nomor 223»...</i> Sudah tahu cara berinteraksi?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Halo, <i>«waralaba Drag'n'wash nomor 223»...</i> Sudah bicara dengan pelanggan pertamamu?
line:b7cce838	Hello.	Halo.
line:a8779ebf	Hello?	Halo?
line:dd4b34ae	Hello?	Halo?
line:1954aab7	Help the developers out please..	Tolong beri tahu pengembang...
line:db9c3a5c	Help the developers out please..	Tolong beri tahu pengembang...
line:f7f7f5a1	Help the developers out please..	Tolong beri tahu pengembang...
line:fc461784	Help the developers out please..	Tolong beri tahu pengembang...
line:ee3398a6	Hey big guy.	Hei, si besar.
line:0090c7b0	Hey Conrad!	Hei, Conrad!
line:3d0a5aeb	Hey Conrad!	Hei, Conrad!
line:a2b4acea	Hey conrad!	Hai, Conrad!
line:975a629f	Hey Conrad.	Hei, Conrad.
line:21235886	Hey could you come up front where I can see you?	Hei, bisa datang ke depan supaya aku bisa melihatmu?
line:533532c4	Hey fine by me!	Hei, tidak masalah buatku!
line:1538bc7e	Hey good lookin'	Hei, tampan.
line:0121c874	Hey hey. Glad you're open.	Hei, hei. Senang kamu buka.
line:71b651dd	Hey I have something to say!	Hei, aku mau bilang sesuatu!
line:0d4e0ecf	Hey kobold!	Hei, kobold!
line:af3f02c9	Hey Ryan, what do you have there?	Hei, Ryan, kamu bawa apa?
line:6374414d	Hey thanks for being here for me...	Hei, terima kasih sudah ada untukku...
line:bf5ff483	Hey there, happy to be back.	Hai, senang bisa kembali.
line:c38b7fa6	Hey there, Ryan!	Hai, Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Hei... Mungkin nanti saja kamu «turun tangan»?
line:1b6c7f75	Hey there.	Halo.
line:5dacf226	Hey there.	Halo.
line:82698bd1	Hey there.	Halo.
line:ab3a5d9c	Hey there.	Hei.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Hei, ehm... Menurutmu aku dan Ryan <i>benar-benar</i> bisa cocok?
line:04501155	Hey uh, I just need a cleaning.	Hei, ehm... Aku cuma perlu dibersihkan.
line:2a29842a	Hey uh... Not now.	Hei, ehm... Jangan sekarang.
line:8caa3196	Hey uhm, thanks once again.	Hei, ehm... Terima kasih sekali lagi.
line:5c7a9105	Hey!	Hei!
line:eed2cc64	Hey!	Hei!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Hei! Dia cuma... «kurang beruntung secara vertikal».
line:55bb78d1	Hey! I'm here for a wash.	Hei! Aku datang untuk mandi.
line:33480903	Hey, Alexander!	Halo, Alexander!
line:21fcef4f	Hey, Alexander.	Halo, Alexander.
line:14598ca6	Hey, big guy!	Hei, si besar!
line:e7353d24	Hey, I've got a question for you.	Hei, aku mau tanya.
line:674877e5	Hey, nothin' wrong with asking!	Hei, tidak ada salahnya bertanya!
line:d2589856	Hey, welcome back!	Halo, selamat datang kembali!
line:0d3e4054	Hey.	Hei.
line:aa0dda7b	Hey.	Hei.
line:7f2e2736	Hey... little guy!	Hei... si kecil!
line:933efa6d	Hi again!	Hai lagi!
line:873a2b9a	Hi again..	Hai lagi...
line:83ac5b68	Hi Conrad.	Hai, Conrad.
line:050efd1a	Hi, Ryan!	Hai, Ryan!
line:06ed6aea	Hiiiii! Hiii!	Haiiii! Hai!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Wujud fisiknya sedang terbentuk kembali di ruang staf.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Hmm, sepertinya aku tidak akan pakai alat kawin itu.
line:370d719b	Hm?	Hmm?
line:3c3ddd0c	Hm?	Hmm?
line:44658d73	Hmm...	Hmm...
line:bf059ff3	Hmm...	Hmm...
line:730b1ca4	Hmm?	Hmm?
line:fc571337	Hmmm, maybe something else?	Hmm, mungkin makanan lain?
line:19207e44	Hold on a little longer for me?	Bisa tahan sedikit lebih lama untuk saya?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Jujur, aku tidak menyangka rasanya senyaman ini.
line:a2ff0176	Hope it went well.	Semoga berjalan baik.
line:b17360a0	Hope that's alright?	Semoga tidak masalah?
line:ae08853f	Hope you're doing alright!	Semoga Anda baik-baik saja!
line:e1fa2461	Hopefully! I'll go get the gate.	Semoga! Aku buka gerbangnya dulu.
line:99931b37	Hopefully.	Semoga.
line:d9c91bca	How about you though? have you been seeing anyone?	Bagaimana denganmu? Kamu sedang dekat dengan seseorang?
line:4ec92454	How about you? Anyone exciting?	Kalau kamu? Ada orang menarik?
line:86bde306	How are you with seafood?	Bagaimana seleramu soal hidangan laut?
line:7fb611c9	How come you brought this all in?	Kenapa kamu membawa semua ini?
line:af0d0972	How come you're covered in ink?	Kenapa Anda berlumuran tinta?
line:e385b7f3	How did it go?	Bagaimana hasilnya?
line:c0161bbc	How did it taste?	Bagaimana rasanya?
line:262b262e	how do I get in?	bagaimana caranya masuk?
line:676b0638	how do I get in?	bagaimana caranya masuk?
line:8308bb09	How do I look?	Bagaimana penampilanku?
line:4f172746	How do you even digest that?	Bagaimana kamu bisa mencernanya?
line:28d390ac	How so?	Dalam hal apa?
line:4ef9fe65	How so?	Dalam hal apa?
line:ea66b5af	How so?	Dalam hal apa?
line:4b29790b	How was the sex.	Bagaimana seksnya?
line:7736270c	How was your date with Conrad?	Bagaimana kencanmu dengan Conrad?
line:18d418ab	However, it's ornamental! My family crest. You see...	Padahal itu hiasan! Lambang keluarga saya. Begini...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Namun, <i>citra</i> saya jauh lebih abadi daripada wujud fisik Igwyx yang sementara.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Namun, rasa hormat itu disertai harapan agar sikap saya sesuai dengan penampilan. Tekanannya luar biasa.
line:d2baf9e2	However...	Namun...
line:fb8401c3	Huff...	Huff...
line:b54ee04d	huff... Thank you for that.	Huff... Terima kasih untuk itu.
line:16420ca7	Huff... Thanks for that.	Huff... Terima kasih untuk itu.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Huff... Enak tadi... Tapi jadi sedikit berantakan.
line:ae83cfb6	huh...?	Hah...?
line:0c78b56b	Huh?	Hah?
line:e96114a2	Huh? ofcourse not!	Hah? Tentu saja bukan!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	Saya <i>rasa </i> saya menumpahkan botol tinta <i>dalam perjalanan ke sini</i>. Ceroboh sekali!
line:d37175c7	I act tough but am a small dragon...	Aku bersikap tangguh, padahal aku naga kecil...
line:b4e27683	I agree	Aku setuju.
line:68ebf07b	I allowed him, as my stature provides ample height.	Saya mengizinkannya, karena tubuh saya menyediakan ketinggian yang memadai.
line:a051821a	I already feel a lot better.	Aku sudah merasa jauh lebih baik.
line:49bfbfbe	I already have spot at the club reserved.	Aku sudah memesan tempat di klub.
line:14ff4edd	I always do~	Aku memang selalu semangat begitu~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Aku selalu menantikan bertemu denganmu. Aku buka gerbangnya dulu.
line:52bf5ede	I am THE kobold. Yip!	Akulah SI kobold itu. Yip!
line:141c006f	I am too.	Aku juga.
line:363f6f6a	I am too.	Aku juga.
line:405b9622	I am too.	Aku juga.
line:d4c5faea	I am too.	Aku juga.
line:556897bf	I am! Even better now that you're here.	Saya baik! Bahkan lebih baik karena Anda datang.
line:e499b2cc	I am.	Saya bahagia.
line:5ec8bb55	I believe that's in part because of you.	Saya rasa sebagian karena Anda.
line:9883786d	I booked the night.	Aku memesan untuk semalaman.
line:eae85bf9	I broke up with my partner...	Aku putus dengan pasanganku...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Aku membawa semangka, roti, anggur, dan beberapa makanan lain.
line:e8aa18f4	I can digest pretty much anything.	Aku bisa mencerna hampir apa pun.
line:7f543c2a	I can let loose whenever you are ready	Aku bisa melepasnya kapan pun kamu siap.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Saya tidak percaya Igwix melakukan kesalahan seperti ini!
line:e051a79e	I consider you a good friend too	Aku juga menganggapmu teman baik.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Aku bisa mendapatkan tempat <i>terbaik</i> untuk kita menonton pertunjukannya.
line:2602b8c6	I could use a wash.	Aku perlu mandi.
line:c66153d3	I couldn't help but notice the... device over there.	Saya tidak bisa mengabaikan... alat di sana.
line:b71f0756	I decided to try baking.	Aku memutuskan mencoba membuat kue.
line:e62b989c	I decided to try baking.	Aku memutuskan mencoba membuat kue.
line:efea7148	I decided to try baking.	Aku memutuskan mencoba membuat kue.
line:98f800d3	I didn't know anyone could like me that much so easily.	Aku tidak tahu orang bisa begitu mudah menyukaiku sedalam itu.
line:4116f001	I didn't know what the button did.	Aku tidak tahu fungsi tombol itu.
line:7a5c7f54	I didn't mean to fluster you!	Aku tidak bermaksud membuatmu salah tingkah!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Saya memang suka warnanya, meskipun kurasa tidak berkaitan dengan warna tubuh saya.
line:f9c800f2	I do!	Tentu!
line:ad9c1ada	I do. But, what happened?	Punya. Tapi apa yang terjadi?
line:a45ccf3a	I don't believe I can hold back any longer	Saya rasa tidak bisa menahan lebih lama lagi.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Aku tidak mengerti! Kenapa aku harus bersikap begini?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Aku tidak tahu dia ke mana, tapi aku merasa kotor lagi.
line:71127249	I don't mean to be rude, but I must decline	Saya tidak bermaksud tidak sopan, tapi harus menolak.
line:f5696cc4	I don't need to tell you.	Aku tidak harus memberitahumu.
line:878fc94c	I don't understand..	Aku tidak mengerti...
line:4f3d31f8	I don't want your pitty!	Aku tidak butuh belas kasihanmu!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Saya senang menjadi bagian positif dari hidup begitu banyak individu.
line:14653182	I enjoy parts of it. The respect is pleasant...	Ada hal-hal yang saya sukai. Dihormati terasa menyenangkan...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Saya senang tidak takut gagal saat bersama Anda.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Saya suka saat Anda memberi tahu apa yang harus saya lakukan lewat tepukan lembut Anda.
line:6db406b4	I enjoyed this quite a lot.	Saya sangat menikmatinya.
line:e838533b	I feel as I could say anything to you.	Rasanya saya bisa mengatakan apa saja kepada Anda.
line:9b9567ec	I feel much better.	Saya merasa jauh lebih baik.
line:ed6be68f	I feel spotless as always.	Aku merasa bersih sempurna seperti biasa.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Saya lupa betapa minimnya pengetahuan orang awam. Maaf.
line:63837f22	I forgot to bite into it so... Nothing?	Aku lupa menggigitnya, jadi... Tidak ada rasa?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Aku paham kenapa kamu merasa begitu setelah putus.
line:adf1550f	I give my other bipedal friends rides all the time.	Aku sering membawa teman-temanku yang berkaki dua.
line:9a68366f	I got a mount.	Aku beli alat kawin.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Aku pulang agak kotor, lalu dia membentakku.
line:22a9094a	I guess so!	Sepertinya begitu!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Aku benci selalu terjebak dalam situasi seperti ini.
line:366a7f73	I have a question.	Saya punya pertanyaan.
line:82b63c18	I have something to say!	Aku mau bilang sesuatu!
line:fd68807c	I have to say, you did as good a job as private washers.	Harus saya akui, pekerjaan Anda sama bagusnya dengan petugas mandi pribadi.
line:761f413a	I heard a loud bang	Aku mendengar ledakan keras.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Saya mendengar ledakan keras. Sepertinya Igwix tidak selamat.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Katanya ada kobold di bawah sini yang bisa memandikanku?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Katanya ada kobold di sini yang bisa memandikanku?
line:2f9b499a	I honestly don't know how you are doing that.	Jujur, aku tidak tahu bagaimana kamu bisa melakukannya.
line:6f5dbc90	I hope he's okay too.	Aku juga berharap dia baik-baik saja.
line:cd0197ed	I hope I can learn from that.	Semoga aku bisa belajar darimu.
line:cf50dbcc	I hope it all works out.	Semoga semuanya berjalan baik.
line:b2dfad3e	I hope so.	Semoga.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Semoga saja. Aku benar-benar ingin memulai lembaran baru dengan seseorang.
line:7429dab7	I hope that you'll help me prove them wrong!	semoga kamu membantuku membuktikan dia salah!
line:be5feb3e	I hope things get better.	Semoga keadaan membaik.
line:114ac9a0	I hope you're right.	Semoga kamu benar.
line:06744c7e	I just don't like that she takes it out on me.	Aku hanya tidak suka kalau dilampiaskan padaku.
line:1fb02179	I just don't like that she takes it out on me.	Aku hanya tidak suka kalau dilampiaskan padaku.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Aku cuma perlu mandi sebentar... Mungkin alat kawin itu juga enak.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Saya hanya ingin Anda bertanya kepada saya. Pertanyaan apa saja.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Aku tahu kamu terlalu sibuk, jadi kupikir kubawa kencannya kepadamu!
line:2461773d	I knew you'd have my back	Aku tahu kamu akan mendukungku.
line:6a671440	I know a decent equine-kin place by the pier.	Aku tahu restoran kaum kuda yang lumayan di dekat dermaga.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Aku tahu dia bisa agak pemarah dan lupa berterima kasih.
line:83c55e2e	I know things can be tough.	Aku tahu kadang memang berat.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Aku tahu kamu perlu menutup toko. Akan kuberi alamatnya dan kita bisa bertemu di sana, ya?
line:ded99a0c	I know, I'll reserve your spot!	Aku tahu, akan kupesankan tempatmu!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Saya tahu. Tapi bisa membuka hati kepada seseorang, meski hanya sesekali...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Aku tahu. Aku tahu tidak seharusnya membebanimu dengan ini.
line:875048ca	I know. I know.	Saya tahu. Saya tahu.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Saya suka betapa yakin Anda terhadap diri sendiri. Meski hanya soal memandikan.
line:46061aae	I like it! I think you'd enjoy it too.	Aku suka! Kurasa kamu juga akan suka.
line:f4ad8ea6	I like taking care of you.	Saya senang merawat Anda.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Aku suka alat yang kamu pilih. Bisa ambilkan?
line:5c86951f	I like you a lot.	Aku sangat menyukaimu.
line:a91980fc	I like you for who you are.	Saya menyukai Anda apa adanya.
line:bdca3e1b	I like... him.	Aku suka... dia.
line:2b65bf83	I love bubbles, they tickle!	Aku suka gelembung, menggelitik!
line:f8a4f404	I mean it. Really.	Aku serius. Sungguh.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Aku harus jadi lebih baik. Aku <i>ingin </i>jadi lebih baik.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Aku harus bersih kinclong. Sepertinya itu tugasmu. <size=70%> Hah.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Saya tidak pernah menyangka akan menceritakan hal memalukan seperti ini kepada seseorang.
line:0c986dec	I never expected you to be the type to be so messy!	Saya tidak menyangka Anda bisa sampai sekotor ini!
line:95db900b	I never miss a spot.	Saya tidak pernah melewatkan bagian mana pun.
line:d620d41a	I never thought someone like him would be my type...	Aku tidak pernah mengira seseorang seperti dia akan jadi tipeku...
line:67592de1	I probably need to head out though.	Tapi sepertinya aku harus pergi.
line:e41c6dc5	I really do hope it all works out!	Aku benar-benar berharap semuanya berjalan baik!
line:a722aada	I really think it was this time...	Kali ini kurasa memang salahku...
line:e80e5edd	I see what you're doing, thank you.	Saya paham maksud Anda. Terima kasih.
line:cc6ec337	I see..	Begitu...
line:d57520b1	I seem to have gotten myself covered in ink!	Sepertinya saya membuat diri saya berlumuran tinta!
line:3b161cf3	I still need more!	Aku masih butuh lagi!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Saya bisa memahami ketidaksukaan terhadap kekotoran yang ditimbulkannya.
line:234ccfda	I suppose it depends on the circumstances.	Kurasa memang tergantung situasinya.
line:910706c0	I think a movie could be fun!	Kurasa menonton film bisa seru!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Kurasa lingkungannya dulu buruk. Sekarang dia lebih baik.
line:9247b7a0	I think he'd like the new you!	Kurasa dia akan menyukai dirimu yang sekarang!
line:f4982dcd	I think he's got a crush on me.	Kurasa dia menaruh hati padaku.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Sepertinya aku masih merasakan kotoran ledakan menempel...
line:4efc873f	I think I like being taken care of?	Sepertinya saya senang dirawat?
line:f5d36d9a	I think I might be close..	Kurasa aku mungkin sudah hampir...
line:52fc4e08	I think I'd like that!	Sepertinya aku akan suka!
line:5c78099a	I think I'd like to meet him!	Aku ingin bertemu dengannya!
line:14e0edf6	I think I'd like to try!	Kurasa aku ingin mencoba!
line:164df75a	I think I'd like to use it?	Sepertinya saya ingin memakainya?
line:4f6168aa	I think I'd like to use it?	Sepertinya saya ingin memakainya?
line:ab314624	I think I'd like to?	Sepertinya saya mau?
line:170c6aa3	I think I'd like you to be that someone aswell.	Kurasa aku juga ingin orang itu adalah kamu.
line:8f46bb17	I think I've got it!	Sepertinya aku sudah paham!
line:a5e128e0	I think she's upset about something else...	Kurasa dia marah soal hal lain...
line:bc2545e7	I think she's upset about something else...	Kurasa dia marah soal hal lain...
line:335c5156	I think so!	Kurasa begitu!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Kurasa tempat itu cocok! Pertunjukannya bagus setiap malam.
line:eaafe671	I think you got every spot!	Kurasa kamu sudah membersihkan semua bagian!
line:1760e5d5	I think you got every spot.	Kurasa kamu sudah membersihkan semua bagian.
line:341175f7	I think you got every spot.	Kurasa kamu sudah membersihkan semua bagian.
line:770e7473	I think you got every spot.	Kurasa kamu sudah membersihkan semua bagian.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Kurasa kamu membantunya jauh lebih banyak daripada yang kamu sadari.
line:f28fd15d	I think you missed a few spots still...	Kurasa masih ada beberapa bagian yang terlewat...
line:77509e74	I think you're cool too. Self improvement is hard.	Menurutku kamu juga keren. Memperbaiki diri itu sulit.
line:763c6a82	I think you're good looking.	Menurut saya penampilan Anda bagus.
line:69e7dbb3	I think you're pretty cool, Conrad.	Menurutku kamu cukup keren, Conrad.
line:9c393f61	I think you're special too.	Menurutku kamu juga istimewa.
line:7d5ae3b4	I usually make do with a hose down at home...	Biasanya aku cukup menyemprot diri dengan selang di rumah...
line:c4fc9b28	I wanna talk face to face!	Aku ingin bicara tatap muka!
line:548dc375	I want to be more open. It feels good.	Saya ingin lebih terbuka. Rasanya menyenangkan.
line:e02f464d	I was helping the alchemist reach a high shelf	Aku sedang membantu ahli alkimia mencapai rak tinggi.
line:fa97376e	I was helping the alchemist reach a high shelf	Saya sedang membantu ahli alkimia mencapai rak tinggi.
line:bb015b1b	I was romping around the forest	Aku sedang berlarian di hutan.
line:78e2cb13	I was thinking about what you said,	Aku memikirkan ucapanmu,
line:b8282714	I was thinking.	Aku sedang berpikir.
line:ca616238	I was thinking. We could go out some time next week?	Aku berpikir... Bagaimana kalau kita keluar minggu depan?
line:a13d76ec	I was thinking...	Saya berpikir...
line:c1a4edf0	I wasn't making her happy either.	Dia juga tidak bahagia bersamaku.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Saya sudah bersusah payah mencari tempat untuk mandi diam-diam. Saya yakin tidak diikuti.
line:db5cd152	I went out with some friends.	Aku pergi bersama beberapa teman.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Saya bayar dua kali lipat. Tiga kali... Hanya Anda yang bisa melakukannya!
line:0c31345e	I will, thanks.	Pasti, makasih.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Pasti. Aku cuma perlu mandi sebentar, dan hari ini tidak keberatan memakai alat itu.
line:399457b7	I wish it was easy as it is in movies.	Andai semudah di film.
line:2185f08c	I won't.	Aku tidak akan bilang.
line:45950848	I would like that!	Aku mau!
line:099ec7fd	I would love to.	Aku mau sekali.
line:e6006cd6	I wouldn't mind!	Aku tidak keberatan!
line:81905be1	I'd like to go out to eat.	Aku ingin makan di luar.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Saya ingin mengobrol lebih lama, sungguh, tapi kelas akan segera dimulai.
line:2fe8a558	I'd love to!	Aku mau sekali!
line:87ba56cc	I'll be back again, yeah?	Aku akan kembali, ya?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Saya akan kembali. Senang memiliki teman seperti Anda.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Saya akan segera kembali, ya? Terima kasih sudah memandikan saya.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Aku tunggu kamu di bar malam ini!
line:69dff2ec	I'll be waiting for the gate!	Aku tunggu kamu buka gerbangnya!
line:ae4d09f6	I'll be waiting for the gate!	Aku tunggu kamu buka gerbangnya!
line:ab616aac	I'll definitely keep this place in mind.	Aku pasti akan mengingat tempat ini.
line:b122441b	I'll get one ordered I promise!	Aku akan pesan satu, janji!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Saya tidak akan mengganggu lagi. Terima kasih sudah memandikan saya.
line:707d2693	I'll get out of your scales...	Aku tidak akan mengganggumu lagi...
line:ca480eed	I'll get you two in contact then.	Kalau begitu akan kukenalkan kalian.
line:59416000	I'll go get the gate for ya'	Aku buka gerbangnya untukmu.
line:6aa7ad03	I'll go get the gate for ya'	Aku buka gerbangnya untukmu.
line:2a6d7e7d	I'll go get the gate for you.	Aku buka gerbangnya buat kamu.
line:8107858d	I'll go get the gate for you.	Saya akan membukakan gerbang untuk Anda.
line:d1755010	I'll go get the gate for you.	Aku buka gerbangnya buat kamu.
line:4d692a01	I'll go get the gate.	Aku buka gerbangnya dulu.
line:a75bb519	I'll go get the gate.	Aku buka gerbangnya dulu.
line:8689a124	I'll happily get that for you.	Dengan senang hati saya ambilkan.
line:48e99d7b	I'll have to close up shop first-	Aku perlu menutup toko dulu...
line:f2b894e2	I'll have to reserve your spot while you close up.	Aku perlu memesankan tempatmu saat kamu menutup toko.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Akan saya ingat. Saya terbiasa dengan hubungan yang serba transaksional.
