# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	a, soweli suli o.
line:9542e7a6	Hah, good. Let's break this thing in!	a, pona. o kepeken ona lon tenpo nanpa wan!
line:fe21109b	Hah, he seems like the wild type.	a a, ona li jan wawa nasa lukin.
line:e8bc1d95	Hah, I imagine it would be.	a a, mi pilin e ni: ona li pona.
line:acbf628d	Hah, it is a motivator.	a. ona li pana e wile pali.
line:65b23418	Hah, okay. I'm game.	a a, pona. mi wile.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	a a, lon. jan Konwa li sona unpa a...
line:8b878971	Hah, yeah. He sounds fun.	a a, lon. ona li musi lukin.
line:e3ed51d9	Hah. Conrad, you look good too.	a a. jan Konwa o, sina kin li lukin pona.
line:f8b2e23b	Hah. Fine.	a a. pona.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	a a. jan akesi lili pi ken telo mi li lon la, pona.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	a, lon. <size=70%><i>tomo sona telo la sina kama sona e unpa luka tawa akesi. pona...
line:50a559bb	Hah... <size=70%> yeah.	a... <size=70%>lon.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	a a... tenpo ni la, sina luka unpa e mi? ni li pona.
line:4e920759	Hah... Yeah I'm excited.	a a... lon, mi pilin wawa pona.
line:b36365ce	Hah... Yeah...	a a... lon...
line:b8724c64	Hah... you do like that noise.	a... kalama ni li pona mute tawa sina.
line:c8cde395	Haha, 'Yip' indeed.	a a. wi li lon.
line:680991cf	Haha, yes. Happy to see you.	a a. lon. mi pilin pona tan lukin sina.
line:4c27b031	Haha, you certainly are!	a a, sina lon!
line:c3a2e14e	Haha, you certainly are!	a a, sina lon!
line:9ec40945	Haha. 'Yip' to you too.	a a. mi toki e wi tawa sina kin.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	a a... lon. tenpo mute ala la, mi toki pona e jan.
line:44689f21	Happy to be back.	kama sin li pona tawa mi.
line:2672f65d	Happy to be here.	lon ni li pona tawa mi.
line:192fcb8e	Happy to get it off.	mi weka e ona la mi pilin pona.
line:3517b28e	Have a productive day.	o pali pona lon tenpo suno ni.
line:7c1adc57	He called me, we met up. He's really damn nice.	ona li toki tawa mi kepeken ilo. mi tu li kama wan. ona li pona mute a.
line:e71f9a0b	HE DIED!?	ona li moli?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	mi kama sona e ni: tenpo suli pini la... jan li awen pona ala e ona.
line:de25de6e	He just... Knew what to say to snap me out of all that.	ona li... sona e toki pona tawa weka e mi tan nasin ike ale ni.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	ona li wile toki e ni: 'sewi li ike tawa mi'... taso lon.
line:04b29e42	He really is.	lon a.
line:c7e1b369	He really is.	lon a.
line:c64bd5ce	He said I was chill, we planned a date...	ona li toki e ni: mi pona. mi tu li lawa e tenpo olin...
line:e8a91447	He's a lot. But, I like it.	ona li wawa mute. taso ni li pona tawa mi.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	ona li akesi loje. mi pilin e ni: sina tu li ken olin!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	ona li pali sin lon tenpo ni. sina pona tan pona pi ijo ni.
line:aaea8391	He's been way nicer recently.	tenpo pini poka la, ona li pona mute sin.
line:7363c004	He's great.	ona li pona a.
line:c13d4e24	He's hot.	ona li pona unpa lukin.
line:675d7e37	He's like. SUPER hung.	palisa unpa ona li SULI a.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	ona li... suwi mute lon insa, taso palisa kipisi li lon selo.
line:800c553d	He's my dream dragon.	ona li akesi pi wile ale mi.
line:4b3c70d9	He's snappy, but tender too!	ona li toki utala, taso ona li ken suwi kin!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	ona li akesi loje pi pona lukin MUTE a! ona li kama tawa tomo telo!
line:4c11c83e	He's tiny, I like being eye level with him.	ona li lili. mi ken lukin tawa ona lon sewi sama. ni li pona tawa mi.
line:b9ce2f3c	He's... Considerate. Real understanding too.	ona li... pilin e jan ante li sona pona mute kin.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	mi kute e sina e jan suli laso. ona li jan Wajan anu seme?
line:ca4a9672	Heeeey Ryan.	tokiii, jan Wajan o.
line:24ce37ec	Heeeey.	tokiii.
line:bb70c1ed	Heh. Yeah.	a a. lon.
line:3fa80829	Heh. Yeah. I like you too.	a a. lon. mi kin li olin e sina.
line:20393ff6	Heh. Yeah. That's me.	a. lon. mi ni.
line:ac769d93	heh.. yea.. sorry..	a a.. lon.. mi pakala..
line:5246ceea	Heh... alright.	a a... pona.
line:75fef5cb	Heh... Damn right.	a a... lon a.
line:5f0edcb2	Heh... Handsy today, huh?	a a... tenpo suno ni la, sina wile luka, anu seme?
line:2f55b3aa	Hehe	a a
line:7e991330	Hehe yeah.	a a, lon.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	a a, mi wile wawa pona e ni: mi alasa sin e jan olin.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	a a, sina pona. poki li jo e moku pi ken pona tawa mi tu.
line:1a3e2a73	Hell yea	pona a
line:93f67490	Hell yeah	pakala, pona.
line:389e4033	Hell yeah I did!	pakala, mi pilin pona!
line:17dbb9b7	Hell yeah.	pona a.
line:4b7b33d9	Hello!	toki!
line:c3d3da41	Hello!	toki!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	toki, <i>tomo esun Drag'n'wash nanpa 223...</i> sina sona ala sona e nasin pi kepeken ijo?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	toki, <i>tomo esun Drag'n'wash nanpa 223...</i> sina toki ala toki tawa jan esun nanpa wan?
line:b7cce838	Hello.	toki.
line:a8779ebf	Hello?	jan li lon ala lon?
line:dd4b34ae	Hello?	jan li lon ala lon?
line:1954aab7	Help the developers out please..	o pana e sona tawa jan pali musi..
line:db9c3a5c	Help the developers out please..	o pana e sona tawa jan pali musi..
line:f7f7f5a1	Help the developers out please..	o pana e sona tawa jan pali musi..
line:fc461784	Help the developers out please..	o pana e sona tawa jan pali musi..
line:ee3398a6	Hey big guy.	toki, jan suli o.
line:0090c7b0	Hey Conrad!	toki, jan Konwa o!
line:3d0a5aeb	Hey Conrad!	toki, jan Konwa o!
line:a2b4acea	Hey conrad!	toki jan Konwa o!
line:975a629f	Hey Conrad.	toki, jan Konwa o.
line:21235886	Hey could you come up front where I can see you?	a, sina ken kama tawa sinpin anu seme? mi ken lukin e sina lon ona.
line:533532c4	Hey fine by me!	a, ni li pona tawa mi!
line:1538bc7e	Hey good lookin'	toki, jan pi lukin pona o.
line:0121c874	Hey hey. Glad you're open.	toki toki. sina open la mi pilin pona.
line:71b651dd	Hey I have something to say!	o, mi wile toki e ijo!
line:0d4e0ecf	Hey kobold!	toki, jan akesi lili o!
line:af3f02c9	Hey Ryan, what do you have there?	jan Wajan o, sina jo e seme?
line:6374414d	Hey thanks for being here for me...	a, sina awen pona e mi la, sina pona...
line:bf5ff483	Hey there, happy to be back.	toki. kama sin li pona tawa mi.
line:c38b7fa6	Hey there, Ryan!	toki, jan Wajan o!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	o... ken la luka sina li ken musi lon tenpo kama?
line:1b6c7f75	Hey there.	toki.
line:5dacf226	Hey there.	toki.
line:82698bd1	Hey there.	toki.
line:ab3a5d9c	Hey there.	toki.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	a mmm, sina pilin e seme? mi en jan Wajan li ken jo e olin pona <i>lon</i>?
line:04501155	Hey uh, I just need a cleaning.	toki mmm, mi wile e weka jaki taso.
line:2a29842a	Hey uh... Not now.	o... tenpo ni la ala.
line:8caa3196	Hey uhm, thanks once again.	a mmm, sina pona sin.
line:5c7a9105	Hey!	toki!
line:eed2cc64	Hey!	toki!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	a! ona li... 'jo e ike tan sewi' taso.
line:55bb78d1	Hey! I'm here for a wash.	toki! mi lon ni tawa telo.
line:33480903	Hey, Alexander!	toki, jan Aleksanta o!
line:21fcef4f	Hey, Alexander.	toki, jan Aleksanta o.
line:14598ca6	Hey, big guy!	toki, jan suli o!
line:e7353d24	Hey, I've got a question for you.	a, mi jo e wile sona tawa sina.
line:674877e5	Hey, nothin' wrong with asking!	a, wile sona li ike ala!
line:d2589856	Hey, welcome back!	toki! o kama pona sin!
line:0d3e4054	Hey.	o.
line:aa0dda7b	Hey.	o.
line:7f2e2736	Hey... little guy!	toki... jan lili o!
line:933efa6d	Hi again!	toki sin!
line:873a2b9a	Hi again..	toki sin..
line:83ac5b68	Hi Conrad.	jan Konwa o, toki.
line:050efd1a	Hi, Ryan!	jan Wajan o, toki!
line:06ed6aea	Hiiiii! Hiii!	tokiii! tokiii!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	sijelo ona li kama sin lon tomo lape pi jan pana sona.
line:6bd91ca7	Hm, I think I'll pass on the mount.	mi pilin e ni: mi wile ala kepeken ilo unpa.
line:370d719b	Hm?	seme?
line:3c3ddd0c	Hm?	seme?
line:44658d73	Hmm...	mmm...
line:bf059ff3	Hmm...	mmm...
line:730b1ca4	Hmm?	seme?
line:fc571337	Hmmm, maybe something else?	mmm, ken la ijo ante?
line:19207e44	Hold on a little longer for me?	sina ken awen lili sin tawa mi anu seme?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	mi pilin pona mute! mi sona ala e ni lon tenpo pini.
line:a2ff0176	Hope it went well.	mi wile e ni: ona li pona.
line:b17360a0	Hope that's alright?	ni li pona tawa sina anu seme?
line:ae08853f	Hope you're doing alright!	mi wile e ni: sina pona!
line:e1fa2461	Hopefully! I'll go get the gate.	mi wile e ni! mi tawa open e lupa suli.
line:99931b37	Hopefully.	mi wile e ni.
line:d9c91bca	How about you though? have you been seeing anyone?	taso sina? sina lukin e jan olin anu seme?
line:4ec92454	How about you? Anyone exciting?	sina? jan pi pona wawa li lon anu seme?
line:86bde306	How are you with seafood?	moku telo li pona tawa sina anu seme?
line:7fb611c9	How come you brought this all in?	sina pana e ni ale tan seme?
line:af0d0972	How come you're covered in ink?	tan seme la telo sitelen li lon sina?
line:e385b7f3	How did it go?	ni li seme?
line:c0161bbc	How did it taste?	ona li seme tawa uta?
line:262b262e	how do I get in?	mi ken kama insa kepeken nasin seme?
line:676b0638	how do I get in?	mi ken kama insa kepeken nasin seme?
line:8308bb09	How do I look?	mi lukin seme?
line:4f172746	How do you even digest that?	insa sina li pakala e ni kepeken nasin seme?
line:28d390ac	How so?	ona li pona tawa sina kepeken nasin seme?
line:4ef9fe65	How so?	sina toki insa e seme?
line:ea66b5af	How so?	sina toki insa e seme?
line:4b29790b	How was the sex.	unpa li seme?
line:7736270c	How was your date with Conrad?	tenpo olin sina lon poka pi jan Konwa li seme?
line:18d418ab	However, it's ornamental! My family crest. You see...	taso ona li ijo pi pona lukin! sitelen pi kulupu mama mi. ni la...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	taso <i>nimi pona</i> mi li awen lon tenpo suli. sijelo pi jan Ikuwi li awen lili taso.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	taso lukin suli ni la jan li wile e ni: pali mi li sama lukin mi. ni li pana e ike pilin mute.
line:d2baf9e2	However...	taso...
line:fb8401c3	Huff...	haa...
line:b54ee04d	huff... Thank you for that.	haa... sina pona tan ni.
line:16420ca7	Huff... Thanks for that.	haa... sina pona tan ni.
line:45507089	Huff... That was nice... Made a bit of a mess though.	haa... ni li pona... taso mi pana e jaki lili.
line:ae83cfb6	huh...?	seme...?
line:0c78b56b	Huh?	seme?
line:e96114a2	Huh? ofcourse not!	seme? ala a!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	mi <i>pilin </i>e ni: <i>mi tawa ma ni</i> la mi pana ike e telo tan poki telo sitelen. mi pakala!
line:d37175c7	I act tough but am a small dragon...	mi pana e lukin wawa, taso mi akesi lili...
line:b4e27683	I agree	mi pilin sama
line:68ebf07b	I allowed him, as my stature provides ample height.	mi toki e ken. suli mi li pana e sewi pona tawa ona.
line:a051821a	I already feel a lot better.	mi pilin pona mute lon tenpo ni.
line:49bfbfbe	I already have spot at the club reserved.	mi pini awen e ma mi lon tomo musi.
line:14ff4edd	I always do~	mi pali wawa lon tenpo ale~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	tenpo ale la, mi wile lukin e sina. mi tawa open e lupa suli.
line:52bf5ede	I am THE kobold. Yip!	mi jan akesi lili NI a. wi!
line:141c006f	I am too.	mi kin.
line:363f6f6a	I am too.	mi kin.
line:405b9622	I am too.	mi kin.
line:d4c5faea	I am too.	mi kin.
line:556897bf	I am! Even better now that you're here.	mi pona! sina lon ni la, mi pona sin.
line:e499b2cc	I am.	mi pilin pona.
line:5ec8bb55	I believe that's in part because of you.	mi pilin e ni: ni li tan sina kin.
line:9883786d	I booked the night.	mi esun e pimeja ale.
line:eae85bf9	I broke up with my partner...	mi pini e poka olin mi...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	mi pana e kili suli e pan e kili lili e ijo ante.
line:e8aa18f4	I can digest pretty much anything.	insa mi li ken pakala e ijo ale lili.
line:7f543c2a	I can let loose whenever you are ready	sina ken la, mi ken pana
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	mi ken ala pilin e ni: jan Ikuwi li pakala sama ni!
line:e051a79e	I consider you a good friend too	mi kin li pilin e ni: sina jan pona mi.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	mi ken kama jo e ma pi pona <i>nanpa wan</i> tawa mi tu tawa musi ona.
line:2602b8c6	I could use a wash.	mi wile e telo.
line:c66153d3	I couldn't help but notice the... device over there.	mi lukin e... ilo lon ma ni. mi ken ala weka e ona tan lawa.
line:b71f0756	I decided to try baking.	mi wile alasa seli e pan.
line:e62b989c	I decided to try baking.	mi wile alasa seli e pan.
line:efea7148	I decided to try baking.	mi wile alasa seli e pan.
line:98f800d3	I didn't know anyone could like me that much so easily.	mi sona ala e ni: jan li ken kama olin e mi kepeken pali lili.
line:4116f001	I didn't know what the button did.	mi sona ala e pali nena.
line:7a5c7f54	I didn't mean to fluster you!	mi wile ala nasa e pilin sina!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	kule ni li pona tawa mi. taso pilin ni li tan kule mi ala.
line:f9c800f2	I do!	mi pilin e ni!
line:ad9c1ada	I do. But, what happened?	mi jo. taso seme li kama?
line:a45ccf3a	I don't believe I can hold back any longer	mi pilin e ni: mi ken ala awen sin
line:8c6e1cd3	I don't get it! Why do I have to act this way?	mi sona ala! tan seme la mi o pali sama ni?
line:cc4e48a3	I don't know where they went but I feel dirty again.	mi sona ala e ma tawa ona. taso mi pilin jaki sin.
line:71127249	I don't mean to be rude, but I must decline	mi wile ala toki ike, taso mi wile ala
line:f5696cc4	I don't need to tell you.	mi wile ala toki e ni tawa sina.
line:878fc94c	I don't understand..	mi sona ala..
line:4f3d31f8	I don't want your pitty!	mi wile ala e pilin ike sina tawa mi!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	mi ken pona e lon pi jan mute. ni li pona tawa mi.
line:14653182	I enjoy parts of it. The respect is pleasant...	ijo wan li pona. jan li lukin suli e mi. ni li pona...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	lon poka sina la mi monsuta ala e pakala. ni li pona.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	sina luka e mi la mi sona e pali wile sina. ni li pona tawa mi.
line:6db406b4	I enjoyed this quite a lot.	ni li pona mute tawa mi.
line:e838533b	I feel as I could say anything to you.	mi pilin e ni: mi ken toki e ijo ale tawa sina.
line:9b9567ec	I feel much better.	mi pilin pona suli sin.
line:ed6be68f	I feel spotless as always.	mi pilin pi jaki ala sama tenpo ale.
line:938be2fb	I forget the ignorance of a layman. I apologize.	mi weka sona e ni: jan pi sona nasa ala li sona ala. mi pakala.
line:63837f22	I forgot to bite into it so... Nothing?	mi weka sona e ni: o uta e ona. ni la... pilin ala?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	olin sina li pini la, mi ken sona e tan pi pilin ni.
line:adf1550f	I give my other bipedal friends rides all the time.	tenpo mute la, jan pona ante mi pi noka tu li tawa lon monsi mi.
line:9a68366f	I got a mount.	mi kama jo e ilo unpa.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	mi kama tawa tomo lon jaki lili. ona li toki wawa ike tawa mi.
line:22a9094a	I guess so!	mi pilin e ni!
line:28d6c0aa	I hate that I'm always getting into situations like this.	mi kama tawa ike sama ni lon tenpo mute. mi wile ala e ni.
line:366a7f73	I have a question.	mi wile sona.
line:82b63c18	I have something to say!	mi jo e ijo toki!
line:fd68807c	I have to say, you did as good a job as private washers.	mi toki e ni: pali sina li pona sama pali pi jan telo pi tomo mi.
line:761f413a	I heard a loud bang	mi kute e kalama pakala suli
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	mi kute e kalama pakala suli. mi pilin e ni: jan Ikuwi li moli.
line:7ede5030	I heard there was kobolds down here that could wash me up?	mi kute e ni: jan akesi lili pi ken telo mi li lon anpa ni?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	mi kute e ni: jan akesi lili li lon ni li ken telo e mi.
line:2f9b499a	I honestly don't know how you are doing that.	mi toki lon la, mi sona ala e ni: sina ken ni kepeken nasin seme?
line:6f5dbc90	I hope he's okay too.	mi kin li wile e ni: ona li pona.
line:cd0197ed	I hope I can learn from that.	mi wile kama sona tan ni.
line:cf50dbcc	I hope it all works out.	mi wile e ni: ale li kama pona.
line:b2dfad3e	I hope so.	mi wile e ni.
line:0477b0d7	I hope so. I really want a fresh start with someone.	mi wile e ni. mi wile open sin lon poka jan.
line:7429dab7	I hope that you'll help me prove them wrong!	mi wile e ni: sina pona e mi tawa pana e sona ni: ona li toki lon ala!
line:be5feb3e	I hope things get better.	mi wile e ni: ijo li kama pona.
line:114ac9a0	I hope you're right.	mi wile e ni: toki sina li lon.
line:06744c7e	I just don't like that she takes it out on me.	taso mi wile ala e ni: ona li pana e ike ni tawa mi.
line:1fb02179	I just don't like that she takes it out on me.	taso mi wile ala e ni: ona li pana e ike ni tawa mi.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	mi wile e telo pi tenpo lili taso... ken la, ilo unpa kin li pona.
line:95ff1bed	I just wish for you to ask me a question. Any question.	mi wile taso e ni: sina wile sona tan mi. ijo seme ale li ken.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	mi sona e ni: sina pali mute ike. ni la mi wile pana e tenpo olin tawa sina!
line:2461773d	I knew you'd have my back	mi sona e ni: sina awen pona e mi
line:6a671440	I know a decent equine-kin place by the pier.	mi sona e tomo moku pona pi jan soweli tawa lon poka pi supa telo.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	mi sona e ni: ona li ken pilin utala li weka sona e toki pona tawa jan.
line:83c55e2e	I know things can be tough.	mi sona e ni: tenpo li ken ike.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	mi sona e ni: sina wile pini e tomo esun. mi pana e nimi ma tawa sina la, mi tu li ken kama wan lon ona, anu seme?
line:ded99a0c	I know, I'll reserve your spot!	mi sona. mi awen e ma sina!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	mi sona. taso mi ken toki e pilin len tawa jan, lon tenpo lili kin la...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	mi sona. mi o pana ala e ike ni tawa sina.
line:875048ca	I know. I know.	mi sona. mi sona.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	sina sona wawa e pali sina la, ni li pona tawa mi. sina telo taso la kin.
line:46061aae	I like it! I think you'd enjoy it too.	ni li pona tawa mi! mi pilin e ni: ona li pona tawa sina kin.
line:f4ad8ea6	I like taking care of you.	mi wile awen pona e sina.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	ilo unpa sina li pona tawa mi. o kama jo e ona.
line:5c86951f	I like you a lot.	mi olin mute e sina.
line:a91980fc	I like you for who you are.	sina lon li pona tawa mi.
line:bdca3e1b	I like... him.	mi olin e... ona.
line:2b65bf83	I love bubbles, they tickle!	mi olin e sike kon. ona li musi e selo!
line:f8a4f404	I mean it. Really.	ni li lon. lon a.
line:ae719afc	I need to be better. I <i>want </i>to be better.	mi o kama pona. mi <i>wile </i>kama pona.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	mi wile weka e jaki ale. ni li pali sina. <size=70%>a.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	mi sona ala e ni: tenpo kama la mi toki e ijo len ike ni tawa jan.
line:0c986dec	I never expected you to be the type to be so messy!	mi sona ala e ni: sina ken kama jaki mute!
line:95db900b	I never miss a spot.	mi weka e jaki ale lon tenpo ale.
line:d620d41a	I never thought someone like him would be my type...	tenpo pini la, mi pilin ala e ni: mi ken olin e jan sama ona...
line:67592de1	I probably need to head out though.	taso mi o weka.
line:e41c6dc5	I really do hope it all works out!	mi wile mute a e ni: ale li kama pona!
line:a722aada	I really think it was this time...	tenpo ni la mi pilin e ni: mi mama e ike...
line:e80e5edd	I see what you're doing, thank you.	mi sona e pali sina. sina pona.
line:cc6ec337	I see..	mi sona..
line:d57520b1	I seem to have gotten myself covered in ink!	telo sitelen li lon mi ale!
line:3b161cf3	I still need more!	mi wile e sin!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	mi ken sona e ni: ona li pana e jaki la, ni li ike tawa jan.
line:234ccfda	I suppose it depends on the circumstances.	mi pilin e ni: tenpo li ante la, ni li ante.
line:910706c0	I think a movie could be fun!	mi pilin e ni: sitelen tawa li ken musi!
line:99bbb171	I think he was in a bad environment. He's doing better now.	mi pilin e ni: ma ona li ike. tenpo ni la ona li pona sin.
line:9247b7a0	I think he'd like the new you!	mi pilin e ni: sina sin li pona tawa ona!
line:f4982dcd	I think he's got a crush on me.	mi pilin e ni: ona li olin e mi.
line:fc6fdd10	I think I can still feel some explosion grime on me...	mi pilin e ni: jaki pakala li awen lili lon mi...
line:4efc873f	I think I like being taken care of?	jan li awen pona e mi la, mi pilin e ni: mi wile e ona?
line:f5d36d9a	I think I might be close..	mi pilin e ni: mi ken poka e pana..
line:52fc4e08	I think I'd like that!	mi pilin e ni: ni li pona tawa mi!
line:5c78099a	I think I'd like to meet him!	mi wile lukin e ona!
line:14e0edf6	I think I'd like to try!	mi pilin e ni: mi wile alasa!
line:164df75a	I think I'd like to use it?	mi pilin e ni: mi wile kepeken ona?
line:4f6168aa	I think I'd like to use it?	mi pilin e ni: mi wile kepeken ona?
line:ab314624	I think I'd like to?	mi pilin e ni: mi wile?
line:170c6aa3	I think I'd like you to be that someone aswell.	mi kin li wile e ni: sina o jan ni.
line:8f46bb17	I think I've got it!	mi pilin e ni: mi sona!
line:a5e128e0	I think she's upset about something else...	mi pilin e ni: ijo ante li ike tawa ona...
line:bc2545e7	I think she's upset about something else...	mi pilin e ni: ijo ante li ike tawa ona...
line:335c5156	I think so!	mi pilin e ni!
line:3292625e	I think that would make a decent place! They put on good shows every night.	mi pilin e ni: ma ni li pona! tenpo pimeja ale la, ona li pana e musi pona.
line:eaafe671	I think you got every spot!	mi pilin e ni: sina telo e ma ale!
line:1760e5d5	I think you got every spot.	mi pilin e ni: sina telo e ma ale.
line:341175f7	I think you got every spot.	mi pilin e ni: sina telo e ma ale.
line:770e7473	I think you got every spot.	mi pilin e ni: sina telo e ma ale.
line:f4a8f7fc	I think you helped him a lot more than you realize.	mi pilin e ni: sina pona mute e ona. sina sona ala e mute pi pona ni.
line:f28fd15d	I think you missed a few spots still...	mi pilin e ni: ma lili li awen jaki...
line:77509e74	I think you're cool too. Self improvement is hard.	sina kin li pona. kama pona pi jan sama li pali suli.
line:763c6a82	I think you're good looking.	mi pilin e ni: sina lukin pona.
line:69e7dbb3	I think you're pretty cool, Conrad.	jan Konwa o, sina pona tawa mi.
line:9c393f61	I think you're special too.	mi kin li pilin e ni: sina suli ante.
line:7d5ae3b4	I usually make do with a hose down at home...	tenpo mute la mi telo e mi kepeken linja telo lon tomo mi...
line:c4fc9b28	I wanna talk face to face!	mi wile toki sinpin tawa sinpin!
line:548dc375	I want to be more open. It feels good.	mi wile len lili e pilin mi. ni li pona.
line:e02f464d	I was helping the alchemist reach a high shelf	mi pona e jan pi ante ijo: ona li wile kama tawa supa sewi
line:fa97376e	I was helping the alchemist reach a high shelf	mi pona e jan pi ante ijo: ona li wile kama tawa supa sewi
line:bb015b1b	I was romping around the forest	mi tawa musi lon ma pi kasi mute
line:78e2cb13	I was thinking about what you said,	mi toki insa e toki sina,
line:b8282714	I was thinking.	mi toki insa.
line:ca616238	I was thinking. We could go out some time next week?	mi toki insa e ni: tenpo esun kama la, mi tu li ken tawa lon tenpo wan?
line:a13d76ec	I was thinking...	mi toki insa...
line:c1a4edf0	I wasn't making her happy either.	mi kin li pana ala e pilin pona tawa ona.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	mi pali mute tawa ni: jan ante li sona ala e telo mi. mi pilin e ni: jan ala li kama monsi mi.
line:db5cd152	I went out with some friends.	mi tawa musi lon poka pi jan pona.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	mi pana e mani pi suli tu. suli tu wan! sina taso li ken pali e ni!
line:0c31345e	I will, thanks.	mi kama sin. sina pona.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	mi toki. tenpo ni la mi wile e telo pi tenpo lili taso. ilo unpa kin li pona tawa mi.
line:399457b7	I wish it was easy as it is in movies.	mi wile e ni: ale li pona sama sitelen tawa.
line:2185f08c	I won't.	mi toki ala.
line:45950848	I would like that!	mi wile e ni!
line:099ec7fd	I would love to.	mi wile mute.
line:e6006cd6	I wouldn't mind!	ni li pona tawa mi!
line:81905be1	I'd like to go out to eat.	mi wile tawa moku.
line:75b152eb	I'd love to talk more, truly, but class is soon.	mi wile toki sin. taso tenpo pana sona li kama lon tenpo lili.
line:2fe8a558	I'd love to!	mi wile mute a!
line:87ba56cc	I'll be back again, yeah?	mi kama sin, anu seme?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	mi kama sin. sina jan pona mi la ni li pona.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	mi kama sin lon tenpo poka, lon? sina pona tan telo.
line:d9f422eb	I'll be waiting at the bar for you tonight!	pimeja ni la, mi awen e sina lon tomo pi telo nasa!
line:69dff2ec	I'll be waiting for the gate!	mi awen. o open e lupa suli!
line:ae4d09f6	I'll be waiting for the gate!	mi awen. o open e lupa suli!
line:ab616aac	I'll definitely keep this place in mind.	mi awen sona e tomo ni.
line:b122441b	I'll get one ordered I promise!	mi pana e nimi mi: mi esun e wan!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	tenpo ni la, mi tawa. sina pona tan telo.
line:707d2693	I'll get out of your scales...	mi pana e tenpo sina tawa sina...
line:ca480eed	I'll get you two in contact then.	ni la, mi pana e nasin toki tawa sina tu.
line:59416000	I'll go get the gate for ya'	mi tawa open e lupa suli tawa sina.
line:6aa7ad03	I'll go get the gate for ya'	mi tawa open e lupa suli tawa sina.
line:2a6d7e7d	I'll go get the gate for you.	mi tawa open e lupa suli tawa sina.
line:8107858d	I'll go get the gate for you.	mi tawa open e lupa suli tawa sina.
line:d1755010	I'll go get the gate for you.	mi tawa open e lupa suli tawa sina.
line:4d692a01	I'll go get the gate.	mi tawa open e lupa suli.
line:a75bb519	I'll go get the gate.	mi tawa open e lupa suli.
