# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Эй, здоровенный пёс!
line:c8cde395	Haha, 'Yip' indeed.	Ха-ха, «йип», как вы выразились.
line:680991cf	Haha, yes. Happy to see you.	Ха-ха, да. Рад вас видеть.
line:4c27b031	Haha, you certainly are!	Ха-ха, уж это точно!
line:c3a2e14e	Haha, you certainly are!	Ха-ха, уж это точно!
line:9ec40945	Haha. 'Yip' to you too.	Ха-ха. И тебе «йип».
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Ха-ха... Да. Не привык я комплименты делать.
line:44689f21	Happy to be back.	Рад вернуться.
line:2672f65d	Happy to be here.	Рад сюда прийти.
line:192fcb8e	Happy to get it off.	Хорошо, что можно её смыть.
line:3517b28e	Have a productive day.	Продуктивного вам дня.
line:7c1adc57	He called me, we met up. He's really damn nice.	Он позвонил, мы встретились. Чертовски приятный дракон.
line:e71f9a0b	HE DIED!?	ОН ПОГИБ?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Насколько я понял, о нём уже давно... Ну, никто не заботился.
line:de25de6e	He just... Knew what to say to snap me out of all that.	А он просто... нашёл слова, чтобы я пришёл в себя.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Он предпочитает «ограничен по вертикали»... Но да.
line:04b29e42	He really is.	Правда хороший.
line:c7e1b369	He really is.	Правда хороший.
line:c64bd5ce	He said I was chill, we planned a date...	Сказал, что со мной легко. Мы договорились о свидании...
line:e8a91447	He's a lot. But, I like it.	С ним непросто. Но мне именно это и нравится.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Красный дракон. Кажется, вы друг другу понравитесь!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Он уже вернулся к работе. Благодарю за помощь в той истории.
line:aaea8391	He's been way nicer recently.	В последнее время он стал гораздо добрее.
line:7363c004	He's great.	Он замечательный.
line:c13d4e24	He's hot.	Он такой сексуальный.
line:675d7e37	He's like. SUPER hung.	У него, ну... ОЧЕНЬ большой.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Он словно... сплошная нежность под оболочкой из острых колючек.
line:800c553d	He's my dream dragon.	Дракон моей мечты.
line:4b3c70d9	He's snappy, but tender too!	Он бывает резким, но умеет быть нежным!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Очень, ОЧЕНЬ симпатичный красный дракон. Он сюда мыться ходит!
line:4c11c83e	He's tiny, I like being eye level with him.	Он маленький, приятно быть с ним на одном уровне глаз.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Он... внимательный. И всё понимает.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Слышал про тебя с большим синим. Райаном, да?
line:ca4a9672	Heeeey Ryan.	Приве-е-ет, Райан.
line:24ce37ec	Heeeey.	Э-э-эй.
line:bb70c1ed	Heh. Yeah.	Хех. Ага.
line:3fa80829	Heh. Yeah. I like you too.	Хех. Да. Ты мне тоже нравишься.
line:20393ff6	Heh. Yeah. That's me.	Хех. Ага, собственной персоной.
line:ac769d93	heh.. yea.. sorry..	Хех... Ага... Прости...
line:5246ceea	Heh... alright.	Хех... Ладно.
line:75fef5cb	Heh... Damn right.	Хех... Ещё бы.
line:5f0edcb2	Heh... Handsy today, huh?	Хех... Руки сегодня так и тянутся, да?
line:2f55b3aa	Hehe	Хе-хе.
line:7e991330	Hehe yeah.	Хе-хе, да.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Хе-хе, так хочется снова ходить на свидания.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Хе-хе, спасибо. Тут еда на любой из наших вкусов.
line:1a3e2a73	Hell yea	Охренеть как здорово.
line:93f67490	Hell yeah	Вот это да!
line:389e4033	Hell yeah I did!	Ещё как понравилось!
line:17dbb9b7	Hell yeah.	Охрененно.
line:4b7b33d9	Hello!	Здравствуйте!
line:c3d3da41	Hello!	Здравствуйте!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Здравствуйте, <i>«отделение Drag'n'wash № 223»...</i> Вы уже разобрались с управлением?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Здравствуйте, <i>«отделение Drag'n'wash № 223»...</i> Вы уже поговорили с первым клиентом?
line:b7cce838	Hello.	Здравствуйте.
line:a8779ebf	Hello?	Есть кто-нибудь?
line:dd4b34ae	Hello?	Есть кто-нибудь?
line:1954aab7	Help the developers out please..	Пожалуйста, помогите разработчикам разобраться...
line:db9c3a5c	Help the developers out please..	Пожалуйста, помогите разработчикам разобраться...
line:f7f7f5a1	Help the developers out please..	Пожалуйста, помогите разработчикам разобраться...
line:fc461784	Help the developers out please..	Пожалуйста, помогите разработчикам разобраться...
line:ee3398a6	Hey big guy.	Привет, здоровяк.
line:0090c7b0	Hey Conrad!	Здорово, Конрад!
line:3d0a5aeb	Hey Conrad!	Здорово, Конрад!
line:a2b4acea	Hey conrad!	Здравствуй, Конрад!
line:975a629f	Hey Conrad.	Привет тебе, Конрад.
line:21235886	Hey could you come up front where I can see you?	Слушай, подойдёшь вперёд, чтобы я тебя видел?
line:533532c4	Hey fine by me!	Эй, я только за!
line:1538bc7e	Hey good lookin'	Привет, красавчик.
line:0121c874	Hey hey. Glad you're open.	Эй, привет. Хорошо, что открыто.
line:71b651dd	Hey I have something to say!	Эй, я кое-что хотел сказать!
line:0d4e0ecf	Hey kobold!	Привет, кобольд!
line:af3f02c9	Hey Ryan, what do you have there?	Привет, Райан. Что ты принёс?
line:6374414d	Hey thanks for being here for me...	Слушай, спасибо, что поддерживаешь...
line:bf5ff483	Hey there, happy to be back.	Привет. Рад снова заглянуть.
line:c38b7fa6	Hey there, Ryan!	Здравствуй, Райан!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Слушай, может, «ручную работу» на потом оставим?
line:1b6c7f75	Hey there.	Приветствую.
line:5dacf226	Hey there.	Здравствуйте.
line:82698bd1	Hey there.	Приветствую.
line:ab3a5d9c	Hey there.	Привет.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Слушай, как думаешь, у нас с Райаном <i>правда</i> всё получится?
line:04501155	Hey uh, I just need a cleaning.	Слушай, это... Мне просто помыться.
line:2a29842a	Hey uh... Not now.	Эй, это... Не сейчас.
line:8caa3196	Hey uhm, thanks once again.	Слушай, ещё раз спасибо.
line:5c7a9105	Hey!	Привет!
line:eed2cc64	Hey!	Привет!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Эй! Он просто... «ограничен по вертикали».
line:55bb78d1	Hey! I'm here for a wash.	Привет! Я помыться.
line:33480903	Hey, Alexander!	Здравствуйте, Александр!
line:21fcef4f	Hey, Alexander.	Добрый вечер, Александр.
line:14598ca6	Hey, big guy!	Здравствуйте, здоровяк!
line:e7353d24	Hey, I've got a question for you.	Слушай, у меня к тебе вопрос.
line:674877e5	Hey, nothin' wrong with asking!	Эй, за спрос не бьют!
line:d2589856	Hey, welcome back!	Здравствуйте, с возвращением!
line:0d3e4054	Hey.	Привет.
line:aa0dda7b	Hey.	Слушай.
line:7f2e2736	Hey... little guy!	Привет... малыш!
line:933efa6d	Hi again!	И снова привет!
line:873a2b9a	Hi again..	Опять привет...
line:83ac5b68	Hi Conrad.	Привет, Конрад.
line:050efd1a	Hi, Ryan!	Привет, Райан!
line:06ed6aea	Hiiiii! Hiii!	Приве-е-ет! Привет!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Его тело сейчас восстанавливается в комнате отдыха преподавателей.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Хм, пожалуй, без станка обойдусь.
line:370d719b	Hm?	М?
line:3c3ddd0c	Hm?	М?
line:44658d73	Hmm...	М-м...
line:bf059ff3	Hmm...	М-м...
line:730b1ca4	Hmm?	М-м?
line:fc571337	Hmmm, maybe something else?	Хм-м, может, что-нибудь другое?
line:19207e44	Hold on a little longer for me?	Ещё немного потерпите ради меня?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Не думал, честно говоря, что это настолько приятно.
line:a2ff0176	Hope it went well.	Надеюсь, всё хорошо прошло.
line:b17360a0	Hope that's alright?	Надеюсь, ты не против?
line:ae08853f	Hope you're doing alright!	Надеюсь, у вас всё хорошо!
line:e1fa2461	Hopefully! I'll go get the gate.	Надеюсь! Пойду открывать.
line:99931b37	Hopefully.	Надеюсь.
line:d9c91bca	How about you though? have you been seeing anyone?	А у тебя как? Встречаешься с кем-нибудь?
line:4ec92454	How about you? Anyone exciting?	А у тебя? Кто-нибудь приглянулся?
line:86bde306	How are you with seafood?	Как ты относишься к морепродуктам?
line:7fb611c9	How come you brought this all in?	А почему ты всё это принёс?
line:af0d0972	How come you're covered in ink?	Как вы умудрились залиться чернилами?
line:e385b7f3	How did it go?	Как всё прошло?
line:c0161bbc	How did it taste?	Какой был вкус?
line:262b262e	how do I get in?	Как мне попасть внутрь?
line:676b0638	how do I get in?	Как мне попасть внутрь?
line:8308bb09	How do I look?	Как я выгляжу?
line:4f172746	How do you even digest that?	Как ты вообще это перевариваешь?
line:28d390ac	How so?	В каком смысле?
line:4ef9fe65	How so?	В каком смысле?
line:ea66b5af	How so?	В каком смысле?
line:4b29790b	How was the sex.	Как секс?
line:7736270c	How was your date with Conrad?	Как прошло свидание с Конрадом?
line:18d418ab	However, it's ornamental! My family crest. You see...	Однако это украшение! Наш родовой герб. Понимаете...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Однако моя <i>репутация</i> куда долговечнее бренных телесных оболочек Игвикса.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Но вместе с уважением приходит требование соответствовать своему облику. Это невероятно давит.
line:d2baf9e2	However...	Однако...
line:fb8401c3	Huff...	Фух...
line:b54ee04d	huff... Thank you for that.	Фух... Благодарю за это.
line:16420ca7	Huff... Thanks for that.	Фух... Спасибо тебе за это.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Фух... Хорошо было... Правда, немного испачкал тут всё.
line:ae83cfb6	huh...?	А...?
line:0c78b56b	Huh?	А?
line:e96114a2	Huh? ofcourse not!	А? Конечно нет!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	Я, <i>кажется, </i> опрокинул чернильницу <i>по дороге сюда</i>. До чего неловко!
line:d37175c7	I act tough but am a small dragon...	Я строю из себя крутого, но я маленький дракон...
line:b4e27683	I agree	Согласен.
line:68ebf07b	I allowed him, as my stature provides ample height.	Я согласился: мой рост обеспечивал нужную высоту.
line:a051821a	I already feel a lot better.	Мне уже гораздо легче.
line:49bfbfbe	I already have spot at the club reserved.	Я уже место в клубе забронировал.
line:14ff4edd	I always do~	Как всегда~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Я всегда рад тебя видеть. Сейчас открою ворота.
line:52bf5ede	I am THE kobold. Yip!	Я и есть ТОТ САМЫЙ кобольд. Йип!
line:141c006f	I am too.	Я тоже.
line:363f6f6a	I am too.	Я тоже.
line:405b9622	I am too.	Я тоже.
line:d4c5faea	I am too.	Я тоже.
line:556897bf	I am! Even better now that you're here.	Да! А с вашим приходом стало ещё лучше.
line:e499b2cc	I am.	Да, счастлив.
line:5ec8bb55	I believe that's in part because of you.	И отчасти, полагаю, благодаря вам.
line:9883786d	I booked the night.	Номер до утра оплачен.
line:eae85bf9	I broke up with my partner...	Я расстался со своей девушкой...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Принёс арбуз, хлеб, виноград и ещё кое-что.
line:e8aa18f4	I can digest pretty much anything.	У меня почти всё переварится.
line:7f543c2a	I can let loose whenever you are ready	Могу кончить, как только будешь готов.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Не верится, что Игвикс допустил такую ошибку!
line:e051a79e	I consider you a good friend too	Для меня ты тоже хороший друг.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Могу нам <i>лучшие</i> места на представление достать.
line:2602b8c6	I could use a wash.	Не помешало бы помыться.
line:c66153d3	I couldn't help but notice the... device over there.	Невольно обратил внимание на тот... аппарат.
line:b71f0756	I decided to try baking.	Решил попробовать печь.
line:e62b989c	I decided to try baking.	Решил попробовать печь.
line:efea7148	I decided to try baking.	Решил попробовать печь.
line:98f800d3	I didn't know anyone could like me that much so easily.	Я не знал, что могу так легко кому-то так сильно понравиться.
line:4116f001	I didn't know what the button did.	Не знал, что делает эта кнопка.
line:7a5c7f54	I didn't mean to fluster you!	Не хотел тебя смущать!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Цвет мне по душе. Хотя, полагаю, это никак не связано с моим окрасом.
line:f9c800f2	I do!	Да, нахожу!
line:ad9c1ada	I do. But, what happened?	Есть. Но что случилось?
line:a45ccf3a	I don't believe I can hold back any longer	Боюсь, больше сдерживаться не могу.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Не понимаю! Зачем я так себя веду?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Не знаю, куда делся алхимик, но я опять грязный.
line:71127249	I don't mean to be rude, but I must decline	Не хочу показаться грубым, но вынужден отказаться.
line:f5696cc4	I don't need to tell you.	Не обязан я тебе рассказывать.
line:878fc94c	I don't understand..	Не понимаю...
line:4f3d31f8	I don't want your pitty!	Не нужна мне твоя жалость!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Приятно знать, что я делаю лучше жизнь стольких людей.
line:14653182	I enjoy parts of it. The respect is pleasant...	В чём-то да. Приятно, когда тебя уважают...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Мне нравится, что рядом с вами я не боюсь ошибиться.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Мне нравится, когда лёгким похлопыванием вы указываете, что делать.
line:6db406b4	I enjoyed this quite a lot.	Мне это очень понравилось.
line:e838533b	I feel as I could say anything to you.	Кажется, я могу рассказать вам что угодно.
line:9b9567ec	I feel much better.	Чувствую себя гораздо лучше.
line:ed6be68f	I feel spotless as always.	Как всегда, чувствую себя идеально чистым.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Забываю, что непосвящённым это неизвестно. Прошу прощения.
line:63837f22	I forgot to bite into it so... Nothing?	Я забыл его раскусить, так что... Никакого?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Да, после расставания такое вполне понятно.
line:adf1550f	I give my other bipedal friends rides all the time.	Я постоянно так катаю других двуногих друзей.
line:9a68366f	I got a mount.	Я обзавёлся станком.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Я пришёл немного грязный. А она давай на меня кричать.
line:22a9094a	I guess so!	Выходит, так!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Бесит, что я вечно в такое влипаю.
line:366a7f73	I have a question.	Хочу кое-что спросить.
line:82b63c18	I have something to say!	Хочу кое-что сказать!
line:fd68807c	I have to say, you did as good a job as private washers.	Должен признать, вы справились не хуже моих личных мойщиков.
line:761f413a	I heard a loud bang	Я услышал громкий взрыв.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Раздался громкий взрыв. Не думаю, что Игвикс выжил.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Слышал, тут внизу кобольды могут меня помыть?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Мне сказали, тут внизу есть кобольды, которые могут меня отмыть?
line:2f9b499a	I honestly don't know how you are doing that.	Честно, не понимаю, как у тебя получается.
line:6f5dbc90	I hope he's okay too.	Я тоже на это надеюсь.
line:cd0197ed	I hope I can learn from that.	Надеюсь, и мне удастся этому научиться.
line:cf50dbcc	I hope it all works out.	Надеюсь, у вас всё сложится.
line:b2dfad3e	I hope so.	Надеюсь, да.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Надеюсь. Хочется с кем-нибудь начать с чистого листа.
line:7429dab7	I hope that you'll help me prove them wrong!	Надеюсь, поможешь доказать обратное!
line:be5feb3e	I hope things get better.	Надеюсь, всё наладится.
line:114ac9a0	I hope you're right.	Надеюсь, ты прав.
line:06744c7e	I just don't like that she takes it out on me.	Мне просто не нравится, что она на мне срывается.
line:1fb02179	I just don't like that she takes it out on me.	Мне просто не нравится, что она на мне срывается.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Мне только быстро сполоснуться... И, может, станок пригодится.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Я просто хочу, чтобы вы о чём-нибудь меня спросили. О чём угодно.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Знаю, ты очень занят, вот и решил принести свидание к тебе!
line:2461773d	I knew you'd have my back	Знал, что ты меня поддержишь.
line:6a671440	I know a decent equine-kin place by the pier.	Знаю у причала неплохой ресторан конского народа.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Знаю, он бывает вспыльчив и забывает поблагодарить.
line:83c55e2e	I know things can be tough.	Понимаю, бывает нелегко.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Знаю, тебе ещё мойку закрывать. Пришлю адрес, встретимся там, ладно?
line:ded99a0c	I know, I'll reserve your spot!	Знаю, место тебе придержу!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Знаю. Но возможность кому-то открыться, хотя бы изредка...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Понимаю. Знаю, не стоит на тебя всё это вываливать.
line:875048ca	I know. I know.	Знаю, знаю.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Мне по душе ваша уверенность. Пусть даже дело касается лишь мытья.
line:46061aae	I like it! I think you'd enjoy it too.	Мне нравится! Думаю, и тебе понравится.
line:f4ad8ea6	I like taking care of you.	А мне нравится заботиться о вас.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Хороший станок выбрал. Принесёшь?
line:5c86951f	I like you a lot.	Ты мне очень нравишься.
line:a91980fc	I like you for who you are.	Вы нравитесь мне таким, какой вы есть.
line:bdca3e1b	I like... him.	Мне нравится... он сам.
line:2b65bf83	I love bubbles, they tickle!	Обожаю пузырьки, щекотно!
line:f8a4f404	I mean it. Really.	Я серьёзно. Правда.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Надо меняться. Я <i>хочу </i>стать лучше.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Мне надо, чтоб ни пятнышка не осталось. Вы же тут для этого. <size=70%> Ха.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Не ожидал от себя, что смогу рассказать кому-то о столь неловких вещах.
line:0c986dec	I never expected you to be the type to be so messy!	Не думал, что вы умеете так перепачкаться!
line:95db900b	I never miss a spot.	Я ничего не пропускаю.
line:d620d41a	I never thought someone like him would be my type...	Не думал, что мне может понравиться такой, как он...
line:67592de1	I probably need to head out though.	Но мне, пожалуй, уже пора.
line:e41c6dc5	I really do hope it all works out!	Очень хочу, чтобы у вас всё получилось!
line:a722aada	I really think it was this time...	А вот в этот раз, кажется, виноват...
line:e80e5edd	I see what you're doing, thank you.	Понимаю ваш намёк. Благодарю.
line:cc6ec337	I see..	Понятно...
line:d57520b1	I seem to have gotten myself covered in ink!	Кажется, я весь перепачкался чернилами!
line:3b161cf3	I still need more!	Мне нужно ещё!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Понимаю: вся грязь, что он разводит, может не нравиться.
line:234ccfda	I suppose it depends on the circumstances.	Наверное, всё зависит от обстоятельств.
line:910706c0	I think a movie could be fun!	В кино, наверное, будет весело!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Кажется, раньше он был в плохом окружении. Сейчас ему лучше.
line:9247b7a0	I think he'd like the new you!	Думаю, ему понравится новый Конрад!
line:f4982dcd	I think he's got a crush on me.	Кажется, я ему нравлюсь.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Кажется, на мне ещё осталась копоть от взрыва...
line:4efc873f	I think I like being taken care of?	Кажется, мне нравится, когда обо мне заботятся?
line:f5d36d9a	I think I might be close..	Кажется, я уже скоро...
line:52fc4e08	I think I'd like that!	А мне нравится эта мысль!
line:5c78099a	I think I'd like to meet him!	Думаю, я хочу с ним познакомиться!
line:14e0edf6	I think I'd like to try!	Думаю, я хочу попробовать!
line:164df75a	I think I'd like to use it?	Пожалуй, я хотел бы им воспользоваться?
line:4f6168aa	I think I'd like to use it?	Пожалуй, я хотел бы им воспользоваться?
line:ab314624	I think I'd like to?	Наверное, я хотел бы?
line:170c6aa3	I think I'd like you to be that someone aswell.	Мне тоже хотелось бы, чтобы этим кем-то был ты.
line:8f46bb17	I think I've got it!	Кажется, разобрался!
line:a5e128e0	I think she's upset about something else...	Мне кажется, её что-то другое тревожит...
line:bc2545e7	I think she's upset about something else...	Мне кажется, её что-то другое тревожит...
line:335c5156	I think so!	Думаю, да!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Думаю, подойдёт! Там каждый вечер хорошие выступления.
line:eaafe671	I think you got every spot!	Похоже, ты всё отмыл!
line:1760e5d5	I think you got every spot.	Кажется, ты всё отмыл.
line:341175f7	I think you got every spot.	Кажется, ты всё отмыл.
line:770e7473	I think you got every spot.	Кажется, ты всё отмыл.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Думаю, ты помог ему больше, чем сам понимаешь.
line:f28fd15d	I think you missed a few spots still...	Кажется, кое-где ты ещё пропустил...
line:77509e74	I think you're cool too. Self improvement is hard.	Ты тоже классный. Меняться к лучшему непросто.
line:763c6a82	I think you're good looking.	По-моему, вы красивый.
line:69e7dbb3	I think you're pretty cool, Conrad.	А по мне ты классный, Конрад.
line:9c393f61	I think you're special too.	Ты мне тоже небезразличен.
line:7d5ae3b4	I usually make do with a hose down at home...	Я обычно дома из шланга обливаюсь...
line:c4fc9b28	I wanna talk face to face!	Хочу поговорить с глазу на глаз!
line:548dc375	I want to be more open. It feels good.	Мне хочется быть откровеннее. Это приятно.
line:e02f464d	I was helping the alchemist reach a high shelf	Я помогал алхимику добраться до высокой полки.
line:fa97376e	I was helping the alchemist reach a high shelf	Я помогал алхимику добраться до высокой полки.
line:bb015b1b	I was romping around the forest	Я резвился в лесу.
line:78e2cb13	I was thinking about what you said,	Я думал о твоих словах...
line:b8282714	I was thinking.	Я вот думаю.
line:ca616238	I was thinking. We could go out some time next week?	Думаю, может, сходим куда-нибудь на следующей неделе?
line:a13d76ec	I was thinking...	Мне тут подумалось...
line:c1a4edf0	I wasn't making her happy either.	Да и она со мной — тоже.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Я приложил столько усилий, чтобы помыться без огласки. Был уверен, что за мной никто не следит.
line:db5cd152	I went out with some friends.	Гулял тут с друзьями.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Заплачу вдвое. Втрое! С этим можете справиться только вы!
line:0c31345e	I will, thanks.	Обязательно. Спасибо.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Расскажу. Мне бы быстро помыться, а ещё я сегодня не против станка.
line:399457b7	I wish it was easy as it is in movies.	Вот бы всё было так просто, как в кино.
line:2185f08c	I won't.	Не расскажу.
line:45950848	I would like that!	Мне бы понравилось!
line:099ec7fd	I would love to.	С удовольствием останусь.
line:e6006cd6	I wouldn't mind!	Я не против!
line:81905be1	I'd like to go out to eat.	Я бы куда-нибудь поесть сходил.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Я с радостью продолжил бы беседу, но скоро занятие.
line:2fe8a558	I'd love to!	Я с удовольствием!
line:87ba56cc	I'll be back again, yeah?	Я ещё приду, ладно?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Непременно вернусь. Хорошо иметь такого друга, как вы.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Я скоро вернусь, хорошо? Благодарю за мытьё.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Вечером буду ждать тебя в баре!
line:69dff2ec	I'll be waiting for the gate!	Подожду, пока откроешь!
line:ae4d09f6	I'll be waiting for the gate!	Подожду, пока откроешь!
line:ab616aac	I'll definitely keep this place in mind.	Непременно запомню вашу мойку.
line:b122441b	I'll get one ordered I promise!	Закажу, обещаю!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Больше не буду вас отвлекать. Спасибо за мытьё.
line:707d2693	I'll get out of your scales...	Ладно, не стану больше тебя отвлекать...
line:ca480eed	I'll get you two in contact then.	Тогда помогу вам связаться.
line:59416000	I'll go get the gate for ya'	Сейчас открою тебе.
line:6aa7ad03	I'll go get the gate for ya'	Сейчас открою тебе.
line:2a6d7e7d	I'll go get the gate for you.	Пойду открою тебе ворота.
line:8107858d	I'll go get the gate for you.	Пойду открою вам ворота.
line:d1755010	I'll go get the gate for you.	Пойду открою тебе ворота.
line:4d692a01	I'll go get the gate.	Пойду ворота открою.
line:a75bb519	I'll go get the gate.	Пойду ворота открою.
line:8689a124	I'll happily get that for you.	С удовольствием принесу.
line:48e99d7b	I'll have to close up shop first-	Мне сначала надо мойку закрыть...
line:f2b894e2	I'll have to reserve your spot while you close up.	Пока закрываешь, займу тебе место.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Учту. Просто я привык, что за всем стоит какой-то обмен.
line:956a0f47	I'll make sure to ask him next time I see him.	В следующий его визит обязательно спрошу.
line:e64d21e4	I'll make sure to come back.	Непременно ещё зайду.
line:7c9fe106	I'll make sure to get out of your scales.	Не буду больше отвлекать тебя от дел.
line:87006442	I'll make sure to tell others about this place	Обязательно расскажу всем про это место.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Обязательно расскажу, как всё пройдёт, ладно?
line:49b6a167	I'll make sure you're <i>spotless.	Я уж постараюсь, чтобы ни <i>пятнышка не осталось.
line:96981b61	I'll manage.	Справлюсь.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Прошу не затягивать: студенты сами себя не научат.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Придётся воскрешать Игвикса. До чего неловко!
line:90a9a98e	I'll see you next time I come in, yeah?	Увидимся, когда снова приду, да?
line:d0f6a49a	I'll see you next time I come in, yeah?	Увидимся, когда снова приду, да?
line:160bf40f	I'll start prepping for it.	Пора начинать готовиться.
line:8af64cb8	I'll take care of this, don't you worry.	Я обо всём позабочусь, не волнуйся.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Чуть позже расскажу. Пока просто открой, пожалуйста.
line:04c62f9b	I'm <i>spotless</i>.	Ни <i>пятнышка</i> не осталось.
line:629f8cff	I'm a bit of a big deal around there.	Меня там за важную персону держат.
line:d9272031	I'm a dragon.	Я же дракон.
line:675e7284	I'm a rule breaker!	А я правила нарушаю!
line:afcd5586	I'm a... kobold.	Я вообще-то... кобольд.
line:5d41b5d6	I'm all dirty still!	Я же ещё весь грязный!
line:2f6eb3c3	I'm all soapy still!	Я же ещё весь в мыле!
line:18707b19	I'm always happy to give you a wash!	Всегда рад тебя помыть!
line:3b01eb3b	I'm always happy to give you a wash!	Всегда рад тебя помыть!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Всегда рад помочь. <i><size=70%> Особенно большому дракону.
line:46c6a3ed	I'm always happy to see you Ryan.	Я тебе всегда рад, Райан.
line:75206eee	I'm always happy to see you Ryan.	Я тебе всегда рад, Райан.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Я всегда рад вас видеть. Сейчас открою вам ворота.
line:07e5fc05	I'm amazed!	Я впечатлён!
line:4586d55d	I'm an asshole. I know I am.	Я мудак. Сам знаю.
line:a6d46685	I'm certain he also finds you pleasant!	Уверен, ему с вами тоже приятно!
line:ef399e26	I'm doing good!	У меня всё хорошо!
line:a6c1f2f4	I'm excited for you!	Я за тебя так рад!
line:94fbdbf0	I'm excited for you. I'll get the gate!	Я за тебя рад. Открываю ворота!
line:f83e4966	I'm excited to hear about it!	Буду ждать рассказа!
