# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	よう、でかいワンコ。
line:2672f65d	Happy to be here.	ここに来られてうれしい。
line:192fcb8e	Happy to get it off.	落としてもらえてうれしい。
line:3517b28e	Have a productive day.	実り多い一日を。
line:7c1adc57	He called me, we met up. He's really damn nice.	電話をくれて、会ったんだ。本当に優しいやつだよ。
line:e71f9a0b	HE DIED!?	死んじゃったの！？
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	話を聞く限り、長い間……大切にされていなかったみたい。
line:de25de6e	He just... Knew what to say to snap me out of all that.	でも、あいつ……俺が我に返る言葉を、ちゃんとわかってた。
line:a035a3fd	He prefers 'vertically challenged'... But yes.	本人は「高さが控えめ」って言ってほしいみたい……でも、そう。
line:04b29e42	He really is.	本当にそうだね。
line:c7e1b369	He really is.	本当にそうだね。
line:c64bd5ce	He said I was chill, we planned a date...	俺のこと、付き合いやすいって。デートも決めて……。
line:e8a91447	He's a lot. But, I like it.	いろいろ強烈だけど、そこが好き。
line:a7181b1a	He's a red dragon. I think you two would like eachother!	赤いドラゴンだよ。二人とも気が合うと思う！
line:8245fe2b	He's already back to work. Thanks for helping with all that.	彼はもう仕事に戻った。あのときは世話になったね。
line:aaea8391	He's been way nicer recently.	最近、ずっと優しくなったよ。
line:7363c004	He's great.	彼は素敵だ。
line:c13d4e24	He's hot.	彼、セクシーだよ。
line:675d7e37	He's like. SUPER hung.	その……すっごく大きいんだ、アレが。
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	彼は……とげとげで囲まれた、優しい心って感じ。
line:800c553d	He's my dream dragon.	理想のドラゴンなんだ。
line:4b3c70d9	He's snappy, but tender too!	つっけんどんだけど、優しくもあるんだ！
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	ここに来る、すごくかわいい赤いドレイクだよ！
line:4c11c83e	He's tiny, I like being eye level with him.	小さいから、目の高さが合うのが好き。
line:b9ce2f3c	He's... Considerate. Real understanding too.	気遣ってくれるし、理解もある。
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	あのでかい青いやつとの話、聞いたぞ。ライアンだっけ？
line:ca4a9672	Heeeey Ryan.	やあ、ライアン。
line:24ce37ec	Heeeey.	やあ。
line:bb70c1ed	Heh. Yeah.	へへ。うん。
line:3fa80829	Heh. Yeah. I like you too.	へへ。うん。僕も君が好き。
line:20393ff6	Heh. Yeah. That's me.	へへ。そう、俺だ。
line:ac769d93	heh.. yea.. sorry..	へへ……うん……ごめん……。
line:5246ceea	Heh... alright.	へへ……わかった。
line:75fef5cb	Heh... Damn right.	へへ……その通り。
line:5f0edcb2	Heh... Handsy today, huh?	へへ……今日はよく触るね？
line:2f55b3aa	Hehe	へへ
line:7e991330	Hehe yeah.	へへ、うん。
line:3223473f	Hehe, I'm excited to get into the dating scene again.	へへ、またデートを始めるのが楽しみだ。
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	へへ、ありがとう。二人とも食べられそうなものを入れてきたよ。
line:1a3e2a73	Hell yea	よっしゃ。
line:93f67490	Hell yeah	よっしゃ。
line:389e4033	Hell yeah I did!	そりゃもう！
line:17dbb9b7	Hell yeah.	よっしゃ。
line:4b7b33d9	Hello!	こんにちは！
line:c3d3da41	Hello!	こんにちは！
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	もしもし、<i>「Drag'n'wash フランチャイズ 223 号店」……</i>操作方法はわかった？
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	もしもし、<i>「Drag'n'wash フランチャイズ 223 号店」……</i>最初のお客さんとは、もう話した？
line:b7cce838	Hello.	こんにちは。
line:a8779ebf	Hello?	誰かいる？
line:dd4b34ae	Hello?	誰かいる？
line:1954aab7	Help the developers out please..	開発者への報告にご協力ください……
line:db9c3a5c	Help the developers out please..	開発者への報告にご協力ください……
line:f7f7f5a1	Help the developers out please..	開発者への報告にご協力ください……
line:fc461784	Help the developers out please..	開発者への報告にご協力ください……
line:ee3398a6	Hey big guy.	やあ、でっかいドラゴンさん。
line:0090c7b0	Hey Conrad!	やあ、コンラッド！
line:3d0a5aeb	Hey Conrad!	やあ、コンラッド！
line:a2b4acea	Hey conrad!	やあ、コンラッド！
line:975a629f	Hey Conrad.	やあ、コンラッド。
line:21235886	Hey could you come up front where I can see you?	ねえ、顔が見えるように前に来てくれる？
line:533532c4	Hey fine by me!	おう、俺は構わないぜ！
line:1538bc7e	Hey good lookin'	よう、いい男。
line:0121c874	Hey hey. Glad you're open.	ようよう。営業しててよかった。
line:71b651dd	Hey I have something to say!	ねえ、話したいことがあるんだ！
line:0d4e0ecf	Hey kobold!	やあ、コボルト！
line:af3f02c9	Hey Ryan, what do you have there?	やあ、ライアン。何を持ってるの？
line:6374414d	Hey thanks for being here for me...	なあ、そばにいてくれてありがとう……。
line:bf5ff483	Hey there, happy to be back.	やあ、また来られてうれしい。
line:c38b7fa6	Hey there, Ryan!	やあ、ライアン！
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	なあ、手を使うのは、あとにしない？
line:1b6c7f75	Hey there.	やあ。
line:5dacf226	Hey there.	こんにちは。
line:82698bd1	Hey there.	やあ。
line:ab3a5d9c	Hey there.	よう。
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	なあ、俺とライアンって、<i>本当に</i>うまくいくと思う？
line:04501155	Hey uh, I just need a cleaning.	なあ、その、洗ってほしいだけなんだ。
line:2a29842a	Hey uh... Not now.	なあ、その……今はやめて。
line:8caa3196	Hey uhm, thanks once again.	ねえ、その、改めてありがとう。
line:5c7a9105	Hey!	やあ！
line:eed2cc64	Hey!	やあ！
line:2f3f5508	Hey! He's just... 'vertically challenged'.	ちょっと！ 彼はただ……「高さが控えめ」なんだ。
line:55bb78d1	Hey! I'm here for a wash.	やあ！ 洗ってもらいに来た。
line:33480903	Hey, Alexander!	やあ、アレクサンダー！
line:21fcef4f	Hey, Alexander.	やあ、アレクサンダー。
line:14598ca6	Hey, big guy!	やあ、でっかいドラゴンさん！
line:e7353d24	Hey, I've got a question for you.	なあ、聞きたいことがある。
line:674877e5	Hey, nothin' wrong with asking!	なあ、聞いたっていいだろ！
line:d2589856	Hey, welcome back!	いらっしゃい、また来てくれたんだ！
line:0d3e4054	Hey.	ねえ。
line:aa0dda7b	Hey.	ねえ。
line:7f2e2736	Hey... little guy!	やあ……ちっちゃいコボルトさん！
line:933efa6d	Hi again!	また来たよ！
line:873a2b9a	Hi again..	また来たよ……。
line:83ac5b68	Hi Conrad.	やあ、コンラッド。
line:050efd1a	Hi, Ryan!	やあ、ライアン！
line:06ed6aea	Hiiiii! Hiii!	やっほー！ やっほー！
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	今は職員休憩室で肉体を再構成している。
line:6bd91ca7	Hm, I think I'll pass on the mount.	うーん、マウントは遠慮しようかな。
line:370d719b	Hm?	ん？
line:3c3ddd0c	Hm?	ん？
line:44658d73	Hmm...	うーん……。
line:bf059ff3	Hmm...	うーん……。
line:730b1ca4	Hmm?	んん？
line:fc571337	Hmmm, maybe something else?	うーん、別のものは？
line:19207e44	Hold on a little longer for me?	もう少し我慢してくれる？
line:f2ae89c4	Honestly, I'm surprised how nice this is.	正直、こんなに心地よいとは思わなかった。
line:a2ff0176	Hope it went well.	うまくいったといいな。
line:b17360a0	Hope that's alright?	迷惑じゃないかな？
line:ae08853f	Hope you're doing alright!	元気にしてるといいな！
line:e1fa2461	Hopefully! I'll go get the gate.	そうだね！ 門を開けてくる。
line:99931b37	Hopefully.	たぶん。
line:d9c91bca	How about you though? have you been seeing anyone?	君はどう？ 誰かと付き合ってる？
line:4ec92454	How about you? Anyone exciting?	君はどう？ 気になる人は？
line:86bde306	How are you with seafood?	シーフードは好き？
line:7fb611c9	How come you brought this all in?	どうしてこんなに持ってきてくれたの？
line:af0d0972	How come you're covered in ink?	どうしてインクまみれなの？
line:e385b7f3	How did it go?	どうだった？
line:c0161bbc	How did it taste?	どんな味だった？
line:262b262e	how do I get in?	どうやって入ればいい？
line:676b0638	how do I get in?	どうやって入ればいい？
line:8308bb09	How do I look?	どう、俺の姿？
line:4f172746	How do you even digest that?	そんなもの、どうやって消化するの？
line:28d390ac	How so?	どんなふうに？
line:4ef9fe65	How so?	どんなふうに？
line:ea66b5af	How so?	どんなふうに？
line:4b29790b	How was the sex.	セックスはどうだった？
line:7736270c	How was your date with Conrad?	コンラッドとのデートはどうだった？
line:18d418ab	However, it's ornamental! My family crest. You see...	だが、これは装飾品だ！ 我が家の紋章でね……
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	だが、私の<i>評判</i>は、イグウィクスの儚い肉体とは違って長く残る。
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	だが、見た目にふさわしい振る舞いを求められる。かなりの重圧だ。
line:d2baf9e2	However...	ところが……
line:fb8401c3	Huff...	はあ……。
line:b54ee04d	huff... Thank you for that.	はあ……ありがとう。
line:16420ca7	Huff... Thanks for that.	はあ……ありがとう。
line:45507089	Huff... That was nice... Made a bit of a mess though.	はあ……よかった……ちょっと汚しちゃったけど。
line:ae83cfb6	huh...?	え……？
line:0c78b56b	Huh?	え？
line:e96114a2	Huh? ofcourse not!	え？ そんなわけないよ！
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>ここへ来る途中</i>でインク壺をこぼしたのだと<i>思う</i>。実に不注意だった！
line:d37175c7	I act tough but am a small dragon...	強がってるけど、俺は小さなドラゴンなんだ……。
line:b4e27683	I agree	僕もそう思う。
line:68ebf07b	I allowed him, as my stature provides ample height.	私は背が高いから、使わせてやったのだ。
line:a051821a	I already feel a lot better.	もう、ずいぶん楽になった。
line:49bfbfbe	I already have spot at the club reserved.	クラブの席も、もう予約してある。
line:14ff4edd	I always do~	いつもだよ。
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	いつも君に会うのが楽しみだよ。門を開けてくる。
line:52bf5ede	I am THE kobold. Yip!	僕こそ、そのコボルトだよ。きゅっ！
line:141c006f	I am too.	僕もそうだよ。
line:363f6f6a	I am too.	僕もそうだよ。
line:405b9622	I am too.	俺もだよ。
line:d4c5faea	I am too.	俺もだよ。
line:556897bf	I am! Even better now that you're here.	元気だよ！ 君が来て、もっと元気になった。
line:e499b2cc	I am.	ああ。
line:5ec8bb55	I believe that's in part because of you.	君のおかげでもあると思う。
line:9883786d	I booked the night.	一晩予約してあるから。
line:eae85bf9	I broke up with my partner...	恋人と別れたんだ……。
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	スイカとパンとブドウ、それからいろいろ持ってきた。
line:e8aa18f4	I can digest pretty much anything.	僕は、ほとんど何でも消化できる。
line:7f543c2a	I can let loose whenever you are ready	お前がよければ、いつでも出せる。
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	イグウィクスがこんな失敗をするとは！
line:e051a79e	I consider you a good friend too	僕も君をいい友達だと思ってる。
line:f382336f	I could get us the <i>nicest</i> spots for their show.	ショーの<i>最高の</i>席を取ってやれる。
line:2602b8c6	I could use a wash.	洗ってもらいたいな。
line:c66153d3	I couldn't help but notice the... device over there.	あそこにある……器具が気になってね。
line:b71f0756	I decided to try baking.	お菓子作りを試してみたんだ。
line:e62b989c	I decided to try baking.	お菓子作りを試してみたんだ。
line:efea7148	I decided to try baking.	お菓子作りを試してみたんだ。
line:98f800d3	I didn't know anyone could like me that much so easily.	そんなにすんなり僕を好きになってくれる人がいるなんて。
line:4116f001	I didn't know what the button did.	そのボタンが何なのか知らなかった。
line:7a5c7f54	I didn't mean to fluster you!	慌てさせるつもりじゃなかったんだ！
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	好きな色だよ。自分の体の色とは関係ないと思うが。
line:f9c800f2	I do!	思うよ！
line:ad9c1ada	I do. But, what happened?	あるけど、何があったの？
line:a45ccf3a	I don't believe I can hold back any longer	これ以上は、もう我慢できそうにない。
line:8c6e1cd3	I don't get it! Why do I have to act this way?	わかんねえよ！ なんで俺はこうなんだ？
line:cc4e48a3	I don't know where they went but I feel dirty again.	あの人がどこへ行ったのかわからないけど、また汚れちゃった。
line:71127249	I don't mean to be rude, but I must decline	失礼に聞こえたらすまないが、遠慮させてもらう。
line:f5696cc4	I don't need to tell you.	言う必要ないだろ。
line:878fc94c	I don't understand..	わからない……。
line:4f3d31f8	I don't want your pitty!	同情なんかいらない！
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	多くの人の人生に、よい影響を与えられるのがうれしい。
line:14653182	I enjoy parts of it. The respect is pleasant...	気に入っている面もある。敬意を払われるのは心地よい……
line:bd4bb1b9	I enjoy that I do not fear failure around you.	君のそばでは失敗を恐れずに済む。それがうれしい。
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	君が手で軽くたたいて、どうすればいいか教えてくれるのが好きだ。
line:6db406b4	I enjoyed this quite a lot.	とても楽しめた。
line:e838533b	I feel as I could say anything to you.	君には何でも話せる気がする。
line:9b9567ec	I feel much better.	ずっと楽になった。
line:ed6be68f	I feel spotless as always.	いつもどおり、ピカピカだ。
line:938be2fb	I forget the ignorance of a layman. I apologize.	専門外の者にはわからないのだったね。失礼した。
line:63837f22	I forgot to bite into it so... Nothing?	かむのを忘れたから……味はなかったかな？
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	別れたあとなら、そう感じるのもわかるよ。
line:adf1550f	I give my other bipedal friends rides all the time.	他の二足歩行の友達も、よく乗せてる。
line:9a68366f	I got a mount.	マウントを買ったよ。
line:78a54cae	I got back home a bit dirty. And she yelled at me.	僕が少し汚れて帰ったら、怒鳴られた。
line:22a9094a	I guess so!	そういうことかな！
line:28d6c0aa	I hate that I'm always getting into situations like this.	いつもこんなことになるのが嫌なんだ。
line:366a7f73	I have a question.	聞きたいことがある。
line:82b63c18	I have something to say!	話したいことがあるんだ！
line:fd68807c	I have to say, you did as good a job as private washers.	専属の洗い手に引けを取らない腕前だ。
line:761f413a	I heard a loud bang	大きな爆発音がしたんだ。
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	大きな爆発音がしてね。イグウィクスは助からなかったと思う。
line:7ede5030	I heard there was kobolds down here that could wash me up?	ここに体を洗ってくれるコボルトがいるって聞いたんだけど？
line:efb2d4af	I heard there were kobolds down here that could wash me up?	ここに体を洗ってくれるコボルトがいるって聞いたんだけど？
line:2f9b499a	I honestly don't know how you are doing that.	正直、どうやってるのかわからない。
line:6f5dbc90	I hope he's okay too.	彼が無事だといいね。
line:cd0197ed	I hope I can learn from that.	俺も見習えたらいいな。
line:cf50dbcc	I hope it all works out.	うまくいくといいな。
line:b2dfad3e	I hope so.	うまくいくといいね。
line:0477b0d7	I hope so. I really want a fresh start with someone.	だといいな。誰かと新しくやり直したいんだ。
line:7429dab7	I hope that you'll help me prove them wrong!	違うって証明するのを手伝ってくれるといいな！
line:be5feb3e	I hope things get better.	よくなるといいね。
line:114ac9a0	I hope you're right.	そうだといいな。
line:06744c7e	I just don't like that she takes it out on me.	ただ、それを僕にぶつけられるのが嫌なんだ。
line:1fb02179	I just don't like that she takes it out on me.	ただ、それを僕にぶつけられるのが嫌なんだ。
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	さっと洗ってほしいだけ……マウントも使えたらうれしいけど。
line:95ff1bed	I just wish for you to ask me a question. Any question.	ただ、質問してほしいんだ。何でもいい。
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	忙しいのはわかってたから、デートを君のところに持ってきた！
line:2461773d	I knew you'd have my back	君なら味方してくれると思った。
line:6a671440	I know a decent equine-kin place by the pier.	桟橋の近くに、いい馬族料理の店がある。
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	少し短気で、お礼を忘れることがあるからね。
line:83c55e2e	I know things can be tough.	大変なこともあるよね。
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	店を閉めないといけないよね。住所を渡すから、そこで会おう？
line:ded99a0c	I know, I'll reserve your spot!	わかってる。席を取っておく！
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	わかっている。だが、時々でも心を開ける相手がいると……
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	わかってる。こんな話を君にぶつけるべきじゃないよね。
line:875048ca	I know. I know.	わかっている。わかっているとも。
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	君の迷いのなさが好きだ。洗うことに関してだけだとしても。
line:46061aae	I like it! I think you'd enjoy it too.	僕は好き！ 君も気に入ると思う。
line:f4ad8ea6	I like taking care of you.	君の世話をするの、好きだよ。
line:8ffedb47	I like the mount you chose. Mind grabbing it?	お前が選んだマウント、気に入った。持ってきてくれる？
line:5c86951f	I like you a lot.	君のことが大好き。
line:a91980fc	I like you for who you are.	ありのままの君が好きだから。
line:bdca3e1b	I like... him.	僕は……彼が好き。
line:2b65bf83	I love bubbles, they tickle!	泡、大好き。くすぐったい！
line:f8a4f404	I mean it. Really.	本心だよ。本当に。
line:ae719afc	I need to be better. I <i>want </i>to be better.	変わらなきゃ。<i>変わりたい</i>んだ。
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	ピカピカにしてくれよ。それがお前の仕事だろ。<size=70%>はは。
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	こんな恥ずかしいことを誰かに打ち明けるとは思わなかった。
line:0c986dec	I never expected you to be the type to be so messy!	こんなに汚すタイプだとは思わなかった！
line:95db900b	I never miss a spot.	洗い残しはしないよ。
line:d620d41a	I never thought someone like him would be my type...	あいつみたいなのが好みだとは思わなかった……。
line:67592de1	I probably need to head out though.	そろそろ帰らなきゃな。
line:e41c6dc5	I really do hope it all works out!	本当にうまくいくといいな！
line:a722aada	I really think it was this time...	今回は本当に俺が悪かったと思う……。
line:e80e5edd	I see what you're doing, thank you.	なるほど、そういうことか。ありがとう。
line:cc6ec337	I see..	なるほど……
line:d57520b1	I seem to have gotten myself covered in ink!	どうやらインクまみれになってしまった！
line:3b161cf3	I still need more!	まだ足りない！
line:47dc71f3	I suppose I understand disliking the mess it may cause.	汚れるのが嫌だというなら、わかる気もする。
line:234ccfda	I suppose it depends on the circumstances.	状況によるんじゃないかな。
line:910706c0	I think a movie could be fun!	映画も楽しそう！
line:99bbb171	I think he was in a bad environment. He's doing better now.	前は環境が悪かったんだと思う。今はよくなってる。
line:9247b7a0	I think he'd like the new you!	今の君なら、きっと気に入ってくれるよ！
line:f4982dcd	I think he's got a crush on me.	俺のこと、好きなんじゃないかな。
line:fc6fdd10	I think I can still feel some explosion grime on me...	まだ爆発の汚れがついてる気がする……。
line:4efc873f	I think I like being taken care of?	私は世話をされるのが好きなのかもしれない。
line:f5d36d9a	I think I might be close..	もうすぐかもしれない……。
line:52fc4e08	I think I'd like that!	それ、いいかも！
line:5c78099a	I think I'd like to meet him!	会ってみたいな！
line:14e0edf6	I think I'd like to try!	試してみたい！
line:164df75a	I think I'd like to use it?	使ってみたい、と思うのだが？
line:4f6168aa	I think I'd like to use it?	使ってみたい、と思うのだが？
line:ab314624	I think I'd like to?	使ってみたい……かな？
line:170c6aa3	I think I'd like you to be that someone aswell.	僕も、君がその相手だったらいいと思う。
line:8f46bb17	I think I've got it!	わかったと思う！
line:a5e128e0	I think she's upset about something else...	別のことで怒ってるんだと思う……。
line:bc2545e7	I think she's upset about something else...	別のことで怒ってるんだと思う……。
line:335c5156	I think so!	そう思う！
line:3292625e	I think that would make a decent place! They put on good shows every night.	いい場所だと思う！ 毎晩、素敵なショーをやってる。
line:eaafe671	I think you got every spot!	全部洗えたと思うよ！
line:1760e5d5	I think you got every spot.	全部洗えたと思う。
line:341175f7	I think you got every spot.	全部洗えたと思う。
line:770e7473	I think you got every spot.	全部洗えたと思う。
line:f4a8f7fc	I think you helped him a lot more than you realize.	君が思っている以上に、彼を助けたと思う。
line:f28fd15d	I think you missed a few spots still...	まだ洗い残しがあると思うんだけど……
line:77509e74	I think you're cool too. Self improvement is hard.	君もいいやつだと思うよ。自分を変えるのは大変だもん。
line:763c6a82	I think you're good looking.	格好いいと思うよ。
line:69e7dbb3	I think you're pretty cool, Conrad.	君は結構いいやつだと思うよ、コンラッド。
line:9c393f61	I think you're special too.	僕にとっても、君は特別だよ。
line:7d5ae3b4	I usually make do with a hose down at home...	普段は家でホースをかけるだけなんだ……。
line:c4fc9b28	I wanna talk face to face!	顔を見て話したい！
line:548dc375	I want to be more open. It feels good.	もっと素直になりたい。気持ちがいいから。
line:e02f464d	I was helping the alchemist reach a high shelf	錬金術師が高い棚に手を伸ばすのを手伝っていたんだ。
line:fa97376e	I was helping the alchemist reach a high shelf	錬金術師が高い棚に手を伸ばすのを手伝っていたのだ。
line:bb015b1b	I was romping around the forest	森で走り回ってたんだ。
line:78e2cb13	I was thinking about what you said,	君が言ってたこと、考えてたんだ。
line:b8282714	I was thinking.	考えていたんだ。
line:ca616238	I was thinking. We could go out some time next week?	来週あたり、出かけないかと思って。
line:a13d76ec	I was thinking...	考えていたのだが……
line:c1a4edf0	I wasn't making her happy either.	僕も彼女を幸せにできてなかった。
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	わざわざ人目を避けて洗いに来たんだ。尾行されていないことも確かめた。
line:db5cd152	I went out with some friends.	友達と出かけてきた。
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	倍払おう。いや、三倍だ。君にしか頼めない！
line:0c31345e	I will, thanks.	そうする。ありがとう。
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	もちろん。今日はさっと洗って、マウントも使いたい。
line:399457b7	I wish it was easy as it is in movies.	映画みたいに簡単だったらいいのに。
line:2185f08c	I won't.	話さないよ。
line:45950848	I would like that!	そうしたい！
line:099ec7fd	I would love to.	ぜひ、そうしたい。
line:e6006cd6	I wouldn't mind!	喜んで！
line:81905be1	I'd like to go out to eat.	食事に行きたい。
line:75b152eb	I'd love to talk more, truly, but class is soon.	本当はもっと話したいが、もうすぐ授業だ。
line:2fe8a558	I'd love to!	ぜひ行きたい！
line:87ba56cc	I'll be back again, yeah?	また来てもいいよね？
line:ca035ef2	I'll be back again. It's nice having you as a friend.	また来よう。君と友達になれてよかった。
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	また近いうちに来るよ。洗ってくれてありがとう。
line:d9f422eb	I'll be waiting at the bar for you tonight!	今夜、バーで待ってる！
line:69dff2ec	I'll be waiting for the gate!	門が開くのを待ってるね！
line:ae4d09f6	I'll be waiting for the gate!	門が開くのを待ってるね！
line:ab616aac	I'll definitely keep this place in mind.	この店、覚えておくよ。
line:b122441b	I'll get one ordered I promise!	必ず注文するよ、約束！
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	では、そろそろ失礼する。洗ってくれてありがとう。
line:707d2693	I'll get out of your scales...	じゃあ、邪魔しないうちに帰るよ……。
line:ca480eed	I'll get you two in contact then.	じゃあ、二人を紹介するね。
line:59416000	I'll go get the gate for ya'	門を開けてくるね。
line:6aa7ad03	I'll go get the gate for ya'	門を開けてくるね。
line:2a6d7e7d	I'll go get the gate for you.	門を開けてくるね。
line:8107858d	I'll go get the gate for you.	門を開けてきますね。
line:d1755010	I'll go get the gate for you.	門を開けてくるね。
line:4d692a01	I'll go get the gate.	門を開けてくるね。
line:a75bb519	I'll go get the gate.	門を開けてくるね。
line:8689a124	I'll happily get that for you.	喜んで用意するよ。
line:48e99d7b	I'll have to close up shop first-	先に店を閉めなきゃ……。
line:f2b894e2	I'll have to reserve your spot while you close up.	お前が店を閉めてる間に、席を確保しないと。
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	覚えておこう。何でも対価が必要だと思う癖がついている。
line:956a0f47	I'll make sure to ask him next time I see him.	次に会ったら、必ず聞いてみるね。
line:e64d21e4	I'll make sure to come back.	必ずまた来る。
line:7c9fe106	I'll make sure to get out of your scales.	じゃあ、邪魔しないうちに帰る。
line:87006442	I'll make sure to tell others about this place	みんなにも、この店を教えておくよ。
line:1db78e06	I'll make sure to tell you how it goes, yeah?	どうなったか、必ず報告するね？
line:49b6a167	I'll make sure you're <i>spotless.	<i>汚れ一つないようにするよ。
line:96981b61	I'll manage.	何とかなるよ。
line:9aa97614	I'll need this to be swift, students won't teach themselves.	手早く頼む。学生は放っておいても学ばないのでね。
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	イグウィクスを蘇生しなければ。なんと恥ずかしい！
line:90a9a98e	I'll see you next time I come in, yeah?	また洗いに来たとき、会おうね？
line:d0f6a49a	I'll see you next time I come in, yeah?	また洗いに来たとき、会おうね？
line:160bf40f	I'll start prepping for it.	準備を始めるよ。
line:8af64cb8	I'll take care of this, don't you worry.	僕に任せて。心配しないで。
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	あとで話す。今は門を開けてくれる？
line:04c62f9b	I'm <i>spotless</i>.	<i>汚れ一つない</i>。
line:629f8cff	I'm a bit of a big deal around there.	あそこじゃ、俺はちょっとした顔なんだ。
line:d9272031	I'm a dragon.	ドラゴンだから。
line:675e7284	I'm a rule breaker!	僕はルールを破るよ！
line:afcd5586	I'm a... kobold.	僕は……コボルトだよ。
line:5d41b5d6	I'm all dirty still!	まだ汚れてるぞ！
line:2f6eb3c3	I'm all soapy still!	まだ泡だらけだぞ！
line:18707b19	I'm always happy to give you a wash!	いつでも喜んで洗うよ！
line:3b01eb3b	I'm always happy to give you a wash!	いつでも喜んで洗うよ！
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	いつでも喜んで手伝うよ。<i><size=70%>特に大きなドラゴンなら。
line:46c6a3ed	I'm always happy to see you Ryan.	ライアンには、いつ会ってもうれしいよ。
line:75206eee	I'm always happy to see you Ryan.	ライアンには、いつ会ってもうれしいよ。
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	いつでも会えるとうれしいよ。門を開けてくるね。
line:07e5fc05	I'm amazed!	びっくりした！
line:4586d55d	I'm an asshole. I know I am.	俺は嫌なやつだ。わかってる。
line:a6d46685	I'm certain he also finds you pleasant!	彼もきっと君を気に入っている！
line:ef399e26	I'm doing good!	元気だよ！
line:a6c1f2f4	I'm excited for you!	僕も楽しみだよ！
line:94fbdbf0	I'm excited for you. I'll get the gate!	僕も楽しみだよ。門を開けるね！
line:f83e4966	I'm excited to hear about it!	聞くのが楽しみ！
line:bd55b8f4	I'm excited to see them washing down the drain though.	でも、排水口に流れていくのを見るのも楽しみ。
line:24832f01	I'm excited.	楽しみ。
line:69f406a6	I'm excited.	楽しみ。
line:a00f681d	I'm excited.	楽しみ。
line:a0479425	I'm excited.	楽しみ。
line:b5d7d26f	I'm excited.	楽しみ。
line:d66b9155	I'm excited.	楽しみ。
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	君も楽しんでくれているようで、うれしい。
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	彼を気に入ったようでよかった。彼も君を気に入っているだろう。
line:c56ee060	I'm glad you enjoy my crest.	紋章を気に入ってくれてうれしい。
line:f44a1493	I'm glad you trust me.	信用してくれてうれしい。
line:3a2ed5ef	I'm glad you two are working out though.	ともかく、二人がうまくいっていて、うれしい。
line:c0972e81	I'm glad you two are working out.	二人がうまくいっていて、うれしい。
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	自分のためになる決断ができて、よかったと思う。
line:d5a90e1c	I'm glad!	うれしいよ！
line:286fec49	I'm glad.	うれしいよ。
line:42f5fd9d	I'm glad.	うれしいよ。
line:99b6dc81	I'm glad.	うれしいよ。
line:570d4953	I'm happy for you!	よかったな！
line:ac6d5bd3	I'm happy for you!	よかったな！
line:ed5c40ca	I'm happy for you!	よかったな！
