# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Chào chó bự.
line:745c3c12	Gosh!	Trời ơi!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Phải <i>luyện tập</i> cho Ryan, hiểu ý tôi chứ.
line:e3cef2bc	Gotta make sure you're spotless!	Phải đảm bảo anh sạch không tì vết!
line:b01b2159	Great, so uh,	Tuyệt, vậy, ừm...
line:43c94954	Grouse as! Excited to see you work!	Đỉnh thật! Mong được xem cậu làm!
line:9de16ee9	Ha!	Ha!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Hà... Đây là chỗ tắm đã nhất mẹ nó luôn.
line:cc6e7856	Hah! There's the mount!	Ha! Cái giá đây rồi!
line:90dd6d9d	Hah, eager as always.	Ha, vẫn nhiệt tình như mọi khi.
line:9542e7a6	Hah, good. Let's break this thing in!	Ha, tốt. Khai trương nó nào!
line:fe21109b	Hah, he seems like the wild type.	Ha, trông anh ấy đúng là kiểu hoang dã.
line:e8bc1d95	Hah, I imagine it would be.	Ha, tôi cũng đoán vậy.
line:acbf628d	Hah, it is a motivator.	Ha, đúng là động lực.
line:65b23418	Hah, okay. I'm game.	Ha, được. Tôi đi.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ha, ừ. Conrad chắc chắn có kinh nghiệm...
line:8b878971	Hah, yeah. He sounds fun.	Ha, ừ. Nghe có vẻ thú vị.
line:e3ed51d9	Hah. Conrad, you look good too.	Ha. Conrad, anh cũng đẹp.
line:f8b2e23b	Hah. Fine.	Ha. Được thôi.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ha. Giá mà có một kobold tắm cho tôi.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ha. Ừ. <size=70%><i>Hay thật, trường dạy tắm rửa còn dạy quay tay cho rồng...
line:50a559bb	Hah... <size=70%> yeah.	Ha... <size=70%>Ừ.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ha... Giờ quay tay cho tôi à? Được thôi.
line:4e920759	Hah... Yeah I'm excited.	Ha... Ừ, tôi háo hức.
line:b36365ce	Hah... Yeah...	Ha... Ừ...
line:b8724c64	Hah... you do like that noise.	Ha... Cậu thích kêu thế thật.
line:c8cde395	Haha, 'Yip' indeed.	Haha, đúng là «chíp».
line:680991cf	Haha, yes. Happy to see you.	Haha, phải. Rất vui được gặp cậu.
line:4c27b031	Haha, you certainly are!	Haha, đúng là cậu rồi!
line:c3a2e14e	Haha, you certainly are!	Haha, đúng là cậu rồi!
line:9ec40945	Haha. 'Yip' to you too.	Haha. Cũng «chíp» lại với cậu nhé.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... Ừ. Tôi không quen khen người khác lắm.
line:44689f21	Happy to be back.	Vui được quay lại.
line:2672f65d	Happy to be here.	Vui được đến đây.
line:192fcb8e	Happy to get it off.	Mừng được rửa sạch.
line:3517b28e	Have a productive day.	Chúc một ngày làm việc hiệu quả.
line:7c1adc57	He called me, we met up. He's really damn nice.	Cậu ấy gọi, chúng tôi gặp nhau. Cậu ấy tốt thật sự.
line:e71f9a0b	HE DIED!?	ÔNG ẤY CHẾT RỒI!?
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Theo tôi hiểu, đã lâu lắm rồi anh ấy không... được quan tâm.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Cậu ấy cứ... biết phải nói gì để tôi tỉnh ra.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Anh ấy thích gọi là «hạn chế chiều cao» hơn... Nhưng đúng.
line:04b29e42	He really is.	Đúng vậy.
line:c7e1b369	He really is.	Đúng vậy.
line:c64bd5ce	He said I was chill, we planned a date...	Cậu ấy bảo tôi dễ chịu, rồi chúng tôi lên kế hoạch hẹn...
line:e8a91447	He's a lot. But, I like it.	Anh ấy hơi dữ dội. Nhưng tôi thích.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Anh ấy là rồng đỏ. Tôi nghĩ hai người sẽ thích nhau!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Ông ấy đã đi làm lại rồi. Cảm ơn cậu giúp xử lý mọi chuyện.
line:aaea8391	He's been way nicer recently.	Gần đây anh ấy tốt hơn nhiều.
line:7363c004	He's great.	Anh ấy tuyệt lắm.
line:c13d4e24	He's hot.	Cậu ấy hấp dẫn lắm.
line:675d7e37	He's like. SUPER hung.	Anh ấy có hàng SIÊU to.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Anh ấy như... một người mềm lòng nằm giữa toàn gai nhọn.
line:800c553d	He's my dream dragon.	Cậu ấy là con rồng trong mơ của tôi.
line:4b3c70d9	He's snappy, but tender too!	Anh ấy hơi cộc, nhưng cũng dịu dàng!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Một con rồng đỏ CỰC KỲ dễ thương hay đến tắm!
line:4c11c83e	He's tiny, I like being eye level with him.	Anh ấy nhỏ, tôi thích được nhìn ngang tầm mắt.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Cậu ấy... chu đáo. Cũng rất thấu hiểu.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Nghe chuyện cậu với anh chàng xanh bự rồi. Ryan nhỉ?
line:ca4a9672	Heeeey Ryan.	Chàoooo Ryan.
line:24ce37ec	Heeeey.	Chàoooo.
line:bb70c1ed	Heh. Yeah.	Heh. Ừ.
line:3fa80829	Heh. Yeah. I like you too.	Heh. Ừ. Tôi cũng thích cậu.
line:20393ff6	Heh. Yeah. That's me.	Heh. Ừ. Tôi đây.
line:ac769d93	heh.. yea.. sorry..	Heh... Ừ... Xin lỗi...
line:5246ceea	Heh... alright.	Heh... Được thôi.
line:75fef5cb	Heh... Damn right.	Heh... Chuẩn luôn.
line:5f0edcb2	Heh... Handsy today, huh?	Heh... Hôm nay thích động tay nhỉ?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, ừ.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, tôi mong quay lại hẹn hò lắm.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, cảm ơn. Có mấy món chắc hợp với cả hai ta.
line:1a3e2a73	Hell yea	Đệt, tuyệt!
line:93f67490	Hell yeah	Đệt, được đấy.
line:389e4033	Hell yeah I did!	Đương nhiên rồi, đệt!
line:17dbb9b7	Hell yeah.	Đệt, tuyệt.
line:4b7b33d9	Hello!	Xin chào!
line:c3d3da41	Hello!	Xin chào!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Xin chào, <i>«chi nhánh Drag'n'wash số 223»...</i> Bạn đã biết cách tương tác chưa?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Xin chào, <i>«chi nhánh Drag'n'wash số 223»...</i> Bạn đã nói chuyện với vị khách đầu tiên chưa?
line:b7cce838	Hello.	Xin chào.
line:a8779ebf	Hello?	Có ai không?
line:dd4b34ae	Hello?	Có ai không?
line:1954aab7	Help the developers out please..	Hãy giúp nhà phát triển nhé...
line:db9c3a5c	Help the developers out please..	Hãy giúp nhà phát triển nhé...
line:f7f7f5a1	Help the developers out please..	Hãy giúp nhà phát triển nhé...
line:fc461784	Help the developers out please..	Hãy giúp nhà phát triển nhé...
line:ee3398a6	Hey big guy.	Chào anh bạn bự.
line:0090c7b0	Hey Conrad!	Chào Conrad!
line:3d0a5aeb	Hey Conrad!	Chào Conrad!
line:a2b4acea	Hey conrad!	Này Conrad!
line:975a629f	Hey Conrad.	Chào Conrad.
line:21235886	Hey could you come up front where I can see you?	Này, cậu ra phía trước để tôi thấy nhé?
line:533532c4	Hey fine by me!	Này, tôi không ngại!
line:1538bc7e	Hey good lookin'	Chào người đẹp.
line:0121c874	Hey hey. Glad you're open.	Này này. Mừng là cậu mở cửa.
line:71b651dd	Hey I have something to say!	Này, tôi muốn nói vài câu!
line:0d4e0ecf	Hey kobold!	Chào kobold!
line:af3f02c9	Hey Ryan, what do you have there?	Này Ryan, cậu có gì đó?
line:6374414d	Hey thanks for being here for me...	Này, cảm ơn vì ở bên tôi...
line:bf5ff483	Hey there, happy to be back.	Chào, vui được quay lại.
line:c38b7fa6	Hey there, Ryan!	Chào cậu, Ryan!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Này... Chuyện «động tay» để sau được không?
line:1b6c7f75	Hey there.	Chào cậu.
line:5dacf226	Hey there.	Chào cậu.
line:82698bd1	Hey there.	Chào cậu.
line:ab3a5d9c	Hey there.	Chào.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Này, cậu nghĩ tôi với Ryan <i>thật sự</i> sẽ đến được với nhau chứ?
line:04501155	Hey uh, I just need a cleaning.	Này, ừm, tôi chỉ cần tắm.
line:2a29842a	Hey uh... Not now.	Này, ừm... Không phải bây giờ.
line:8caa3196	Hey uhm, thanks once again.	Này, ừm, cảm ơn lần nữa nhé.
line:5c7a9105	Hey!	Chào!
line:eed2cc64	Hey!	Chào!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Này! Anh ấy chỉ... «hạn chế chiều cao» thôi.
line:55bb78d1	Hey! I'm here for a wash.	Chào! Tôi đến tắm.
line:33480903	Hey, Alexander!	Chào Alexander!
line:21fcef4f	Hey, Alexander.	Chào ông, Alexander.
line:14598ca6	Hey, big guy!	Chào anh bạn bự!
line:e7353d24	Hey, I've got a question for you.	Này, tôi có câu hỏi.
line:674877e5	Hey, nothin' wrong with asking!	Này, hỏi thì có gì sai!
line:d2589856	Hey, welcome back!	Chào, mừng ông quay lại!
line:0d3e4054	Hey.	Chào cậu.
line:aa0dda7b	Hey.	Này.
line:7f2e2736	Hey... little guy!	Chào... anh bạn nhỏ!
line:933efa6d	Hi again!	Lại chào cậu!
line:873a2b9a	Hi again..	Lại chào cậu...
line:83ac5b68	Hi Conrad.	Chào Conrad.
line:050efd1a	Hi, Ryan!	Chào Ryan!
line:06ed6aea	Hiiiii! Hiii!	Chàoooo! Chào!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Cơ thể ông ấy đang tái tạo trong phòng nghỉ giảng viên.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Ừm, chắc tôi không dùng giá giao phối đâu.
line:370d719b	Hm?	Hửm?
line:3c3ddd0c	Hm?	Hửm?
line:44658d73	Hmm...	Hừm...
line:bf059ff3	Hmm...	Hừm...
line:730b1ca4	Hmm?	Hử?
line:fc571337	Hmmm, maybe something else?	Hừm, hay món khác?
line:19207e44	Hold on a little longer for me?	Ông cố giữ thêm chút vì tôi nhé?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Thật tình, không ngờ lại dễ chịu thế này.
line:a2ff0176	Hope it went well.	Mong là mọi chuyện tốt đẹp.
line:b17360a0	Hope that's alright?	Hy vọng không sao chứ?
line:ae08853f	Hope you're doing alright!	Mong cậu vẫn ổn!
line:e1fa2461	Hopefully! I'll go get the gate.	Mong vậy! Tôi mở cổng.
line:99931b37	Hopefully.	Hy vọng thế.
line:d9c91bca	How about you though? have you been seeing anyone?	Còn cậu thì sao? Có đang gặp ai không?
line:4ec92454	How about you? Anyone exciting?	Còn anh? Có ai thú vị không?
line:86bde306	How are you with seafood?	Cậu thấy hải sản thế nào?
line:7fb611c9	How come you brought this all in?	Sao cậu mang tất cả đến đây?
line:af0d0972	How come you're covered in ink?	Sao ông dính đầy mực vậy?
line:e385b7f3	How did it go?	Thế nào rồi?
line:c0161bbc	How did it taste?	Vị thế nào?
line:262b262e	how do I get in?	Làm sao để vào trong?
line:676b0638	how do I get in?	Làm sao để vào trong?
line:8308bb09	How do I look?	Trông tôi thế nào?
line:4f172746	How do you even digest that?	Sao cậu tiêu hóa được thế?
line:28d390ac	How so?	Cụ thể là thế nào?
line:4ef9fe65	How so?	Cụ thể là thế nào?
line:ea66b5af	How so?	Nghĩ thế nào?
line:4b29790b	How was the sex.	Làm tình thế nào?
line:7736270c	How was your date with Conrad?	Buổi hẹn với Conrad thế nào?
line:18d418ab	However, it's ornamental! My family crest. You see...	Nhưng nó là đồ trang trí! Gia huy của nhà tôi. Cậu biết đấy...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Tuy nhiên, <i>hình ảnh</i> của tôi lâu bền hơn nhiều so với những cơ thể phù du của Igwyx.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Nhưng sự tôn trọng ấy đi kèm kỳ vọng tôi phải cư xử đúng với vẻ ngoài. Căng thẳng vô cùng.
line:d2baf9e2	However...	Tuy nhiên...
line:fb8401c3	Huff...	Phù...
line:b54ee04d	huff... Thank you for that.	Phù... Cảm ơn về chuyện đó.
line:16420ca7	Huff... Thanks for that.	Phù... Cảm ơn nhé.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Phù... Đã thật... Nhưng hơi bừa bộn rồi.
line:ae83cfb6	huh...?	Hả...?
line:0c78b56b	Huh?	Hả?
line:e96114a2	Huh? ofcourse not!	Hả? Tất nhiên không phải!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	Tôi <i>nghĩ</i> chắc đã làm đổ lọ mực <i>trên đường đến đây</i>. Vụng về thật!
line:d37175c7	I act tough but am a small dragon...	Tôi tỏ ra cứng rắn, nhưng chỉ là một con rồng nhỏ...
line:b4e27683	I agree	Tôi đồng ý.
line:68ebf07b	I allowed him, as my stature provides ample height.	Tôi cho phép, vì tầm vóc của tôi đủ cao.
line:a051821a	I already feel a lot better.	Tôi đã thấy đỡ hơn nhiều rồi.
line:49bfbfbe	I already have spot at the club reserved.	Tôi đặt chỗ ở câu lạc bộ rồi.
line:14ff4edd	I always do~	Lúc nào tôi chẳng hăng thế~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Lúc nào tôi cũng mong gặp cậu. Tôi mở cổng.
line:52bf5ede	I am THE kobold. Yip!	Tôi chính là KOBOLD ĐÓ. Chíp!
line:141c006f	I am too.	Tôi cũng vậy.
line:363f6f6a	I am too.	Tôi cũng vậy.
line:405b9622	I am too.	Tôi cũng vậy.
line:d4c5faea	I am too.	Tôi cũng vậy.
line:556897bf	I am! Even better now that you're here.	Tôi ổn! Ông đến thì còn tốt hơn.
line:e499b2cc	I am.	Có.
line:5ec8bb55	I believe that's in part because of you.	Tôi nghĩ một phần là nhờ cậu.
line:9883786d	I booked the night.	Tôi thuê cả đêm rồi.
line:eae85bf9	I broke up with my partner...	Tôi chia tay bạn gái rồi...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Tôi mang dưa hấu, bánh mì, nho và vài thứ nữa.
line:e8aa18f4	I can digest pretty much anything.	Tôi tiêu hóa được gần như tất cả.
line:7f543c2a	I can let loose whenever you are ready	Tôi có thể xả ra khi cậu sẵn sàng.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Không thể tin Igwix lại mắc lỗi thế này!
line:e051a79e	I consider you a good friend too	Tôi cũng coi cậu là bạn thân.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Tôi lấy được chỗ <i>đẹp nhất</i> để xem biểu diễn.
line:2602b8c6	I could use a wash.	Tôi cần tắm một chút.
line:c66153d3	I couldn't help but notice the... device over there.	Tôi không thể không chú ý đến... thiết bị đằng kia.
line:b71f0756	I decided to try baking.	Tôi quyết định thử làm bánh.
line:e62b989c	I decided to try baking.	Tôi quyết định thử làm bánh.
line:efea7148	I decided to try baking.	Tôi quyết định thử làm bánh.
line:98f800d3	I didn't know anyone could like me that much so easily.	Tôi không biết ai có thể dễ dàng thích mình đến vậy.
line:4116f001	I didn't know what the button did.	Tôi không biết nút đó làm gì.
line:7a5c7f54	I didn't mean to fluster you!	Tôi không định làm cậu bối rối!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Tôi thích màu đó. Dù tôi nghĩ chẳng liên quan đến màu da của mình.
line:f9c800f2	I do!	Có chứ!
line:ad9c1ada	I do. But, what happened?	Có. Nhưng đã xảy ra chuyện gì?
line:a45ccf3a	I don't believe I can hold back any longer	Tôi không nghĩ mình nhịn thêm được.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Tôi không hiểu! Sao cứ phải cư xử thế này?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Không biết nhà giả kim ấy đi đâu, nhưng tôi lại thấy bẩn.
line:71127249	I don't mean to be rude, but I must decline	Tôi không có ý bất lịch sự, nhưng phải từ chối.
line:f5696cc4	I don't need to tell you.	Tôi không phải kể cho cậu.
line:878fc94c	I don't understand..	Tôi không hiểu...
line:4f3d31f8	I don't want your pitty!	Tôi không cần cậu thương hại!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Tôi thích việc mình góp phần tích cực vào cuộc sống của nhiều cá nhân.
line:14653182	I enjoy parts of it. The respect is pleasant...	Có những mặt tôi thích. Được tôn trọng thì dễ chịu...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Tôi thích việc ở bên cậu, tôi không sợ thất bại.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Tôi thích khi cậu vỗ tay lên người để bảo tôi phải làm gì.
line:6db406b4	I enjoyed this quite a lot.	Tôi rất thích chuyện này.
line:e838533b	I feel as I could say anything to you.	Tôi thấy mình có thể nói với cậu bất cứ điều gì.
line:9b9567ec	I feel much better.	Tôi thấy khá hơn nhiều.
line:ed6be68f	I feel spotless as always.	Lúc nào cũng thấy sạch không tì vết.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Tôi quên mất người ngoài ngành không biết chuyện này. Xin lỗi.
line:63837f22	I forgot to bite into it so... Nothing?	Tôi quên cắn, nên... chẳng có vị gì?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Ừ, tôi hiểu sau chia tay cậu sẽ cảm thấy thế.
line:adf1550f	I give my other bipedal friends rides all the time.	Tôi vẫn thường chở các bạn hai chân khác.
line:9a68366f	I got a mount.	Tôi có giá giao phối rồi.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Tôi về nhà hơi bẩn. Thế là cô ấy quát tôi.
line:22a9094a	I guess so!	Chắc vậy!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Tôi ghét việc mình cứ vướng vào chuyện thế này.
line:366a7f73	I have a question.	Tôi có một câu hỏi.
line:82b63c18	I have something to say!	Tôi có chuyện muốn nói!
line:fd68807c	I have to say, you did as good a job as private washers.	Phải nói là cậu làm tốt không kém người tắm rửa riêng.
line:761f413a	I heard a loud bang	Tôi nghe tiếng nổ lớn.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Tôi nghe tiếng nổ lớn. Chắc Igwix không qua khỏi.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Tôi nghe nói dưới này có kobold tắm rửa cho tôi được?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Tôi nghe nói dưới này có kobold có thể tắm rửa cho tôi?
line:2f9b499a	I honestly don't know how you are doing that.	Thật lòng tôi không hiểu sao cậu làm được.
line:6f5dbc90	I hope he's okay too.	Tôi cũng mong anh ấy ổn.
line:cd0197ed	I hope I can learn from that.	Mong tôi học được điều đó.
line:cf50dbcc	I hope it all works out.	Mong mọi chuyện suôn sẻ.
line:b2dfad3e	I hope so.	Tôi hy vọng vậy.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Mong thế. Tôi thật sự muốn bắt đầu lại với ai đó.
line:7429dab7	I hope that you'll help me prove them wrong!	Mong cậu giúp tôi chứng minh không phải!
line:be5feb3e	I hope things get better.	Mong mọi chuyện sẽ khá hơn.
line:114ac9a0	I hope you're right.	Mong cậu nói đúng.
line:06744c7e	I just don't like that she takes it out on me.	Tôi chỉ không thích bị cô ấy trút giận.
line:1fb02179	I just don't like that she takes it out on me.	Tôi chỉ không thích bị cô ấy trút giận.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Tôi chỉ cần tắm nhanh... Có lẽ dùng giá một chút cũng được.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Tôi chỉ muốn cậu hỏi tôi một câu. Câu nào cũng được.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Biết cậu bận quá nên tôi mang buổi hẹn đến luôn!
line:2461773d	I knew you'd have my back	Tôi biết cậu sẽ bênh tôi.
line:6a671440	I know a decent equine-kin place by the pier.	Tôi biết một quán của tộc ngựa khá ngon gần bến tàu.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Tôi biết anh ấy hơi nóng tính và hay quên cảm ơn.
line:83c55e2e	I know things can be tough.	Tôi biết đôi khi mọi chuyện rất khó khăn.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Tôi biết cậu cần đóng tiệm. Tôi sẽ gửi địa chỉ, rồi gặp nhau ở đó nhé?
line:ded99a0c	I know, I'll reserve your spot!	Tôi biết, tôi giữ chỗ cho cậu!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Tôi biết. Nhưng được mở lòng với ai đó, dù chỉ đôi lúc...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Tôi biết. Tôi biết không nên trút hết lên cậu.
line:875048ca	I know. I know.	Tôi biết. Tôi biết.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Tôi thích sự tự tin của cậu. Dù chỉ là chuyện tắm rửa.
line:46061aae	I like it! I think you'd enjoy it too.	Tôi thích lắm! Chắc cậu cũng thích.
line:f4ad8ea6	I like taking care of you.	Tôi thích chăm sóc ông.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Tôi thích cái giá cậu chọn. Lấy ra nhé?
line:5c86951f	I like you a lot.	Tôi rất thích cậu.
line:a91980fc	I like you for who you are.	Tôi thích con người thật của ông.
line:bdca3e1b	I like... him.	Tôi thích... anh ấy.
line:2b65bf83	I love bubbles, they tickle!	Tôi thích bọt, nhột lắm!
line:f8a4f404	I mean it. Really.	Tôi nói thật. Thật lòng.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Tôi cần tốt hơn. Tôi <i>muốn</i> tốt hơn.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Tôi cần sạch bong. Chắc việc của cậu là thế. <size=70%>Ha.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Tôi chưa từng nghĩ mình sẽ tâm sự chuyện đáng xấu hổ thế này với ai.
line:0c986dec	I never expected you to be the type to be so messy!	Tôi không ngờ ông lại để mình bẩn thế này!
line:95db900b	I never miss a spot.	Tôi không bỏ sót chỗ nào.
line:d620d41a	I never thought someone like him would be my type...	Tôi chưa bao giờ nghĩ người như cậu ấy lại là gu của mình...
line:67592de1	I probably need to head out though.	Nhưng chắc tôi phải đi rồi.
line:e41c6dc5	I really do hope it all works out!	Tôi thật sự mong mọi chuyện suôn sẻ!
line:a722aada	I really think it was this time...	Lần này tôi thật sự nghĩ là lỗi của mình...
line:e80e5edd	I see what you're doing, thank you.	Tôi hiểu ý cậu rồi, cảm ơn.
line:cc6ec337	I see..	Ra vậy...
line:d57520b1	I seem to have gotten myself covered in ink!	Hình như tôi làm mình dính đầy mực rồi!
line:3b161cf3	I still need more!	Tôi vẫn cần thêm!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Tôi hiểu vì sao cậu không thích cảnh bẩn thỉu do mưa gây ra.
line:234ccfda	I suppose it depends on the circumstances.	Chắc còn tùy hoàn cảnh.
line:910706c0	I think a movie could be fun!	Tôi nghĩ xem phim sẽ vui!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Tôi nghĩ môi trường trước đây không tốt. Giờ anh ấy khá hơn.
line:9247b7a0	I think he'd like the new you!	Tôi nghĩ cậu ấy sẽ thích con người mới của anh!
line:f4982dcd	I think he's got a crush on me.	Chắc anh ấy thích tôi.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Chắc tôi vẫn còn dính ít bẩn từ vụ nổ...
line:4efc873f	I think I like being taken care of?	Tôi nghĩ mình thích được chăm sóc?
line:f5d36d9a	I think I might be close..	Chắc tôi sắp rồi...
line:52fc4e08	I think I'd like that!	Chắc tôi sẽ thích đấy!
line:5c78099a	I think I'd like to meet him!	Tôi nghĩ mình muốn gặp anh ấy!
line:14e0edf6	I think I'd like to try!	Tôi nghĩ mình muốn thử!
line:164df75a	I think I'd like to use it?	Tôi nghĩ mình muốn dùng?
line:4f6168aa	I think I'd like to use it?	Tôi nghĩ mình muốn dùng?
line:ab314624	I think I'd like to?	Tôi nghĩ mình muốn thử?
line:170c6aa3	I think I'd like you to be that someone aswell.	Tôi nghĩ mình cũng muốn cậu là người đó.
line:8f46bb17	I think I've got it!	Chắc tôi biết rồi!
line:a5e128e0	I think she's upset about something else...	Tôi nghĩ cô ấy bực vì chuyện khác...
line:bc2545e7	I think she's upset about something else...	Tôi nghĩ cô ấy bực vì chuyện khác...
line:335c5156	I think so!	Tôi nghĩ vậy!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Tôi nghĩ chỗ đó hợp đấy! Tối nào cũng có biểu diễn hay.
line:eaafe671	I think you got every spot!	Chắc cậu làm sạch hết rồi!
line:1760e5d5	I think you got every spot.	Chắc cậu đã làm sạch mọi chỗ.
line:341175f7	I think you got every spot.	Chắc cậu đã làm sạch mọi chỗ.
line:770e7473	I think you got every spot.	Chắc cậu đã làm sạch mọi chỗ.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Tôi nghĩ cậu đã giúp anh ấy nhiều hơn cậu tưởng.
line:f28fd15d	I think you missed a few spots still...	Chắc cậu vẫn bỏ sót vài chỗ...
line:77509e74	I think you're cool too. Self improvement is hard.	Tôi cũng thấy anh tuyệt. Thay đổi bản thân đâu dễ.
line:763c6a82	I think you're good looking.	Tôi thấy ông đẹp.
line:69e7dbb3	I think you're pretty cool, Conrad.	Tôi thấy anh khá tuyệt mà, Conrad.
line:9c393f61	I think you're special too.	Tôi cũng thấy anh đặc biệt.
line:7d5ae3b4	I usually make do with a hose down at home...	Bình thường tôi chỉ xịt vòi nước ở nhà cho xong...
line:c4fc9b28	I wanna talk face to face!	Tôi muốn nói chuyện mặt đối mặt!
line:548dc375	I want to be more open. It feels good.	Tôi muốn cởi mở hơn. Cảm giác rất tốt.
line:e02f464d	I was helping the alchemist reach a high shelf	Tôi đang giúp nhà giả kim với tới kệ cao.
line:fa97376e	I was helping the alchemist reach a high shelf	Tôi đang giúp nhà giả kim với tới kệ cao.
line:bb015b1b	I was romping around the forest	Tôi chạy nhảy trong rừng.
line:78e2cb13	I was thinking about what you said,	Tôi nghĩ về lời cậu nói.
line:b8282714	I was thinking.	Tôi đang nghĩ.
line:ca616238	I was thinking. We could go out some time next week?	Tôi nghĩ tuần sau ta có thể đi chơi hôm nào đó?
line:a13d76ec	I was thinking...	Tôi đang nghĩ...
line:c1a4edf0	I wasn't making her happy either.	Cô ấy ở bên tôi cũng chẳng hạnh phúc.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Tôi đã cất công tìm chỗ tắm kín đáo, cứ chắc rằng không ai theo mình.
line:db5cd152	I went out with some friends.	Tôi đi chơi với vài người bạn.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Tôi trả gấp đôi. Gấp ba! Việc này chỉ cậu mới làm được!
line:0c31345e	I will, thanks.	Tôi sẽ ghé, cảm ơn.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Sẽ kể. Tôi chỉ cần tắm nhanh, hôm nay cũng muốn dùng giá.
line:399457b7	I wish it was easy as it is in movies.	Ước gì mọi chuyện dễ như trong phim.
line:2185f08c	I won't.	Tôi không kể đâu.
line:45950848	I would like that!	Tôi thích thế!
