# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Čau, hafane.
line:50a559bb	Hah... <size=70%> yeah.	Ha... <size=70%>Jo.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ha... Teď mi ho vyhoníš? Klidně.
line:4e920759	Hah... Yeah I'm excited.	Ha... Jo, těším se.
line:b36365ce	Hah... Yeah...	Ha... Jo...
line:b8724c64	Hah... you do like that noise.	Ha... Ten zvuk se ti vážně líbí.
line:c8cde395	Haha, 'Yip' indeed.	Haha, vskutku „jip“.
line:680991cf	Haha, yes. Happy to see you.	Haha, ano. Rád vás vidím.
line:4c27b031	Haha, you certainly are!	Haha, to tedy jsi!
line:c3a2e14e	Haha, you certainly are!	Haha, to tedy jsi!
line:9ec40945	Haha. 'Yip' to you too.	Haha. Tobě taky „jip“.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... Jo. Nejsem moc zvyklej někoho chválit.
line:44689f21	Happy to be back.	Jsem rád, že jsem zpátky.
line:2672f65d	Happy to be here.	Jsem rád, že tu jsem.
line:192fcb8e	Happy to get it off.	Rád se ho zbavím.
line:3517b28e	Have a productive day.	Ať vám jde práce od ruky.
line:7c1adc57	He called me, we met up. He's really damn nice.	Zavolal mi a sešli jsme se. Je fakt zatraceně milej.
line:e71f9a0b	HE DIED!?	ON UMŘEL!?
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Podle toho, co jsem pochopil, o něj už dlouho... nikdo moc nestál.
line:de25de6e	He just... Knew what to say to snap me out of all that.	On prostě... věděl, co říct, abych se z toho probral.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Dává přednost výrazu „vertikálně znevýhodněný“... Ale ano.
line:04b29e42	He really is.	To opravdu je.
line:c7e1b369	He really is.	To opravdu je.
line:c64bd5ce	He said I was chill, we planned a date...	Řekl, že jsem v pohodě, a domluvili jsme si rande...
line:e8a91447	He's a lot. But, I like it.	Je ho všude plno. Ale to se mi líbí.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Je to červený drak. Myslím, že byste si padli do oka!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Už je zpátky v práci. Děkuji za všechnu vaši pomoc.
line:aaea8391	He's been way nicer recently.	Poslední dobou je mnohem milejší.
line:7363c004	He's great.	Je skvělý.
line:c13d4e24	He's hot.	Je sexy.
line:675d7e37	He's like. SUPER hung.	Má jako FAKT obrovského ptáka.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Je to jako... velký dobrák obalený ostrými bodlinami.
line:800c553d	He's my dream dragon.	Je to drak mých snů.
line:4b3c70d9	He's snappy, but tender too!	Je kousavý, ale taky něžný!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Chodí sem jeden HROZNĚ roztomilý červený drak!
line:4c11c83e	He's tiny, I like being eye level with him.	Je maličký. Líbí se mi, že si vidíme do očí.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Je... ohleduplnej. A hodně chápavej.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Slyšel jsem o tobě a tom velkým modrým. Ryan, že?
line:ca4a9672	Heeeey Ryan.	Ahoooj, Ryane.
line:24ce37ec	Heeeey.	Čáááu.
line:bb70c1ed	Heh. Yeah.	Heh. Jo.
line:3fa80829	Heh. Yeah. I like you too.	Heh. Jo. Taky tě mám rád.
line:20393ff6	Heh. Yeah. That's me.	Heh. Jo. To jsem já.
line:ac769d93	heh.. yea.. sorry..	Heh... Jo... Promiň...
line:5246ceea	Heh... alright.	Heh... Dobře.
line:75fef5cb	Heh... Damn right.	Heh... To si piš.
line:5f0edcb2	Heh... Handsy today, huh?	Heh... Dneska se mě rád dotýkáš, co?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, jo.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, těším se, až zase začnu randit.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, díky. Jsou tam věci, které by měly chutnat nám oběma.
line:1a3e2a73	Hell yea	Kurva jo!
line:93f67490	Hell yeah	Kurva jo.
line:389e4033	Hell yeah I did!	To si kurva piš!
line:17dbb9b7	Hell yeah.	Kurva jo.
line:4b7b33d9	Hello!	Ahoj!
line:c3d3da41	Hello!	Ahoj!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Dobrý den, <i>„pobočko Drag'n'wash číslo 223“...</i> Už jste zjistil, jak interagovat?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Dobrý den, <i>„pobočko Drag'n'wash číslo 223“...</i> Už jste mluvil se svým prvním zákazníkem?
line:b7cce838	Hello.	Dobrý den.
line:a8779ebf	Hello?	Haló?
line:dd4b34ae	Hello?	Haló?
line:1954aab7	Help the developers out please..	Pomozte prosím vývojářům...
line:db9c3a5c	Help the developers out please..	Pomozte prosím vývojářům...
line:f7f7f5a1	Help the developers out please..	Pomozte prosím vývojářům...
line:fc461784	Help the developers out please..	Pomozte prosím vývojářům...
line:ee3398a6	Hey big guy.	Ahoj, velikáne.
line:0090c7b0	Hey Conrad!	Ahoj, Conrade!
line:3d0a5aeb	Hey Conrad!	Ahoj, Conrade!
line:a2b4acea	Hey conrad!	Čau, Conrade!
line:975a629f	Hey Conrad.	Ahoj, Conrade.
line:21235886	Hey could you come up front where I can see you?	Hele, mohl bys přijít dopředu, abych na tebe viděl?
line:533532c4	Hey fine by me!	Hej, mně to vyhovuje!
line:1538bc7e	Hey good lookin'	Čau, fešáku.
line:0121c874	Hey hey. Glad you're open.	Čau, čau. Jsem rád, že máš otevřeno.
line:71b651dd	Hey I have something to say!	Hele, chci ti něco říct!
line:0d4e0ecf	Hey kobold!	Ahoj, kobolde!
line:af3f02c9	Hey Ryan, what do you have there?	Ahoj, Ryane. Copak to máš?
line:6374414d	Hey thanks for being here for me...	Hele, díky, že jsi tu pro mě...
line:bf5ff483	Hey there, happy to be back.	Ahoj, rád jsem zpátky.
line:c38b7fa6	Hey there, Ryan!	Ahoj, Ryane!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Hele... Co takhle nechat ty ruční práce na později?
line:1b6c7f75	Hey there.	Zdravím vás.
line:5dacf226	Hey there.	Dobrý den.
line:82698bd1	Hey there.	Zdravím vás.
line:ab3a5d9c	Hey there.	Čau.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Hele, myslíš, že nám to s Ryanem <i>vážně</i> vyjde?
line:04501155	Hey uh, I just need a cleaning.	Hele, ehm, potřebuju jen umýt.
line:2a29842a	Hey uh... Not now.	Hele, ehm... Teď ne.
line:8caa3196	Hey uhm, thanks once again.	Hele, ehm, ještě jednou díky.
line:5c7a9105	Hey!	Ahoj!
line:eed2cc64	Hey!	Ahoj!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Hej! Je jenom... „vertikálně znevýhodněný“.
line:55bb78d1	Hey! I'm here for a wash.	Ahoj! Jdu se nechat umýt.
line:33480903	Hey, Alexander!	Zdravím, Alexandere!
line:21fcef4f	Hey, Alexander.	Zdravím, Alexandere.
line:14598ca6	Hey, big guy!	Zdravím, velikáne!
line:e7353d24	Hey, I've got a question for you.	Hele, mám na tebe otázku.
line:674877e5	Hey, nothin' wrong with asking!	Hej, na tom není nic špatnýho se zeptat!
line:d2589856	Hey, welcome back!	Zdravím, vítejte zpátky!
line:0d3e4054	Hey.	Ahoj.
line:aa0dda7b	Hey.	Hele.
line:7f2e2736	Hey... little guy!	Ahoj... prcku!
line:933efa6d	Hi again!	Zase ahoj!
line:873a2b9a	Hi again..	Zase ahoj...
line:83ac5b68	Hi Conrad.	Ahoj, Conrade.
line:050efd1a	Hi, Ryan!	Ahoj, Ryane!
line:06ed6aea	Hiiiii! Hiii!	Zdravííím! Zdravím!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Jeho tělesná schránka se právě znovu utváří ve sborovně.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Hm, myslím, že kozlík vynechám.
line:370d719b	Hm?	Hm?
line:3c3ddd0c	Hm?	Hm?
line:44658d73	Hmm...	Hmm...
line:bf059ff3	Hmm...	Hmm...
line:730b1ca4	Hmm?	Hm?
line:fc571337	Hmmm, maybe something else?	Hmm, možná něco jiného?
line:19207e44	Hold on a little longer for me?	Vydržíte mi ještě chvilku?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Upřímně mě překvapuje, jak je to příjemné.
line:a2ff0176	Hope it went well.	Doufám, že to šlo dobře.
line:b17360a0	Hope that's alright?	Doufám, že to nevadí?
line:ae08853f	Hope you're doing alright!	Doufám, že se máte dobře!
line:e1fa2461	Hopefully! I'll go get the gate.	Doufám! Otevřu ti bránu.
line:99931b37	Hopefully.	Snad.
line:d9c91bca	How about you though? have you been seeing anyone?	A co ty? Scházíš se s někým?
line:4ec92454	How about you? Anyone exciting?	A co ty? Někdo zajímavý?
line:86bde306	How are you with seafood?	Co říkáš na mořské plody?
line:7fb611c9	How come you brought this all in?	Proč jsi to všechno přinesl?
line:af0d0972	How come you're covered in ink?	Jak to, že jste celý od inkoustu?
line:e385b7f3	How did it go?	Jak to šlo?
line:c0161bbc	How did it taste?	Jak chutnal?
line:262b262e	how do I get in?	jak se dostanu dovnitř?
line:676b0638	how do I get in?	jak se dostanu dovnitř?
line:8308bb09	How do I look?	Jak vypadám?
line:4f172746	How do you even digest that?	Jak to vůbec dokážeš strávit?
line:28d390ac	How so?	Jak to myslíš?
line:4ef9fe65	How so?	Jak to myslíš?
line:ea66b5af	How so?	Jak to myslíš?
line:4b29790b	How was the sex.	Jakej byl sex?
line:7736270c	How was your date with Conrad?	Jaké bylo rande s Conradem?
line:18d418ab	However, it's ornamental! My family crest. You see...	Je však ozdobný! Je to můj rodový erb. Víte...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Moje <i>pověst</i> je však mnohem trvalejší než Igwyxovy pomíjivé tělesné schránky.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	S tím respektem se však pojí očekávání, že se budu chovat podle svého vzezření. Je to nesmírně stresující.
line:d2baf9e2	However...	Nicméně...
line:fb8401c3	Huff...	Uf...
line:b54ee04d	huff... Thank you for that.	Uf... Děkuji vám za to.
line:16420ca7	Huff... Thanks for that.	Uf... Díky za to.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Uf... To bylo příjemné... Ale trochu jsem tu nadělal.
line:ae83cfb6	huh...?	Co...?
line:0c78b56b	Huh?	Cože?
line:e96114a2	Huh? ofcourse not!	Cože? Jasně že ne!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	<i>Myslím</i>, že jsem na sebe musel vylít kalamář <i>cestou sem</i>. To jsem ale nešika!
line:d37175c7	I act tough but am a small dragon...	Dělám drsňáka, ale jsem malej drak...
line:b4e27683	I agree	Souhlasím.
line:68ebf07b	I allowed him, as my stature provides ample height.	Dovolil jsem mu to, jelikož má postava poskytuje dostatečnou výšku.
line:a051821a	I already feel a lot better.	Už se cítím mnohem líp.
line:49bfbfbe	I already have spot at the club reserved.	Už mám v klubu rezervaci.
line:14ff4edd	I always do~	To já vždycky~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Vždycky se na tebe těším. Otevřu ti bránu.
line:52bf5ede	I am THE kobold. Yip!	Já jsem TEN kobold. Jip!
line:141c006f	I am too.	Já taky.
line:363f6f6a	I am too.	Já taky.
line:405b9622	I am too.	Já taky.
line:d4c5faea	I am too.	Já taky.
line:556897bf	I am! Even better now that you're here.	Mám! A teď, když jste tady, ještě líp.
line:e499b2cc	I am.	Jsem.
line:5ec8bb55	I believe that's in part because of you.	Myslím, že zčásti i díky vám.
line:9883786d	I booked the night.	Mám rezervaci na celou noc.
line:eae85bf9	I broke up with my partner...	Jsem se rozešel s přítelkyní...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Přinesl jsem meloun, chléb, hrozny a další věci.
line:e8aa18f4	I can digest pretty much anything.	Strávím skoro všechno.
line:7f543c2a	I can let loose whenever you are ready	Můžu to pustit, jakmile budeš připravenej.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Nemohu uvěřit, že Igwix udělal takovou chybu!
line:e051a79e	I consider you a good friend too	Taky tě považuju za dobrého kamaráda.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Můžu nám sehnat ta <i>nejlepší</i> místa na jejich vystoupení.
line:2602b8c6	I could use a wash.	Hodilo by se mi umytí.
line:c66153d3	I couldn't help but notice the... device over there.	Nemohl jsem si nevšimnout toho... zařízení támhle.
line:b71f0756	I decided to try baking.	Rozhodl jsem se zkusit pečení.
line:e62b989c	I decided to try baking.	Rozhodl jsem se zkusit pečení.
line:efea7148	I decided to try baking.	Rozhodl jsem se zkusit pečení.
line:98f800d3	I didn't know anyone could like me that much so easily.	Netušil jsem, že si mě někdo může tak rychle tolik oblíbit.
line:4116f001	I didn't know what the button did.	Nevěděl jsem, co to tlačítko dělá.
line:7a5c7f54	I didn't mean to fluster you!	Nechtěl jsem tě uvést do rozpaků!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Tu barvu mám rád. Ačkoli to podle mě s mým zbarvením nesouvisí.
line:f9c800f2	I do!	Ano!
line:ad9c1ada	I do. But, what happened?	Mám. Ale co se stalo?
line:a45ccf3a	I don't believe I can hold back any longer	Myslím, že už to déle nevydržím.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Nechápu to! Proč se musím takhle chovat?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Nevím, kam se alchymista poděl, ale zase se cítím špinavý.
line:71127249	I don't mean to be rude, but I must decline	Nechci být nezdvořilý, ale musím odmítnout.
line:f5696cc4	I don't need to tell you.	Nemusím ti to říkat.
line:878fc94c	I don't understand..	Nerozumím tomu...
line:4f3d31f8	I don't want your pitty!	Nechci tvoji lítost!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Těší mě, že mohu pozitivně ovlivnit životy tolika lidí.
line:14653182	I enjoy parts of it. The respect is pleasant...	Některé stránky se mi líbí. Respekt je příjemný...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Líbí se mi, že se ve vaší společnosti nebojím selhání.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Líbí se mi, když mi plácnutím ruky naznačíte, co mám dělat.
line:6db406b4	I enjoyed this quite a lot.	Velmi jsem si to užil.
line:e838533b	I feel as I could say anything to you.	Mám pocit, že vám mohu říci cokoli.
line:9b9567ec	I feel much better.	Cítím se mnohem lépe.
line:ed6be68f	I feel spotless as always.	Jako vždycky jsem dokonale čistej.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Zapomínám na neznalost laiků. Omlouvám se.
line:63837f22	I forgot to bite into it so... Nothing?	Zapomněl jsem se do něj zakousnout, takže... nijak?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Chápu, že to po rozchodu tak cítíš.
line:adf1550f	I give my other bipedal friends rides all the time.	Ostatní dvounohé kamarády vozím pořád.
line:9a68366f	I got a mount.	Mám kozlík.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Vrátil jsem se trochu špinavý a ona na mě křičela.
line:22a9094a	I guess so!	Asi ano!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Nesnáším, že se pořád dostávám do takových situací.
line:366a7f73	I have a question.	Mám otázku.
line:82b63c18	I have something to say!	Chci ti něco říct!
line:fd68807c	I have to say, you did as good a job as private washers.	Musím říct, že jste odvedl stejně dobrou práci jako soukromí myči.
line:761f413a	I heard a loud bang	Slyšel jsem hlasitou ránu.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Ozvala se hlasitá rána. Myslím, že to Igwix nepřežil.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Slyšel jsem, že tu dole jsou koboldi, kteří by mě mohli umýt?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Slyšel jsem, že jsou tu koboldi, kteří by mě mohli umýt?
line:2f9b499a	I honestly don't know how you are doing that.	Upřímně nechápu, jak to děláš.
line:6f5dbc90	I hope he's okay too.	Taky doufám, že je v pořádku.
line:cd0197ed	I hope I can learn from that.	Snad se od tebe něco naučím.
line:cf50dbcc	I hope it all works out.	Doufám, že vám to vyjde.
line:b2dfad3e	I hope so.	Doufám, že ano.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Doufám. Vážně chci s někým začít znovu.
line:7429dab7	I hope that you'll help me prove them wrong!	Doufám, že mi pomůžeš dokázat opak!
line:be5feb3e	I hope things get better.	Snad se to zlepší.
line:114ac9a0	I hope you're right.	Doufám, že máš pravdu.
line:06744c7e	I just don't like that she takes it out on me.	Jen se mi nelíbí, že si to vybíjí na mně.
line:1fb02179	I just don't like that she takes it out on me.	Jen se mi nelíbí, že si to vybíjí na mně.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Potřebuju jen rychle umýt... A možná by se hodil i kozlík.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Jen si přeji, abyste se mě na něco zeptal. Na cokoli.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Věděl jsem, že máš moc práce, tak jsem si řekl, že přinesu rande za tebou!
line:2461773d	I knew you'd have my back	Věděl jsem, že budeš na mé straně.
line:6a671440	I know a decent equine-kin place by the pier.	U mola znám dobrou restauraci koňského lidu.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Vím, že umí být prchlivý a zapomíná děkovat.
line:83c55e2e	I know things can be tough.	Vím, že to někdy bývá těžké.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Vím, že musíš zavřít. Dám ti adresu a můžeme se sejít tam, jo?
line:ded99a0c	I know, I'll reserve your spot!	Já vím, podržím ti místo!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Já vím. Ale možnost se někomu svěřit, byť jen občas...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Já vím. Vím, že bych to na tebe neměl házet.
line:875048ca	I know. I know.	Já vím. Já vím.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Líbí se mi vaše sebejistota. I když jde jen o mytí.
line:46061aae	I like it! I think you'd enjoy it too.	Mně chutná! Myslím, že by chutnala i tobě.
line:f4ad8ea6	I like taking care of you.	Rád o vás pečuju.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Líbí se mi, jakej kozlík jsi vybral. Přineseš ho?
line:5c86951f	I like you a lot.	Mám tě moc rád.
line:a91980fc	I like you for who you are.	Mám vás rád takového, jaký jste.
line:bdca3e1b	I like... him.	Mám rád... jeho.
line:2b65bf83	I love bubbles, they tickle!	Miluju bublinky, lechtají!
line:f8a4f404	I mean it. Really.	Myslím to vážně. Fakt.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Musím se zlepšit. <i>Chci </i>se zlepšit.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Potřebuju být jako ze škatulky. Od toho tu asi jsi. <size=70%> Ha.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Nikdy bych nečekal, že se někomu svěřím s tak trapnými věcmi.
line:0c986dec	I never expected you to be the type to be so messy!	Nikdy bych nečekal, že se takhle zamažete!
line:95db900b	I never miss a spot.	Nikdy nevynechám ani místečko.
line:d620d41a	I never thought someone like him would be my type...	Nikdy mě nenapadlo, že někdo jako on bude můj typ...
line:67592de1	I probably need to head out though.	Ale asi už budu muset jít.
line:e41c6dc5	I really do hope it all works out!	Fakt doufám, že vám to vyjde!
line:a722aada	I really think it was this time...	Tentokrát si opravdu myslím, že byla...
line:e80e5edd	I see what you're doing, thank you.	Chápu, co děláte. Děkuji vám.
line:cc6ec337	I see..	Chápu...
line:d57520b1	I seem to have gotten myself covered in ink!	Zdá se, že jsem se celý potřísnil inkoustem!
line:3b161cf3	I still need more!	Ještě potřebuju víc!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Chápu, že vám může vadit nepořádek, který způsobuje.
line:234ccfda	I suppose it depends on the circumstances.	Asi záleží na okolnostech.
line:910706c0	I think a movie could be fun!	Kino by mohlo být fajn!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Myslím, že byl ve špatném prostředí. Teď je na tom líp.
line:9247b7a0	I think he'd like the new you!	Myslím, že by se mu tvoje nové já líbilo!
line:f4982dcd	I think he's got a crush on me.	Myslím, že se mu líbím.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Myslím, že na sobě ještě cítím trochu špíny z výbuchu...
line:4efc873f	I think I like being taken care of?	Myslím, že se mi líbí, když o mě někdo pečuje?
line:f5d36d9a	I think I might be close..	Myslím, že už budu...
line:52fc4e08	I think I'd like that!	To by se mi asi líbilo!
line:5c78099a	I think I'd like to meet him!	Myslím, že bych ho rád poznal!
line:14e0edf6	I think I'd like to try!	Myslím, že bych to rád zkusil!
line:164df75a	I think I'd like to use it?	Myslím, že bych ho rád použil?
line:4f6168aa	I think I'd like to use it?	Myslím, že bych ho rád použil?
line:ab314624	I think I'd like to?	Myslím, že bych rád?
line:170c6aa3	I think I'd like you to be that someone aswell.	Myslím, že bych taky chtěl, abys tím někým byl ty.
line:8f46bb17	I think I've got it!	Myslím, že už to umím!
line:a5e128e0	I think she's upset about something else...	Myslím, že ji trápí něco jiného...
line:bc2545e7	I think she's upset about something else...	Myslím, že ji trápí něco jiného...
line:335c5156	I think so!	Myslím, že jo!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Myslím, že by se hodil! Každý večer tam mají dobrá vystoupení.
line:eaafe671	I think you got every spot!	Myslím, že jsi vzal každý místečko!
line:1760e5d5	I think you got every spot.	Myslím, že jsi vzal každé místečko.
line:341175f7	I think you got every spot.	Myslím, že jsi vzal každé místečko.
line:770e7473	I think you got every spot.	Myslím, že jsi vzal každé místečko.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Myslím, žes mu pomohl mnohem víc, než si uvědomuješ.
line:f28fd15d	I think you missed a few spots still...	Myslím, že jsi ještě pár míst vynechal...
line:77509e74	I think you're cool too. Self improvement is hard.	Taky jsi fajn. Změnit se k lepšímu je těžké.
line:763c6a82	I think you're good looking.	Myslím, že vám to sluší.
line:69e7dbb3	I think you're pretty cool, Conrad.	Mně připadáš docela fajn, Conrade.
line:9c393f61	I think you're special too.	Taky si myslím, že jsi výjimečný.
line:7d5ae3b4	I usually make do with a hose down at home...	Obvykle si doma vystačím s hadicí...
line:c4fc9b28	I wanna talk face to face!	Chci si promluvit tváří v tvář!
line:548dc375	I want to be more open. It feels good.	Chci být otevřenější. Je to příjemné.
line:e02f464d	I was helping the alchemist reach a high shelf	Pomáhal jsem alchymistovi dosáhnout na vysokou polici.
line:fa97376e	I was helping the alchemist reach a high shelf	Pomáhal jsem alchymistovi dosáhnout na vysokou polici.
line:bb015b1b	I was romping around the forest	Dováděl jsem v lese.
line:78e2cb13	I was thinking about what you said,	Přemýšlel jsem o tom, cos říkal.
line:b8282714	I was thinking.	Tak jsem přemýšlel.
line:ca616238	I was thinking. We could go out some time next week?	Napadlo mě, že bychom si mohli někam zajít příští týden?
line:a13d76ec	I was thinking...	Přemýšlel jsem...
line:c1a4edf0	I wasn't making her happy either.	A ona nebyla šťastná se mnou.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Dal jsem si tolik záležet, aby mytí proběhlo diskrétně. Byl jsem si jistý, že mě nikdo nesledoval.
line:db5cd152	I went out with some friends.	Byl jsem venku s přáteli.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Zaplatím dvojnásobek. Trojnásobek... Tohle můžete udělat jen vy!
line:0c31345e	I will, thanks.	Přijdu, díky.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Povím. Jen potřebuju rychle umýt a dneska bych si dal i ten kozlík.
line:399457b7	I wish it was easy as it is in movies.	Kéž by to bylo tak snadné jako ve filmech.
line:2185f08c	I won't.	Neřeknu.
line:45950848	I would like that!	To by se mi líbilo!
line:099ec7fd	I would love to.	Moc rád.
line:e6006cd6	I wouldn't mind!	Rád půjdu!
line:81905be1	I'd like to go out to eat.	Rád bych si zašel na jídlo.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Opravdu bych si rád ještě povídal, ale brzy začíná hodina.
line:2fe8a558	I'd love to!	Moc rád!
line:87ba56cc	I'll be back again, yeah?	Zase se stavím, jo?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Zase se vrátím. Je příjemné mít vás za přítele.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Brzy se vrátím, ano? Děkuji za umytí.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Dneska večer tě budu čekat v baru!
line:69dff2ec	I'll be waiting for the gate!	Počkám, až otevřeš!
line:ae4d09f6	I'll be waiting for the gate!	Počkám, až otevřeš!
line:ab616aac	I'll definitely keep this place in mind.	Tohle místo si určitě zapamatuju.
line:b122441b	I'll get one ordered I promise!	Objednám ho, slibuju!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Už vás nebudu zdržovat. Děkuji za umytí.
line:707d2693	I'll get out of your scales...	Nebudu ti dál překážet...
line:ca480eed	I'll get you two in contact then.	Tak vás spolu seznámím.
line:59416000	I'll go get the gate for ya'	Půjdu ti otevřít bránu.
line:6aa7ad03	I'll go get the gate for ya'	Půjdu ti otevřít bránu.
line:2a6d7e7d	I'll go get the gate for you.	Půjdu ti otevřít bránu.
line:8107858d	I'll go get the gate for you.	Půjdu vám otevřít bránu.
line:d1755010	I'll go get the gate for you.	Půjdu ti otevřít bránu.
line:4d692a01	I'll go get the gate.	Půjdu otevřít bránu.
line:a75bb519	I'll go get the gate.	Půjdu otevřít bránu.
line:8689a124	I'll happily get that for you.	Rád vám ho přinesu.
line:48e99d7b	I'll have to close up shop first-	Nejdřív musím zavřít...
line:f2b894e2	I'll have to reserve your spot while you close up.	Zatímco budeš zavírat, podržím ti místo.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Budu si to pamatovat. Jsem zvyklý, že všechno je něco za něco.
line:956a0f47	I'll make sure to ask him next time I see him.	Až ho příště uvidím, určitě se ho zeptám.
line:e64d21e4	I'll make sure to come back.	Určitě se vrátím.
line:7c9fe106	I'll make sure to get out of your scales.	Už tě nebudu otravovat.
line:87006442	I'll make sure to tell others about this place	Určitě o tomhle místě řeknu ostatním.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Určitě ti povím, jak to dopadlo, jo?
line:49b6a167	I'll make sure you're <i>spotless.	Postarám se, abys byl <i>naprosto čistý.
line:96981b61	I'll manage.	Nějak to zvládnu.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Potřebuji to rychle. Studenti se sami vzdělávat nebudou.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Budu muset vzkřísit Igwixe. Jak trapné!
line:90a9a98e	I'll see you next time I come in, yeah?	Uvidíme se, až příště přijdu, jo?
line:d0f6a49a	I'll see you next time I come in, yeah?	Uvidíme se, až příště přijdu, jo?
line:160bf40f	I'll start prepping for it.	Začnu to zařizovat.
line:8af64cb8	I'll take care of this, don't you worry.	Postarám se o to, neboj se.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Za chvíli ti to povím. Zatím mi prosím otevři.
line:04c62f9b	I'm <i>spotless</i>.	Jsem <i>naprosto čistý</i>.
line:629f8cff	I'm a bit of a big deal around there.	Jsem tam docela známá firma.
line:d9272031	I'm a dragon.	Jsem drak.
line:675e7284	I'm a rule breaker!	Já pravidla porušuju!
line:afcd5586	I'm a... kobold.	Já jsem... kobold.
line:5d41b5d6	I'm all dirty still!	Pořád jsem celej špinavej!
