# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	היי, כלב גדול.
line:65b23418	Hah, okay. I'm game.	הא, בסדר. אני בעניין.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	הא, כן. לקונרד בהחלט יש ניסיון...
line:8b878971	Hah, yeah. He sounds fun.	הא, כן. הוא נשמע כיפי.
line:e3ed51d9	Hah. Conrad, you look good too.	הא. גם אתה נראה טוב, קונרד.
line:f8b2e23b	Hah. Fine.	הא. בסדר.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	הא. אילו רק היה קובולד שיכול לרחוץ אותי.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	הא. כן. <size=70%><i>מגניב שלומדים להביא ביד לדרקונים בבית הספר לרחיצה...
line:50a559bb	Hah... <size=70%> yeah.	הא... <size=70%>כן.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	הא... אתה הולך להביא לי ביד עכשיו? סבבה.
line:4e920759	Hah... Yeah I'm excited.	הא... כן, אני מתרגש.
line:b36365ce	Hah... Yeah...	הא... כן...
line:b8724c64	Hah... you do like that noise.	הא... אתה באמת אוהב את הצליל הזה.
line:c8cde395	Haha, 'Yip' indeed.	חחח, ״ייפ״ אכן.
line:680991cf	Haha, yes. Happy to see you.	חחח, כן. שמח לראות אותך.
line:4c27b031	Haha, you certainly are!	חחח, בהחלט!
line:c3a2e14e	Haha, you certainly are!	חחח, בהחלט!
line:9ec40945	Haha. 'Yip' to you too.	חחח. ״ייפ״ גם לך.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	חחח... כן. אני לא ממש רגיל להחמיא.
line:44689f21	Happy to be back.	שמח לחזור.
line:2672f65d	Happy to be here.	שמח להיות כאן.
line:192fcb8e	Happy to get it off.	שמח להיפטר ממנו.
line:3517b28e	Have a productive day.	שיהיה לך יום עבודה פורה.
line:7c1adc57	He called me, we met up. He's really damn nice.	הוא התקשר, נפגשנו. הוא ממש ממש נחמד.
line:e71f9a0b	HE DIED!?	הוא מת?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	ממה שהבנתי, כבר הרבה זמן לא... טוב, לא היה למישהו אכפת ממנו.
line:de25de6e	He just... Knew what to say to snap me out of all that.	הוא פשוט... ידע מה לומר כדי לנער אותי מזה.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	הוא מעדיף ״מוגבל אנכית״... אבל כן.
line:04b29e42	He really is.	באמת שכן.
line:c7e1b369	He really is.	באמת שכן.
line:c64bd5ce	He said I was chill, we planned a date...	הוא אמר שאני זורם, קבענו דייט...
line:e8a91447	He's a lot. But, I like it.	הוא אינטנסיבי. אבל אני אוהב את זה.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	הוא דרקון אדום. נראה לי שתמצאו חן זה בעיני זה!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	הוא כבר חזר לעבודה. תודה על העזרה בכל העניין.
line:aaea8391	He's been way nicer recently.	הוא הרבה יותר נחמד לאחרונה.
line:7363c004	He's great.	הוא נהדר.
line:c13d4e24	He's hot.	הוא סקסי.
line:675d7e37	He's like. SUPER hung.	יש לו... זין ענק.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	הוא כמו... לב רך מוקף בקוצים חדים.
line:800c553d	He's my dream dragon.	הוא דרקון החלומות שלי.
line:4b3c70d9	He's snappy, but tender too!	הוא קוצני, אבל גם רך!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	דרקון אדום ממש חמוד שבא להתרחץ כאן!
line:4c11c83e	He's tiny, I like being eye level with him.	הוא קטן. אני אוהב שאפשר להסתכל לו בעיניים באותו גובה.
line:b9ce2f3c	He's... Considerate. Real understanding too.	הוא... מתחשב. וממש מבין.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	שמעתי עליך ועל הכחול הגדול. ראיין, נכון?
line:ca4a9672	Heeeey Ryan.	הייי, ראיין.
line:24ce37ec	Heeeey.	הייי.
line:bb70c1ed	Heh. Yeah.	הא. כן.
line:3fa80829	Heh. Yeah. I like you too.	הא. כן. גם אני מחבב אותך.
line:20393ff6	Heh. Yeah. That's me.	הא. כן. זה אני.
line:ac769d93	heh.. yea.. sorry..	הא... כן... סליחה..
line:5246ceea	Heh... alright.	הא... בסדר.
line:75fef5cb	Heh... Damn right.	הא... ברור שכן.
line:5f0edcb2	Heh... Handsy today, huh?	הא... הידיים פעילות היום, אה?
line:2f55b3aa	Hehe	חח.
line:7e991330	Hehe yeah.	חח, כן.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	חח, אני מתרגש לחזור לעולם הדייטים.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	חח, תודה. יש כאן דברים שאמורים להתאים לשנינו.
line:1a3e2a73	Hell yea	פאק, כן.
line:93f67490	Hell yeah	פאק, כן.
line:389e4033	Hell yeah I did!	ברור שנהניתי, לעזאזל!
line:17dbb9b7	Hell yeah.	פאק, כן.
line:4b7b33d9	Hello!	שלום!
line:c3d3da41	Hello!	שלום!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	שלום, <i>״זכיינות Drag'n'wash מספר 223״...</i> כבר הבנת איך לקיים אינטראקציה?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	שלום, <i>״זכיינות Drag'n'wash מספר 223״...</i> כבר דיברת עם הלקוח הראשון שלך?
line:b7cce838	Hello.	שלום.
line:a8779ebf	Hello?	יש כאן מישהו?
line:dd4b34ae	Hello?	יש כאן מישהו?
line:1954aab7	Help the developers out please..	עזרו למפתחים, בבקשה...
line:db9c3a5c	Help the developers out please..	עזרו למפתחים, בבקשה...
line:f7f7f5a1	Help the developers out please..	עזרו למפתחים, בבקשה...
line:fc461784	Help the developers out please..	עזרו למפתחים, בבקשה...
line:ee3398a6	Hey big guy.	היי, גדול.
line:0090c7b0	Hey Conrad!	היי, קונרד!
line:3d0a5aeb	Hey Conrad!	היי, קונרד!
line:a2b4acea	Hey conrad!	היי, קונרד!
line:975a629f	Hey Conrad.	היי, קונרד.
line:21235886	Hey could you come up front where I can see you?	היי, תוכל לבוא קדימה כדי שאוכל לראות אותך?
line:533532c4	Hey fine by me!	היי, לי זה מתאים!
line:1538bc7e	Hey good lookin'	היי, חתיך.
line:0121c874	Hey hey. Glad you're open.	היי, היי. שמח שפתוח.
line:71b651dd	Hey I have something to say!	היי, יש לי משהו לומר!
line:0d4e0ecf	Hey kobold!	היי, קובולד!
line:af3f02c9	Hey Ryan, what do you have there?	היי, ראיין, מה הבאת?
line:6374414d	Hey thanks for being here for me...	היי, תודה שאתה כאן בשבילי...
line:bf5ff483	Hey there, happy to be back.	היי, טוב לחזור.
line:c38b7fa6	Hey there, Ryan!	היי, ראיין!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	היי... אולי נשמור את ״עבודת הידיים״ לאחר כך?
line:1b6c7f75	Hey there.	שלום.
line:5dacf226	Hey there.	שלום.
line:82698bd1	Hey there.	שלום.
line:ab3a5d9c	Hey there.	היי.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	היי, אממ, אתה חושב שראיין ואני <i>באמת</i> נסתדר יחד?
line:04501155	Hey uh, I just need a cleaning.	היי, אממ, אני רק צריך רחיצה.
line:2a29842a	Hey uh... Not now.	היי, אממ... לא עכשיו.
line:8caa3196	Hey uhm, thanks once again.	היי, אממ, שוב תודה.
line:5c7a9105	Hey!	היי!
line:eed2cc64	Hey!	היי!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	היי! הוא רק... ״מוגבל אנכית״.
line:55bb78d1	Hey! I'm here for a wash.	היי! באתי לרחיצה.
line:33480903	Hey, Alexander!	היי, אלכסנדר!
line:21fcef4f	Hey, Alexander.	היי, אלכסנדר.
line:14598ca6	Hey, big guy!	היי, גדול!
line:e7353d24	Hey, I've got a question for you.	היי, יש לי שאלה אליך.
line:674877e5	Hey, nothin' wrong with asking!	היי, אין רע בלשאול!
line:d2589856	Hey, welcome back!	היי, ברוך שובך!
line:0d3e4054	Hey.	היי.
line:aa0dda7b	Hey.	היי.
line:7f2e2736	Hey... little guy!	היי... קטן!
line:933efa6d	Hi again!	שוב שלום!
line:873a2b9a	Hi again..	שוב שלום..
line:83ac5b68	Hi Conrad.	היי, קונרד.
line:050efd1a	Hi, Ryan!	היי, ראיין!
line:06ed6aea	Hiiiii! Hiii!	שלווום! שלווום!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	גופו מתהווה מחדש כרגע בחדר הסגל.
line:6bd91ca7	Hm, I think I'll pass on the mount.	הממ, נראה לי שאוותר על המתקן.
line:370d719b	Hm?	הממ?
line:3c3ddd0c	Hm?	הממ?
line:44658d73	Hmm...	הממ...
line:bf059ff3	Hmm...	הממ...
line:730b1ca4	Hmm?	הממ?
line:fc571337	Hmmm, maybe something else?	הממ, אולי משהו אחר?
line:19207e44	Hold on a little longer for me?	תחזיק עוד קצת בשבילי?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	האמת, לא חשבתי שזה יהיה נעים כל כך.
line:a2ff0176	Hope it went well.	מקווה שהיה טוב.
line:b17360a0	Hope that's alright?	מקווה שזה בסדר?
line:ae08853f	Hope you're doing alright!	מקווה שאתה בטוב!
line:e1fa2461	Hopefully! I'll go get the gate.	מקווה שכן! אפתח את השער.
line:99931b37	Hopefully.	בתקווה.
line:d9c91bca	How about you though? have you been seeing anyone?	ומה איתך? אתה יוצא עם מישהו?
line:4ec92454	How about you? Anyone exciting?	ומה איתך? מישהו מעניין?
line:86bde306	How are you with seafood?	מה דעתך על מאכלי ים?
line:7fb611c9	How come you brought this all in?	למה הבאת את כל זה?
line:af0d0972	How come you're covered in ink?	איך התכסית בדיו?
line:e385b7f3	How did it go?	איך היה?
line:c0161bbc	How did it taste?	מה היה הטעם?
line:262b262e	how do I get in?	איך אני נכנס?
line:676b0638	how do I get in?	איך אני נכנס?
line:8308bb09	How do I look?	איך אני נראה?
line:4f172746	How do you even digest that?	איך אתה בכלל מעכל את זה?
line:28d390ac	How so?	באיזה מובן?
line:4ef9fe65	How so?	באיזה מובן?
line:ea66b5af	How so?	באיזה מובן?
line:4b29790b	How was the sex.	איך היה הסקס?
line:7736270c	How was your date with Conrad?	איך היה הדייט עם קונרד?
line:18d418ab	However, it's ornamental! My family crest. You see...	אבל זה קישוט! סמל המשפחה שלי. ובכן...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	אבל <i>התדמית</i> שלי קבועה הרבה יותר מצורותיו הגופניות החולפות של איגוויקס.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	אבל הכבוד הזה בא עם ציפייה שאתנהג בהתאם למראה שלי. זה מלחיץ מאוד.
line:d2baf9e2	However...	אולם...
line:fb8401c3	Huff...	הוף...
line:b54ee04d	huff... Thank you for that.	הוף... תודה על כך.
line:16420ca7	Huff... Thanks for that.	הוף... תודה על זה.
line:45507089	Huff... That was nice... Made a bit of a mess though.	הוף... זה היה נעים... אבל עשיתי קצת בלגן.
line:ae83cfb6	huh...?	מה...?
line:0c78b56b	Huh?	מה?
line:e96114a2	Huh? ofcourse not!	מה? ברור שלא!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	אני <i>חושב </i>ששפכתי קסת דיו <i>בדרך לכאן</i>. מגושם מאוד מצדי!
line:d37175c7	I act tough but am a small dragon...	אני משחק אותה קשוח, אבל אני דרקון קטן...
line:b4e27683	I agree	מסכים.
line:68ebf07b	I allowed him, as my stature provides ample height.	הרשיתי לו, שכן קומתי מספקת גובה רב.
line:a051821a	I already feel a lot better.	אני כבר מרגיש הרבה יותר טוב.
line:49bfbfbe	I already have spot at the club reserved.	כבר שמרתי מקום במועדון.
line:14ff4edd	I always do~	אני תמיד נותן את כולי~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	אני תמיד מחכה לראות אותך. אפתח את השער.
line:52bf5ede	I am THE kobold. Yip!	אני הקובולד. ייפ!
line:141c006f	I am too.	גם אני.
line:363f6f6a	I am too.	גם אני.
line:405b9622	I am too.	גם אני.
line:d4c5faea	I am too.	גם אני.
line:556897bf	I am! Even better now that you're here.	כן! ועכשיו כשאתה כאן, אפילו יותר.
line:e499b2cc	I am.	אני כן.
line:5ec8bb55	I believe that's in part because of you.	אני חושב שזה בחלקו בזכותך.
line:9883786d	I booked the night.	הזמנתי את כל הלילה.
line:eae85bf9	I broke up with my partner...	נפרדתי מבת הזוג שלי...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	הבאתי אבטיח, לחם, ענבים ועוד כמה דברים.
line:e8aa18f4	I can digest pretty much anything.	אני יכול לעכל כמעט כל דבר.
line:7f543c2a	I can let loose whenever you are ready	אני יכול לשחרר הכול כשתהיה מוכן.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	אני לא מאמין שאיגוויקס יעשה טעות כזאת!
line:e051a79e	I consider you a good friend too	גם אני רואה בך חבר טוב.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	אני יכול להשיג לנו את המקומות <i>הכי טובים</i> להופעה.
line:2602b8c6	I could use a wash.	רחיצה תעזור לי.
line:c66153d3	I couldn't help but notice the... device over there.	לא יכולתי שלא להבחין ב... מכשיר שם.
line:b71f0756	I decided to try baking.	החלטתי לנסות לאפות.
line:e62b989c	I decided to try baking.	החלטתי לנסות לאפות.
line:efea7148	I decided to try baking.	החלטתי לנסות לאפות.
line:98f800d3	I didn't know anyone could like me that much so easily.	לא ידעתי שאוכל למצוא חן בעיני מישהו כל כך בקלות ובמידה כזאת.
line:4116f001	I didn't know what the button did.	לא ידעתי מה הכפתור עושה.
line:7a5c7f54	I didn't mean to fluster you!	לא התכוונתי להביך אותך!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	אני אוהב את הצבע, אם כי לדעתי אין לכך קשר לגוון שלי.
line:f9c800f2	I do!	בהחלט!
line:ad9c1ada	I do. But, what happened?	יש. אבל מה קרה?
line:a45ccf3a	I don't believe I can hold back any longer	איני חושב שאוכל להתאפק יותר.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	אני לא מבין! למה אני חייב להתנהג ככה?
line:cc4e48a3	I don't know where they went but I feel dirty again.	אני לא יודע לאן הוא נעלם, אבל אני שוב מרגיש מלוכלך.
line:71127249	I don't mean to be rude, but I must decline	איני רוצה להיות גס רוח, אבל עליי לסרב.
line:f5696cc4	I don't need to tell you.	אני לא חייב לספר לך.
line:878fc94c	I don't understand..	אני לא מבין..
line:4f3d31f8	I don't want your pitty!	אני לא רוצה את הרחמים שלך!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	אני נהנה להיות חלק חיובי בחייהם של רבים כל כך.
line:14653182	I enjoy parts of it. The respect is pleasant...	יש צדדים שאני נהנה מהם. הכבוד נעים...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	אני אוהב שבחברתך איני חושש להיכשל.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	אני נהנה כשאתה מורה לי מה לעשות בטפיחה קלה.
line:6db406b4	I enjoyed this quite a lot.	נהניתי מזה מאוד.
line:e838533b	I feel as I could say anything to you.	אני מרגיש שאוכל לומר לך כל דבר.
line:9b9567ec	I feel much better.	אני מרגיש הרבה יותר טוב.
line:ed6be68f	I feel spotless as always.	אני מרגיש מצוחצח כתמיד.
line:938be2fb	I forget the ignorance of a layman. I apologize.	אני שוכח את חוסר הידע של מי שאינו בתחום. מתנצל.
line:63837f22	I forgot to bite into it so... Nothing?	שכחתי לנגוס בו, אז... בלי טעם?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	כן, אני מבין שתרגיש ככה אחרי פרידה.
line:adf1550f	I give my other bipedal friends rides all the time.	אני נותן לחבריי האחרים שהולכים על שתיים טרמפ כל הזמן.
line:9a68366f	I got a mount.	השגתי מתקן.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	חזרתי קצת מלוכלך, והיא צעקה עליי.
line:22a9094a	I guess so!	כנראה שכן!
line:28d6c0aa	I hate that I'm always getting into situations like this.	אני שונא שאני תמיד מסתבך במצבים כאלה.
line:366a7f73	I have a question.	יש לי שאלה.
line:82b63c18	I have something to say!	יש לי משהו לומר!
line:fd68807c	I have to say, you did as good a job as private washers.	עלי לומר שעשית עבודה טובה לא פחות מרוחצים פרטיים.
line:761f413a	I heard a loud bang	שמעתי פיצוץ חזק.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	שמעתי פיצוץ חזק. איני חושב שאיגוויקס שרד.
line:7ede5030	I heard there was kobolds down here that could wash me up?	שמעתי שיש כאן קובולדים שיכולים לרחוץ אותי?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	שמעתי שיש כאן קובולדים שיכולים לרחוץ אותי?
line:2f9b499a	I honestly don't know how you are doing that.	האמת, אין לי מושג איך אתה עושה את זה.
line:6f5dbc90	I hope he's okay too.	גם אני מקווה שהוא בסדר.
line:cd0197ed	I hope I can learn from that.	אני מקווה שאוכל ללמוד מזה.
line:cf50dbcc	I hope it all works out.	אני מקווה שהכול יצליח.
line:b2dfad3e	I hope so.	אני מקווה.
line:0477b0d7	I hope so. I really want a fresh start with someone.	הלוואי. אני באמת רוצה להתחיל מחדש עם מישהו.
line:7429dab7	I hope that you'll help me prove them wrong!	אני מקווה שתעזור לי להוכיח שזה לא נכון!
line:be5feb3e	I hope things get better.	אני מקווה שהדברים ישתפרו.
line:114ac9a0	I hope you're right.	אני מקווה שאתה צודק.
line:06744c7e	I just don't like that she takes it out on me.	אני פשוט לא אוהב שהיא מוציאה את זה עליי.
line:1fb02179	I just don't like that she takes it out on me.	אני פשוט לא אוהב שהיא מוציאה את זה עליי.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	אני רק צריך רחיצה מהירה... אולי גם המתקן יהיה נחמד.
line:95ff1bed	I just wish for you to ask me a question. Any question.	אני פשוט רוצה שתשאל אותי שאלה. כל שאלה.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	ידעתי שאתה עסוק מדי, אז החלטתי להביא את הדייט אליך!
line:2461773d	I knew you'd have my back	ידעתי שתתמוך בי.
line:6a671440	I know a decent equine-kin place by the pier.	אני מכיר מסעדה טובה של בני הסוס ליד המזח.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	אני יודע שהוא לפעמים חם מזג ושוכח להודות.
line:83c55e2e	I know things can be tough.	אני יודע שלפעמים קשה.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	אני יודע שאתה צריך לסגור את המקום. אתן לך את הכתובת וניפגש שם, טוב?
line:ded99a0c	I know, I'll reserve your spot!	אני יודע, אשמור לך מקום!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	אני יודע. אבל היכולת להיפתח למישהו, ולו מדי פעם...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	אני יודע. לא הייתי צריך להפיל את כל זה עליך.
line:875048ca	I know. I know.	אני יודע. אני יודע.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	אני אוהב את הביטחון שלך. גם אם הוא נוגע רק לרחיצה.
line:46061aae	I like it! I think you'd enjoy it too.	אני אוהב אותה! נראה לי שגם אתה תהנה.
line:f4ad8ea6	I like taking care of you.	אני אוהב לטפל בך.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	אני אוהב את המתקן שבחרת. תוכל להביא אותו?
line:5c86951f	I like you a lot.	אני מאוד מחבב אותך.
line:a91980fc	I like you for who you are.	אני אוהב אותך כמו שאתה.
line:bdca3e1b	I like... him.	אני אוהב... אותו.
line:2b65bf83	I love bubbles, they tickle!	אני אוהב בועות, הן מדגדגות!
line:f8a4f404	I mean it. Really.	אני מתכוון לזה. באמת.
line:ae719afc	I need to be better. I <i>want </i>to be better.	אני צריך להשתפר. אני <i>רוצה </i>להשתפר.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	אני צריך להיות מצוחצח. נראה שבשביל זה אתה כאן. <size=70%>הא.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	מעולם לא חשבתי שאחלוק דברים מביכים כל כך עם מישהו.
line:0c986dec	I never expected you to be the type to be so messy!	לא חשבתי שאתה טיפוס שמתלכלך כל כך!
line:95db900b	I never miss a spot.	אני אף פעם לא מפספס כתם.
line:d620d41a	I never thought someone like him would be my type...	לא חשבתי שמישהו כמוהו יהיה הטיפוס שלי...
line:67592de1	I probably need to head out though.	אבל אני כנראה צריך לצאת.
line:e41c6dc5	I really do hope it all works out!	אני באמת מקווה שזה יצליח!
line:a722aada	I really think it was this time...	הפעם אני באמת חושב שזאת אשמתי...
line:e80e5edd	I see what you're doing, thank you.	אני מבין מה אתה עושה. תודה.
line:cc6ec337	I see..	אני מבין..
line:d57520b1	I seem to have gotten myself covered in ink!	נראה שהתכסיתי בדיו!
line:3b161cf3	I still need more!	אני עדיין צריך עוד!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	אני מניח שאני מבין את הסלידה מהלכלוך שהוא יוצר.
line:234ccfda	I suppose it depends on the circumstances.	אני מניח שזה תלוי בנסיבות.
line:910706c0	I think a movie could be fun!	נראה לי שסרט יהיה כיף!
line:99bbb171	I think he was in a bad environment. He's doing better now.	נראה לי שהוא היה בסביבה לא טובה. עכשיו טוב לו יותר.
line:9247b7a0	I think he'd like the new you!	נראה לי שהוא יאהב את הגרסה החדשה שלך!
line:f4982dcd	I think he's got a crush on me.	נראה לי שהוא דלוק עליי.
line:fc6fdd10	I think I can still feel some explosion grime on me...	נראה לי שעדיין נשאר עליי קצת לכלוך מהפיצוץ...
line:4efc873f	I think I like being taken care of?	נדמה לי שאני אוהב שמטפלים בי?
line:f5d36d9a	I think I might be close..	נראה לי שאני מתקרב..
line:52fc4e08	I think I'd like that!	נראה לי שאשמח לזה!
line:5c78099a	I think I'd like to meet him!	נראה לי שאשמח לפגוש אותו!
line:14e0edf6	I think I'd like to try!	נראה לי שאשמח לנסות!
line:164df75a	I think I'd like to use it?	נדמה לי שהייתי רוצה להשתמש בו?
line:4f6168aa	I think I'd like to use it?	נדמה לי שהייתי רוצה להשתמש בו?
line:ab314624	I think I'd like to?	נדמה לי שהייתי רוצה?
line:170c6aa3	I think I'd like you to be that someone aswell.	נראה לי שגם אני הייתי רוצה שתהיה אותו מישהו.
line:8f46bb17	I think I've got it!	נראה לי שהבנתי!
line:a5e128e0	I think she's upset about something else...	אני חושב שהיא כועסת בגלל משהו אחר...
line:bc2545e7	I think she's upset about something else...	אני חושב שהיא כועסת בגלל משהו אחר...
line:335c5156	I think so!	נראה לי שכן!
line:3292625e	I think that would make a decent place! They put on good shows every night.	נראה לי שהוא יתאים! יש שם מופעים טובים בכל ערב.
line:eaafe671	I think you got every spot!	נראה לי שלא פספסת אף כתם!
line:1760e5d5	I think you got every spot.	נראה לי שלא פספסת אף כתם.
line:341175f7	I think you got every spot.	נראה לי שלא פספסת אף כתם.
line:770e7473	I think you got every spot.	נראה לי שלא פספסת אף כתם.
line:f4a8f7fc	I think you helped him a lot more than you realize.	נראה לי שעזרת לו הרבה יותר ממה שאתה מבין.
line:f28fd15d	I think you missed a few spots still...	נראה לי שעדיין פספסת כמה כתמים...
line:77509e74	I think you're cool too. Self improvement is hard.	גם אתה מגניב. קשה להשתפר.
line:763c6a82	I think you're good looking.	אני חושב שאתה נאה.
line:69e7dbb3	I think you're pretty cool, Conrad.	אני חושב שאתה די מגניב, קונרד.
line:9c393f61	I think you're special too.	גם בעיניי אתה מיוחד.
line:7d5ae3b4	I usually make do with a hose down at home...	בדרך כלל אני מסתפק בשטיפה עם צינור בבית...
line:c4fc9b28	I wanna talk face to face!	אני רוצה לדבר פנים אל פנים!
line:548dc375	I want to be more open. It feels good.	אני רוצה להיפתח יותר. זה נעים.
line:e02f464d	I was helping the alchemist reach a high shelf	עזרתי לאלכימאי להגיע למדף גבוה.
line:fa97376e	I was helping the alchemist reach a high shelf	עזרתי לאלכימאי להגיע למדף גבוה.
line:bb015b1b	I was romping around the forest	השתוללתי ביער.
line:78e2cb13	I was thinking about what you said,	חשבתי על מה שאמרת,
line:b8282714	I was thinking.	חשבתי לעצמי.
line:ca616238	I was thinking. We could go out some time next week?	חשבתי, אולי נצא מתישהו בשבוע הבא?
line:a13d76ec	I was thinking...	חשבתי לעצמי...
line:c1a4edf0	I wasn't making her happy either.	וגם היא לא הייתה מאושרת איתי.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	טרחתי במיוחד למצוא רחיצה דיסקרטית. הייתי בטוח שלא עקבו אחריי.
line:db5cd152	I went out with some friends.	יצאתי עם כמה חברים.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	אשלם כפול. פי שלושה! רק אתה יכול לעשות זאת!
line:0c31345e	I will, thanks.	אחזור, תודה.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	אספר. אני רק צריך רחיצה מהירה, ואשמח להשתמש במתקן היום.
line:399457b7	I wish it was easy as it is in movies.	הלוואי שזה היה קל כמו בסרטים.
line:2185f08c	I won't.	לא אספר.
line:45950848	I would like that!	זה ישמח אותי!
line:099ec7fd	I would love to.	אשמח מאוד.
line:e6006cd6	I wouldn't mind!	אשמח!
line:81905be1	I'd like to go out to eat.	ארצה לצאת לאכול.
line:75b152eb	I'd love to talk more, truly, but class is soon.	באמת אשמח להמשיך לשוחח, אבל השיעור מתחיל בקרוב.
line:2fe8a558	I'd love to!	אשמח מאוד!
line:87ba56cc	I'll be back again, yeah?	אני אחזור, טוב?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	אחזור שוב. נעים שיש לי חבר כמוך.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	אחזור בקרוב, בסדר? תודה על הרחיצה.
line:d9f422eb	I'll be waiting at the bar for you tonight!	אחכה לך בבר הערב!
line:69dff2ec	I'll be waiting for the gate!	אחכה שתפתח את השער!
line:ae4d09f6	I'll be waiting for the gate!	אחכה שתפתח את השער!
line:ab616aac	I'll definitely keep this place in mind.	אני בהחלט אזכור את המקום הזה.
line:b122441b	I'll get one ordered I promise!	אני מבטיח להזמין אחד!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	אניח לך כעת. תודה על הרחיצה.
line:707d2693	I'll get out of your scales...	אני אניח לך עכשיו...
line:ca480eed	I'll get you two in contact then.	אז אקשר ביניכם.
line:59416000	I'll go get the gate for ya'	אפתח לך את השער.
line:6aa7ad03	I'll go get the gate for ya'	אפתח לך את השער.
line:2a6d7e7d	I'll go get the gate for you.	אלך לפתוח לך את השער.
line:8107858d	I'll go get the gate for you.	אלך לפתוח עבורך את השער.
line:d1755010	I'll go get the gate for you.	אלך לפתוח לך את השער.
line:4d692a01	I'll go get the gate.	אלך לפתוח את השער.
line:a75bb519	I'll go get the gate.	אלך לפתוח את השער.
line:8689a124	I'll happily get that for you.	אשמח להביא לך אותו.
line:48e99d7b	I'll have to close up shop first-	אני צריך קודם לסגור את המקום...
line:f2b894e2	I'll have to reserve your spot while you close up.	אשמור לך מקום בזמן שתסגור.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	אזכור זאת. אני רגיל לכך שכל דבר הוא עסקת חליפין.
line:956a0f47	I'll make sure to ask him next time I see him.	אשאל אותו בפעם הבאה שאראה אותו.
line:e64d21e4	I'll make sure to come back.	אני בהחלט אחזור.
line:7c9fe106	I'll make sure to get out of your scales.	אני אניח לך עכשיו.
line:87006442	I'll make sure to tell others about this place	אני אספר לאחרים על המקום הזה.
