# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hej, granda hundo.
line:88d7e1e2	Haah. This is the best fuckin' wash.	Haa. Jen la plej bona feka lavejo.
line:cc6e7856	Hah! There's the mount!	Ha! Jen la seksapogilo!
line:90dd6d9d	Hah, eager as always.	Ha, entuziasma kiel ĉiam.
line:9542e7a6	Hah, good. Let's break this thing in!	Ha, bone. Ni inaŭguru ĝin!
line:fe21109b	Hah, he seems like the wild type.	Ha, li ŝajnas la sovaĝa tipo.
line:e8bc1d95	Hah, I imagine it would be.	Ha, mi imagas tiel.
line:acbf628d	Hah, it is a motivator.	Ha, tio ja motivas.
line:65b23418	Hah, okay. I'm game.	Ha, bone. Mi pretas.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ha, jes. Konrado certe estas sperta...
line:8b878971	Hah, yeah. He sounds fun.	Ha, jes. Li ŝajnas amuza.
line:e3ed51d9	Hah. Conrad, you look good too.	Ha. Vi ankaŭ aspektas bone, Konrado.
line:f8b2e23b	Hah. Fine.	Ha. Bone.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ha. Se nur estus koboldo, kiu povus lavi min.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ha. Jes. <size=70%><i>Estas mojose lerni manumi drakojn en lavista lernejo...
line:50a559bb	Hah... <size=70%> yeah.	Ha... <size=70%>Jes.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ha... Ĉu vi nun manumos min? Tio plaĉas.
line:4e920759	Hah... Yeah I'm excited.	Ha... Jes, mi antaŭĝojas.
line:b36365ce	Hah... Yeah...	Ha... Jes...
line:b8724c64	Hah... you do like that noise.	Ha... Vi vere ŝatas tiun sonon.
line:c8cde395	Haha, 'Yip' indeed.	Haha, «jip», efektive.
line:680991cf	Haha, yes. Happy to see you.	Haha, jes. Mi ĝojas vidi vin.
line:4c27b031	Haha, you certainly are!	Haha, efektive vi estas!
line:c3a2e14e	Haha, you certainly are!	Haha, efektive vi estas!
line:9ec40945	Haha. 'Yip' to you too.	Haha. «Jip» ankaŭ al vi.
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	Haha... Jes. Mi ne vere kutimas komplimenti.
line:44689f21	Happy to be back.	Mi ĝojas reveni.
line:2672f65d	Happy to be here.	Mi ĝojas esti ĉi tie.
line:192fcb8e	Happy to get it off.	Mi ĝojas forigi ĝin.
line:3517b28e	Have a productive day.	Havu produktivan tagon.
line:7c1adc57	He called me, we met up. He's really damn nice.	Li telefonis, ni renkontiĝis. Li estas diable afabla.
line:e71f9a0b	HE DIED!?	LI MORTIS?!
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	Laŭ mia kompreno, jam delonge neniu... Nu, zorgis pri li.
line:de25de6e	He just... Knew what to say to snap me out of all that.	Li simple... sciis, kion diri por elskui min el tio.
line:a035a3fd	He prefers 'vertically challenged'... But yes.	Li preferas «vertikale limigita»... Sed jes.
line:04b29e42	He really is.	Vere.
line:c7e1b369	He really is.	Vere.
line:c64bd5ce	He said I was chill, we planned a date...	Li diris, ke mi estas agrabla, ni planis rendevuon...
line:e8a91447	He's a lot. But, I like it.	Li estas intensa. Sed mi ŝatas tion.
line:a7181b1a	He's a red dragon. I think you two would like eachother!	Li estas ruĝa drako. Mi kredas, ke vi ŝatus unu la alian!
line:8245fe2b	He's already back to work. Thanks for helping with all that.	Li jam relaboras. Dankon pro via helpo pri tiu tuta afero.
line:aaea8391	He's been way nicer recently.	Li estas multe pli afabla lastatempe.
line:7363c004	He's great.	Li estas bonega.
line:c13d4e24	He's hot.	Li estas seksalloga.
line:675d7e37	He's like. SUPER hung.	Li havas... VERE grandan kacon.
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	Li estas kvazaŭ... molulo ĉirkaŭita de akraj pintoj.
line:800c553d	He's my dream dragon.	Li estas mia reva drako.
line:4b3c70d9	He's snappy, but tender too!	Li estas akralanga, sed ankaŭ tenera!
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	Li estas VERE ĉarma ruĝa drako, kiu venas al la lavejo!
line:4c11c83e	He's tiny, I like being eye level with him.	Li estas eta. Mi ŝatas vidi lin je la sama okulalteco.
line:b9ce2f3c	He's... Considerate. Real understanding too.	Li estas... zorgema. Kaj vere komprenema.
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	Mi aŭdis pri vi kaj la granda blua. Rajano, ĉu?
line:ca4a9672	Heeeey Ryan.	Heeej, Rajano.
line:24ce37ec	Heeeey.	Heeej.
line:bb70c1ed	Heh. Yeah.	He. Jes.
line:3fa80829	Heh. Yeah. I like you too.	He. Jes. Vi ankaŭ plaĉas al mi.
line:20393ff6	Heh. Yeah. That's me.	He. Jes. Jen mi.
line:ac769d93	heh.. yea.. sorry..	He... Jes... Pardonu..
line:5246ceea	Heh... alright.	He... Bone.
line:75fef5cb	Heh... Damn right.	He... Diable prave.
line:5f0edcb2	Heh... Handsy today, huh?	He... Managema hodiaŭ, ĉu?
line:2f55b3aa	Hehe	Hehe.
line:7e991330	Hehe yeah.	Hehe, jes.
line:3223473f	Hehe, I'm excited to get into the dating scene again.	Hehe, mi antaŭĝojas denove serĉi amon.
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	Hehe, dankon. Estas aferoj, kiuj devus taŭgi por ni ambaŭ.
line:1a3e2a73	Hell yea	Fek, jes.
line:93f67490	Hell yeah	Fek, jes.
line:389e4033	Hell yeah I did!	Diable, certe mi ĝuis!
line:17dbb9b7	Hell yeah.	Fek, jes.
line:4b7b33d9	Hello!	Saluton!
line:c3d3da41	Hello!	Saluton!
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	Saluton, <i>«franĉizejo Drag'n'wash 223»...</i> Ĉu vi jam eltrovis kiel interagi?
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	Saluton, <i>«franĉizejo Drag'n'wash 223»...</i> Ĉu vi jam parolis kun via unua kliento?
line:b7cce838	Hello.	Saluton.
line:a8779ebf	Hello?	Saluton?
line:dd4b34ae	Hello?	Saluton?
line:1954aab7	Help the developers out please..	Bonvolu helpi la programistojn...
line:db9c3a5c	Help the developers out please..	Bonvolu helpi la programistojn...
line:f7f7f5a1	Help the developers out please..	Bonvolu helpi la programistojn...
line:fc461784	Help the developers out please..	Bonvolu helpi la programistojn...
line:ee3398a6	Hey big guy.	Hej, grandulo.
line:0090c7b0	Hey Conrad!	Hej, Konrado!
line:3d0a5aeb	Hey Conrad!	Hej, Konrado!
line:a2b4acea	Hey conrad!	Hej, Konrado!
line:975a629f	Hey Conrad.	Hej, Konrado.
line:21235886	Hey could you come up front where I can see you?	Hej, ĉu vi povus veni antaŭen, kie mi povas vidi vin?
line:533532c4	Hey fine by me!	Hej, por mi bone!
line:1538bc7e	Hey good lookin'	Hej, belulo.
line:0121c874	Hey hey. Glad you're open.	Hej, hej. Mi ĝojas, ke vi estas malfermita.
line:71b651dd	Hey I have something to say!	Hej, mi volas ion diri!
line:0d4e0ecf	Hey kobold!	Hej, koboldo!
line:af3f02c9	Hey Ryan, what do you have there?	Hej, Rajano, kion vi havas tie?
line:6374414d	Hey thanks for being here for me...	Hej, dankon, ke vi subtenas min...
line:bf5ff483	Hey there, happy to be back.	Hej, mi ĝojas reveni.
line:c38b7fa6	Hey there, Ryan!	Hej, Rajano!
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	Hej... Eble ni lasu tiun «manlaboron» por poste?
line:1b6c7f75	Hey there.	Saluton.
line:5dacf226	Hey there.	Saluton.
line:82698bd1	Hey there.	Saluton.
line:ab3a5d9c	Hey there.	Hej.
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	Hej, nu, ĉu vi kredas, ke mi kaj Rajano <i>vere</i> sukcesos?
line:04501155	Hey uh, I just need a cleaning.	Hej, nu, mi nur bezonas lavadon.
line:2a29842a	Hey uh... Not now.	Hej, nu... Ne nun.
line:8caa3196	Hey uhm, thanks once again.	Hej, nu, dankon denove.
line:5c7a9105	Hey!	Hej!
line:eed2cc64	Hey!	Hej!
line:2f3f5508	Hey! He's just... 'vertically challenged'.	Hej! Li estas nur... «vertikale limigita».
line:55bb78d1	Hey! I'm here for a wash.	Hej! Mi venis por lavado.
line:33480903	Hey, Alexander!	Hej, Aleksandro!
line:21fcef4f	Hey, Alexander.	Hej, Aleksandro.
line:14598ca6	Hey, big guy!	Hej, grandulo!
line:e7353d24	Hey, I've got a question for you.	Hej, mi havas demandon por vi.
line:674877e5	Hey, nothin' wrong with asking!	Hej, ne estas malbone demandi!
line:d2589856	Hey, welcome back!	Hej, bonvenon reen!
line:0d3e4054	Hey.	Hej.
line:aa0dda7b	Hey.	Hej.
line:7f2e2736	Hey... little guy!	Hej... etulo!
line:933efa6d	Hi again!	Saluton denove!
line:873a2b9a	Hi again..	Saluton denove..
line:83ac5b68	Hi Conrad.	Saluton, Konrado.
line:050efd1a	Hi, Ryan!	Saluton, Rajano!
line:06ed6aea	Hiiiii! Hiii!	Saluuuton! Saluuut!
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	Lia korpa formo nun rekonstruiĝas en la instruista ripozejo.
line:6bd91ca7	Hm, I think I'll pass on the mount.	Hm, mi kredas, ke mi ne uzos la seksapogilon.
line:370d719b	Hm?	Hm?
line:3c3ddd0c	Hm?	Hm?
line:44658d73	Hmm...	Hmm...
line:bf059ff3	Hmm...	Hmm...
line:730b1ca4	Hmm?	Hmm?
line:fc571337	Hmmm, maybe something else?	Hmm, eble ion alian?
line:19207e44	Hold on a little longer for me?	Ĉu vi povus elteni iom pli por mi?
line:f2ae89c4	Honestly, I'm surprised how nice this is.	Verdire, mi ne atendis, ke tio estos tiel agrabla.
line:a2ff0176	Hope it went well.	Mi esperas, ke ĉio iris bone.
line:b17360a0	Hope that's alright?	Mi esperas, ke tio estas en ordo?
line:ae08853f	Hope you're doing alright!	Mi esperas, ke vi fartas bone!
line:e1fa2461	Hopefully! I'll go get the gate.	Espereble! Mi malfermos la pordegon.
line:99931b37	Hopefully.	Espereble.
line:d9c91bca	How about you though? have you been seeing anyone?	Sed kiel pri vi? Ĉu vi renkontiĝas kun iu?
line:4ec92454	How about you? Anyone exciting?	Kaj vi? Ĉu iu interesa?
line:86bde306	How are you with seafood?	Ĉu vi ŝatas marmanĝaĵojn?
line:7fb611c9	How come you brought this all in?	Kial vi alportis ĉion ĉi?
line:af0d0972	How come you're covered in ink?	Kial vi estas kovrita per inko?
line:e385b7f3	How did it go?	Kiel okazis?
line:c0161bbc	How did it taste?	Kiel ĝi gustis?
line:262b262e	how do I get in?	kiel mi eniru?
line:676b0638	how do I get in?	kiel mi eniru?
line:8308bb09	How do I look?	Kiel mi aspektas?
line:4f172746	How do you even digest that?	Kiel vi eĉ digestas tion?
line:28d390ac	How so?	Kiel?
line:4ef9fe65	How so?	Kiel?
line:ea66b5af	How so?	Kiel?
line:4b29790b	How was the sex.	Kia estis la sekso?
line:7736270c	How was your date with Conrad?	Kiel estis via rendevuo kun Konrado?
line:18d418ab	However, it's ornamental! My family crest. You see...	Sed ĝi estas ornamaĵo! Mia familia blazono. Vidu...
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	Tamen mia <i>publika bildo</i> estas multe pli daŭra ol la efemeraj korpaj formoj de Igvikso.
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	Tamen tiu respekto venas kun atendo, ke mi agu laŭ mia aspekto. Tio estas nekredeble streĉa.
line:d2baf9e2	However...	Tamen...
line:fb8401c3	Huff...	Huf...
line:b54ee04d	huff... Thank you for that.	Huf... Dankon pro tio.
line:16420ca7	Huff... Thanks for that.	Huf... Dankon pro tio.
line:45507089	Huff... That was nice... Made a bit of a mess though.	Huf... Estis agrable... Sed mi iom malpurigis ĉion.
line:ae83cfb6	huh...?	Ĉu...?
line:0c78b56b	Huh?	Ĉu?
line:e96114a2	Huh? ofcourse not!	Ĉu? Kompreneble ne!
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	Mi <i>kredas </i>ke mi verŝis inkujon <i>survoje ĉi tien</i>. Sufiĉe mallerte!
line:d37175c7	I act tough but am a small dragon...	Mi ŝajnigas min forta, sed mi estas malgranda drako...
line:b4e27683	I agree	Mi konsentas.
line:68ebf07b	I allowed him, as my stature provides ample height.	Mi permesis tion, ĉar mia staturo donas sufiĉan alton.
line:a051821a	I already feel a lot better.	Mi jam sentas min multe pli bone.
line:49bfbfbe	I already have spot at the club reserved.	Mi jam rezervis lokon en la klubo.
line:14ff4edd	I always do~	Mi ĉiam tiel fervoras~
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	Mi ĉiam antaŭĝojas vidi vin. Mi malfermos la pordegon.
line:52bf5ede	I am THE kobold. Yip!	Mi estas LA koboldo. Jip!
line:141c006f	I am too.	Ankaŭ mi.
line:363f6f6a	I am too.	Ankaŭ mi.
line:405b9622	I am too.	Ankaŭ mi.
line:d4c5faea	I am too.	Ankaŭ mi.
line:556897bf	I am! Even better now that you're here.	Jes! Eĉ pli bone nun, kiam vi estas ĉi tie.
line:e499b2cc	I am.	Mi estas.
line:5ec8bb55	I believe that's in part because of you.	Mi kredas, ke parte dank' al vi.
line:9883786d	I booked the night.	Mi rezervis la tutan nokton.
line:eae85bf9	I broke up with my partner...	Mi disiĝis de mia partnerino...
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	Mi alportis akvomelonon, panon, vinberojn kaj kelkajn aliajn aferojn.
line:e8aa18f4	I can digest pretty much anything.	Mi povas digesti preskaŭ ĉion.
line:7f543c2a	I can let loose whenever you are ready	Mi povas ellasi ĉion kiam vi pretas.
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	Mi ne povas kredi, ke Igvikso faris tian eraron!
line:e051a79e	I consider you a good friend too	Mi ankaŭ konsideras vin bona amiko.
line:f382336f	I could get us the <i>nicest</i> spots for their show.	Mi povus akiri por ni la <i>plej bonajn</i> sidlokojn por la spektaklo.
line:2602b8c6	I could use a wash.	Lavado utilus al mi.
line:c66153d3	I couldn't help but notice the... device over there.	Mi ne povis ne rimarki la... aparaton tie.
line:b71f0756	I decided to try baking.	Mi decidis provi bakadon.
line:e62b989c	I decided to try baking.	Mi decidis provi bakadon.
line:efea7148	I decided to try baking.	Mi decidis provi bakadon.
line:98f800d3	I didn't know anyone could like me that much so easily.	Mi ne sciis, ke mi povus tiel facile plaĉi al iu tiom multe.
line:4116f001	I didn't know what the button did.	Mi ne sciis, kion faras la butono.
line:7a5c7f54	I didn't mean to fluster you!	Mi ne celis embarasi vin!
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	Mi ŝatas la koloron, kvankam tio laŭ mi ne rilatas al mia propra nuanco.
line:f9c800f2	I do!	Jes, certe!
line:ad9c1ada	I do. But, what happened?	Jes. Sed kio okazis?
line:a45ccf3a	I don't believe I can hold back any longer	Mi ne kredas, ke mi povas reteni min plu.
line:8c6e1cd3	I don't get it! Why do I have to act this way?	Mi ne komprenas! Kial mi devas agi tiel?
line:cc4e48a3	I don't know where they went but I feel dirty again.	Mi ne scias, kien malaperis la alkemiisto, sed mi denove sentas min malpura.
line:71127249	I don't mean to be rude, but I must decline	Mi ne volas esti malĝentila, sed mi devas rifuzi.
line:f5696cc4	I don't need to tell you.	Mi ne devas rakonti al vi.
line:878fc94c	I don't understand..	Mi ne komprenas..
line:4f3d31f8	I don't want your pitty!	Mi ne volas vian kompaton!
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	Mi ĝuas esti pozitiva parto de la vivo de tiom da homoj.
line:14653182	I enjoy parts of it. The respect is pleasant...	Mi ĝuas kelkajn flankojn. La respekto estas agrabla...
line:bd4bb1b9	I enjoy that I do not fear failure around you.	Mi ĝuas ne timi malsukceson apud vi.
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	Mi ĝuas, kiam vi diras, kion mi faru, per manfrapeto.
line:6db406b4	I enjoyed this quite a lot.	Mi tre ĝuis tion.
line:e838533b	I feel as I could say anything to you.	Mi sentas, ke mi povus diri ion ajn al vi.
line:9b9567ec	I feel much better.	Mi sentas min multe pli bone.
line:ed6be68f	I feel spotless as always.	Mi sentas min senmakula kiel ĉiam.
line:938be2fb	I forget the ignorance of a layman. I apologize.	Mi forgesas la nescion de laiko. Mi pardonpetas.
line:63837f22	I forgot to bite into it so... Nothing?	Mi forgesis mordi ĝin, do... Neniel?
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	Mi komprenas, ke vi tiel sentas post disiĝo.
line:adf1550f	I give my other bipedal friends rides all the time.	Mi portas miajn aliajn dupiedajn amikojn la tutan tempon.
line:9a68366f	I got a mount.	Mi akiris seksapogilon.
line:78a54cae	I got back home a bit dirty. And she yelled at me.	Mi revenis iom malpura, kaj ŝi kriegis al mi.
line:22a9094a	I guess so!	Mi supozas, ke jes!
line:28d6c0aa	I hate that I'm always getting into situations like this.	Mi malamas ĉiam troviĝi en tiaj situacioj.
line:366a7f73	I have a question.	Mi havas demandon.
line:82b63c18	I have something to say!	Mi havas ion por diri!
line:fd68807c	I have to say, you did as good a job as private washers.	Mi devas diri, ke vi laboris same bone kiel privataj lavistoj.
line:761f413a	I heard a loud bang	Mi aŭdis laŭtan eksplodon.
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	Mi aŭdis laŭtan eksplodon. Mi ne kredas, ke Igvikso postvivis.
line:7ede5030	I heard there was kobolds down here that could wash me up?	Mi aŭdis, ke ĉi tie estas koboldoj, kiuj povus lavi min?
line:efb2d4af	I heard there were kobolds down here that could wash me up?	Mi aŭdis, ke ĉi tie estas koboldoj, kiuj povas lavi min?
line:2f9b499a	I honestly don't know how you are doing that.	Mi vere ne scias, kiel vi faras tion.
line:6f5dbc90	I hope he's okay too.	Mi ankaŭ esperas, ke li estas en ordo.
line:cd0197ed	I hope I can learn from that.	Mi esperas, ke mi povos lerni de tio.
line:cf50dbcc	I hope it all works out.	Mi esperas, ke ĉio sukcesos.
line:b2dfad3e	I hope so.	Mi esperas.
line:0477b0d7	I hope so. I really want a fresh start with someone.	Mi esperas. Mi vere volas freŝan komencon kun iu.
line:7429dab7	I hope that you'll help me prove them wrong!	Mi esperas, ke vi helpos min pruvi la malon!
line:be5feb3e	I hope things get better.	Mi esperas, ke la aferoj pliboniĝos.
line:114ac9a0	I hope you're right.	Mi esperas, ke vi pravas.
line:06744c7e	I just don't like that she takes it out on me.	Mi simple ne ŝatas, ke ŝi elverŝas tion sur min.
line:1fb02179	I just don't like that she takes it out on me.	Mi simple ne ŝatas, ke ŝi elverŝas tion sur min.
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	Mi nur bezonas rapidan lavon... Eble ankaŭ la seksapogilo estus agrabla.
line:95ff1bed	I just wish for you to ask me a question. Any question.	Mi simple volas, ke vi faru al mi demandon. Iun ajn.
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	Mi sciis, ke vi estas tro okupata, do mi pensis alporti la rendevuon al vi!
line:2461773d	I knew you'd have my back	Mi sciis, ke vi subtenos min.
line:6a671440	I know a decent equine-kin place by the pier.	Mi konas bonan restoracion de la ĉevaluloj apud la moleo.
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	Mi scias, ke li povas esti iom kolerema kaj forgesi danki.
line:83c55e2e	I know things can be tough.	Mi scias, ke foje estas malfacile.
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	Mi scias, ke vi devas fermi la lavejon. Mi donos al vi la adreson kaj ni renkontiĝos tie, ĉu bone?
line:ded99a0c	I know, I'll reserve your spot!	Mi scias, mi gardos vian lokon!
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	Mi scias. Sed povi malfermi sin al iu, eĉ nur de tempo al tempo...
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	Mi scias. Mi ne devus ŝarĝi vin per ĉio ĉi.
line:875048ca	I know. I know.	Mi scias. Mi scias.
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	Mi ŝatas vian memcertecon. Eĉ se temas nur pri lavado.
line:46061aae	I like it! I think you'd enjoy it too.	Mi ŝatas ĝin! Mi kredas, ke ankaŭ vi ĝuus.
line:f4ad8ea6	I like taking care of you.	Mi ŝatas zorgi pri vi.
line:8ffedb47	I like the mount you chose. Mind grabbing it?	Mi ŝatas vian elektitan seksapogilon. Ĉu vi alportus ĝin?
line:5c86951f	I like you a lot.	Vi tre plaĉas al mi.
line:a91980fc	I like you for who you are.	Mi ŝatas vin pro tio, kiu vi estas.
line:bdca3e1b	I like... him.	Mi ŝatas... lin.
line:2b65bf83	I love bubbles, they tickle!	Mi amas vezikojn, ili tiklas!
line:f8a4f404	I mean it. Really.	Mi vere pensas tion. Vere.
line:ae719afc	I need to be better. I <i>want </i>to be better.	Mi devas pliboniĝi. Mi <i>volas </i>pliboniĝi.
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	Mi bezonas esti senmakula. Ŝajne por tio vi estas ĉi tie. <size=70%>Ha.
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	Mi neniam atendis konfidi tiajn embarasajn aferojn al iu.
line:0c986dec	I never expected you to be the type to be so messy!	Mi ne imagis vin tia, kiu tiel malpuriĝas!
line:95db900b	I never miss a spot.	Mi neniam preterlasas makulon.
line:d620d41a	I never thought someone like him would be my type...	Mi neniam pensis, ke iu kiel li estus mia tipo...
line:67592de1	I probably need to head out though.	Sed mi verŝajne devas foriri.
line:e41c6dc5	I really do hope it all works out!	Mi vere esperas, ke ĉio sukcesos!
line:a722aada	I really think it was this time...	Ĉi-foje mi vere kredas, ke estis mia kulpo...
line:e80e5edd	I see what you're doing, thank you.	Mi komprenas, kion vi faras. Dankon.
line:cc6ec337	I see..	Mi komprenas..
line:d57520b1	I seem to have gotten myself covered in ink!	Ŝajnas, ke mi kovris min per inko!
line:3b161cf3	I still need more!	Mi ankoraŭ bezonas pli!
line:47dc71f3	I suppose I understand disliking the mess it may cause.	Mi komprenas malŝati la malpuraĵon, kiun ĝi povas kaŭzi.
line:234ccfda	I suppose it depends on the circumstances.	Mi supozas, ke dependas de la cirkonstancoj.
line:910706c0	I think a movie could be fun!	Mi kredas, ke filmo povus esti amuza!
line:99bbb171	I think he was in a bad environment. He's doing better now.	Mi kredas, ke li estis en malbona medio. Nun li fartas pli bone.
line:9247b7a0	I think he'd like the new you!	Mi kredas, ke la nova vi plaĉus al li!
line:f4982dcd	I think he's got a crush on me.	Mi kredas, ke mi plaĉas al li.
line:fc6fdd10	I think I can still feel some explosion grime on me...	Mi kredas, ke mi ankoraŭ sentas iom da eksploda malpuraĵo...
line:4efc873f	I think I like being taken care of?	Mi kredas, ke mi ŝatas esti prizorgata?
line:f5d36d9a	I think I might be close..	Mi kredas, ke mi eble estas proksima..
line:52fc4e08	I think I'd like that!	Mi kredas, ke tio plaĉus al mi!
line:5c78099a	I think I'd like to meet him!	Mi kredas, ke mi ŝatus renkonti lin!
line:14e0edf6	I think I'd like to try!	Mi kredas, ke mi volas provi!
line:164df75a	I think I'd like to use it?	Mi kredas, ke mi volus uzi ĝin?
line:4f6168aa	I think I'd like to use it?	Mi kredas, ke mi volus uzi ĝin?
line:ab314624	I think I'd like to?	Mi kredas, ke mi volus?
line:170c6aa3	I think I'd like you to be that someone aswell.	Mi ankaŭ kredas, ke mi ŝatus, ke vi estu tiu iu.
line:8f46bb17	I think I've got it!	Mi kredas, ke mi komprenas!
line:a5e128e0	I think she's upset about something else...	Mi kredas, ke ŝi koleras pro io alia...
line:bc2545e7	I think she's upset about something else...	Mi kredas, ke ŝi koleras pro io alia...
line:335c5156	I think so!	Mi kredas, ke jes!
line:3292625e	I think that would make a decent place! They put on good shows every night.	Mi kredas, ke tio estus bona loko! Ili prezentas bonajn spektaklojn ĉiuvespere.
line:eaafe671	I think you got every spot!	Mi kredas, ke vi purigis ĉiun makulon!
line:1760e5d5	I think you got every spot.	Mi kredas, ke vi purigis ĉiun makulon.
line:341175f7	I think you got every spot.	Mi kredas, ke vi purigis ĉiun makulon.
line:770e7473	I think you got every spot.	Mi kredas, ke vi purigis ĉiun makulon.
line:f4a8f7fc	I think you helped him a lot more than you realize.	Mi kredas, ke vi helpis lin multe pli ol vi konscias.
line:f28fd15d	I think you missed a few spots still...	Mi kredas, ke vi ankoraŭ preterlasis kelkajn makulojn...
line:77509e74	I think you're cool too. Self improvement is hard.	Mi ankaŭ trovas vin mojosa. Estas malfacile plibonigi sin.
line:763c6a82	I think you're good looking.	Mi trovas vin belaspekta.
line:69e7dbb3	I think you're pretty cool, Conrad.	Mi trovas vin sufiĉe mojosa, Konrado.
line:9c393f61	I think you're special too.	Mi ankaŭ trovas vin speciala.
line:7d5ae3b4	I usually make do with a hose down at home...	Mi kutime kontentiĝas per akvohoso hejme...
line:c4fc9b28	I wanna talk face to face!	Mi volas paroli vidalvide!
line:548dc375	I want to be more open. It feels good.	Mi volas esti pli malferma. Estas agrable.
line:e02f464d	I was helping the alchemist reach a high shelf	Mi helpis la alkemiiston atingi altan breton.
line:fa97376e	I was helping the alchemist reach a high shelf	Mi helpis la alkemiiston atingi altan breton.
line:bb015b1b	I was romping around the forest	Mi petolis en la arbaro.
line:78e2cb13	I was thinking about what you said,	Mi pensis pri tio, kion vi diris,
line:b8282714	I was thinking.	Mi pensis.
line:ca616238	I was thinking. We could go out some time next week?	Mi pensis. Ĉu ni povus eliri iam venontsemajne?
line:a13d76ec	I was thinking...	Mi pensis...
line:c1a4edf0	I wasn't making her happy either.	Kaj mi ne feliĉigis ŝin.
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	Mi aparte klopodis por diskreta lavado. Mi certis, ke neniu sekvis min.
line:db5cd152	I went out with some friends.	Mi eliris kun kelkaj amikoj.
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	Mi pagos duoble. Trioble! Nur vi povas fari ĉi tiun laboron!
line:0c31345e	I will, thanks.	Mi revenos, dankon.
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	Mi rakontos. Mi nur bezonas rapidan lavon, kaj hodiaŭ mi volonte uzus la seksapogilon.
line:399457b7	I wish it was easy as it is in movies.	Mi dezirus, ke estu tiel facile kiel en filmoj.
line:2185f08c	I won't.	Mi ne diros.
line:45950848	I would like that!	Tio plaĉus al mi!
line:099ec7fd	I would love to.	Mi tre volonte.
line:e6006cd6	I wouldn't mind!	Mi volonte!
line:81905be1	I'd like to go out to eat.	Mi ŝatus iri manĝi.
line:75b152eb	I'd love to talk more, truly, but class is soon.	Mi vere ŝatus pli babili, sed la leciono baldaŭ komenciĝos.
line:2fe8a558	I'd love to!	Mi tre ŝatus!
line:87ba56cc	I'll be back again, yeah?	Mi revenos, ĉu bone?
line:ca035ef2	I'll be back again. It's nice having you as a friend.	Mi revenos. Estas agrable havi vin kiel amikon.
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	Mi revenos baldaŭ, ĉu bone? Dankon pro la lavado.
line:d9f422eb	I'll be waiting at the bar for you tonight!	Mi atendos vin en la drinkejo ĉi-vespere!
line:69dff2ec	I'll be waiting for the gate!	Mi atendos la malfermon de la pordego!
line:ae4d09f6	I'll be waiting for the gate!	Mi atendos la malfermon de la pordego!
line:ab616aac	I'll definitely keep this place in mind.	Mi certe memoros ĉi tiun lokon.
line:b122441b	I'll get one ordered I promise!	Mi mendos unu, mi promesas!
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	Mi nun lasos vin trankvila. Dankon pro la lavado.
