# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	喂，大狗。
line:a7181b1a	He's a red dragon. I think you two would like eachother!	佢係條紅龍。我諗你哋會鍾意對方！
line:8245fe2b	He's already back to work. Thanks for helping with all that.	佢已經返工喇。多謝你之前幫忙。
line:aaea8391	He's been way nicer recently.	佢最近好咗好多。
line:7363c004	He's great.	佢真係好好。
line:c13d4e24	He's hot.	佢好性感。
line:675d7e37	He's like. SUPER hung.	佢嗰碌真係超大。
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	佢好似……個心好軟，外面就包住一堆尖刺。
line:800c553d	He's my dream dragon.	佢就係我理想中嘅龍。
line:4b3c70d9	He's snappy, but tender too!	佢把口惡，不過都有溫柔嘅一面！
line:31281c6d	He's this REALLY cute red drake who goes to the wash!	係條超可愛嘅紅龍，都有嚟沖涼㗎！
line:4c11c83e	He's tiny, I like being eye level with him.	佢細細隻，我鍾意同佢平視。
line:b9ce2f3c	He's... Considerate. Real understanding too.	佢……好體貼，又好明白人。
line:8e9e0f98	Heard about you and the big blue guy. Ryan was it?	聽講你同嗰個藍色大隻仔，叫賴恩係咪？
line:ca4a9672	Heeeey Ryan.	喂～賴恩。
line:24ce37ec	Heeeey.	喂～。
line:bb70c1ed	Heh. Yeah.	嘿。係呀。
line:3fa80829	Heh. Yeah. I like you too.	嘿。係呀，我都鍾意你。
line:20393ff6	Heh. Yeah. That's me.	嘿。係呀，係我。
line:ac769d93	heh.. yea.. sorry..	嘿……係呀……唔好意思……
line:5246ceea	Heh... alright.	嘿……好啦。
line:75fef5cb	Heh... Damn right.	嘿……梗係啦。
line:5f0edcb2	Heh... Handsy today, huh?	嘿……今日好鍾意郁手喎？
line:2f55b3aa	Hehe	嘿嘿。
line:7e991330	Hehe yeah.	嘿嘿，係呀。
line:3223473f	Hehe, I'm excited to get into the dating scene again.	嘿嘿，我好期待重新識人拍拖。
line:4a137220	Hehe, thanks. It has stuff that should be good for both of us.	嘿嘿，多謝。入面有啲我哋兩個都啱食嘅嘢。
line:1a3e2a73	Hell yea	正呀。
line:93f67490	Hell yeah	正呀。
line:389e4033	Hell yeah I did!	梗係享受啦！
line:17dbb9b7	Hell yeah.	正呀。
line:4b7b33d9	Hello!	你好！
line:c3d3da41	Hello!	你好！
line:4183ca7e	Hello, <i>'Drag'n wash franchise 223'...</i> Have you figured out how to interact yet?	你好，<i>「Drag'n'wash 第 223 號加盟店」……</i>你知唔知點樣互動？
line:a99c515c	Hello, <i>'Drag'n wash franchise 223'...</i> Have you spoken to your first customer yet?	你好，<i>「Drag'n'wash 第 223 號加盟店」……</i>你同第一位客人傾過偈未？
line:b7cce838	Hello.	你好。
line:a8779ebf	Hello?	有人喺度嗎？
line:dd4b34ae	Hello?	有人喺度嗎？
line:1954aab7	Help the developers out please..	麻煩幫開發者回報一下……
line:db9c3a5c	Help the developers out please..	麻煩幫開發者回報一下……
line:f7f7f5a1	Help the developers out please..	麻煩幫開發者回報一下……
line:fc461784	Help the developers out please..	麻煩幫開發者回報一下……
line:ee3398a6	Hey big guy.	喂，大隻仔。
line:0090c7b0	Hey Conrad!	喂，康拉德！
line:3d0a5aeb	Hey Conrad!	喂，康拉德！
line:a2b4acea	Hey conrad!	你好，康拉德！
line:975a629f	Hey Conrad.	喂，康拉德。
line:21235886	Hey could you come up front where I can see you?	喂，可唔可以行返前面，等我見到你？
line:533532c4	Hey fine by me!	喂，我冇問題！
line:1538bc7e	Hey good lookin'	喂，靚仔。
line:0121c874	Hey hey. Glad you're open.	喂喂，好彩你開緊。
line:71b651dd	Hey I have something to say!	喂，我有嘢想講！
line:0d4e0ecf	Hey kobold!	喂，狗頭人！
line:af3f02c9	Hey Ryan, what do you have there?	喂，賴恩，你攞住乜呀？
line:6374414d	Hey thanks for being here for me...	喂，多謝你陪住我……
line:bf5ff483	Hey there, happy to be back.	你好，好開心又返到嚟。
line:c38b7fa6	Hey there, Ryan!	你好呀，賴恩！
line:2d5fc8a2	Hey there- Maybe you can get 'hands on' later?	喂——不如遲啲先「親自落手」？
line:1b6c7f75	Hey there.	你好呀。
line:5dacf226	Hey there.	你好。
line:82698bd1	Hey there.	你好呀。
line:ab3a5d9c	Hey there.	喂。
line:3d2bc74e	Hey uh, do you think Ryan and I will <i>actually</i> work out?	喂，呃，你覺得我同賴恩<i>真係</i>會夾得嚟？
line:04501155	Hey uh, I just need a cleaning.	喂，呃，我只係想洗乾淨。
line:2a29842a	Hey uh... Not now.	喂，呃……而家唔好。
line:8caa3196	Hey uhm, thanks once again.	喂，呃，再次多謝你。
line:5c7a9105	Hey!	喂！
line:eed2cc64	Hey!	喂！
line:2f3f5508	Hey! He's just... 'vertically challenged'.	喂！佢只係……「高度受限」。
line:55bb78d1	Hey! I'm here for a wash.	你好！我嚟沖涼。
line:33480903	Hey, Alexander!	你好，亞歷山大！
line:21fcef4f	Hey, Alexander.	你好，亞歷山大。
line:14598ca6	Hey, big guy!	喂，大隻仔！
line:e7353d24	Hey, I've got a question for you.	喂，我有個問題想問你。
line:674877e5	Hey, nothin' wrong with asking!	喂，問吓又冇咩！
line:d2589856	Hey, welcome back!	你好，歡迎返嚟！
line:0d3e4054	Hey.	喂。
line:aa0dda7b	Hey.	喂。
line:7f2e2736	Hey... little guy!	喂……細隻仔！
line:933efa6d	Hi again!	又見面喇！
line:873a2b9a	Hi again..	又見面喇……
line:83ac5b68	Hi Conrad.	你好，康拉德。
line:050efd1a	Hi, Ryan!	你好，賴恩！
line:06ed6aea	Hiiiii! Hiii!	你好呀～！你好！
line:5a632b75	His physical form is currently reconstituting in the staff lounge.	佢嘅肉身而家正喺教職員休息室重新組成。
line:6bd91ca7	Hm, I think I'll pass on the mount.	嗯，我諗個交配架就唔使喇。
line:370d719b	Hm?	嗯？
line:3c3ddd0c	Hm?	嗯？
line:44658d73	Hmm...	嗯……
line:bf059ff3	Hmm...	嗯……
line:730b1ca4	Hmm?	嗯？
line:fc571337	Hmmm, maybe something else?	嗯，不如食第二樣？
line:19207e44	Hold on a little longer for me?	為咗我，再忍多陣，好嗎？
line:f2ae89c4	Honestly, I'm surprised how nice this is.	講真，我估唔到會咁舒服。
line:a2ff0176	Hope it went well.	希望你哋順利啦。
line:b17360a0	Hope that's alright?	希望你唔介意？
line:ae08853f	Hope you're doing alright!	希望你一切安好！
line:e1fa2461	Hopefully! I'll go get the gate.	希望啦！我去開閘。
line:99931b37	Hopefully.	希望啦。
line:d9c91bca	How about you though? have you been seeing anyone?	咁你呢？你有冇同人拍拖？
line:4ec92454	How about you? Anyone exciting?	咁你呢？有冇咩吸引嘅對象？
line:86bde306	How are you with seafood?	你鍾唔鍾意食海鮮？
line:7fb611c9	How come you brought this all in?	點解你帶咁多嘢嚟？
line:af0d0972	How come you're covered in ink?	點解你成身墨水？
line:e385b7f3	How did it go?	點呀？
line:c0161bbc	How did it taste?	味道點呀？
line:262b262e	how do I get in?	我要點入去呀？
line:676b0638	how do I get in?	我要點入去呀？
line:8308bb09	How do I look?	我睇落點？
line:4f172746	How do you even digest that?	你點消化到㗎？
line:28d390ac	How so?	點樣好法？
line:4ef9fe65	How so?	點解咁講？
line:ea66b5af	How so?	諗咗啲乜？
line:4b29790b	How was the sex.	上床上成點？
line:7736270c	How was your date with Conrad?	你同康拉德個約會點呀？
line:18d418ab	However, it's ornamental! My family crest. You see...	但其實係裝飾！我嘅家族徽飾。你睇……
line:1f250062	However, My <i>image</i> is far more permanent than Igwyx's fleeting physical forms.	不過，相比伊格維克斯轉瞬即逝嘅肉身，我嘅<i>形象</i>可係長久得多。
line:ae34381b	However, that respect comes with an expectation to act as I look. It's incredibly stressful.	不過，受尊重亦代表人哋期望我嘅言行要符合外表。壓力非常大。
line:d2baf9e2	However...	不過……
line:fb8401c3	Huff...	呼……
line:b54ee04d	huff... Thank you for that.	呼……多謝你。
line:16420ca7	Huff... Thanks for that.	呼……多謝你。
line:45507089	Huff... That was nice... Made a bit of a mess though.	呼……好舒服……不過搞到有啲污糟。
line:ae83cfb6	huh...?	吓……？
line:0c78b56b	Huh?	吓？
line:e96114a2	Huh? ofcourse not!	吓？梗係唔係啦！
line:836c079c	I <i>think </i> I must've spilled an inkwell <i>on the way here</i>. Rather clumsy of me!	我<i>諗</i>，我一定係<i>嚟呢度途中</i>打翻咗墨水樽。真係論盡！
line:d37175c7	I act tough but am a small dragon...	我扮到好惡，但其實只係條細龍……
line:b4e27683	I agree	我同意。
line:68ebf07b	I allowed him, as my stature provides ample height.	我答應咗，畢竟我身形夠高。
line:a051821a	I already feel a lot better.	我已經舒服咗好多。
line:49bfbfbe	I already have spot at the club reserved.	我已經喺夜店留咗位。
line:14ff4edd	I always do~	我次次都咁落力～
line:b05c6259	I always look forward to seeing you. I'll go get the gate.	我次次都期待見到你。我去開閘。
line:52bf5ede	I am THE kobold. Yip!	我就係嗰個狗頭人。吱！
line:141c006f	I am too.	我都係。
line:363f6f6a	I am too.	我都係。
line:405b9622	I am too.	我都係。
line:d4c5faea	I am too.	我都係。
line:556897bf	I am! Even better now that you're here.	我幾好呀！你嚟咗就更加好。
line:e499b2cc	I am.	我開心。
line:5ec8bb55	I believe that's in part because of you.	我相信，有部分係因為你。
line:9883786d	I booked the night.	我訂咗成晚。
line:eae85bf9	I broke up with my partner...	我同另一半分咗手……
line:ffcfee20	I brought watermelon, bread, grapes, and some other stuff.	我帶咗西瓜、麵包、提子，仲有啲其他嘢。
line:e8aa18f4	I can digest pretty much anything.	我幾乎乜都消化到。
line:7f543c2a	I can let loose whenever you are ready	你準備好，我隨時可以射。
line:c83a6a0d	I can't believe Igwix would make a mistake like this!	真係唔敢相信，伊格維克斯會犯呢種錯！
line:e051a79e	I consider you a good friend too	我都當你係好朋友。
line:f382336f	I could get us the <i>nicest</i> spots for their show.	睇表演嗰陣，我可以攞到<i>最好</i>嘅位。
line:2602b8c6	I could use a wash.	我需要沖個涼。
line:c66153d3	I couldn't help but notice the... device over there.	我留意到嗰邊嘅……器具。
line:b71f0756	I decided to try baking.	我決定試吓焗嘢食。
line:e62b989c	I decided to try baking.	我決定試吓焗嘢食。
line:efea7148	I decided to try baking.	我決定試吓焗嘢食。
line:98f800d3	I didn't know anyone could like me that much so easily.	我唔知原來會有人咁容易就咁鍾意我。
line:4116f001	I didn't know what the button did.	我唔知個掣係做乜。
line:7a5c7f54	I didn't mean to fluster you!	我唔係想搞到你唔知點反應！
line:55542a9b	I do enjoy the color. Though I believe its unrelated to my own hue.	我的確鍾意呢隻色，不過我諗同自己嘅膚色無關。
line:f9c800f2	I do!	我覺得有！
line:ad9c1ada	I do. But, what happened?	有。不過發生咩事？
line:a45ccf3a	I don't believe I can hold back any longer	我諗我忍唔住喇。
line:8c6e1cd3	I don't get it! Why do I have to act this way?	我唔明！點解我一定要咁樣？
line:cc4e48a3	I don't know where they went but I feel dirty again.	我唔知佢去咗邊，不過我又覺得成身污糟。
line:71127249	I don't mean to be rude, but I must decline	我無意失禮，但必須婉拒。
line:f5696cc4	I don't need to tell you.	我冇必要話你知。
line:878fc94c	I don't understand..	我唔明……
line:4f3d31f8	I don't want your pitty!	我唔要你可憐我！
line:8fc36ab7	I enjoy being a part of so many individuals lives in a positive way.	可以正面影響咁多人嘅人生，我好享受。
line:14653182	I enjoy parts of it. The respect is pleasant...	有啲方面我幾享受。受人尊重感覺唔錯……
line:bd4bb1b9	I enjoy that I do not fear failure around you.	喺你面前，我唔怕失敗。呢種感覺真好。
line:c108ed4f	I enjoy when you tell me what to do with a pat of your hand.	你用手輕拍我，指示我點做，嗰種感覺我好鍾意。
line:6db406b4	I enjoyed this quite a lot.	我非常享受。
line:e838533b	I feel as I could say anything to you.	我覺得自己好似乜都可以同你講。
line:9b9567ec	I feel much better.	我舒服咗好多。
line:ed6be68f	I feel spotless as always.	同平時一樣，乾淨晒。
line:938be2fb	I forget the ignorance of a layman. I apologize.	我忘記咗外行人未必明白。抱歉。
line:63837f22	I forgot to bite into it so... Nothing?	我唔記得咬，所以……冇味？
line:fe3484ea	I get how you'd feel that way after a breakup, yeah.	分手之後會咁諗，我明白。
line:adf1550f	I give my other bipedal friends rides all the time.	我成日都會載其他兩條腿嘅朋友。
line:9a68366f	I got a mount.	我買咗個交配架。
line:78a54cae	I got back home a bit dirty. And she yelled at me.	我返到屋企嗰陣有啲污糟，佢就鬧我。
line:22a9094a	I guess so!	我諗係喇！
line:28d6c0aa	I hate that I'm always getting into situations like this.	我好憎自己成日搞成咁。
line:366a7f73	I have a question.	我有個問題。
line:82b63c18	I have something to say!	我有嘢想講！
line:fd68807c	I have to say, you did as good a job as private washers.	我必須承認，你洗得同私人洗浴師一樣好。
line:761f413a	I heard a loud bang	我聽到一聲巨響。
line:9d7cc63c	I heard a loud bang, I don't think Igwix made it.	我聽到一聲巨響，我諗伊格維克斯捱唔過。
line:7ede5030	I heard there was kobolds down here that could wash me up?	聽講呢度有狗頭人可以幫我沖涼？
line:efb2d4af	I heard there were kobolds down here that could wash me up?	聽講呢度有狗頭人可以幫我沖涼？
line:2f9b499a	I honestly don't know how you are doing that.	講真，我唔知你點做到。
line:6f5dbc90	I hope he's okay too.	我都希望佢冇事。
line:cd0197ed	I hope I can learn from that.	希望我可以向你學吓。
line:cf50dbcc	I hope it all works out.	希望一切順利。
line:b2dfad3e	I hope so.	希望啦。
line:0477b0d7	I hope so. I really want a fresh start with someone.	希望啦。我真係想同人重新開始。
line:7429dab7	I hope that you'll help me prove them wrong!	希望你幫我證明唔係咁！
line:be5feb3e	I hope things get better.	希望會好轉啦。
line:114ac9a0	I hope you're right.	希望你講得啱。
line:06744c7e	I just don't like that she takes it out on me.	我只係唔鍾意佢攞我出氣。
line:1fb02179	I just don't like that she takes it out on me.	我只係唔鍾意佢攞我出氣。
line:c8a1e7d0	I Just need a quick wash... Maybe the mount would be nice too.	我只係想快快沖個涼……或者用埋交配架都幾好。
line:95ff1bed	I just wish for you to ask me a question. Any question.	我只係想你問我一個問題。任何問題都得。
line:f716a163	I knew you were too busy, so I figured I'd bring the date to you!	我知你太忙，所以諗住將個約會帶過嚟畀你！
line:2461773d	I knew you'd have my back	我就知你會撐我。
line:6a671440	I know a decent equine-kin place by the pier.	碼頭附近有間馬族餐廳，幾唔錯。
line:50102b85	I know he can be a bit hot headed and forget to thank folks.	我知佢有時脾氣急，會唔記得多謝人。
line:83c55e2e	I know things can be tough.	我知有時真係唔容易。
line:2ffb026d	I know you need to close down shop. I'll make sure you get the address and we can meet up there, yeah?	我知你要收舖。我會畀個地址你，我哋喺嗰度見，好嗎？
line:ded99a0c	I know, I'll reserve your spot!	我知，我幫你留位！
line:59e503b2	I know. But the ability to open up to someone, even occasionally-	我知。不過能夠向人敞開心扉，即使只係偶爾——
line:d30ffec9	I know. I know I shouldn't be dumping this on you.	我知。我知唔應該將呢啲煩惱都倒畀你。
line:875048ca	I know. I know.	我知，我知。
line:7b59e4d6	I like how sure of yourself you are. Even if it just has to do with washing.	我鍾意你咁有自信。即使只係沖涼方面。
line:46061aae	I like it! I think you'd enjoy it too.	我幾鍾意！我諗你都會鍾意。
line:f4ad8ea6	I like taking care of you.	我鍾意照顧你。
line:8ffedb47	I like the mount you chose. Mind grabbing it?	我鍾意你揀嗰個交配架。可唔可以攞過嚟？
line:5c86951f	I like you a lot.	我好鍾意你。
line:a91980fc	I like you for who you are.	我鍾意嘅係你本身。
line:bdca3e1b	I like... him.	我鍾意嘅係……佢。
line:2b65bf83	I love bubbles, they tickle!	我好鍾意泡泡，痕痕哋，好好玩！
line:f8a4f404	I mean it. Really.	我認真㗎。真係。
line:ae719afc	I need to be better. I <i>want </i>to be better.	我需要改好啲。我<i>想</i>改好啲。
line:a0373456	I need to be spotless. Seems that's what you're for. <size=70%> Ha.	我要洗到一塵不染。睇嚟呢個就係你嘅工作。<size=70%>哈。
line:3da2dd1d	I never expected myself to confide such embarrassing things in someone.	我從未諗過，自己會向人傾訴咁難堪嘅事。
line:0c986dec	I never expected you to be the type to be so messy!	估唔到你會搞到自己咁污糟！
line:95db900b	I never miss a spot.	我從來都唔會漏洗。
line:d620d41a	I never thought someone like him would be my type...	我從來冇諗過，自己會鍾意佢嗰類型……
line:67592de1	I probably need to head out though.	不過我都應該走喇。
line:e41c6dc5	I really do hope it all works out!	真係希望一切順利！
line:a722aada	I really think it was this time...	今次我真係覺得係……
line:e80e5edd	I see what you're doing, thank you.	我明白你嘅用意，多謝。
line:cc6ec337	I see..	我明白……
line:d57520b1	I seem to have gotten myself covered in ink!	我似乎搞到自己成身墨水！
line:3b161cf3	I still need more!	我仲要！
line:47dc71f3	I suppose I understand disliking the mess it may cause.	我諗我明白，落雨搞到周圍污糟，會令人唔鍾意。
line:234ccfda	I suppose it depends on the circumstances.	我諗的確要睇情況。
line:910706c0	I think a movie could be fun!	我諗睇戲會幾好玩！
line:99bbb171	I think he was in a bad environment. He's doing better now.	我諗之前佢身處嘅環境唔好，而家好咗。
line:9247b7a0	I think he'd like the new you!	我諗佢會鍾意而家嘅你！
line:f4982dcd	I think he's got a crush on me.	我諗佢暗戀我。
line:fc6fdd10	I think I can still feel some explosion grime on me...	我好似仲感覺到有啲爆炸嘅污垢留喺身上……
line:4efc873f	I think I like being taken care of?	我諗，我鍾意畀人照顧？
line:f5d36d9a	I think I might be close..	我諗我可能就嚟喇……
line:52fc4e08	I think I'd like that!	我諗我會好鍾意！
line:5c78099a	I think I'd like to meet him!	我想識吓佢！
line:14e0edf6	I think I'd like to try!	我想試吓！
line:164df75a	I think I'd like to use it?	我諗……我想用吓？
line:4f6168aa	I think I'd like to use it?	我諗……我想用吓？
line:ab314624	I think I'd like to?	我諗……我想試吓？
line:170c6aa3	I think I'd like you to be that someone aswell.	我都想嗰個人係你。
line:8f46bb17	I think I've got it!	我諗我識喇！
line:a5e128e0	I think she's upset about something else...	我諗佢係為咗第二啲嘢嬲……
line:bc2545e7	I think she's upset about something else...	我諗佢係為咗第二啲嘢嬲……
line:335c5156	I think so!	我諗係呀！
line:3292625e	I think that would make a decent place! They put on good shows every night.	我諗嗰度唔錯！晚晚都有好表演。
line:eaafe671	I think you got every spot!	我諗你洗齊晒喇！
line:1760e5d5	I think you got every spot.	我諗你洗齊晒喇。
line:341175f7	I think you got every spot.	我諗你洗齊晒喇。
line:770e7473	I think you got every spot.	我諗你洗齊晒喇。
line:f4a8f7fc	I think you helped him a lot more than you realize.	我諗你幫佢嘅，比你自己以為嘅多好多。
line:f28fd15d	I think you missed a few spots still...	我諗仲有幾個位未洗……
line:77509e74	I think you're cool too. Self improvement is hard.	我都覺得你幾好。改變自己唔容易。
line:763c6a82	I think you're good looking.	我覺得你好好睇。
line:69e7dbb3	I think you're pretty cool, Conrad.	康拉德，我覺得你幾型呀。
line:9c393f61	I think you're special too.	我都覺得你好特別。
line:7d5ae3b4	I usually make do with a hose down at home...	平時我喺屋企用水喉沖吓就算……
line:c4fc9b28	I wanna talk face to face!	我想面對面傾偈！
line:548dc375	I want to be more open. It feels good.	我想更加坦誠。感覺好好。
line:e02f464d	I was helping the alchemist reach a high shelf	我幫緊鍊金術師攞高層架啲嘢。
line:fa97376e	I was helping the alchemist reach a high shelf	我幫緊鍊金術師攞高層架啲嘢。
line:bb015b1b	I was romping around the forest	我喺森林跑嚟跑去。
line:78e2cb13	I was thinking about what you said,	我諗緊你講過嘅嘢，
line:b8282714	I was thinking.	我諗緊。
line:ca616238	I was thinking. We could go out some time next week?	我諗緊，不如下星期搵日出去？
line:a13d76ec	I was thinking...	我諗緊……
line:c1a4edf0	I wasn't making her happy either.	佢同我一齊都唔開心。
line:a4214fe6	I went out of my way for a discrete washing, I was sure I wasn't followed.	為咗低調沖個涼，我都費咗一番工夫，而且確定冇人跟蹤。
line:db5cd152	I went out with some friends.	我同幾個朋友出咗去玩。
line:b6b9dc33	I will pay double. Triple- This is a job only you can do!	我付雙倍。三倍——呢件事只有你先做得到！
line:0c31345e	I will, thanks.	我會㗎，多謝。
line:fa41daf4	I will. I just need a quick wash, and wouldn't mind using the mount today.	我會㗎。我想快快沖個涼，今日用埋交配架都唔錯。
line:399457b7	I wish it was easy as it is in movies.	如果好似電影咁簡單就好喇。
line:2185f08c	I won't.	我唔會。
line:45950848	I would like that!	我會好開心！
line:099ec7fd	I would love to.	我好想。
line:e6006cd6	I wouldn't mind!	我冇問題！
line:81905be1	I'd like to go out to eat.	我想出去食飯。
line:75b152eb	I'd love to talk more, truly, but class is soon.	我真係好想再傾，不過就嚟上堂喇。
line:2fe8a558	I'd love to!	我好樂意！
line:87ba56cc	I'll be back again, yeah?	我會再嚟㗎，好嗎？
line:ca035ef2	I'll be back again. It's nice having you as a friend.	我會再嚟。有你呢個朋友，真係好。
line:0fcd9c26	I'll be back soon, yeah? Thanks for the wash.	我好快會再嚟，好嗎？多謝你幫我清洗。
line:d9f422eb	I'll be waiting at the bar for you tonight!	今晚我喺酒吧等你！
line:69dff2ec	I'll be waiting for the gate!	我等你開閘！
line:ae4d09f6	I'll be waiting for the gate!	我等你開閘！
line:ab616aac	I'll definitely keep this place in mind.	我一定會記住呢度。
line:b122441b	I'll get one ordered I promise!	我會訂返個，我應承你！
line:1642b6f1	I'll get out of your scales now. Thank you for the wash.	我而家唔阻你喇。多謝你幫我清洗。
line:707d2693	I'll get out of your scales...	我唔阻你喇……
line:ca480eed	I'll get you two in contact then.	咁我幫你哋交換聯絡方法啦。
line:59416000	I'll go get the gate for ya'	我幫你開閘。
line:6aa7ad03	I'll go get the gate for ya'	我幫你開閘。
line:2a6d7e7d	I'll go get the gate for you.	我去幫你開閘。
line:8107858d	I'll go get the gate for you.	我去幫你開閘先。
line:d1755010	I'll go get the gate for you.	我去幫你開閘。
line:4d692a01	I'll go get the gate.	我去開閘。
line:a75bb519	I'll go get the gate.	我去開閘。
line:8689a124	I'll happily get that for you.	我好樂意幫你攞。
line:48e99d7b	I'll have to close up shop first-	我要收舖先——
line:f2b894e2	I'll have to reserve your spot while you close up.	你收舖嗰陣，我幫你霸定位。
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	我會記住。我慣咗凡事都有條件交換。
line:956a0f47	I'll make sure to ask him next time I see him.	下次見到佢，我一定會問吓。
line:e64d21e4	I'll make sure to come back.	我一定會再嚟。
line:7c9fe106	I'll make sure to get out of your scales.	我唔阻你喇。
line:87006442	I'll make sure to tell others about this place	我一定會介紹其他人嚟呢度。
line:1db78e06	I'll make sure to tell you how it goes, yeah?	到時點樣，我一定話你知，好嗎？
line:49b6a167	I'll make sure you're <i>spotless.	我一定幫你洗到<i>一塵不染。
line:96981b61	I'll manage.	我會捱得過。
line:9aa97614	I'll need this to be swift, students won't teach themselves.	麻煩盡快，學生唔會自己教自己。
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	我需要復活伊格維克斯，真係難堪！
line:90a9a98e	I'll see you next time I come in, yeah?	下次嚟再見，好嗎？
line:d0f6a49a	I'll see you next time I come in, yeah?	下次嚟再見，好嗎？
line:160bf40f	I'll start prepping for it.	我會開始準備。
line:8af64cb8	I'll take care of this, don't you worry.	我會處理好，你唔使擔心。
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	陣間話你知。可唔可以先開閘？
line:04c62f9b	I'm <i>spotless</i>.	我已經<i>一塵不染</i>。
line:629f8cff	I'm a bit of a big deal around there.	我喺嗰度都有啲名氣。
line:d9272031	I'm a dragon.	我係龍嘛。
line:675e7284	I'm a rule breaker!	我就鍾意打破規矩！
line:afcd5586	I'm a... kobold.	我係……狗頭人。
line:5d41b5d6	I'm all dirty still!	我仲成身污糟呀！
line:2f6eb3c3	I'm all soapy still!	我仲成身梘泡呀！
line:18707b19	I'm always happy to give you a wash!	幫你沖涼，我一直都好樂意！
line:3b01eb3b	I'm always happy to give you a wash!	幫你沖涼，我一直都好樂意！
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	我一向都好樂意幫忙。<i><size=70%>尤其係大龍。
line:46c6a3ed	I'm always happy to see you Ryan.	賴恩，見到你我就開心。
line:75206eee	I'm always happy to see you Ryan.	賴恩，見到你我就開心。
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	見到你我就開心。我幫你開閘。
line:07e5fc05	I'm amazed!	真係令我大開眼界！
line:4586d55d	I'm an asshole. I know I am.	我係個仆街。我知自己係。
line:a6d46685	I'm certain he also finds you pleasant!	我肯定佢亦覺得你好討人喜歡！
line:ef399e26	I'm doing good!	我幾好！
line:a6c1f2f4	I'm excited for you!	我都戥你興奮！
line:94fbdbf0	I'm excited for you. I'll get the gate!	我都戥你興奮。我去開閘！
line:f83e4966	I'm excited to hear about it!	我好期待聽！
line:bd55b8f4	I'm excited to see them washing down the drain though.	不過我都好想睇住佢哋沖落去水位。
line:24832f01	I'm excited.	我好期待。
line:69f406a6	I'm excited.	我好期待。
line:a00f681d	I'm excited.	我好期待。
line:a0479425	I'm excited.	我好期待。
line:b5d7d26f	I'm excited.	我好期待。
line:d66b9155	I'm excited.	我好期待。
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	知道你亦都樂在其中，我好欣慰。
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	你鍾意佢，我好高興。我肯定佢亦覺得你好討人喜歡。
line:c56ee060	I'm glad you enjoy my crest.	好高興你鍾意我嘅徽飾。
line:f44a1493	I'm glad you trust me.	我好開心你信任我。
line:3a2ed5ef	I'm glad you two are working out though.	不過，好開心你哋相處得好。
line:c0972e81	I'm glad you two are working out.	好開心你哋相處得好。
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	好高興你可以作出對自己最好嘅決定。
line:d5a90e1c	I'm glad!	我好開心！
line:286fec49	I'm glad.	咁就好喇。
line:42f5fd9d	I'm glad.	咁就好喇。
line:99b6dc81	I'm glad.	咁就好喇。
line:570d4953	I'm happy for you!	真係替你開心！
line:ac6d5bd3	I'm happy for you!	真係替你開心！
line:ed5c40ca	I'm happy for you!	真係替你開心！
line:79099951	I'm happy to be here too.	我亦好高興喺度。
line:99fd9b51	I'm happy to give you a place you can relax.	可以畀你一個放鬆嘅地方，我好開心。
line:5d36d5c8	I'm happy to have met you.	好高興認識咗你。
line:ce21622a	I'm happy to hear that.	聽到你咁講，我好開心。
line:69963a6c	I'm happy you feel comfy here.	你好自在，我都開心。
line:38388248	I'm here for a wash.	我嚟清洗。
line:a6974256	I'm here if you need someone to talk to.	你需要搵人傾偈，我喺度。
line:6690512d	I'm impressed.	真係佩服你。
line:2e424b13	I'm in need of another wash.	我又要沖涼喇。
line:ef91a572	I'm Jealous!	好羨慕呀！
line:a79b8639	I'm just happy I don't feel judged here.	喺呢度唔使驚畀人批判，我已經好開心。
line:8076eb95	I'm just here for a wash though.	不過我只係嚟沖涼。
line:c2caa0b7	I'm just here to bring you food!	我只係嚟送嘢食畀你！
line:ec6c7823	I'm just... Happy.	我只係……好開心。
line:ed4b0d48	I'm kind of excited.	我有啲期待。
line:266c652e	I'm looking forward to seeing you again	我好期待再見到你。
line:e91e2041	I'm not <i>that</i> little-	我都冇<i>咁</i>細隻——
line:cf05a364	I'm not certain why I suddenly understand your 'Yips'	我唔明白，點解突然聽得明你啲「吱」。
line:dcc4774b	I'm not too sure. It was on sale at WingCo.	我都唔係好清楚。喺 WingCo 減價買㗎。
line:5b31909a	I'm only doing what I think is right.	我只係做自己覺得啱嘅事。
line:7fe349d7	I'm profoundly embarrassed by this whole ordeal.	成件事令我非常難堪。
line:cfaffc52	I'm pumped.	我好興奮。
line:c0a140f8	I'm really fond of letting folks ride on my back.	我好鍾意畀人騎住我個背周圍行。
line:1a5e6184	I'm really looking forward to this.	我真係好期待。
line:8b43a434	I'm really sorry you got hurt. Who did this?	見你受傷，我真係好難過。邊個打你？
